TM;Category;unknown;Quantity
2014-01-21T00:01:00.0000000;Phi;6.35259E+017;431
2010-02-26T00:01:00.0000000;Omega;6.340273926E+17;457
2015-08-06T00:01:00.0000000;Theta;6.35744E+017;426
2014-11-20T00:01:00.0000000;Sigma;635,520,384,600,000,000.00000000;170
2017-12-22T00:01:00.0000000;Kappa;6.36495E+017;963
2011-07-10T00:01:00.0000000;Tau;634458528600000000;699
2017-02-18T00:01:00.0000000;Delta;6.36230E+017;19
2013-06-11T00:01:00.0000000;Kappa;635065056600000000;500
2012-09-24T00:01:00.0000000;Eta;6.348404166E+17;440
2014-09-09T00:01:00.0000000;Epsilon;635,458,176,600,000,000.00000000;768
2017-09-03T00:02:00.0000000;Mu;636399937200000000;134
2014-09-19T00:02:00.0000000;Omega;6.354668172E+17;763
2012-11-23T00:01:00.0000000;Beta;634892256600000000;697
2015-02-11T00:01:00.0000000;Xi;6.355920966E+17;691
2011-10-22T00:01:00.0000000;Lambda;634548384600000000;672
2013-11-17T00:01:00.0000000;Pi;6.352024326E+17;82
2011-12-15T00:01:00.0000000;Beta;634595040600000000;386
2016-06-07T00:01:00.0000000;Omega;636008544600000000;108
2010-03-16T00:02:00.0000000;Xi;6.340429452E+17;984
2013-07-08T00:01:00.0000000;Epsilon;6.35088E+017;508
2014-12-21T00:01:00.0000000;Iota;6.355471686E+17;633
2015-01-31T00:01:00.0000000;Eta;635,582,592,600,000,000.00000000;399
2014-06-11T00:01:00.0000000;Delta;635,380,416,600,000,000.00000000;509
2014-05-14T00:02:00.0000000;Nu;6.353562252E+17;623
2013-05-19T00:02:00.0000000;Upsilon;6.350451852E+17;531
2015-06-02T00:02:00.0000000;Rho;6.356880012E+17;165
2017-11-11T00:01:00.0000000;Sigma;636,459,552,600,000,000.00000000;266
2017-05-29T00:01:00.0000000;Pi;636316128600000000;111
2013-04-01T00:01:00.0000000;Delta;635,003,712,600,000,000.00000000;981
2010-03-07T00:01:00.0000000;Mu;634,035,168,600,000,000.00000000;162
2014-05-10T00:02:00.0000000;Xi;6.35353E+017;465
2011-09-25T00:01:00.0000000;Tau;6.34525E+017;413
2014-03-15T00:01:00.0000000;Zeta;635304384600000000;915
2010-09-25T00:02:00.0000000;Lambda;6.34210E+017;134
2015-12-26T00:01:00.0000000;Alpha;635866848600000000;640
2019-12-02T00:01:00.0000000;Beta;6.371084166E+17;515
2019-07-09T00:01:00.0000000;Zeta;6.369822726E+17;374
2010-03-29T00:02:00.0000000;Nu;6.34054E+017;587
2011-10-12T00:01:00.0000000;Tau;6.34540E+017;729
2018-10-11T00:02:00.0000000;Iota;6.367481292E+17;738
2015-07-08T00:02:00.0000000;Theta;6.357191052E+17;283
2016-12-31T00:02:00.0000000;Psi;6.361873932E+17;108
2014-02-24T00:01:00.0000000;Kappa;635287968600000000;983
2015-06-23T00:01:00.0000000;Xi;635706144600000000;696
2014-01-18T00:02:00.0000000;Eta;635256001200000000;83
2010-11-03T00:01:00.0000000;Xi;6.34243E+017;749
2012-02-28T00:01:00.0000000;Omicron;634,659,840,600,000,000.00000000;813
2010-07-06T00:01:00.0000000;Alpha;6.341397126E+17;317
2015-09-03T00:01:00.0000000;Mu;635768352600000000;331
2013-04-26T00:02:00.0000000;Rho;6.35025E+017;607
2011-10-11T00:01:00.0000000;Gamma;634538880600000000;563
2010-06-23T00:01:00.0000000;Mu;634,128,480,600,000,000.00000000;283
2013-08-11T00:01:00.0000000;Upsilon;635117760600000000;806
2013-04-06T00:01:00.0000000;Iota;635008032600000000;803
2014-02-19T00:02:00.0000000;Rho;635283649200000000;435
2014-02-12T00:01:00.0000000;Zeta;6.352776006E+17;504
2017-07-19T00:02:00.0000000;Delta;6.363601932E+17;132
2011-09-03T00:02:00.0000000;Phi;634506049200000000;604
2019-03-22T00:01:00.0000000;Delta;6.36888E+017;816
2015-08-31T00:01:00.0000000;Mu;6.357657606E+17;301
2017-04-14T00:01:00.0000000;Epsilon;6.36277E+017;96
