TM;Category;unknown;Quantity
2011-11-15T00:01:00.0000000;Alpha;634569120600000000;364
2014-10-23T00:02:00.0000000;Epsilon;6.354961932E+17;7
2014-03-11T00:01:00.0000000;Sigma;635,300,928,600,000,000.00000000;322
2012-12-17T00:01:00.0000000;Pi;634912992600000000;971
2018-10-23T00:01:00.0000000;Sigma;636758496600000000;277
2017-12-10T00:01:00.0000000;Theta;6.364846086E+17;741
2012-11-05T00:01:00.0000000;Nu;634876704600000000;32
2010-09-20T00:01:00.0000000;Psi;634,205,376,600,000,000.00000000;888
2014-10-15T00:02:00.0000000;Nu;635,489,281,200,000,000.00000000;274
2015-01-15T00:01:00.0000000;Iota;635,568,768,600,000,000.00000000;222
2014-05-17T00:01:00.0000000;Mu;6.353588166E+17;600
2015-09-02T00:01:00.0000000;Theta;635767488600000000;108
2016-05-25T00:01:00.0000000;Delta;6.359973126E+17;351
2019-03-29T00:01:00.0000000;Gamma;636894144600000000;287
2013-03-02T00:01:00.0000000;Phi;6.34978E+017;999
2013-12-29T00:01:00.0000000;Iota;635,238,720,600,000,000.00000000;418
2012-03-17T00:01:00.0000000;Xi;634,675,392,600,000,000.00000000;869
2013-10-21T00:02:00.0000000;Psi;635179105200000000;901
2019-10-18T00:01:00.0000000;Sigma;637,069,536,600,000,000.00000000;194
2012-01-30T00:01:00.0000000;Pi;6.34635E+017;995
2010-04-26T00:01:00.0000000;Rho;634078368600000000;361
2015-07-23T00:01:00.0000000;Sigma;6.357320646E+17;354
2016-05-31T00:02:00.0000000;Chi;636002497200000000;919
2018-02-20T00:02:00.0000000;Lambda;6.365468172E+17;208
2015-05-12T00:01:00.0000000;Omicron;6.356698566E+17;399
2013-06-01T00:01:00.0000000;Gamma;6.35056E+017;374
2011-08-18T00:01:00.0000000;Epsilon;6.34492E+017;113
2014-05-15T00:01:00.0000000;Alpha;6.353570886E+17;528
2012-06-30T00:01:00.0000000;Iota;634766112600000000;917
2011-03-03T00:01:00.0000000;Lambda;634,347,072,600,000,000.00000000;57
2014-08-21T00:02:00.0000000;Nu;635,441,761,200,000,000.00000000;763
2017-01-24T00:01:00.0000000;Lambda;636,208,128,600,000,000.00000000;836
2010-01-20T00:01:00.0000000;Delta;6.339954246E+17;639
2011-02-14T00:01:00.0000000;Pi;634,332,384,600,000,000.00000000;86
2011-09-05T00:01:00.0000000;Rho;6.34508E+017;311
2015-12-30T00:02:00.0000000;Gamma;6.35870E+017;200
2019-03-20T00:03:00.0000000;Eta;6.36886E+017;67
2013-02-23T00:01:00.0000000;Xi;634971744600000000;829
2013-12-07T00:02:00.0000000;Iota;635219713200000000;196
2017-03-02T00:01:00.0000000;Gamma;636,240,096,600,000,000.00000000;410
2016-02-02T00:03:00.0000000;Psi;6.35900E+017;938
2017-10-15T00:02:00.0000000;Chi;6.364362252E+17;214
2010-07-29T00:02:00.0000000;Delta;634,159,585,200,000,000.00000000;183
2016-04-28T00:01:00.0000000;Omega;635,973,984,600,000,000.00000000;350
2019-09-13T00:02:00.0000000;Xi;637039297200000000;788
2010-07-30T00:02:00.0000000;Xi;634160449200000000;302
2010-08-27T00:01:00.0000000;Gamma;6.341846406E+17;251
2010-03-07T00:02:00.0000000;Xi;634035169200000000;579
2015-07-21T00:01:00.0000000;Eta;6.35730E+017;106
2014-11-30T00:02:00.0000000;Rho;6.355290252E+17;283
2013-10-19T00:01:00.0000000;Pi;635,177,376,600,000,000.00000000;848
2017-07-12T00:02:00.0000000;Delta;6.36354E+017;992
2014-08-13T00:02:00.0000000;Tau;6.354348492E+17;890
2010-06-17T00:01:00.0000000;Xi;6.341232966E+17;231
2015-10-26T00:02:00.0000000;Delta;635814145200000000;26
2012-01-14T00:04:00.0000000;Delta;6.346209624E+17;279
2013-03-16T00:02:00.0000000;Tau;634989889200000000;37
2010-08-21T00:02:00.0000000;Alpha;6.34179E+017;828
2017-08-16T00:02:00.0000000;Gamma;6.36384E+017;170
2019-12-28T00:01:00.0000000;Xi;637,130,880,600,000,000.00000000;560
2013-07-10T00:02:00.0000000;Delta;6.350901132E+17;493
2015-10-08T00:02:00.0000000;Delta;635798593200000000;768
2019-03-29T00:02:00.0000000;Theta;636894145200000000;862
2016-04-29T00:02:00.0000000;Xi;635,974,849,200,000,000.00000000;968
2010-06-27T00:01:00.0000000;Theta;634131936600000000;541
2014-11-04T00:01:00.0000000;Zeta;635506560600000000;837
2017-09-24T00:02:00.0000000;Epsilon;6.36418E+017;257
2015-06-06T00:02:00.0000000;Nu;635,691,457,200,000,000.00000000;125
2017-08-22T00:01:00.0000000;Theta;6.363895686E+17;688
2018-12-10T00:01:00.0000000;Tau;636799968600000000;474
2016-07-10T00:01:00.0000000;Kappa;636,037,056,600,000,000.00000000;35
2017-02-15T00:01:00.0000000;Lambda;636227136600000000;939
2012-08-27T00:01:00.0000000;Eta;634,816,224,600,000,000.00000000;552
2014-01-16T00:01:00.0000000;Rho;635,254,272,600,000,000.00000000;246
2017-05-28T00:01:00.0000000;Rho;636315264600000000;710
2019-12-16T00:02:00.0000000;Rho;6.37121E+017;640
2011-03-05T00:02:00.0000000;Upsilon;634348801200000000;607
2015-11-02T00:02:00.0000000;Beta;635820193200000000;313
2018-10-28T00:01:00.0000000;Zeta;6.36763E+017;764
2014-05-06T00:01:00.0000000;Xi;635,349,312,600,000,000.00000000;8
2017-07-25T00:01:00.0000000;Lambda;636,365,376,600,000,000.00000000;573
2013-12-07T00:01:00.0000000;Beta;635219712600000000;597
2019-08-28T00:02:00.0000000;Phi;637025473200000000;620
2019-01-13T00:02:00.0000000;Alpha;6.368293452E+17;408
2012-12-05T00:01:00.0000000;Sigma;6.349026246E+17;927
2019-08-30T00:02:00.0000000;Nu;6.37027E+017;274
2011-06-21T00:01:00.0000000;Omega;634,442,112,600,000,000.00000000;745
2016-09-29T00:02:00.0000000;Lambda;6.361070412E+17;677
2014-05-21T00:02:00.0000000;Mu;635,362,273,200,000,000.00000000;620
2014-03-11T00:01:00.0000000;Tau;635,300,928,600,000,000.00000000;308
2011-03-04T00:02:00.0000000;Sigma;634347937200000000;840
2016-05-27T00:02:00.0000000;Iota;6.359990412E+17;491
2016-02-17T00:02:00.0000000;Sigma;635912641200000000;959
2019-05-29T00:02:00.0000000;Delta;636946849200000000;79
2013-08-21T00:03:00.0000000;Omega;635126401800000000;727
2015-09-27T00:02:00.0000000;Rho;635789089200000000;829
2019-09-22T00:02:00.0000000;Xi;6.370470732E+17;858
2010-07-25T00:03:00.0000000;Rho;634156129800000000;568
2017-07-28T00:01:00.0000000;Beta;636367968600000000;253
2014-02-28T00:02:00.0000000;Lambda;6.35291E+017;691
2019-08-09T00:02:00.0000000;Zeta;637009057200000000;702
2019-06-15T00:02:00.0000000;Nu;636961537200000000;767
2017-02-10T00:01:00.0000000;Mu;636222816600000000;893
2017-05-20T00:03:00.0000000;Tau;6.363083538E+17;152
2012-11-26T00:01:00.0000000;Upsilon;634,894,848,600,000,000.00000000;80
2014-04-26T00:01:00.0000000;Upsilon;6.353406726E+17;520
2016-05-02T00:02:00.0000000;Beta;635977441200000000;995
2010-10-15T00:01:00.0000000;Nu;6.34227E+017;78
2015-01-24T00:03:00.0000000;Epsilon;6.355765458E+17;174
2013-12-18T00:01:00.0000000;Sigma;6.35229E+017;511
2017-12-08T00:01:00.0000000;Iota;6.364828806E+17;802
2018-09-13T00:01:00.0000000;Pi;636723936600000000;113
2014-08-24T00:02:00.0000000;Iota;635444353200000000;220
2017-08-01T00:03:00.0000000;Epsilon;6.363714258E+17;663
2011-10-09T00:02:00.0000000;Upsilon;634537153200000000;229
2018-07-23T00:03:00.0000000;Eta;636679009800000000;379
2013-06-16T00:02:00.0000000;Chi;635069377200000000;567
2016-11-17T00:01:00.0000000;Rho;636149376600000000;616
2013-06-06T00:02:00.0000000;Sigma;6.350607372E+17;932
2013-05-06T00:01:00.0000000;Gamma;635033952600000000;65
2015-01-10T00:02:00.0000000;Theta;635564449200000000;633
2010-09-15T00:02:00.0000000;Pi;6.342010572E+17;321
2011-01-06T00:02:00.0000000;Eta;634,298,689,200,000,000.00000000;530
2013-02-15T00:04:00.0000000;Xi;6.349648344E+17;109
2014-02-01T00:02:00.0000000;Pi;635268097200000000;512
2010-02-25T00:05:00.0000000;Xi;6.34026531E+17;987
2016-03-10T00:03:00.0000000;Kappa;6.35932E+017;645
2013-11-22T00:02:00.0000000;Tau;635,206,753,200,000,000.00000000;387
2014-02-09T00:03:00.0000000;Tau;6.35275E+017;741
2010-02-06T00:02:00.0000000;Mu;6.340101132E+17;581
2019-06-02T00:03:00.0000000;Xi;6.369503058E+17;335
2013-05-03T00:03:00.0000000;Delta;635031361800000000;483
