TM;Category;unknown;Quantity
2018-02-08T00:01:00.0000000;Gamma;636,536,448,600,000,000.00000000;296
2014-04-20T00:01:00.0000000;Omicron;635335488600000000;800
2013-06-23T00:01:00.0000000;Epsilon;6.350754246E+17;358
2013-01-02T00:01:00.0000000;Kappa;634,926,816,600,000,000.00000000;44
2016-12-26T00:01:00.0000000;Gamma;6.36183E+017;168
2016-07-26T00:01:00.0000000;Gamma;636050880600000000;924
2014-10-18T00:01:00.0000000;Phi;635491872600000000;911
2017-04-24T00:01:00.0000000;Xi;636285888600000000;64
2013-09-01T00:01:00.0000000;Gamma;6.35136E+017;294
2014-06-04T00:01:00.0000000;Eta;6.353743686E+17;833
2013-11-29T00:02:00.0000000;Eta;6.35213E+017;248
2010-06-01T00:01:00.0000000;Theta;634109472600000000;338
2013-12-01T00:01:00.0000000;Tau;6.352145286E+17;507
2016-04-22T00:01:00.0000000;Epsilon;6.359688006E+17;132
2019-09-29T00:01:00.0000000;Nu;637,053,120,600,000,000.00000000;297
2019-02-20T00:01:00.0000000;Iota;6.368621766E+17;460
2010-07-29T00:01:00.0000000;Chi;634,159,584,600,000,000.00000000;891
2012-03-08T00:01:00.0000000;Omega;6.346676166E+17;388
2012-09-05T00:01:00.0000000;Epsilon;6.348240006E+17;651
2015-07-13T00:01:00.0000000;Xi;635,723,424,600,000,000.00000000;593
2015-09-05T00:01:00.0000000;Upsilon;635,770,080,600,000,000.00000000;873
2016-06-15T00:01:00.0000000;Iota;6.360154566E+17;963
2016-02-19T00:01:00.0000000;Beta;635914368600000000;326
2016-07-03T00:01:00.0000000;Sigma;6.360310086E+17;626
2010-07-20T00:01:00.0000000;Gamma;6.341518086E+17;767
2013-05-20T00:01:00.0000000;Nu;6.350460486E+17;628
2019-11-06T00:01:00.0000000;Eta;637,085,952,600,000,000.00000000;56
2019-02-02T00:02:00.0000000;Phi;636846625200000000;279
2019-05-22T00:01:00.0000000;Psi;636940800600000000;802
2015-03-24T00:01:00.0000000;Tau;635627520600000000;857
2011-10-08T00:01:00.0000000;Psi;634,536,288,600,000,000.00000000;249
2013-05-03T00:01:00.0000000;Nu;6.350313606E+17;65
2012-02-03T00:03:00.0000000;Lambda;6.346382418E+17;479
2014-01-10T00:01:00.0000000;Kappa;6.352490886E+17;744
2017-11-06T00:01:00.0000000;Upsilon;6.364552326E+17;380
2017-12-01T00:02:00.0000000;Omicron;636476833200000000;202
2015-04-07T00:01:00.0000000;Xi;6.356396166E+17;207
2013-04-22T00:02:00.0000000;Theta;635021857200000000;264
2018-06-25T00:01:00.0000000;Upsilon;6.366548166E+17;206
2011-04-16T00:02:00.0000000;Chi;6.343850892E+17;186
2018-01-12T00:01:00.0000000;Kappa;6.365131206E+17;667
2017-06-15T00:01:00.0000000;Epsilon;636330816600000000;85
2010-12-27T00:01:00.0000000;Xi;6.34290E+017;770
2019-02-28T00:01:00.0000000;Zeta;636869088600000000;637
2011-04-27T00:01:00.0000000;Pi;634,394,592,600,000,000.00000000;472
2015-02-16T00:01:00.0000000;Theta;635596416600000000;989
2012-03-11T00:01:00.0000000;Chi;6.346702086E+17;444
2012-08-02T00:02:00.0000000;Lambda;6.347946252E+17;100
2018-03-20T00:01:00.0000000;Upsilon;636571008600000000;952
2010-09-25T00:02:00.0000000;Theta;6.34210E+017;864
2019-09-09T00:01:00.0000000;Xi;637035840600000000;241
2010-09-11T00:01:00.0000000;Sigma;6.341976006E+17;974
2018-09-18T00:02:00.0000000;Epsilon;636728257200000000;21
2017-12-09T00:01:00.0000000;Nu;6.364837446E+17;833
2016-03-31T00:01:00.0000000;Psi;6.359497926E+17;684
2014-12-29T00:03:00.0000000;Epsilon;635554081800000000;600
2012-11-04T00:02:00.0000000;Xi;634875841200000000;136
2013-03-24T00:02:00.0000000;Zeta;6.349968012E+17;486
2010-07-30T00:02:00.0000000;Sigma;634160449200000000;630
2015-06-08T00:02:00.0000000;Rho;635,693,185,200,000,000.00000000;622
2015-06-28T00:01:00.0000000;Gamma;635710464600000000;129
2011-07-05T00:02:00.0000000;Omega;634454209200000000;965
2018-03-27T00:02:00.0000000;Psi;6.365770572E+17;213
2018-03-07T00:03:00.0000000;Omega;6.365597778E+17;889
2013-01-26T00:02:00.0000000;Nu;6.34948E+017;550
2019-05-24T00:02:00.0000000;Rho;636,942,529,200,000,000.00000000;854
2019-09-30T00:02:00.0000000;Omicron;637,053,985,200,000,000.00000000;892
2013-12-24T00:04:00.0000000;Iota;635234402400000000;838
2015-01-12T00:01:00.0000000;Pi;635566176600000000;569
2011-12-03T00:02:00.0000000;Lambda;634584673200000000;993
2018-09-20T00:02:00.0000000;Mu;6.36730E+017;851
2012-09-25T00:01:00.0000000;Epsilon;6.348412806E+17;587
2011-06-01T00:01:00.0000000;Mu;634,424,832,600,000,000.00000000;851
2018-07-17T00:03:00.0000000;Tau;636673825800000000;469
2010-08-12T00:02:00.0000000;Phi;634171681200000000;100
2011-01-03T00:02:00.0000000;Beta;634296097200000000;764
2016-09-12T00:02:00.0000000;Zeta;6.360923532E+17;487
2012-11-29T00:02:00.0000000;Omicron;634897441200000000;956
2011-08-29T00:02:00.0000000;Iota;634,501,729,200,000,000.00000000;234
2010-04-06T00:02:00.0000000;Theta;634061089200000000;157
2011-03-25T00:01:00.0000000;Chi;634366080600000000;730
2017-10-14T00:01:00.0000000;Omega;6.364353606E+17;254
2018-06-09T00:01:00.0000000;Phi;6.366409926E+17;754
2012-12-23T00:02:00.0000000;Alpha;6.349181772E+17;78
2017-06-08T00:03:00.0000000;Pi;6.363247698E+17;361
2017-12-13T00:02:00.0000000;Upsilon;636487201200000000;233
2019-01-23T00:03:00.0000000;Nu;6.36838E+017;889
2015-02-20T00:01:00.0000000;Phi;635,599,872,600,000,000.00000000;830
2013-08-12T00:01:00.0000000;Upsilon;6.35119E+017;60
2016-08-14T00:01:00.0000000;Zeta;636,067,296,600,000,000.00000000;559
2012-07-02T00:01:00.0000000;Alpha;634767840600000000;958
2015-10-25T00:02:00.0000000;Iota;635813281200000000;886
2011-04-19T00:01:00.0000000;Epsilon;6.343876806E+17;705
2010-10-01T00:02:00.0000000;Upsilon;6.342148812E+17;263
2019-11-03T00:03:00.0000000;Chi;637,083,361,800,000,000.00000000;683
2010-05-29T00:01:00.0000000;Sigma;6.341068806E+17;925
2010-03-05T00:01:00.0000000;Rho;634,033,440,600,000,000.00000000;477
2011-08-03T00:01:00.0000000;Zeta;6.344792646E+17;886
2014-06-12T00:02:00.0000000;Pi;635381281200000000;401
2010-06-15T00:02:00.0000000;Beta;6.341215692E+17;440
2016-02-25T00:02:00.0000000;Nu;6.359195532E+17;121
2019-12-15T00:01:00.0000000;Tau;637119648600000000;201
2011-06-27T00:02:00.0000000;Xi;6.344472972E+17;940
2015-01-22T00:02:00.0000000;Gamma;6.355748172E+17;867
2013-04-06T00:01:00.0000000;Rho;635008032600000000;408
2011-12-23T00:01:00.0000000;Delta;6.34602E+017;577
2012-11-29T00:02:00.0000000;Zeta;634897441200000000;255
2011-05-14T00:01:00.0000000;Chi;634,409,280,600,000,000.00000000;670
2013-11-09T00:01:00.0000000;Delta;635195520600000000;397
2017-05-16T00:01:00.0000000;Delta;636304896600000000;899
2013-04-22T00:02:00.0000000;Gamma;635021857200000000;136
2018-11-13T00:03:00.0000000;Iota;6.36777E+017;255
2015-07-31T00:02:00.0000000;Tau;635,738,977,200,000,000.00000000;393
2019-11-12T00:02:00.0000000;Upsilon;6.370911372E+17;585
2013-10-31T00:01:00.0000000;Omega;6.351877446E+17;541
2019-12-06T00:02:00.0000000;Epsilon;637111873200000000;966
2011-02-03T00:01:00.0000000;Beta;6.343228806E+17;953
2012-10-29T00:03:00.0000000;Beta;6.348706578E+17;71
2011-02-12T00:03:00.0000000;Omicron;634,330,657,800,000,000.00000000;125
2016-08-21T00:03:00.0000000;Alpha;6.360733458E+17;188
2012-02-25T00:02:00.0000000;Lambda;634657249200000000;76
2011-11-21T00:04:00.0000000;Sigma;6.345743064E+17;222
2019-11-14T00:01:00.0000000;Sigma;6.370928646E+17;558
2014-03-20T00:03:00.0000000;Chi;6.353087058E+17;764
2018-10-29T00:02:00.0000000;Zeta;6.367636812E+17;337
2015-01-08T00:04:00.0000000;Upsilon;635562722400000000;230
2016-02-13T00:01:00.0000000;Zeta;635909184600000000;269
2015-09-25T00:01:00.0000000;Pi;635,787,360,600,000,000.00000000;894
2019-08-03T00:02:00.0000000;Delta;637003873200000000;804
2018-11-18T00:01:00.0000000;Rho;6.367809606E+17;672
2018-08-16T00:02:00.0000000;Xi;6.36700E+017;701
2016-07-11T00:03:00.0000000;Kappa;636037921800000000;551
2013-01-24T00:02:00.0000000;Omega;6.34946E+017;318
2013-01-29T00:02:00.0000000;Gamma;6.349501452E+17;205
2010-08-11T00:01:00.0000000;Pi;6.341708166E+17;106
2014-11-22T00:03:00.0000000;Pi;635522113800000000;566
2015-11-19T00:03:00.0000000;Omega;635834881800000000;779
2013-02-04T00:02:00.0000000;Eta;634955329200000000;778
2014-11-24T00:02:00.0000000;Mu;6.35524E+017;702
2016-02-13T00:01:00.0000000;Alpha;635909184600000000;385
2014-12-09T00:02:00.0000000;Lambda;635,536,801,200,000,000.00000000;262
2016-12-24T00:02:00.0000000;Mu;6.36181E+017;526
2013-06-21T00:02:00.0000000;Gamma;6.350736972E+17;457
2012-12-23T00:03:00.0000000;Pi;6.349181778E+17;883
2010-01-27T00:02:00.0000000;Rho;634,001,473,200,000,000.00000000;390
2012-11-08T00:02:00.0000000;Lambda;634,879,297,200,000,000.00000000;360
2014-12-24T00:02:00.0000000;Phi;635549761200000000;73
2015-03-24T00:02:00.0000000;Kappa;635627521200000000;377
2017-12-13T00:02:00.0000000;Theta;636487201200000000;735
2015-09-29T00:04:00.0000000;Epsilon;6.35791E+017;96
2014-04-26T00:02:00.0000000;Chi;6.353406732E+17;480
2018-01-05T00:04:00.0000000;Tau;636507074400000000;732
2013-08-31T00:03:00.0000000;Iota;6.351350418E+17;944
2014-03-13T00:05:00.0000000;Nu;6.35303E+017;656
2010-01-05T00:02:00.0000000;Omega;6.339824652E+17;461
2017-04-22T00:02:00.0000000;Rho;636284161200000000;759
2016-09-19T00:03:00.0000000;Rho;636,098,401,800,000,000.00000000;324
2016-06-14T00:02:00.0000000;Zeta;6.360145932E+17;281
2010-07-08T00:03:00.0000000;Sigma;634,141,441,800,000,000.00000000;679
2012-08-26T00:02:00.0000000;Psi;634,815,361,200,000,000.00000000;47
2014-05-02T00:02:00.0000000;Lambda;635345857200000000;2
2017-01-14T00:03:00.0000000;Xi;6.361994898E+17;371
2013-07-26T00:03:00.0000000;Omicron;6.351039378E+17;655
2019-09-08T00:02:00.0000000;Pi;637034977200000000;703
2017-09-23T00:01:00.0000000;Psi;6.36417E+017;463
2016-12-29T00:02:00.0000000;Beta;6.361856652E+17;422
2011-09-30T00:03:00.0000000;Omega;6.345293778E+17;543
2012-06-08T00:02:00.0000000;Beta;6.347471052E+17;496
2017-11-07T00:03:00.0000000;Omicron;636456097800000000;380
2018-08-03T00:04:00.0000000;Psi;636688514400000000;364
2011-11-06T00:04:00.0000000;Nu;634561346400000000;481
2019-03-09T00:02:00.0000000;Eta;6.368768652E+17;855
2017-05-10T00:02:00.0000000;Delta;636299713200000000;17
2018-10-27T00:01:00.0000000;Mu;6.36762E+017;240
2017-10-07T00:01:00.0000000;Psi;636,429,312,600,000,000.00000000;796
2016-03-17T00:04:00.0000000;Psi;635937698400000000;365
2014-07-28T00:04:00.0000000;Gamma;635421026400000000;468
2013-10-25T00:01:00.0000000;Mu;6.35183E+017;867
2014-07-14T00:05:00.0000000;Alpha;635,408,931,000,000,000.00000000;832
2013-06-20T00:04:00.0000000;Tau;6.350728344E+17;377
2012-02-13T00:01:00.0000000;Pi;634646880600000000;73
2019-11-06T00:02:00.0000000;Mu;637085953200000000;517
2019-04-02T00:03:00.0000000;Mu;636897601800000000;833
2010-08-20T00:01:00.0000000;Delta;634178592600000000;177
2016-10-08T00:03:00.0000000;Theta;636,114,817,800,000,000.00000000;677
2013-01-29T00:03:00.0000000;Theta;6.349501458E+17;321
2018-01-24T00:02:00.0000000;Omega;636523489200000000;994
2019-10-25T00:02:00.0000000;Kappa;6.370755852E+17;821
2019-02-13T00:03:00.0000000;Phi;6.368561298E+17;235
2017-03-26T00:02:00.0000000;Epsilon;6.36261E+017;685
2013-12-01T00:02:00.0000000;Alpha;6.352145292E+17;853
2016-11-18T00:02:00.0000000;Upsilon;6.36150E+017;926
2019-01-07T00:02:00.0000000;Zeta;6.36824E+017;501
2017-10-29T00:04:00.0000000;Alpha;6.364483224E+17;450
2015-05-31T00:03:00.0000000;Phi;6.356862738E+17;269
2019-12-16T00:02:00.0000000;Nu;6.37121E+017;555
