TM;Category;unknown;Quantity
2018-10-28T00:01:00.0000000;Beta;6.36763E+017;624
2019-09-13T00:01:00.0000000;Delta;637,039,296,600,000,000.00000000;204
2016-02-19T00:01:00.0000000;Pi;635914368600000000;991
2010-07-13T00:01:00.0000000;Xi;634145760600000000;9
2018-08-14T00:01:00.0000000;Iota;6.36698E+017;69
2015-03-17T00:01:00.0000000;Lambda;6.356214726E+17;609
2010-04-19T00:01:00.0000000;Beta;6.340723206E+17;548
2010-11-15T00:01:00.0000000;Omega;634,253,760,600,000,000.00000000;619
2016-03-16T00:01:00.0000000;Beta;6.359368326E+17;517
2016-07-23T00:01:00.0000000;Upsilon;6.360482886E+17;934
2014-03-02T00:01:00.0000000;Zeta;6.352931526E+17;389
2017-06-05T00:01:00.0000000;Iota;636322176600000000;403
2017-04-24T00:01:00.0000000;Omega;636285888600000000;132
2017-11-29T00:01:00.0000000;Lambda;636,475,104,600,000,000.00000000;260
2015-03-28T00:02:00.0000000;Mu;635630977200000000;972
2013-04-25T00:01:00.0000000;Delta;6.35024E+017;305
2015-08-25T00:01:00.0000000;Theta;6.35761E+017;689
2010-09-21T00:01:00.0000000;Psi;634,206,240,600,000,000.00000000;5
2018-01-04T00:01:00.0000000;Theta;636,506,208,600,000,000.00000000;27
2012-09-07T00:01:00.0000000;Alpha;6.348257286E+17;772
2017-02-17T00:01:00.0000000;Omega;6.36229E+017;208
2015-10-05T00:01:00.0000000;Delta;6.357960006E+17;129
2014-12-01T00:01:00.0000000;Beta;6.355298886E+17;996
2010-09-20T00:01:00.0000000;Upsilon;634,205,376,600,000,000.00000000;987
2010-12-19T00:01:00.0000000;Theta;634283136600000000;904
2012-05-14T00:01:00.0000000;Pi;634725504600000000;4
2013-08-30T00:01:00.0000000;Gamma;6.35134E+017;42
2016-08-21T00:01:00.0000000;Eta;6.36073E+017;561
2011-05-18T00:01:00.0000000;Xi;634412736600000000;291
2014-10-16T00:01:00.0000000;Sigma;635,490,144,600,000,000.00000000;74
2010-05-08T00:01:00.0000000;Omega;6.340887366E+17;127
2013-12-09T00:01:00.0000000;Zeta;635221440600000000;199
2011-12-21T00:01:00.0000000;Lambda;634600224600000000;849
2014-01-21T00:01:00.0000000;Tau;6.35259E+017;630
2019-07-21T00:01:00.0000000;Lambda;636992640600000000;862
2011-06-10T00:02:00.0000000;Theta;6.344326092E+17;199
2010-03-09T00:01:00.0000000;Zeta;634036896600000000;583
2018-09-11T00:01:00.0000000;Phi;636722208600000000;102
2010-01-04T00:01:00.0000000;Delta;6.339816006E+17;543
2014-07-13T00:01:00.0000000;Psi;635408064600000000;89
2010-11-28T00:02:00.0000000;Alpha;634264993200000000;596
2010-04-22T00:01:00.0000000;Tau;6.340749126E+17;212
2019-11-13T00:01:00.0000000;Kappa;6.370920006E+17;864
2015-02-16T00:02:00.0000000;Omicron;635596417200000000;355
2011-04-10T00:02:00.0000000;Zeta;634379905200000000;981
2013-09-17T00:01:00.0000000;Tau;6.35150E+017;493
2010-11-05T00:01:00.0000000;Gamma;6.342451206E+17;913
2014-07-20T00:01:00.0000000;Omega;635414112600000000;622
2014-11-20T00:01:00.0000000;Zeta;635,520,384,600,000,000.00000000;637
2016-07-26T00:02:00.0000000;Epsilon;636,050,881,200,000,000.00000000;9
2015-07-16T00:01:00.0000000;Delta;635726016600000000;264
2014-08-30T00:02:00.0000000;Pi;6.354495372E+17;721
2010-05-10T00:01:00.0000000;Nu;6.340904646E+17;313
2010-10-26T00:01:00.0000000;Zeta;634,236,480,600,000,000.00000000;46
2014-04-16T00:01:00.0000000;Alpha;635,332,032,600,000,000.00000000;357
2012-05-28T00:03:00.0000000;Epsilon;634,737,601,800,000,000.00000000;506
2018-04-23T00:01:00.0000000;Pi;636,600,384,600,000,000.00000000;687
2011-09-19T00:01:00.0000000;Pi;634,519,872,600,000,000.00000000;77
2011-11-24T00:01:00.0000000;Omicron;6.345768966E+17;912
2010-02-09T00:02:00.0000000;Sigma;6.340127052E+17;477
2018-07-20T00:01:00.0000000;Omicron;636676416600000000;628
2010-04-19T00:01:00.0000000;Psi;6.340723206E+17;881
2012-04-28T00:01:00.0000000;Rho;6.34712E+017;755
2019-07-04T00:01:00.0000000;Zeta;636977952600000000;987
2012-10-09T00:02:00.0000000;Phi;6.34853E+017;327
2019-01-31T00:01:00.0000000;Mu;6.368448966E+17;369
2018-04-19T00:01:00.0000000;Alpha;636596928600000000;19
2016-11-11T00:01:00.0000000;Omicron;636144192600000000;109
2017-05-16T00:01:00.0000000;Sigma;636304896600000000;822
2019-04-17T00:01:00.0000000;Beta;636910560600000000;498
2014-07-18T00:01:00.0000000;Zeta;635,412,384,600,000,000.00000000;199
2015-08-24T00:01:00.0000000;Psi;6.35760E+017;769
2012-05-26T00:02:00.0000000;Pi;634735873200000000;35
2010-04-23T00:02:00.0000000;Iota;6.340757772E+17;665
2013-03-18T00:01:00.0000000;Omega;634991616600000000;299
2018-12-10T00:02:00.0000000;Omega;636799969200000000;582
2010-10-31T00:02:00.0000000;Rho;634240801200000000;562
2015-11-07T00:01:00.0000000;Kappa;6.358245126E+17;842
2010-11-06T00:01:00.0000000;Phi;6.342459846E+17;358
2015-01-11T00:01:00.0000000;Theta;635565312600000000;935
2018-02-25T00:01:00.0000000;Alpha;636551136600000000;409
2018-06-14T00:02:00.0000000;Theta;636,645,313,200,000,000.00000000;877
2015-04-13T00:04:00.0000000;Delta;635,644,802,400,000,000.00000000;156
2014-07-21T00:02:00.0000000;Epsilon;6.35415E+017;972
2011-12-01T00:02:00.0000000;Phi;634582945200000000;759
2011-01-20T00:02:00.0000000;Rho;6.343107852E+17;473
2014-09-26T00:02:00.0000000;Theta;635,472,865,200,000,000.00000000;149
2011-07-24T00:01:00.0000000;Phi;634470624600000000;569
2013-07-05T00:01:00.0000000;Zeta;635085792600000000;572
2018-07-10T00:02:00.0000000;Beta;6.36668E+017;235
2011-10-09T00:03:00.0000000;Xi;634537153800000000;273
2013-01-27T00:02:00.0000000;Chi;6.349484172E+17;266
2012-02-22T00:02:00.0000000;Pi;6.346546572E+17;921
2010-08-16T00:02:00.0000000;Rho;634,175,137,200,000,000.00000000;116
2017-09-07T00:03:00.0000000;Xi;6.364033938E+17;386
2017-06-28T00:02:00.0000000;Chi;6.363420492E+17;616
2019-07-11T00:01:00.0000000;Delta;6.369840006E+17;705
2010-02-23T00:02:00.0000000;Psi;6.340248012E+17;729
2013-01-25T00:01:00.0000000;Sigma;6.34947E+017;233
2011-12-22T00:02:00.0000000;Sigma;6.34601E+017;640
2015-07-27T00:03:00.0000000;Iota;635735521800000000;105
2011-07-02T00:01:00.0000000;Omicron;6.344516166E+17;36
2014-05-09T00:02:00.0000000;Gamma;6.35352E+017;403
2010-11-02T00:02:00.0000000;Sigma;6.34243E+017;284
2019-06-11T00:02:00.0000000;Tau;636,958,081,200,000,000.00000000;938
2013-12-20T00:01:00.0000000;Chi;6.352309446E+17;826
2013-02-19T00:02:00.0000000;Psi;6.349682892E+17;488
2019-02-07T00:01:00.0000000;Rho;636,850,944,600,000,000.00000000;888
2019-02-04T00:02:00.0000000;Xi;636848353200000000;39
2010-05-31T00:03:00.0000000;Lambda;634108609800000000;49
2017-05-13T00:02:00.0000000;Zeta;636,302,305,200,000,000.00000000;947
2012-10-06T00:02:00.0000000;Delta;634850785200000000;883
2016-01-07T00:02:00.0000000;Delta;635877217200000000;450
2012-06-09T00:02:00.0000000;Beta;6.347479692E+17;383
