TM;Category;unknown;Quantity
2018-08-23T00:01:00.0000000;Xi;636705792600000000;465
2012-05-23T00:01:00.0000000;Tau;6.347332806E+17;278
2014-03-18T00:01:00.0000000;Beta;6.35307E+017;52
2012-06-29T00:01:00.0000000;Rho;6.347652486E+17;199
2016-01-14T00:01:00.0000000;Xi;635883264600000000;720
2011-07-16T00:01:00.0000000;Omega;6.344637126E+17;280
2013-11-22T00:01:00.0000000;Zeta;635,206,752,600,000,000.00000000;939
2016-06-21T00:01:00.0000000;Nu;636,020,640,600,000,000.00000000;48
2016-08-03T00:01:00.0000000;Chi;6.36058E+017;849
2014-01-06T00:01:00.0000000;Nu;6.352456326E+17;154
2016-09-26T00:01:00.0000000;Tau;6.36104E+017;893
2018-04-11T00:01:00.0000000;Alpha;6.36590E+017;639
2016-03-13T00:01:00.0000000;Beta;6.359342406E+17;442
2012-07-09T00:01:00.0000000;Chi;6.34774E+017;231
2018-10-18T00:01:00.0000000;Omicron;636754176600000000;557
2011-05-18T00:01:00.0000000;Nu;634412736600000000;114
2010-03-25T00:01:00.0000000;Eta;634,050,720,600,000,000.00000000;192
2013-11-15T00:01:00.0000000;Delta;6.352007046E+17;245
2018-08-20T00:01:00.0000000;Rho;6.367032006E+17;864
2013-05-16T00:01:00.0000000;Omicron;6.350425926E+17;624
2013-01-26T00:01:00.0000000;Kappa;6.34948E+017;917
2016-04-12T00:01:00.0000000;Theta;635960160600000000;253
2017-05-08T00:01:00.0000000;Alpha;6.362979846E+17;805
2013-09-03T00:02:00.0000000;Psi;6.351376332E+17;244
2017-03-24T00:01:00.0000000;Gamma;636259104600000000;899
2010-10-14T00:01:00.0000000;Phi;6.34226E+017;766
2011-12-26T00:02:00.0000000;Delta;6.346045452E+17;55
2016-01-12T00:01:00.0000000;Gamma;635,881,536,600,000,000.00000000;328
2018-09-16T00:01:00.0000000;Omicron;636,726,528,600,000,000.00000000;584
2019-10-22T00:01:00.0000000;Rho;637072992600000000;872
2011-08-07T00:03:00.0000000;Pi;634482721800000000;351
2018-11-18T00:01:00.0000000;Alpha;6.367809606E+17;776
2014-03-11T00:01:00.0000000;Omicron;635,300,928,600,000,000.00000000;358
2018-04-18T00:01:00.0000000;Pi;6.365960646E+17;790
2013-12-15T00:02:00.0000000;Xi;6.35227E+017;888
2019-04-18T00:01:00.0000000;Iota;636911424600000000;808
2011-11-22T00:02:00.0000000;Theta;6.345751692E+17;282
2015-02-13T00:02:00.0000000;Pi;6.355938252E+17;387
2017-09-03T00:02:00.0000000;Gamma;636399937200000000;925
2012-09-16T00:02:00.0000000;Omicron;634833505200000000;669
2010-08-08T00:01:00.0000000;Lambda;6.341682246E+17;184
2013-05-23T00:02:00.0000000;Iota;635048641200000000;814
2016-04-12T00:01:00.0000000;Omicron;635960160600000000;50
2013-12-09T00:02:00.0000000;Zeta;635,221,441,200,000,000.00000000;168
2018-06-04T00:01:00.0000000;Upsilon;6.36637E+017;168
2011-08-31T00:01:00.0000000;Tau;634,503,456,600,000,000.00000000;683
2015-11-30T00:02:00.0000000;Rho;6.358443852E+17;123
2012-09-29T00:02:00.0000000;Epsilon;634844737200000000;830
2010-11-11T00:01:00.0000000;Lambda;634250304600000000;935
2012-12-11T00:01:00.0000000;Zeta;634907808600000000;901
2017-09-11T00:01:00.0000000;Eta;6.364068486E+17;762
2011-11-24T00:01:00.0000000;Nu;6.345768966E+17;257
2012-09-10T00:01:00.0000000;Nu;6.348283206E+17;14
2010-04-26T00:03:00.0000000;Xi;634078369800000000;926
2013-05-19T00:01:00.0000000;Nu;6.350451846E+17;334
2015-05-14T00:01:00.0000000;Omicron;6.356715846E+17;301
2012-01-29T00:02:00.0000000;Tau;6.34634E+017;854
2012-04-22T00:02:00.0000000;Omega;634,706,497,200,000,000.00000000;708
2012-06-25T00:03:00.0000000;Delta;6.347617938E+17;181
2019-07-11T00:01:00.0000000;Rho;6.369840006E+17;927
2012-10-03T00:01:00.0000000;Epsilon;634,848,192,600,000,000.00000000;566
2010-01-24T00:01:00.0000000;Delta;6.339988806E+17;652
2012-08-29T00:02:00.0000000;Beta;634817953200000000;851
2019-02-26T00:01:00.0000000;Kappa;636,867,360,600,000,000.00000000;276
2013-10-19T00:02:00.0000000;Alpha;635177377200000000;805
2012-06-08T00:01:00.0000000;Delta;6.347471046E+17;93
2015-06-27T00:01:00.0000000;Kappa;635,709,600,600,000,000.00000000;58
2019-12-03T00:01:00.0000000;Beta;6.371092806E+17;213
2017-12-26T00:01:00.0000000;Phi;6.364984326E+17;796
2016-05-17T00:01:00.0000000;Rho;635,990,400,600,000,000.00000000;775
2014-11-02T00:02:00.0000000;Beta;635,504,833,200,000,000.00000000;712
2010-11-24T00:02:00.0000000;Mu;6.342615372E+17;868
2016-12-08T00:01:00.0000000;Kappa;6.36168E+017;427
2015-07-26T00:01:00.0000000;Pi;6.357346566E+17;760
2016-12-20T00:01:00.0000000;Omicron;636,177,888,600,000,000.00000000;407
2012-09-04T00:03:00.0000000;Gamma;6.348231378E+17;446
2017-04-23T00:01:00.0000000;Phi;636285024600000000;137
2018-03-16T00:01:00.0000000;Xi;636,567,552,600,000,000.00000000;671
2014-02-17T00:02:00.0000000;Omega;635281921200000000;832
2012-09-07T00:02:00.0000000;Mu;6.348257292E+17;932
2016-07-13T00:02:00.0000000;Nu;636039649200000000;67
2013-01-01T00:02:00.0000000;Delta;634,925,953,200,000,000.00000000;539
2011-05-10T00:01:00.0000000;Rho;6.344058246E+17;718
2010-07-07T00:02:00.0000000;Beta;634140577200000000;15
2014-05-09T00:02:00.0000000;Psi;6.35352E+017;633
2013-11-07T00:01:00.0000000;Epsilon;635193792600000000;656
2010-10-11T00:02:00.0000000;Phi;634223521200000000;430
2013-08-20T00:01:00.0000000;Eta;6.351255366E+17;353
2016-02-13T00:02:00.0000000;Psi;635909185200000000;65
2017-01-09T00:01:00.0000000;Beta;636195168600000000;877
