TM;Category;unknown;Quantity
2014-04-22T00:01:00.0000000;Epsilon;6.35337E+017;16
2018-11-25T00:01:00.0000000;Kappa;636,787,008,600,000,000.00000000;180
2013-02-20T00:02:00.0000000;Mu;634969153200000000;462
2019-09-17T00:01:00.0000000;Phi;6.37043E+017;596
2013-01-07T00:01:00.0000000;Mu;6.34931E+017;518
2018-10-19T00:01:00.0000000;Upsilon;636755040600000000;491
2019-04-19T00:02:00.0000000;Beta;636,912,289,200,000,000.00000000;601
2019-02-27T00:01:00.0000000;Beta;636868224600000000;132
2014-10-07T00:01:00.0000000;Lambda;6.354823686E+17;713
2018-07-04T00:01:00.0000000;Rho;636,662,592,600,000,000.00000000;40
2012-10-30T00:01:00.0000000;Sigma;6.348715206E+17;514
2018-03-19T00:01:00.0000000;Rho;636,570,144,600,000,000.00000000;222
2019-01-12T00:01:00.0000000;Psi;6.368284806E+17;916
2011-11-13T00:01:00.0000000;Nu;634,567,392,600,000,000.00000000;450
2017-09-04T00:01:00.0000000;Upsilon;6.36401E+017;750
2015-08-05T00:01:00.0000000;Eta;635743296600000000;572
2016-06-01T00:01:00.0000000;Theta;636003360600000000;569
2014-05-08T00:01:00.0000000;Eta;635351040600000000;492
2012-04-01T00:02:00.0000000;Kappa;634688353200000000;429
2010-03-07T00:01:00.0000000;Omicron;634,035,168,600,000,000.00000000;438
2011-10-23T00:01:00.0000000;Rho;634549248600000000;839
2017-06-11T00:01:00.0000000;Rho;6.363273606E+17;12
2010-07-14T00:01:00.0000000;Eta;634146624600000000;146
2013-02-10T00:01:00.0000000;Chi;634960512600000000;592
2013-08-18T00:01:00.0000000;Kappa;6.351238086E+17;400
2018-10-13T00:01:00.0000000;Upsilon;6.367498566E+17;142
2013-08-10T00:01:00.0000000;Xi;635116896600000000;567
2014-06-21T00:01:00.0000000;Kappa;6.353890566E+17;755
2012-06-02T00:01:00.0000000;Alpha;634741920600000000;386
2010-01-27T00:01:00.0000000;Xi;634001472600000000;483
2014-11-15T00:01:00.0000000;Gamma;6.355160646E+17;808
2018-05-26T00:02:00.0000000;Sigma;636628897200000000;858
2015-06-08T00:02:00.0000000;Gamma;635,693,185,200,000,000.00000000;382
2013-08-07T00:01:00.0000000;Alpha;635,114,304,600,000,000.00000000;933
2018-03-22T00:01:00.0000000;Tau;636572736600000000;569
2018-04-04T00:02:00.0000000;Upsilon;636,583,969,200,000,000.00000000;762
2018-09-02T00:01:00.0000000;Omega;6.36714E+017;733
2013-09-10T00:01:00.0000000;Alpha;635143680600000000;759
2018-03-14T00:01:00.0000000;Rho;636565824600000000;977
2013-02-19T00:01:00.0000000;Sigma;6.349682886E+17;247
2012-01-07T00:01:00.0000000;Mu;634614912600000000;954
2010-08-16T00:01:00.0000000;Mu;634,175,136,600,000,000.00000000;17
