TM;Category;unknown;Quantity
2011-10-03T00:01:00.0000000;Alpha;634531968600000000;277
2019-07-29T00:01:00.0000000;Xi;6.369995526E+17;592
2014-06-21T00:01:00.0000000;Psi;6.353890566E+17;19
2013-12-30T00:01:00.0000000;Alpha;635,239,584,600,000,000.00000000;433
2017-11-05T00:01:00.0000000;Kappa;6.364543686E+17;654
2010-08-04T00:01:00.0000000;Alpha;6.34165E+017;249
2010-12-27T00:01:00.0000000;Psi;6.34290E+017;392
2015-05-07T00:01:00.0000000;Beta;6.35666E+017;544
2017-05-16T00:01:00.0000000;Omega;636304896600000000;288
2015-10-16T00:01:00.0000000;Upsilon;635805504600000000;408
2011-10-23T00:01:00.0000000;Tau;634549248600000000;884
2014-04-22T00:01:00.0000000;Zeta;6.35337E+017;609
2016-05-22T00:01:00.0000000;Phi;6.35995E+017;61
2018-07-14T00:01:00.0000000;Omicron;6.366712326E+17;980
2017-11-26T00:01:00.0000000;Eta;636472512600000000;156
2014-02-28T00:01:00.0000000;Zeta;6.35291E+017;147
2019-03-28T00:01:00.0000000;Rho;6.368932806E+17;161
2019-08-24T00:01:00.0000000;Delta;637,022,016,600,000,000.00000000;970
2018-03-19T00:01:00.0000000;Upsilon;636,570,144,600,000,000.00000000;49
2012-12-23T00:01:00.0000000;Pi;6.349181766E+17;612
2015-05-11T00:01:00.0000000;Xi;6.356689926E+17;98
2017-06-08T00:01:00.0000000;Gamma;6.36325E+017;765
2017-05-07T00:01:00.0000000;Chi;6.362971206E+17;377
2019-11-14T00:01:00.0000000;Lambda;6.370928646E+17;29
2013-11-15T00:01:00.0000000;Alpha;6.352007046E+17;910
2014-03-23T00:01:00.0000000;Lambda;6.353112966E+17;80
2018-10-30T00:02:00.0000000;Epsilon;6.367645452E+17;657
2019-07-16T00:01:00.0000000;Chi;636988320600000000;974
2010-10-15T00:02:00.0000000;Zeta;6.34227E+017;935
2011-09-04T00:01:00.0000000;Eta;634506912600000000;40
2018-04-01T00:01:00.0000000;Iota;636581376600000000;68
2011-04-11T00:01:00.0000000;Xi;634380768600000000;754
2010-05-01T00:01:00.0000000;Omega;634082688600000000;835
