TM;Category;unknown;Quantity
2017-09-04T00:01:00.0000000;Omicron;6.36401E+017;854
2012-11-15T00:01:00.0000000;Iota;6.34885E+017;749
2015-03-20T00:02:00.0000000;Omicron;6.356240652E+17;654
2017-10-02T00:01:00.0000000;Mu;636424992600000000;67
2012-03-13T00:01:00.0000000;Sigma;634671936600000000;240
2010-09-20T00:02:00.0000000;Alpha;634,205,377,200,000,000.00000000;717
2015-03-17T00:01:00.0000000;Zeta;6.356214726E+17;998
2013-09-20T00:01:00.0000000;Theta;6.351523206E+17;924
2011-06-21T00:01:00.0000000;Lambda;634,442,112,600,000,000.00000000;223
2010-03-18T00:02:00.0000000;Alpha;6.340446732E+17;332
2011-10-07T00:01:00.0000000;Iota;634,535,424,600,000,000.00000000;998
2016-07-17T00:01:00.0000000;Tau;6.36043E+017;176
2016-10-09T00:01:00.0000000;Eta;636,115,680,600,000,000.00000000;489
2018-03-09T00:02:00.0000000;Phi;6.365615052E+17;874
2019-12-05T00:01:00.0000000;Rho;6.371110086E+17;0
2014-01-19T00:01:00.0000000;Nu;635256864600000000;129
2012-01-11T00:01:00.0000000;Rho;6.34618E+017;2
2017-07-01T00:01:00.0000000;Mu;6.363446406E+17;221
2017-05-08T00:01:00.0000000;Tau;6.362979846E+17;930
2018-09-21T00:01:00.0000000;Sigma;6.36731E+017;811
2014-07-06T00:02:00.0000000;Chi;6.354020172E+17;246
2012-03-10T00:01:00.0000000;Iota;6.346693446E+17;828
2013-06-04T00:01:00.0000000;Theta;6.350590086E+17;708
2011-12-10T00:01:00.0000000;Upsilon;6.345907206E+17;717
2014-01-21T00:02:00.0000000;Tau;6.35259E+017;276
2018-10-04T00:01:00.0000000;Beta;636,742,080,600,000,000.00000000;46
2015-07-18T00:02:00.0000000;Chi;6.35728E+017;637
2012-07-11T00:02:00.0000000;Nu;6.347756172E+17;849
2018-05-13T00:01:00.0000000;Delta;636617664600000000;626
2017-12-03T00:02:00.0000000;Beta;6.36479E+017;335
2014-04-18T00:02:00.0000000;Theta;635333761200000000;382
2011-06-03T00:02:00.0000000;Lambda;634426561200000000;529
2014-08-25T00:01:00.0000000;Xi;635445216600000000;35
2018-08-23T00:02:00.0000000;Tau;636705793200000000;989
2017-01-26T00:01:00.0000000;Beta;636,209,856,600,000,000.00000000;479
2011-02-04T00:01:00.0000000;Eta;6.343237446E+17;365
2010-11-11T00:02:00.0000000;Psi;634250305200000000;883
2014-11-18T00:01:00.0000000;Upsilon;635518656600000000;238
2019-03-02T00:01:00.0000000;Omicron;6.36871E+017;68
2018-03-30T00:01:00.0000000;Alpha;6.365796486E+17;131
