TM;Category;unknown;Quantity
2015-05-15T00:01:00.0000000;Gamma;6.356724486E+17;237
2011-10-14T00:01:00.0000000;Eta;6.34541E+017;951
2015-02-03T00:01:00.0000000;Lambda;635585184600000000;436
2016-03-21T00:01:00.0000000;Rho;635941152600000000;949
2012-10-31T00:01:00.0000000;Psi;6.348723846E+17;870
2018-04-13T00:01:00.0000000;Omicron;6.365917446E+17;565
2017-09-21T00:01:00.0000000;Gamma;636415488600000000;432
2018-03-22T00:01:00.0000000;Rho;636572736600000000;836
2014-07-14T00:01:00.0000000;Phi;635408928600000000;548
2010-03-18T00:01:00.0000000;Upsilon;6.340446726E+17;386
2014-01-05T00:01:00.0000000;Tau;6.35245E+017;240
2019-06-06T00:01:00.0000000;Nu;6.369537606E+17;350
2018-01-26T00:01:00.0000000;Delta;636525216600000000;595
2016-02-24T00:01:00.0000000;Zeta;6.359186886E+17;720
2013-09-27T00:01:00.0000000;Psi;635158368600000000;920
2018-02-02T00:01:00.0000000;Phi;6.365312646E+17;985
2017-06-24T00:01:00.0000000;Xi;6.36339E+017;489
2011-07-04T00:02:00.0000000;Upsilon;634453345200000000;945
2016-02-11T00:01:00.0000000;Omicron;6.359074566E+17;515
2016-09-29T00:02:00.0000000;Beta;6.361070412E+17;584
2011-03-14T00:01:00.0000000;Tau;6.343565766E+17;857
2013-08-23T00:01:00.0000000;Pi;635128128600000000;316
2010-08-14T00:01:00.0000000;Eta;634173408600000000;725
2012-12-12T00:01:00.0000000;Gamma;634908672600000000;976
2015-01-03T00:02:00.0000000;Rho;6.355584012E+17;797
2012-02-05T00:02:00.0000000;Phi;634639969200000000;489
2013-03-27T00:01:00.0000000;Alpha;6.349993926E+17;592
2011-05-24T00:01:00.0000000;Mu;6.344179206E+17;717
2015-01-26T00:02:00.0000000;Lambda;6.355782732E+17;292
2014-05-28T00:01:00.0000000;Upsilon;6.35368E+017;464
2018-10-01T00:02:00.0000000;Omicron;636,739,489,200,000,000.00000000;791
2015-03-24T00:01:00.0000000;Pi;635627520600000000;694
2014-03-08T00:01:00.0000000;Gamma;635298336600000000;348
2017-07-09T00:01:00.0000000;Iota;636351552600000000;125
2013-02-10T00:02:00.0000000;Xi;634960513200000000;276
2014-01-29T00:01:00.0000000;Pi;6.352655046E+17;817
2010-05-13T00:02:00.0000000;Omicron;634093057200000000;837
2017-09-03T00:02:00.0000000;Delta;636399937200000000;56
2017-05-16T00:01:00.0000000;Rho;636304896600000000;878
2015-05-25T00:02:00.0000000;Gamma;6.35681E+017;182
2015-05-13T00:02:00.0000000;Sigma;6.356707212E+17;943
2012-03-04T00:01:00.0000000;Omega;6.34664E+017;768
2018-07-03T00:01:00.0000000;Pi;636,661,728,600,000,000.00000000;869
2010-04-22T00:01:00.0000000;Delta;6.340749126E+17;265
2017-12-07T00:02:00.0000000;Tau;6.364820172E+17;357
2013-05-09T00:01:00.0000000;Iota;635,036,544,600,000,000.00000000;931
2014-04-23T00:01:00.0000000;Upsilon;6.35338E+017;591
2014-05-04T00:02:00.0000000;Nu;635,347,585,200,000,000.00000000;934
2012-03-09T00:02:00.0000000;Delta;6.346684812E+17;142
2016-11-19T00:02:00.0000000;Lambda;6.36151E+017;5
2018-07-11T00:02:00.0000000;Zeta;6.366686412E+17;974
2013-02-27T00:01:00.0000000;Gamma;634975200600000000;123
2016-10-16T00:01:00.0000000;Alpha;6.361217286E+17;684
2010-12-08T00:01:00.0000000;Nu;6.34274E+017;716
2018-03-16T00:01:00.0000000;Mu;636,567,552,600,000,000.00000000;670
2011-12-24T00:02:00.0000000;Delta;6.34603E+017;946
2015-06-25T00:02:00.0000000;Lambda;635,707,873,200,000,000.00000000;31
2018-01-12T00:02:00.0000000;Pi;6.365131212E+17;470
2010-12-16T00:01:00.0000000;Kappa;6.342805446E+17;624
2013-10-06T00:01:00.0000000;Gamma;6.35166E+017;417
2019-09-16T00:01:00.0000000;Tau;637041888600000000;85
2019-08-07T00:01:00.0000000;Lambda;637,007,328,600,000,000.00000000;950
2019-01-18T00:01:00.0000000;Phi;636,833,664,600,000,000.00000000;846
2015-06-16T00:01:00.0000000;Omicron;6.357000966E+17;665
2010-05-15T00:01:00.0000000;Lambda;634094784600000000;641
2012-05-25T00:02:00.0000000;Iota;634735009200000000;442
2011-08-17T00:02:00.0000000;Nu;6.34491E+017;329
2018-12-29T00:02:00.0000000;Epsilon;636816385200000000;672
2013-01-02T00:02:00.0000000;Upsilon;634926817200000000;845
2018-05-11T00:01:00.0000000;Eta;636,615,936,600,000,000.00000000;613
2011-08-31T00:02:00.0000000;Omega;634,503,457,200,000,000.00000000;380
2019-04-24T00:02:00.0000000;Delta;6.36917E+017;520
2014-10-10T00:01:00.0000000;Chi;6.354849606E+17;245
2016-10-16T00:02:00.0000000;Omega;6.361217292E+17;204
2019-03-12T00:01:00.0000000;Beta;636879456600000000;890
2013-04-15T00:01:00.0000000;Zeta;6.350158086E+17;478
2016-03-18T00:03:00.0000000;Gamma;635938561800000000;460
2017-04-28T00:02:00.0000000;Pi;636289345200000000;725
