TM;Category;unknown;Quantity
2016-03-20T00:01:00.0000000;Nu;635940288600000000;779
2013-06-19T00:01:00.0000000;Upsilon;6.35072E+017;243
2012-01-26T00:01:00.0000000;Iota;634631328600000000;150
2017-10-13T00:01:00.0000000;Beta;6.36434E+017;560
2014-12-19T00:01:00.0000000;Beta;6.355454406E+17;346
2010-06-27T00:01:00.0000000;Pi;634131936600000000;471
2010-01-09T00:01:00.0000000;Theta;633985920600000000;332
2016-02-23T00:01:00.0000000;Alpha;6.35918E+017;283
2012-09-30T00:01:00.0000000;Phi;634845600600000000;64
2017-05-30T00:01:00.0000000;Eta;636316992600000000;818
2017-06-07T00:01:00.0000000;Phi;6.36324E+017;830
2019-04-30T00:01:00.0000000;Eta;6.369217926E+17;864
2014-08-20T00:01:00.0000000;Delta;635440896600000000;511
2011-08-07T00:01:00.0000000;Sigma;6.344827206E+17;923
2012-12-06T00:02:00.0000000;Lambda;6.349034892E+17;103
2019-05-26T00:01:00.0000000;Nu;636,944,256,600,000,000.00000000;193
2015-08-11T00:02:00.0000000;Chi;6.357484812E+17;465
2010-07-07T00:02:00.0000000;Xi;634140577200000000;693
2013-03-09T00:01:00.0000000;Omega;6.349838406E+17;314
2017-04-14T00:01:00.0000000;Psi;6.36277E+017;109
2012-01-26T00:01:00.0000000;Omicron;634631328600000000;339
2012-09-20T00:01:00.0000000;Kappa;6.34837E+017;261
2013-02-24T00:01:00.0000000;Tau;634,972,608,600,000,000.00000000;449
2015-05-30T00:01:00.0000000;Beta;6.356854086E+17;890
2010-05-16T00:01:00.0000000;Eta;634,095,648,600,000,000.00000000;448
2010-02-28T00:01:00.0000000;Beta;6.340291206E+17;989
2018-10-28T00:01:00.0000000;Gamma;6.36763E+017;293
2015-04-10T00:01:00.0000000;Kappa;635642208600000000;968
2019-12-03T00:01:00.0000000;Xi;6.371092806E+17;592
2019-09-07T00:01:00.0000000;Omicron;6.370341126E+17;134
2016-05-06T00:02:00.0000000;Eta;6.359808972E+17;12
2015-07-25T00:01:00.0000000;Alpha;6.357337926E+17;361
2016-09-23T00:01:00.0000000;Rho;636101856600000000;607
2017-03-10T00:01:00.0000000;Iota;6.362470086E+17;910
2012-01-26T00:01:00.0000000;Beta;634631328600000000;549
2010-08-06T00:01:00.0000000;Delta;6.341664966E+17;204
2010-12-02T00:01:00.0000000;Iota;634,268,448,600,000,000.00000000;697
2012-11-12T00:02:00.0000000;Gamma;6.34883E+017;554
2013-11-24T00:02:00.0000000;Lambda;635208481200000000;214
2016-05-03T00:01:00.0000000;Gamma;6.35978E+017;268
2012-05-25T00:01:00.0000000;Iota;634735008600000000;775
2015-05-25T00:01:00.0000000;Omicron;6.35681E+017;773
2010-09-25T00:03:00.0000000;Lambda;6.34210E+017;646
2017-03-22T00:02:00.0000000;Theta;636257377200000000;125
2015-09-11T00:01:00.0000000;Alpha;6.35775E+017;300
2015-12-21T00:01:00.0000000;Phi;635862528600000000;241
2014-07-13T00:02:00.0000000;Sigma;635408065200000000;185
2019-11-26T00:01:00.0000000;Epsilon;637103232600000000;673
2012-05-24T00:01:00.0000000;Epsilon;6.347341446E+17;617
2012-08-16T00:01:00.0000000;Chi;6.34807E+017;818
2019-05-12T00:02:00.0000000;Upsilon;6.36932E+017;785
2017-02-02T00:04:00.0000000;Lambda;6.362159064E+17;405
2013-04-27T00:01:00.0000000;Theta;6.35026E+017;237
2010-02-18T00:02:00.0000000;Tau;634020481200000000;363
2014-05-31T00:01:00.0000000;Epsilon;6.353709126E+17;788
2018-08-25T00:01:00.0000000;Epsilon;636707520600000000;758
2010-03-24T00:01:00.0000000;Xi;634,049,856,600,000,000.00000000;933
2013-01-16T00:02:00.0000000;Theta;634938913200000000;398
2011-02-03T00:01:00.0000000;Omicron;6.343228806E+17;908
2011-05-27T00:02:00.0000000;Upsilon;6.344205132E+17;513
2013-10-04T00:01:00.0000000;Epsilon;635164416600000000;618
2014-10-12T00:02:00.0000000;Kappa;635486689200000000;550
2017-06-05T00:02:00.0000000;Chi;6.36322E+017;361
2019-04-02T00:01:00.0000000;Chi;636,897,600,600,000,000.00000000;360
2013-05-14T00:02:00.0000000;Delta;6.35041E+017;240
2015-02-03T00:02:00.0000000;Tau;635585185200000000;192
2011-03-27T00:02:00.0000000;Omicron;6.34368E+017;606
2014-03-14T00:01:00.0000000;Tau;635303520600000000;483
2010-05-30T00:01:00.0000000;Pi;6.341077446E+17;53
2018-12-15T00:01:00.0000000;Delta;636,804,288,600,000,000.00000000;507
2011-02-24T00:01:00.0000000;Kappa;6.343410246E+17;253
2012-07-18T00:02:00.0000000;Upsilon;634781665200000000;689
2010-01-05T00:01:00.0000000;Epsilon;6.339824646E+17;647
2015-11-30T00:01:00.0000000;Sigma;6.358443846E+17;423
2013-03-18T00:01:00.0000000;Rho;634991616600000000;787
2012-04-14T00:01:00.0000000;Nu;6.346995846E+17;781
2016-09-02T00:02:00.0000000;Tau;636,083,713,200,000,000.00000000;576
2013-06-22T00:01:00.0000000;Omicron;6.350745606E+17;284
2010-12-13T00:02:00.0000000;Alpha;6.342779532E+17;855
2014-11-09T00:01:00.0000000;Upsilon;6.35511E+017;679
2010-03-07T00:01:00.0000000;Beta;634,035,168,600,000,000.00000000;795
2011-07-19T00:02:00.0000000;Omicron;6.344663052E+17;499
2017-09-01T00:03:00.0000000;Tau;636398209800000000;990
2019-06-04T00:03:00.0000000;Epsilon;6.369520338E+17;308
2013-12-30T00:01:00.0000000;Sigma;635,239,584,600,000,000.00000000;415
2017-04-13T00:02:00.0000000;Gamma;6.36276E+017;979
2017-02-14T00:01:00.0000000;Mu;636226272600000000;732
2014-02-26T00:02:00.0000000;Kappa;6.35290E+017;748
2012-09-26T00:02:00.0000000;Pi;6.348421452E+17;136
2013-12-10T00:01:00.0000000;Lambda;635,222,304,600,000,000.00000000;964
2012-07-04T00:02:00.0000000;Xi;634,769,569,200,000,000.00000000;745
2014-05-22T00:03:00.0000000;Kappa;635,363,137,800,000,000.00000000;257
2016-08-14T00:02:00.0000000;Psi;636,067,297,200,000,000.00000000;963
2013-09-01T00:01:00.0000000;Sigma;6.35136E+017;348
2013-10-03T00:01:00.0000000;Chi;635163552600000000;398
2019-03-06T00:02:00.0000000;Phi;6.368742732E+17;828
2017-01-16T00:01:00.0000000;Upsilon;6.362012166E+17;854
2017-11-28T00:01:00.0000000;Rho;636,474,240,600,000,000.00000000;804
2015-01-12T00:02:00.0000000;Upsilon;635,566,177,200,000,000.00000000;954
2015-07-28T00:01:00.0000000;Epsilon;635736384600000000;961
2010-11-15T00:02:00.0000000;Gamma;634,253,761,200,000,000.00000000;886
2017-05-30T00:01:00.0000000;Omicron;636316992600000000;744
2013-04-12T00:01:00.0000000;Psi;6.350132166E+17;839
2012-05-08T00:01:00.0000000;Chi;634720320600000000;269
2010-01-21T00:02:00.0000000;Iota;6.339962892E+17;888
2019-12-09T00:02:00.0000000;Delta;637,114,465,200,000,000.00000000;759
2011-11-20T00:03:00.0000000;Zeta;6.345734418E+17;597
2012-07-12T00:02:00.0000000;Zeta;6.347764812E+17;682
2014-05-03T00:02:00.0000000;Pi;635,346,721,200,000,000.00000000;417
2013-10-29T00:02:00.0000000;Kappa;6.351860172E+17;449
2017-05-05T00:01:00.0000000;Delta;6.362953926E+17;76
2017-03-01T00:03:00.0000000;Rho;636,239,233,800,000,000.00000000;299
2016-11-07T00:04:00.0000000;Xi;636140738400000000;690
2018-07-12T00:01:00.0000000;Epsilon;6.366695046E+17;354
2013-06-23T00:02:00.0000000;Upsilon;6.350754252E+17;117
2013-05-12T00:01:00.0000000;Tau;635039136600000000;270
2016-11-09T00:02:00.0000000;Lambda;636142465200000000;277
2016-09-12T00:02:00.0000000;Tau;6.360923532E+17;527
2019-04-23T00:03:00.0000000;Mu;6.36916E+017;492
2010-10-09T00:02:00.0000000;Delta;634,221,793,200,000,000.00000000;831
2019-05-10T00:02:00.0000000;Alpha;636930433200000000;472
2017-06-20T00:02:00.0000000;Beta;636335137200000000;935
2013-07-28T00:02:00.0000000;Omega;6.351056652E+17;586
2018-08-17T00:03:00.0000000;Delta;6.367006098E+17;830
2011-07-23T00:02:00.0000000;Alpha;634469761200000000;979
2016-02-05T00:02:00.0000000;Zeta;6.359022732E+17;804
2016-06-17T00:02:00.0000000;Sigma;636017185200000000;852
2016-07-13T00:03:00.0000000;Psi;6.36040E+017;829
2018-01-19T00:02:00.0000000;Gamma;636519169200000000;113
2017-02-24T00:02:00.0000000;Pi;6.362349132E+17;449
2015-06-25T00:02:00.0000000;Theta;635,707,873,200,000,000.00000000;19
2015-07-12T00:01:00.0000000;Iota;635722560600000000;526
2012-09-18T00:02:00.0000000;Nu;634835233200000000;548
2019-09-19T00:03:00.0000000;Xi;6.370444818E+17;231
2011-10-16T00:06:00.0000000;Chi;634543203600000000;829
2019-08-17T00:02:00.0000000;Psi;6.370159692E+17;321
2010-09-04T00:02:00.0000000;Psi;634191553200000000;406
2014-05-13T00:03:00.0000000;Gamma;6.353553618E+17;32
2015-01-03T00:03:00.0000000;Sigma;6.355584018E+17;826
2017-06-19T00:02:00.0000000;Eta;636,334,273,200,000,000.00000000;122
2018-08-10T00:03:00.0000000;Gamma;636694561800000000;313
2012-10-26T00:02:00.0000000;Pi;6.34868E+017;404
2015-10-07T00:02:00.0000000;Epsilon;635797729200000000;323
2013-06-02T00:02:00.0000000;Sigma;6.350572812E+17;54
2019-02-07T00:01:00.0000000;Xi;636,850,944,600,000,000.00000000;275
2011-07-16T00:02:00.0000000;Upsilon;6.344637132E+17;314
2019-08-07T00:03:00.0000000;Iota;637007329800000000;543
2014-01-02T00:02:00.0000000;Gamma;635242177200000000;747
2010-10-12T00:02:00.0000000;Phi;634224385200000000;450
2019-03-01T00:02:00.0000000;Pi;6.36870E+017;418
2012-08-08T00:01:00.0000000;Gamma;634,799,808,600,000,000.00000000;32
2013-12-12T00:03:00.0000000;Upsilon;635224033800000000;145
2014-07-26T00:03:00.0000000;Omega;6.354192978E+17;352
2014-08-21T00:03:00.0000000;Sigma;635,441,761,800,000,000.00000000;284
2019-05-13T00:03:00.0000000;Upsilon;6.36933E+017;959
2013-12-24T00:03:00.0000000;Tau;635234401800000000;778
2012-03-10T00:02:00.0000000;Gamma;6.346693452E+17;290
2017-12-31T00:02:00.0000000;Lambda;636502753200000000;67
2012-02-01T00:02:00.0000000;Zeta;6.346365132E+17;40
2017-09-17T00:02:00.0000000;Epsilon;636,412,033,200,000,000.00000000;293
2010-09-07T00:01:00.0000000;Chi;634194144600000000;818
2011-08-16T00:02:00.0000000;Phi;634490497200000000;146
2014-12-13T00:01:00.0000000;Xi;6.35540E+017;731
2010-03-31T00:02:00.0000000;Kappa;6.340559052E+17;569
2017-05-01T00:02:00.0000000;Eta;6.36292E+017;944
2017-02-05T00:03:00.0000000;Delta;6.362184978E+17;649
2012-12-05T00:02:00.0000000;Sigma;6.349026252E+17;877
2016-05-10T00:02:00.0000000;Zeta;6.359843532E+17;785
2019-06-29T00:03:00.0000000;Omega;636,973,633,800,000,000.00000000;481
2017-04-28T00:03:00.0000000;Omicron;636289345800000000;395
2015-07-27T00:02:00.0000000;Alpha;635735521200000000;758
2014-01-14T00:02:00.0000000;Omicron;635252545200000000;677
2019-05-03T00:01:00.0000000;Zeta;6.369243846E+17;359
2017-02-23T00:02:00.0000000;Eta;6.362340492E+17;832
2011-09-22T00:03:00.0000000;Sigma;6.34522E+017;334
2013-04-07T00:03:00.0000000;Xi;6.35009E+017;102
2017-06-06T00:03:00.0000000;Gamma;6.36323E+017;877
2015-06-15T00:03:00.0000000;Gamma;6.356992338E+17;158
2012-02-02T00:02:00.0000000;Mu;6.346373772E+17;569
2011-09-30T00:05:00.0000000;Mu;634529379000000000;515
2013-06-03T00:02:00.0000000;Delta;6.350581452E+17;90
2017-10-02T00:03:00.0000000;Eta;636424993800000000;163
2012-10-17T00:03:00.0000000;Psi;634860289800000000;850
2014-11-13T00:03:00.0000000;Beta;6.355143378E+17;795
2011-03-04T00:02:00.0000000;Epsilon;634347937200000000;51
2019-10-05T00:01:00.0000000;Nu;6.37058E+017;139
2015-02-13T00:02:00.0000000;Kappa;6.355938252E+17;524
2010-01-03T00:03:00.0000000;Pi;6.339807378E+17;544
2014-05-07T00:04:00.0000000;Kappa;635350178400000000;737
