TM;Category;unknown;Quantity
2013-07-26T00:01:00.0000000;Beta;6.35104E+017;93
2012-12-02T00:01:00.0000000;Alpha;6.34900E+017;43
2016-06-10T00:01:00.0000000;Zeta;6.36011E+017;152
2019-05-24T00:01:00.0000000;Beta;636942528600000000;20
2017-01-01T00:01:00.0000000;Iota;6.361882566E+17;767
2017-09-13T00:01:00.0000000;Nu;636408576600000000;173
2012-06-20T00:01:00.0000000;Kappa;634757472600000000;303
2018-02-25T00:01:00.0000000;Nu;636551136600000000;623
2019-10-07T00:01:00.0000000;Epsilon;6.37060E+017;166
2010-07-09T00:01:00.0000000;Lambda;634142304600000000;934
2019-06-05T00:01:00.0000000;Lambda;6.369528966E+17;47
2018-01-27T00:01:00.0000000;Iota;6.36526E+017;257
2019-12-22T00:01:00.0000000;Chi;6.371256966E+17;910
2014-05-01T00:01:00.0000000;Delta;635344992600000000;355
2011-03-10T00:01:00.0000000;Gamma;6.34353E+017;812
2016-02-15T00:01:00.0000000;Upsilon;635,910,912,600,000,000.00000000;198
2019-01-06T00:01:00.0000000;Delta;6.36823E+017;605
2011-02-20T00:01:00.0000000;Tau;6.34338E+017;402
2013-07-05T00:02:00.0000000;Iota;6.35086E+017;193
2018-08-11T00:01:00.0000000;Theta;636695424600000000;265
2011-09-26T00:02:00.0000000;Gamma;6.345259212E+17;753
2010-08-08T00:01:00.0000000;Iota;6.341682246E+17;940
2018-11-09T00:01:00.0000000;Omicron;636,773,184,600,000,000.00000000;729
2018-04-22T00:01:00.0000000;Rho;636,599,520,600,000,000.00000000;515
2010-12-25T00:01:00.0000000;Epsilon;634288320600000000;117
2015-12-05T00:01:00.0000000;Gamma;635,848,704,600,000,000.00000000;78
2015-05-26T00:01:00.0000000;Nu;6.35682E+017;474
2016-04-11T00:01:00.0000000;Xi;635,959,296,600,000,000.00000000;751
2017-12-13T00:02:00.0000000;Mu;636487201200000000;139
2017-10-03T00:02:00.0000000;Zeta;636425857200000000;84
2013-08-19T00:02:00.0000000;Zeta;6.351246732E+17;751
2012-11-24T00:01:00.0000000;Rho;634893120600000000;127
2014-08-04T00:02:00.0000000;Chi;635,427,073,200,000,000.00000000;418
2013-07-19T00:01:00.0000000;Pi;635,097,888,600,000,000.00000000;284
2013-12-29T00:01:00.0000000;Psi;635,238,720,600,000,000.00000000;11
2018-05-25T00:01:00.0000000;Delta;636628032600000000;945
2017-12-13T00:01:00.0000000;Lambda;636487200600000000;529
2017-08-06T00:02:00.0000000;Pi;6.363757452E+17;195
2015-12-12T00:01:00.0000000;Kappa;6.35855E+017;688
2013-09-16T00:02:00.0000000;Alpha;6.35149E+017;306
