TM;Category;unknown;Quantity
2013-09-21T00:01:00.0000000;Eta;6.351531846E+17;629
2014-08-17T00:01:00.0000000;Nu;6.354383046E+17;521
2018-06-13T00:01:00.0000000;Xi;636644448600000000;539
2019-12-22T00:01:00.0000000;Beta;6.371256966E+17;156
2016-11-29T00:01:00.0000000;Sigma;636159744600000000;115
2015-05-04T00:01:00.0000000;Tau;635662944600000000;742
2011-08-16T00:01:00.0000000;Alpha;634490496600000000;910
2010-04-02T00:01:00.0000000;Psi;6.340576326E+17;494
2016-09-24T00:01:00.0000000;Iota;636102720600000000;328
2018-02-11T00:01:00.0000000;Kappa;636539040600000000;143
2017-08-06T00:01:00.0000000;Lambda;6.363757446E+17;675
2014-10-01T00:01:00.0000000;Alpha;635477184600000000;754
2014-01-31T00:01:00.0000000;Chi;635267232600000000;597
2012-09-18T00:02:00.0000000;Omicron;634835233200000000;803
2015-05-03T00:01:00.0000000;Zeta;635,662,080,600,000,000.00000000;393
2012-01-25T00:01:00.0000000;Zeta;634630464600000000;421
2012-07-28T00:01:00.0000000;Zeta;6.34790E+017;161
2014-07-12T00:01:00.0000000;Phi;6.354072006E+17;978
2013-05-19T00:01:00.0000000;Upsilon;6.350451846E+17;200
2013-08-31T00:01:00.0000000;Omega;6.35135E+017;603
2012-03-25T00:01:00.0000000;Epsilon;6.34682E+017;430
2012-11-24T00:01:00.0000000;Alpha;634893120600000000;685
2010-08-27T00:02:00.0000000;Sigma;6.341846412E+17;135
2014-12-10T00:01:00.0000000;Rho;635537664600000000;104
2015-11-07T00:01:00.0000000;Tau;6.358245126E+17;697
2014-07-25T00:02:00.0000000;Zeta;6.354184332E+17;699
2010-05-27T00:01:00.0000000;Lambda;6.341051526E+17;83
2015-11-18T00:01:00.0000000;Sigma;635,834,016,600,000,000.00000000;64
2016-05-15T00:01:00.0000000;Kappa;635988672600000000;97
2019-10-23T00:02:00.0000000;Zeta;6.37074E+017;210
2014-11-18T00:01:00.0000000;Kappa;635518656600000000;586
2019-01-15T00:01:00.0000000;Theta;636831072600000000;364
2018-07-06T00:01:00.0000000;Eta;636664320600000000;451
2013-10-19T00:01:00.0000000;Lambda;635,177,376,600,000,000.00000000;491
2016-09-18T00:01:00.0000000;Omicron;636097536600000000;106
2011-11-14T00:01:00.0000000;Pi;634568256600000000;512
2011-11-18T00:02:00.0000000;Xi;6.34572E+017;297
2010-12-19T00:02:00.0000000;Kappa;634,283,137,200,000,000.00000000;719
2016-07-23T00:01:00.0000000;Rho;6.360482886E+17;522
2010-07-28T00:02:00.0000000;Tau;634,158,721,200,000,000.00000000;488
2018-01-24T00:02:00.0000000;Tau;636523489200000000;253
2017-02-24T00:01:00.0000000;Iota;6.362349126E+17;15
2018-10-17T00:01:00.0000000;Nu;636753312600000000;761
2018-07-14T00:01:00.0000000;Epsilon;6.366712326E+17;806
2016-05-15T00:01:00.0000000;Sigma;635988672600000000;849
2013-09-24T00:01:00.0000000;Gamma;6.351557766E+17;227
2015-02-19T00:02:00.0000000;Rho;635,599,009,200,000,000.00000000;941
2013-07-13T00:01:00.0000000;Zeta;6.350927046E+17;66
2014-12-16T00:02:00.0000000;Kappa;6.355428492E+17;944
2013-11-07T00:01:00.0000000;Omicron;635193792600000000;13
2018-09-21T00:03:00.0000000;Omicron;6.367308498E+17;39
2017-11-10T00:02:00.0000000;Sigma;636,458,689,200,000,000.00000000;521
2018-04-06T00:01:00.0000000;Gamma;636,585,696,600,000,000.00000000;696
2014-11-23T00:01:00.0000000;Xi;635522976600000000;771
2011-02-11T00:01:00.0000000;Delta;634329792600000000;202
2012-11-08T00:01:00.0000000;Theta;634,879,296,600,000,000.00000000;787
2017-01-01T00:02:00.0000000;Iota;6.361882572E+17;499
2013-07-21T00:02:00.0000000;Chi;635099617200000000;516
2015-05-11T00:01:00.0000000;Omicron;6.356689926E+17;883
2010-11-14T00:01:00.0000000;Omicron;634,252,896,600,000,000.00000000;305
2015-01-04T00:02:00.0000000;Omicron;6.355592652E+17;987
2010-12-29T00:02:00.0000000;Theta;6.342917772E+17;130
2013-12-04T00:03:00.0000000;Nu;6.352171218E+17;477
2014-11-04T00:01:00.0000000;Alpha;635506560600000000;417
2018-06-08T00:01:00.0000000;Tau;6.366401286E+17;308
2018-07-14T00:02:00.0000000;Omicron;6.366712332E+17;294
2012-12-04T00:02:00.0000000;Tau;6.349017612E+17;509
2016-11-04T00:02:00.0000000;Zeta;6.361381452E+17;491
2014-01-24T00:01:00.0000000;Beta;6.35261E+017;52
2019-11-16T00:02:00.0000000;Upsilon;6.370945932E+17;217
2014-04-08T00:02:00.0000000;Xi;6.353251212E+17;574
2011-04-18T00:01:00.0000000;Gamma;6.343868166E+17;749
2015-05-02T00:01:00.0000000;Lambda;635,661,216,600,000,000.00000000;254
2017-05-09T00:02:00.0000000;Eta;636298849200000000;907
2011-10-27T00:02:00.0000000;Chi;634552705200000000;200
2015-09-30T00:02:00.0000000;Epsilon;6.35792E+017;973
2014-11-14T00:02:00.0000000;Eta;6.355152012E+17;570
2012-03-14T00:03:00.0000000;Theta;634672801800000000;663
2017-12-21T00:01:00.0000000;Gamma;636494112600000000;592
2016-10-19T00:02:00.0000000;Beta;6.361243212E+17;402
2012-09-26T00:02:00.0000000;Chi;6.348421452E+17;612
2015-09-06T00:02:00.0000000;Tau;635,770,945,200,000,000.00000000;889
2015-03-16T00:02:00.0000000;Alpha;6.356206092E+17;288
2015-03-06T00:01:00.0000000;Upsilon;635611968600000000;972
2012-02-08T00:02:00.0000000;Omicron;634,642,561,200,000,000.00000000;94
2014-02-27T00:01:00.0000000;Rho;6.35291E+017;353
2011-03-14T00:02:00.0000000;Iota;6.343565772E+17;537
2016-11-20T00:01:00.0000000;Psi;6.36152E+017;105
2014-08-27T00:03:00.0000000;Eta;6.35447E+017;143
2014-10-06T00:02:00.0000000;Gamma;6.354815052E+17;170
2010-08-22T00:02:00.0000000;Lambda;6.34180E+017;661
2014-07-07T00:02:00.0000000;Iota;6.354028812E+17;479
2011-05-17T00:01:00.0000000;Omicron;634411872600000000;259
2014-11-05T00:02:00.0000000;Iota;635507425200000000;885
2016-12-26T00:02:00.0000000;Chi;6.36183E+017;689
2017-03-08T00:02:00.0000000;Pi;6.36245E+017;713
2019-04-23T00:01:00.0000000;Mu;636915744600000000;150
2012-11-24T00:02:00.0000000;Zeta;634,893,121,200,000,000.00000000;545
2016-08-18T00:01:00.0000000;Mu;636070752600000000;834
2012-09-19T00:02:00.0000000;Kappa;6.34836E+017;373
2019-02-25T00:01:00.0000000;Gamma;636,866,496,600,000,000.00000000;170
2015-05-28T00:01:00.0000000;Tau;6.356836806E+17;533
2011-07-05T00:02:00.0000000;Zeta;634454209200000000;627
2014-11-08T00:01:00.0000000;Gamma;6.35510E+017;220
2019-05-20T00:02:00.0000000;Epsilon;6.369390732E+17;674
2012-09-14T00:02:00.0000000;Chi;634,831,777,200,000,000.00000000;198
2013-03-01T00:02:00.0000000;Gamma;6.34977E+017;660
2011-08-05T00:02:00.0000000;Xi;6.344809932E+17;108
2019-05-06T00:01:00.0000000;Rho;636926976600000000;897
2018-05-12T00:01:00.0000000;Iota;636,616,800,600,000,000.00000000;760
2011-11-17T00:02:00.0000000;Tau;6.34571E+017;979
2017-01-21T00:01:00.0000000;Delta;636205536600000000;889
2017-12-11T00:03:00.0000000;Nu;636485473800000000;530
2013-06-05T00:04:00.0000000;Pi;6.350598744E+17;431
2017-02-19T00:02:00.0000000;Xi;6.362305932E+17;202
2012-03-29T00:01:00.0000000;Eta;6.346857606E+17;121
2016-05-28T00:02:00.0000000;Sigma;6.359999052E+17;36
2018-10-13T00:04:00.0000000;Tau;6.367498584E+17;102
2016-12-26T00:02:00.0000000;Phi;6.36183E+017;12
2013-04-13T00:06:00.0000000;Theta;635014083600000000;620
2016-06-02T00:01:00.0000000;Iota;636004224600000000;441
2011-10-26T00:02:00.0000000;Epsilon;634551841200000000;238
2010-06-14T00:03:00.0000000;Xi;6.341207058E+17;894
2015-06-07T00:02:00.0000000;Epsilon;635,692,321,200,000,000.00000000;410
2012-07-18T00:02:00.0000000;Phi;634781665200000000;15
2018-02-13T00:01:00.0000000;Theta;636540768600000000;95
2010-12-23T00:02:00.0000000;Omega;634286593200000000;65
2015-03-05T00:02:00.0000000;Omega;635611105200000000;769
2012-04-26T00:02:00.0000000;Sigma;634709953200000000;961
2011-12-30T00:02:00.0000000;Rho;6.346080012E+17;10
2011-08-30T00:02:00.0000000;Eta;634,502,593,200,000,000.00000000;282
2011-03-30T00:03:00.0000000;Pi;6.343704018E+17;971
2010-04-07T00:03:00.0000000;Gamma;634061953800000000;786
2013-11-15T00:01:00.0000000;Lambda;6.352007046E+17;952
2018-12-03T00:04:00.0000000;Phi;6.367939224E+17;376
2014-09-30T00:03:00.0000000;Lambda;6.35476E+017;444
2018-12-13T00:03:00.0000000;Tau;636,802,561,800,000,000.00000000;783
2019-03-15T00:02:00.0000000;Delta;636,882,049,200,000,000.00000000;531
2012-12-09T00:01:00.0000000;Chi;6.349060806E+17;447
2013-04-23T00:02:00.0000000;Rho;635022721200000000;10
2011-12-29T00:01:00.0000000;Iota;6.346071366E+17;192
