TM;Category;unknown;Quantity
2013-01-01T00:01:00.0000000;Psi;634,925,952,600,000,000.00000000;719
2013-09-30T00:01:00.0000000;Tau;635,160,960,600,000,000.00000000;809
2014-06-28T00:01:00.0000000;Mu;635,395,104,600,000,000.00000000;456
2019-06-11T00:01:00.0000000;Lambda;636958080600000000;800
2016-04-20T00:01:00.0000000;Kappa;6.359670726E+17;154
2019-04-13T00:01:00.0000000;Pi;6.369071046E+17;304
2018-12-11T00:01:00.0000000;Delta;636800832600000000;288
2012-12-11T00:01:00.0000000;Kappa;634907808600000000;741
2011-08-05T00:01:00.0000000;Psi;6.344809926E+17;144
2018-12-17T00:01:00.0000000;Gamma;636806016600000000;976
2010-11-04T00:01:00.0000000;Omega;6.34244E+017;964
2011-01-15T00:01:00.0000000;Nu;6.34306E+017;609
2013-07-11T00:01:00.0000000;Delta;6.350909766E+17;124
2017-03-31T00:01:00.0000000;Sigma;6.362651526E+17;125
2012-01-18T00:01:00.0000000;Upsilon;6.346244166E+17;930
2016-07-03T00:01:00.0000000;Delta;6.360310086E+17;668
2010-01-21T00:02:00.0000000;Alpha;6.339962892E+17;260
2018-10-15T00:01:00.0000000;Phi;6.367515846E+17;24
2010-08-05T00:01:00.0000000;Xi;6.34166E+017;318
2016-08-10T00:01:00.0000000;Phi;6.360638406E+17;831
2016-06-18T00:01:00.0000000;Upsilon;636018048600000000;53
2011-12-29T00:01:00.0000000;Nu;6.346071366E+17;91
2016-07-14T00:01:00.0000000;Eta;636040512600000000;950
2015-02-02T00:01:00.0000000;Kappa;635,584,320,600,000,000.00000000;790
2017-12-25T00:01:00.0000000;Xi;6.364975686E+17;62
2013-09-08T00:01:00.0000000;Lambda;635141952600000000;880
2010-04-21T00:01:00.0000000;Xi;6.340740486E+17;784
2013-12-16T00:02:00.0000000;Psi;6.35227E+017;5
2014-01-27T00:01:00.0000000;Chi;6.352637766E+17;577
2013-11-13T00:01:00.0000000;Nu;6.351989766E+17;938
2016-12-10T00:01:00.0000000;Kappa;6.361692486E+17;356
2010-10-04T00:01:00.0000000;Upsilon;6.342174726E+17;171
2015-02-11T00:01:00.0000000;Chi;6.355920966E+17;319
