TM;Category;unknown;Quantity
2014-10-30T00:01:00.0000000;Kappa;635502240600000000;952
2017-02-18T00:01:00.0000000;Upsilon;6.36230E+017;555
2016-03-21T00:01:00.0000000;Mu;635941152600000000;920
2010-02-03T00:01:00.0000000;Kappa;6.34008E+017;709
2013-06-09T00:01:00.0000000;Pi;635063328600000000;278
2013-06-20T00:01:00.0000000;Omega;6.35073E+017;194
2019-01-14T00:01:00.0000000;Kappa;6.368302086E+17;840
2014-05-04T00:01:00.0000000;Xi;635,347,584,600,000,000.00000000;894
2016-10-08T00:01:00.0000000;Rho;636,114,816,600,000,000.00000000;882
2013-07-14T00:02:00.0000000;Tau;6.350935692E+17;453
2014-10-25T00:01:00.0000000;Omicron;6.354979206E+17;436
2016-06-27T00:01:00.0000000;Mu;6.36026E+017;409
2013-07-18T00:01:00.0000000;Lambda;635,097,024,600,000,000.00000000;154
2010-03-10T00:01:00.0000000;Kappa;634037760600000000;296
2016-04-13T00:01:00.0000000;Lambda;635961024600000000;894
2015-08-30T00:01:00.0000000;Nu;6.357648966E+17;817
2014-01-13T00:02:00.0000000;Phi;635251681200000000;248
2019-06-10T00:01:00.0000000;Pi;636957216600000000;164
2012-01-29T00:01:00.0000000;Lambda;6.34634E+017;281
2018-04-03T00:01:00.0000000;Gamma;636583104600000000;636
2014-02-12T00:02:00.0000000;Tau;6.352776012E+17;533
2019-01-23T00:01:00.0000000;Phi;636837984600000000;894
2019-05-01T00:02:00.0000000;Omega;6.369226572E+17;775
2018-07-29T00:01:00.0000000;Epsilon;6.36684E+017;44
2017-11-15T00:01:00.0000000;Gamma;636463008600000000;786
2015-07-31T00:01:00.0000000;Mu;635,738,976,600,000,000.00000000;580
2012-06-26T00:02:00.0000000;Omicron;6.347626572E+17;351
2011-06-27T00:01:00.0000000;Tau;6.34447E+017;942
2019-04-28T00:01:00.0000000;Beta;6.369200646E+17;745
2017-01-21T00:01:00.0000000;Kappa;636205536600000000;368
2013-03-15T00:01:00.0000000;Xi;634,989,024,600,000,000.00000000;993
2017-07-20T00:01:00.0000000;Tau;6.363610566E+17;155
2014-03-13T00:01:00.0000000;Nu;635,302,656,600,000,000.00000000;614
2016-06-05T00:02:00.0000000;Nu;636006817200000000;737
2013-08-20T00:01:00.0000000;Xi;6.351255366E+17;519
2015-04-20T00:02:00.0000000;Alpha;6.35651E+017;849
2012-06-26T00:01:00.0000000;Phi;6.347626566E+17;713
