TM;Category;unknown;Quantity
2012-03-14T00:02:00.0000000;Iota;634672801200000000;503
2011-10-13T00:01:00.0000000;Gamma;6.34541E+017;757
2017-07-04T00:01:00.0000000;Alpha;636347232600000000;309
2010-01-27T00:01:00.0000000;Theta;634001472600000000;365
2018-12-30T00:01:00.0000000;Phi;636817248600000000;126
2014-10-27T00:01:00.0000000;Lambda;6.354996486E+17;988
2014-02-05T00:01:00.0000000;Lambda;635,271,552,600,000,000.00000000;937
2017-11-26T00:01:00.0000000;Iota;636472512600000000;240
2017-01-11T00:01:00.0000000;Epsilon;636196896600000000;955
2015-05-10T00:01:00.0000000;Zeta;6.356681286E+17;443
2015-11-07T00:01:00.0000000;Omicron;6.358245126E+17;144
2017-08-14T00:01:00.0000000;Phi;636382656600000000;374
2016-02-21T00:01:00.0000000;Eta;6.35916E+017;670
2011-07-13T00:01:00.0000000;Phi;6.34461E+017;37
2010-09-23T00:01:00.0000000;Chi;634207968600000000;330
2015-10-27T00:01:00.0000000;Lambda;635815008600000000;725
2012-06-25T00:01:00.0000000;Omega;6.347617926E+17;619
2010-09-03T00:01:00.0000000;Gamma;634,190,688,600,000,000.00000000;425
2010-09-16T00:01:00.0000000;Psi;6.342019206E+17;80
2015-05-13T00:01:00.0000000;Gamma;6.356707206E+17;82
2018-01-22T00:01:00.0000000;Iota;636,521,760,600,000,000.00000000;185
2011-01-01T00:01:00.0000000;Eta;6.342943686E+17;138
2016-03-28T00:01:00.0000000;Psi;6.35947E+017;520
2018-02-27T00:01:00.0000000;Omicron;636,552,864,600,000,000.00000000;959
2017-03-17T00:01:00.0000000;Pi;636253056600000000;520
2016-12-15T00:02:00.0000000;Psi;636173569200000000;542
2016-09-28T00:01:00.0000000;Omicron;6.361061766E+17;377
2014-10-06T00:02:00.0000000;Alpha;6.354815052E+17;242
2014-06-19T00:01:00.0000000;Zeta;6.353873286E+17;176
2014-09-11T00:01:00.0000000;Delta;635459904600000000;608
2013-08-19T00:02:00.0000000;Theta;6.351246732E+17;488
2011-08-26T00:01:00.0000000;Theta;6.344991366E+17;493
2018-08-01T00:02:00.0000000;Gamma;6.366867852E+17;2
2011-02-22T00:01:00.0000000;Beta;6.343392966E+17;538
2018-09-18T00:01:00.0000000;Iota;636728256600000000;940
2017-05-16T00:01:00.0000000;Chi;636304896600000000;103
2015-12-17T00:01:00.0000000;Xi;6.358590726E+17;431
2019-11-02T00:02:00.0000000;Sigma;637082497200000000;339
2011-02-09T00:01:00.0000000;Chi;634328064600000000;470
2012-10-13T00:01:00.0000000;Alpha;6.348568326E+17;457
2011-11-03T00:01:00.0000000;Lambda;6.345587526E+17;128
2018-11-18T00:02:00.0000000;Eta;6.367809612E+17;796
2012-10-19T00:02:00.0000000;Upsilon;634,862,017,200,000,000.00000000;294
2016-05-31T00:01:00.0000000;Xi;636002496600000000;604
2017-08-18T00:01:00.0000000;Iota;6.36386E+017;206
2013-10-20T00:02:00.0000000;Beta;635178241200000000;626
2019-12-16T00:02:00.0000000;Beta;6.37121E+017;785
2013-12-20T00:02:00.0000000;Upsilon;6.352309452E+17;795
2011-10-22T00:01:00.0000000;Delta;634548384600000000;666
2013-07-22T00:02:00.0000000;Rho;635100481200000000;181
2010-02-10T00:01:00.0000000;Nu;6.340135686E+17;231
2017-12-15T00:01:00.0000000;Phi;636488928600000000;256
2012-02-06T00:01:00.0000000;Mu;634640832600000000;272
2013-05-04T00:01:00.0000000;Delta;635032224600000000;171
2010-01-12T00:01:00.0000000;Gamma;633,988,512,600,000,000.00000000;414
2017-08-24T00:01:00.0000000;Phi;6.363912966E+17;885
2017-08-14T00:03:00.0000000;Epsilon;636382657800000000;671
2019-02-28T00:01:00.0000000;Gamma;636869088600000000;130
2018-04-08T00:01:00.0000000;Sigma;636587424600000000;982
2015-08-14T00:04:00.0000000;Epsilon;635751074400000000;813
2013-02-08T00:01:00.0000000;Chi;634958784600000000;284
2018-08-16T00:01:00.0000000;Phi;6.36700E+017;66
2011-09-18T00:02:00.0000000;Omega;634,519,009,200,000,000.00000000;451
2015-05-29T00:01:00.0000000;Alpha;6.356845446E+17;486
2011-03-08T00:01:00.0000000;Upsilon;6.34351E+017;33
2010-07-04T00:04:00.0000000;Phi;634137986400000000;675
2017-09-12T00:01:00.0000000;Psi;6.364077126E+17;207
2015-12-04T00:02:00.0000000;Upsilon;635,847,841,200,000,000.00000000;859
2015-08-08T00:02:00.0000000;Mu;6.357458892E+17;421
