TM;Category;unknown;Quantity
2017-07-30T00:01:00.0000000;Sigma;6.36370E+017;387
2011-11-05T00:01:00.0000000;Pi;6.345604806E+17;813
2014-01-23T00:01:00.0000000;Mu;6.35260E+017;902
2015-08-13T00:01:00.0000000;Rho;6.357502086E+17;760
2012-09-24T00:01:00.0000000;Rho;6.348404166E+17;642
2014-08-06T00:01:00.0000000;Upsilon;635428800600000000;635
2014-02-06T00:01:00.0000000;Beta;635272416600000000;814
2019-06-18T00:01:00.0000000;Omega;6.36964E+017;878
2013-02-25T00:01:00.0000000;Omicron;634,973,472,600,000,000.00000000;406
2012-10-16T00:01:00.0000000;Alpha;6.348594246E+17;204
2015-05-16T00:01:00.0000000;Tau;635673312600000000;576
2014-09-05T00:02:00.0000000;Tau;635454721200000000;891
2014-04-17T00:02:00.0000000;Theta;635,332,897,200,000,000.00000000;75
2015-07-11T00:01:00.0000000;Alpha;635721696600000000;305
2010-10-25T00:01:00.0000000;Phi;634235616600000000;707
2012-10-19T00:01:00.0000000;Upsilon;634862016600000000;471
2011-01-06T00:01:00.0000000;Epsilon;634298688600000000;212
2018-06-09T00:02:00.0000000;Alpha;6.366409932E+17;226
2014-07-25T00:01:00.0000000;Beta;6.354184326E+17;625
2013-03-24T00:01:00.0000000;Sigma;6.349968006E+17;242
2013-09-01T00:02:00.0000000;Chi;6.351359052E+17;719
2014-12-06T00:01:00.0000000;Zeta;635534208600000000;116
2012-05-16T00:01:00.0000000;Omicron;6.34727E+017;200
2018-12-04T00:01:00.0000000;Tau;6.367947846E+17;304
2015-02-28T00:02:00.0000000;Iota;6.356067852E+17;97
2010-01-26T00:01:00.0000000;Kappa;634000608600000000;536
2019-11-06T00:02:00.0000000;Iota;637085953200000000;473
2013-04-29T00:02:00.0000000;Kappa;6.350279052E+17;999
2017-10-25T00:02:00.0000000;Delta;636444865200000000;521
2017-04-09T00:01:00.0000000;Nu;636272928600000000;421
2017-11-14T00:01:00.0000000;Gamma;636462144600000000;947
2010-06-27T00:01:00.0000000;Omicron;634131936600000000;940
2013-12-22T00:02:00.0000000;Zeta;6.352326732E+17;423
2013-09-10T00:02:00.0000000;Sigma;635,143,681,200,000,000.00000000;344
2019-01-14T00:01:00.0000000;Omicron;6.368302086E+17;458
2015-09-11T00:01:00.0000000;Gamma;6.35775E+017;951
2016-08-09T00:01:00.0000000;Pi;6.360629766E+17;857
2012-11-22T00:02:00.0000000;Phi;634891393200000000;423
2014-08-04T00:01:00.0000000;Beta;635,427,072,600,000,000.00000000;900
2017-12-16T00:01:00.0000000;Tau;636,489,792,600,000,000.00000000;204
2018-02-01T00:02:00.0000000;Phi;6.365304012E+17;27
2010-05-04T00:02:00.0000000;Kappa;6.34085E+017;456
2018-12-26T00:01:00.0000000;Phi;6.368137926E+17;237
2019-04-10T00:01:00.0000000;Xi;6.369045126E+17;779
2015-08-31T00:02:00.0000000;Theta;6.357657612E+17;733
2018-08-21T00:01:00.0000000;Zeta;6.367040646E+17;454
2018-03-13T00:01:00.0000000;Iota;636564960600000000;225
2015-03-30T00:01:00.0000000;Upsilon;635632704600000000;210
2019-05-13T00:01:00.0000000;Zeta;6.36933E+017;830
2010-09-07T00:01:00.0000000;Nu;634194144600000000;921
2014-10-20T00:01:00.0000000;Iota;6.35494E+017;558
2018-10-09T00:01:00.0000000;Psi;6.36746E+017;556
2010-04-10T00:02:00.0000000;Nu;634,064,545,200,000,000.00000000;790
2011-05-03T00:01:00.0000000;Mu;6.34400E+017;145
2018-12-17T00:01:00.0000000;Psi;636806016600000000;966
2012-03-17T00:01:00.0000000;Sigma;634,675,392,600,000,000.00000000;332
2014-12-22T00:01:00.0000000;Eta;635548032600000000;771
2017-04-01T00:04:00.0000000;Upsilon;636266018400000000;337
2012-11-28T00:01:00.0000000;Epsilon;634896576600000000;260
2012-11-16T00:02:00.0000000;Rho;6.348862092E+17;523
2015-08-25T00:03:00.0000000;Tau;6.357605778E+17;109
2010-08-09T00:01:00.0000000;Alpha;6.341690886E+17;532
2015-08-31T00:02:00.0000000;Mu;6.357657612E+17;288
2010-07-28T00:02:00.0000000;Eta;634,158,721,200,000,000.00000000;84
