TM;Category;unknown;Quantity
2012-05-31T00:01:00.0000000;Kappa;634740192600000000;644
2017-04-10T00:01:00.0000000;Iota;636273792600000000;620
2015-10-28T00:01:00.0000000;Kappa;635815872600000000;801
2015-08-28T00:01:00.0000000;Gamma;6.357631686E+17;521
2015-08-12T00:02:00.0000000;Delta;6.357493452E+17;311
2012-07-18T00:01:00.0000000;Gamma;634781664600000000;526
2010-03-24T00:01:00.0000000;Nu;634,049,856,600,000,000.00000000;413
2013-10-09T00:01:00.0000000;Nu;6.351687366E+17;499
2011-08-01T00:01:00.0000000;Theta;6.34478E+017;827
2010-12-10T00:01:00.0000000;Delta;6.34275E+017;200
2015-04-25T00:01:00.0000000;Omicron;6.356551686E+17;390
2018-09-04T00:01:00.0000000;Nu;6.36716E+017;432
2010-05-19T00:01:00.0000000;Sigma;634,098,240,600,000,000.00000000;509
2014-08-07T00:01:00.0000000;Omega;635429664600000000;270
2019-12-30T00:01:00.0000000;Alpha;637,132,608,600,000,000.00000000;340
2012-04-10T00:01:00.0000000;Epsilon;6.34696E+017;652
2017-10-03T00:01:00.0000000;Sigma;636425856600000000;872
2018-04-02T00:01:00.0000000;Theta;636582240600000000;139
2010-02-21T00:02:00.0000000;Beta;6.34023E+017;223
2016-07-11T00:01:00.0000000;Theta;636,037,920,600,000,000.00000000;153
2018-06-28T00:01:00.0000000;Epsilon;6.366574086E+17;110
2010-06-25T00:02:00.0000000;Rho;634130209200000000;648
2011-02-05T00:01:00.0000000;Mu;6.343246086E+17;940
2018-09-26T00:01:00.0000000;Sigma;6.367351686E+17;826
2014-08-05T00:01:00.0000000;Phi;635,427,936,600,000,000.00000000;274
2013-11-27T00:01:00.0000000;Pi;635211072600000000;338
2015-11-11T00:01:00.0000000;Kappa;6.358279686E+17;50
2013-05-28T00:01:00.0000000;Lambda;635052960600000000;328
2011-07-05T00:01:00.0000000;Lambda;634454208600000000;441
2015-10-24T00:01:00.0000000;Psi;6.358124166E+17;749
2015-07-11T00:02:00.0000000;Kappa;635721697200000000;917
2014-09-08T00:01:00.0000000;Psi;635,457,312,600,000,000.00000000;832
2011-08-14T00:02:00.0000000;Rho;634488769200000000;712
2012-12-17T00:01:00.0000000;Lambda;634912992600000000;789
2014-12-19T00:02:00.0000000;Alpha;6.355454412E+17;7
2018-02-12T00:01:00.0000000;Beta;636539904600000000;730
2012-06-06T00:01:00.0000000;Theta;6.347453766E+17;53
2019-05-28T00:03:00.0000000;Omicron;636945985800000000;201
