TM;Category;unknown;Quantity
2010-01-18T00:01:00.0000000;Delta;6.33994E+017;296
2011-04-15T00:01:00.0000000;Iota;6.34384E+017;113
2016-05-29T00:01:00.0000000;Alpha;6.360007686E+17;163
2018-09-16T00:01:00.0000000;Epsilon;636,726,528,600,000,000.00000000;218
2012-11-11T00:01:00.0000000;Phi;634881888600000000;0
2016-09-29T00:02:00.0000000;Phi;6.361070412E+17;980
2019-04-12T00:01:00.0000000;Delta;6.369062406E+17;673
2018-12-15T00:02:00.0000000;Xi;636804289200000000;964
2015-10-25T00:01:00.0000000;Beta;6.358132806E+17;56
2011-09-04T00:01:00.0000000;Lambda;634506912600000000;87
2015-08-04T00:01:00.0000000;Upsilon;635742432600000000;862
2013-03-08T00:01:00.0000000;Gamma;6.349829766E+17;178
2015-08-22T00:01:00.0000000;Xi;635757984600000000;227
2019-07-03T00:01:00.0000000;Rho;636977088600000000;533
2011-12-30T00:01:00.0000000;Chi;6.346080006E+17;698
2017-07-22T00:01:00.0000000;Phi;636362784600000000;991
2013-09-13T00:01:00.0000000;Nu;635,146,272,600,000,000.00000000;978
2010-10-01T00:02:00.0000000;Pi;6.342148812E+17;508
2012-06-05T00:01:00.0000000;Alpha;6.34745E+017;938
2015-01-01T00:01:00.0000000;Phi;6.35557E+017;651
2016-02-06T00:01:00.0000000;Omega;6.359031366E+17;518
2014-04-10T00:01:00.0000000;Gamma;6.353268486E+17;810
2016-12-31T00:01:00.0000000;Psi;6.361873926E+17;43
2010-10-01T00:02:00.0000000;Eta;6.342148812E+17;51
2013-04-14T00:02:00.0000000;Gamma;6.350149452E+17;292
2017-01-25T00:02:00.0000000;Nu;636,208,993,200,000,000.00000000;868
2015-12-22T00:02:00.0000000;Delta;635,863,393,200,000,000.00000000;301
2016-08-14T00:01:00.0000000;Eta;636,067,296,600,000,000.00000000;541
2016-07-22T00:01:00.0000000;Chi;6.360474246E+17;293
2014-05-19T00:01:00.0000000;Omicron;635360544600000000;586
2010-08-08T00:02:00.0000000;Zeta;6.341682252E+17;240
2016-11-06T00:01:00.0000000;Sigma;6.361398726E+17;331
2017-10-27T00:02:00.0000000;Theta;636446593200000000;694
2013-03-02T00:01:00.0000000;Mu;6.34978E+017;156
2018-08-17T00:02:00.0000000;Lambda;6.367006092E+17;121
2019-05-08T00:01:00.0000000;Phi;636,928,704,600,000,000.00000000;852
2014-04-03T00:01:00.0000000;Delta;635320800600000000;318
2016-05-12T00:01:00.0000000;Rho;635986080600000000;654
2017-05-24T00:01:00.0000000;Chi;6.363118086E+17;51
2013-10-16T00:01:00.0000000;Alpha;635174784600000000;725
2010-12-31T00:02:00.0000000;Nu;6.342935052E+17;762
2010-08-30T00:01:00.0000000;Upsilon;634187232600000000;731
2010-11-11T00:02:00.0000000;Phi;634250305200000000;359
2011-10-01T00:02:00.0000000;Psi;6.345302412E+17;967
2013-04-26T00:02:00.0000000;Beta;6.35025E+017;997
2010-02-28T00:02:00.0000000;Lambda;6.340291212E+17;763
2010-08-04T00:02:00.0000000;Lambda;6.34165E+017;823
2014-06-23T00:02:00.0000000;Psi;6.353907852E+17;354
2016-10-03T00:01:00.0000000;Sigma;6.361104966E+17;564
2019-10-07T00:02:00.0000000;Iota;6.370600332E+17;528
2013-08-21T00:01:00.0000000;Mu;635126400600000000;372
2018-05-10T00:01:00.0000000;Delta;636,615,072,600,000,000.00000000;197
2011-03-19T00:01:00.0000000;Iota;634360896600000000;187
2016-02-10T00:02:00.0000000;Mu;6.359065932E+17;717
2018-11-30T00:02:00.0000000;Phi;6.36791E+017;214
2014-06-14T00:01:00.0000000;Tau;635383008600000000;161
2013-02-26T00:01:00.0000000;Delta;634,974,336,600,000,000.00000000;53
2018-09-16T00:02:00.0000000;Phi;636726529200000000;374
2010-01-07T00:03:00.0000000;Lambda;633984193800000000;988
2011-03-31T00:02:00.0000000;Delta;6.343712652E+17;505
2017-08-23T00:01:00.0000000;Beta;6.363904326E+17;352
2012-08-06T00:01:00.0000000;Theta;634798080600000000;834
2018-01-24T00:03:00.0000000;Theta;636523489800000000;248
2014-07-17T00:02:00.0000000;Phi;635,411,521,200,000,000.00000000;942
2017-01-19T00:02:00.0000000;Sigma;6.362038092E+17;354
2012-06-06T00:02:00.0000000;Theta;6.347453772E+17;685
2010-03-02T00:02:00.0000000;Pi;634030849200000000;54
2012-05-12T00:02:00.0000000;Eta;634723777200000000;475
2019-08-26T00:02:00.0000000;Theta;637023745200000000;261
2018-10-09T00:02:00.0000000;Theta;6.36746E+017;860
2012-02-29T00:01:00.0000000;Chi;634,660,704,600,000,000.00000000;362
2014-03-30T00:02:00.0000000;Zeta;635,317,345,200,000,000.00000000;243
2010-12-23T00:04:00.0000000;Gamma;6.34287E+017;163
2017-08-11T00:01:00.0000000;Sigma;636,380,064,600,000,000.00000000;712
2015-02-02T00:01:00.0000000;Lambda;635,584,320,600,000,000.00000000;368
2019-07-11T00:01:00.0000000;Nu;6.369840006E+17;122
2014-01-12T00:01:00.0000000;Omega;635250816600000000;428
2013-12-29T00:02:00.0000000;Upsilon;635,238,721,200,000,000.00000000;985
2015-10-27T00:02:00.0000000;Pi;635815009200000000;692
2014-05-25T00:02:00.0000000;Gamma;635365729200000000;886
2013-08-07T00:02:00.0000000;Tau;635,114,305,200,000,000.00000000;127
2015-04-28T00:02:00.0000000;Pi;635657761200000000;70
2015-10-15T00:01:00.0000000;Lambda;635804640600000000;970
2014-11-14T00:01:00.0000000;Epsilon;6.355152006E+17;274
2017-08-23T00:02:00.0000000;Psi;6.363904332E+17;142
2013-02-03T00:03:00.0000000;Zeta;634954465800000000;773
2017-06-04T00:02:00.0000000;Mu;636321313200000000;845
2012-04-20T00:01:00.0000000;Chi;634704768600000000;720
2018-01-10T00:01:00.0000000;Kappa;6.36511E+017;395
2017-02-07T00:02:00.0000000;Rho;636220225200000000;223
2019-02-17T00:02:00.0000000;Chi;6.368595852E+17;130
2014-12-10T00:02:00.0000000;Chi;635537665200000000;722
2014-02-27T00:03:00.0000000;Pi;6.35291E+017;827
2011-08-17T00:02:00.0000000;Lambda;6.34491E+017;694
2019-07-14T00:02:00.0000000;Psi;6.369865932E+17;233
2011-08-20T00:02:00.0000000;Omega;6.344939532E+17;653
2017-10-26T00:01:00.0000000;Eta;636445728600000000;353
2016-05-26T00:01:00.0000000;Beta;6.359981766E+17;89
2015-11-21T00:02:00.0000000;Beta;635836609200000000;363
2014-09-06T00:01:00.0000000;Upsilon;635455584600000000;17
2011-12-07T00:02:00.0000000;Zeta;6.345881292E+17;737
2019-06-25T00:02:00.0000000;Eta;6.369701772E+17;813
2015-05-30T00:02:00.0000000;Psi;6.356854092E+17;318
2017-09-10T00:02:00.0000000;Psi;6.364059852E+17;146
2017-11-19T00:01:00.0000000;Upsilon;6.364664646E+17;251
2016-07-29T00:02:00.0000000;Epsilon;636053473200000000;875
2011-05-23T00:01:00.0000000;Eta;6.344170566E+17;415
2010-06-19T00:02:00.0000000;Mu;634125025200000000;73
2015-01-16T00:02:00.0000000;Upsilon;635569633200000000;210
2013-01-31T00:02:00.0000000;Sigma;6.349518732E+17;492
2019-09-07T00:02:00.0000000;Xi;637034113200000000;616
2015-04-13T00:02:00.0000000;Mu;635,644,801,200,000,000.00000000;392
2010-10-13T00:02:00.0000000;Psi;634225249200000000;705
2011-12-29T00:03:00.0000000;Rho;6.346071378E+17;359
2012-11-14T00:02:00.0000000;Psi;6.34884E+017;107
2018-08-19T00:02:00.0000000;Zeta;6.367023372E+17;317
2016-09-08T00:01:00.0000000;Sigma;6.36089E+017;696
2013-10-22T00:02:00.0000000;Gamma;6.35180E+017;298
2014-06-01T00:01:00.0000000;Mu;6.353717766E+17;642
2019-02-02T00:02:00.0000000;Omega;636846625200000000;274
2019-10-03T00:01:00.0000000;Upsilon;637056576600000000;685
2015-01-09T00:03:00.0000000;Beta;635563585800000000;711
2011-05-26T00:04:00.0000000;Tau;634419650400000000;412
2016-06-04T00:01:00.0000000;Xi;636,005,952,600,000,000.00000000;617
2011-08-25T00:01:00.0000000;Omicron;6.344982726E+17;78
2013-07-14T00:03:00.0000000;Psi;635093569800000000;779
2014-03-16T00:01:00.0000000;Xi;635305248600000000;229
2013-05-15T00:02:00.0000000;Theta;6.350417292E+17;248
2011-04-27T00:03:00.0000000;Tau;634394593800000000;33
