TM;Category;unknown;Quantity
2018-02-13T00:01:00.0000000;Kappa;636540768600000000;252
2018-12-19T00:01:00.0000000;Delta;6.36808E+017;95
2013-02-14T00:01:00.0000000;Alpha;6.349639686E+17;594
2016-12-26T00:01:00.0000000;Zeta;6.36183E+017;815
2010-07-21T00:01:00.0000000;Phi;6.341526726E+17;845
2010-01-29T00:01:00.0000000;Lambda;634,003,200,600,000,000.00000000;21
2013-12-09T00:01:00.0000000;Chi;635221440600000000;312
2014-07-19T00:01:00.0000000;Rho;635413248600000000;865
2016-01-23T00:01:00.0000000;Alpha;6.358910406E+17;784
2011-09-29T00:01:00.0000000;Xi;6.345285126E+17;46
2019-03-10T00:01:00.0000000;Phi;6.368777286E+17;808
2012-11-24T00:01:00.0000000;Gamma;634893120600000000;76
2019-04-10T00:01:00.0000000;Delta;6.369045126E+17;776
2014-12-28T00:01:00.0000000;Iota;635,553,216,600,000,000.00000000;748
2017-05-18T00:01:00.0000000;Epsilon;636306624600000000;467
2017-06-21T00:01:00.0000000;Delta;636336000600000000;76
2010-12-18T00:01:00.0000000;Theta;634282272600000000;243
2017-05-22T00:02:00.0000000;Chi;6.363100812E+17;224
2017-07-23T00:01:00.0000000;Upsilon;636363648600000000;513
2015-09-30T00:02:00.0000000;Theta;6.35792E+017;560
2017-08-23T00:01:00.0000000;Sigma;6.363904326E+17;185
2011-09-08T00:01:00.0000000;Upsilon;6.345103686E+17;475
2015-02-17T00:01:00.0000000;Tau;635597280600000000;18
2010-10-07T00:01:00.0000000;Lambda;634220064600000000;986
2018-05-02T00:02:00.0000000;Xi;6.366081612E+17;508
2018-09-10T00:02:00.0000000;Psi;636721345200000000;75
2012-10-18T00:01:00.0000000;Epsilon;634861152600000000;278
2013-02-06T00:02:00.0000000;Kappa;634,957,057,200,000,000.00000000;762
2011-11-17T00:02:00.0000000;Sigma;6.34571E+017;995
2018-03-16T00:01:00.0000000;Theta;636,567,552,600,000,000.00000000;86
2019-07-13T00:01:00.0000000;Pi;6.369857286E+17;585
2015-08-10T00:01:00.0000000;Nu;6.357476166E+17;66
2010-05-20T00:01:00.0000000;Rho;634099104600000000;374
2013-06-08T00:01:00.0000000;Eta;6.350624646E+17;373
2018-08-23T00:02:00.0000000;Delta;636705793200000000;199
2019-12-15T00:01:00.0000000;Omicron;637119648600000000;77
2011-07-21T00:01:00.0000000;Chi;6.344680326E+17;248
2010-02-25T00:03:00.0000000;Epsilon;6.340265298E+17;278
2013-06-26T00:01:00.0000000;Pi;6.350780166E+17;307
2018-02-18T00:01:00.0000000;Kappa;6.365450886E+17;403
2018-07-23T00:02:00.0000000;Epsilon;636679009200000000;460
2014-12-23T00:02:00.0000000;Pi;635548897200000000;284
2013-04-01T00:01:00.0000000;Chi;635,003,712,600,000,000.00000000;510
2015-12-05T00:01:00.0000000;Omicron;635,848,704,600,000,000.00000000;105
2010-04-04T00:01:00.0000000;Pi;6.340593606E+17;850
2014-05-27T00:01:00.0000000;Psi;635367456600000000;526
2013-08-30T00:03:00.0000000;Delta;6.35134E+017;382
2019-10-26T00:01:00.0000000;Iota;6.370764486E+17;685
2014-02-27T00:01:00.0000000;Mu;6.35291E+017;963
2010-07-12T00:01:00.0000000;Xi;634,144,896,600,000,000.00000000;753
2018-10-19T00:01:00.0000000;Kappa;636755040600000000;91
2018-04-26T00:02:00.0000000;Psi;636602977200000000;136
2019-05-31T00:02:00.0000000;Phi;6.36949E+017;682
2017-06-12T00:03:00.0000000;Tau;6.363282258E+17;524
2015-09-21T00:01:00.0000000;Rho;635783904600000000;917
2010-11-21T00:02:00.0000000;Sigma;6.34259E+017;0
2013-06-27T00:01:00.0000000;Upsilon;635078880600000000;925
2019-01-22T00:02:00.0000000;Eta;636837121200000000;547
2012-06-19T00:01:00.0000000;Lambda;634756608600000000;79
2010-02-18T00:01:00.0000000;Rho;634020480600000000;331
2017-03-24T00:02:00.0000000;Mu;636259105200000000;519
2018-02-22T00:02:00.0000000;Xi;6.365485452E+17;632
2016-09-03T00:01:00.0000000;Phi;636,084,576,600,000,000.00000000;508
2016-10-19T00:01:00.0000000;Zeta;6.361243206E+17;228
2014-02-07T00:01:00.0000000;Theta;635273280600000000;175
