TM;Category;unknown;Quantity
2015-09-20T00:01:00.0000000;Iota;635783040600000000;742
2016-11-04T00:01:00.0000000;Pi;6.361381446E+17;801
2012-09-27T00:01:00.0000000;Mu;6.348430086E+17;151
2010-09-28T00:01:00.0000000;Alpha;6.34212E+017;850
2013-12-24T00:01:00.0000000;Delta;6.352344006E+17;39
2012-11-07T00:01:00.0000000;Psi;634,878,432,600,000,000.00000000;784
2011-03-29T00:01:00.0000000;Gamma;6.343695366E+17;626
2013-11-10T00:01:00.0000000;Omega;6.35196E+017;397
2016-07-14T00:01:00.0000000;Beta;636040512600000000;28
2018-11-13T00:01:00.0000000;Gamma;6.36777E+017;715
2015-12-14T00:01:00.0000000;Nu;6.358564806E+17;325
2014-07-07T00:01:00.0000000;Tau;6.354028806E+17;378
2018-09-07T00:01:00.0000000;Iota;6.367187526E+17;906
2014-07-22T00:01:00.0000000;Sigma;6.35416E+017;591
2017-01-12T00:01:00.0000000;Omicron;6.36198E+017;50
2015-08-07T00:01:00.0000000;Gamma;6.35745E+017;940
2019-02-24T00:01:00.0000000;Tau;636,865,632,600,000,000.00000000;348
2011-04-15T00:01:00.0000000;Psi;6.34384E+017;353
2015-10-16T00:01:00.0000000;Kappa;635805504600000000;507
2018-07-01T00:01:00.0000000;Eta;636660000600000000;234
2011-12-29T00:02:00.0000000;Pi;6.346071372E+17;79
2013-04-07T00:01:00.0000000;Omicron;6.35009E+017;686
2015-06-09T00:01:00.0000000;Upsilon;635694048600000000;119
2013-12-20T00:01:00.0000000;Beta;6.352309446E+17;67
2010-11-03T00:01:00.0000000;Chi;6.34243E+017;487
2011-08-19T00:02:00.0000000;Zeta;6.34493E+017;54
2019-04-21T00:01:00.0000000;Nu;636,914,016,600,000,000.00000000;842
2011-04-19T00:01:00.0000000;Kappa;6.343876806E+17;236
2013-01-13T00:01:00.0000000;Chi;6.349363206E+17;310
2010-01-09T00:01:00.0000000;Gamma;633985920600000000;242
2011-11-03T00:01:00.0000000;Alpha;6.345587526E+17;937
2012-04-25T00:01:00.0000000;Xi;634709088600000000;81
2017-01-16T00:01:00.0000000;Xi;6.362012166E+17;536
2016-03-13T00:01:00.0000000;Lambda;6.359342406E+17;386
2017-06-28T00:01:00.0000000;Rho;6.363420486E+17;815
2019-06-17T00:01:00.0000000;Tau;636963264600000000;788
2015-02-21T00:02:00.0000000;Nu;635600737200000000;512
2016-01-04T00:01:00.0000000;Gamma;6.358746246E+17;853
2013-03-29T00:01:00.0000000;Tau;635001120600000000;756
2014-04-21T00:01:00.0000000;Rho;635336352600000000;928
2011-07-01T00:01:00.0000000;Alpha;6.344507526E+17;476
2014-08-12T00:01:00.0000000;Xi;6.354339846E+17;180
2017-10-07T00:01:00.0000000;Iota;636,429,312,600,000,000.00000000;188
2019-10-11T00:01:00.0000000;Zeta;6.370634886E+17;911
2017-10-21T00:02:00.0000000;Epsilon;636441409200000000;25
2011-02-15T00:02:00.0000000;Phi;634333249200000000;798
2017-04-19T00:01:00.0000000;Pi;6.362815686E+17;471
2010-05-29T00:01:00.0000000;Omicron;6.341068806E+17;442
2018-07-30T00:01:00.0000000;Kappa;6.366850566E+17;131
2015-04-04T00:02:00.0000000;Rho;6.356370252E+17;7
2019-03-30T00:01:00.0000000;Rho;636895008600000000;937
2012-01-29T00:01:00.0000000;Pi;6.34634E+017;297
2018-06-30T00:01:00.0000000;Lambda;636659136600000000;84
2015-07-27T00:02:00.0000000;Theta;635735521200000000;521
2014-12-22T00:02:00.0000000;Lambda;635548033200000000;819
2013-06-23T00:01:00.0000000;Gamma;6.350754246E+17;459
2019-09-28T00:02:00.0000000;Sigma;637,052,257,200,000,000.00000000;884
2014-03-16T00:01:00.0000000;Lambda;635305248600000000;993
2014-01-20T00:02:00.0000000;Gamma;635257729200000000;859
2016-06-19T00:01:00.0000000;Omicron;636018912600000000;61
2018-12-11T00:02:00.0000000;Kappa;636800833200000000;312
