TM;Category;unknown;Quantity
2017-07-12T00:01:00.0000000;Theta;6.36354E+017;404
2016-03-08T00:01:00.0000000;Rho;635929920600000000;724
2012-04-13T00:01:00.0000000;Epsilon;6.346987206E+17;880
2015-01-18T00:01:00.0000000;Tau;635571360600000000;866
2011-12-10T00:01:00.0000000;Kappa;6.345907206E+17;401
2015-08-05T00:01:00.0000000;Chi;635743296600000000;852
2017-04-25T00:01:00.0000000;Alpha;636,286,752,600,000,000.00000000;350
2015-10-24T00:01:00.0000000;Delta;6.358124166E+17;866
2018-06-07T00:01:00.0000000;Omega;6.366392646E+17;651
2013-04-24T00:01:00.0000000;Gamma;635023584600000000;465
2019-05-31T00:01:00.0000000;Upsilon;6.36949E+017;279
2011-02-10T00:01:00.0000000;Alpha;634328928600000000;970
2018-06-29T00:02:00.0000000;Omega;636658273200000000;99
2012-03-19T00:01:00.0000000;Kappa;634677120600000000;383
2014-09-20T00:01:00.0000000;Beta;6.354676806E+17;398
2013-03-15T00:02:00.0000000;Kappa;634,989,025,200,000,000.00000000;927
2016-01-14T00:01:00.0000000;Nu;635883264600000000;614
2015-01-13T00:01:00.0000000;Alpha;635,567,040,600,000,000.00000000;863
2018-10-30T00:01:00.0000000;Rho;6.367645446E+17;560
2013-03-11T00:01:00.0000000;Beta;634985568600000000;421
2010-07-27T00:01:00.0000000;Epsilon;634157856600000000;489
2018-10-05T00:01:00.0000000;Tau;636742944600000000;270
2018-05-29T00:01:00.0000000;Tau;636,631,488,600,000,000.00000000;161
2013-05-30T00:01:00.0000000;Upsilon;635054688600000000;726
2018-04-19T00:01:00.0000000;Tau;636596928600000000;192
2016-05-07T00:01:00.0000000;Mu;6.359817606E+17;741
2014-12-05T00:01:00.0000000;Omicron;635533344600000000;209
2014-06-23T00:03:00.0000000;Delta;635390785800000000;612
2011-10-24T00:01:00.0000000;Chi;634,550,112,600,000,000.00000000;793
2012-06-15T00:02:00.0000000;Kappa;634,753,153,200,000,000.00000000;851
2019-11-12T00:01:00.0000000;Zeta;6.37091E+017;941
2019-04-17T00:01:00.0000000;Kappa;636910560600000000;670
2015-09-15T00:01:00.0000000;Omicron;6.357787206E+17;482
2014-08-21T00:01:00.0000000;Phi;635,441,760,600,000,000.00000000;469
2015-11-26T00:01:00.0000000;Pi;6.358409286E+17;702
2014-06-19T00:01:00.0000000;Theta;6.353873286E+17;295
2015-05-14T00:01:00.0000000;Sigma;6.356715846E+17;676
2016-06-09T00:02:00.0000000;Beta;6.36010E+017;292
2011-11-14T00:01:00.0000000;Theta;634568256600000000;789
2010-10-11T00:01:00.0000000;Phi;634223520600000000;475
2011-08-08T00:01:00.0000000;Omega;6.344835846E+17;714
2016-09-14T00:02:00.0000000;Zeta;6.360940812E+17;492
2015-09-06T00:01:00.0000000;Xi;635,770,944,600,000,000.00000000;771
2013-05-22T00:02:00.0000000;Tau;635047777200000000;419
2013-03-02T00:02:00.0000000;Sigma;6.34978E+017;518
2014-10-11T00:02:00.0000000;Mu;635485825200000000;351
2010-05-13T00:02:00.0000000;Chi;634093057200000000;881
2012-02-15T00:01:00.0000000;Sigma;6.34649E+017;357
2017-09-12T00:02:00.0000000;Pi;6.364077132E+17;381
2018-08-02T00:01:00.0000000;Xi;6.366876486E+17;862
2010-04-29T00:01:00.0000000;Omicron;634,080,960,600,000,000.00000000;831
2018-06-01T00:01:00.0000000;Omega;636634080600000000;318
