TM;Category;unknown;Quantity
2016-11-18T00:01:00.0000000;Zeta;636150240600000000;447
2015-11-03T00:01:00.0000000;Tau;635821056600000000;163
2017-03-07T00:01:00.0000000;Iota;6.36244E+017;545
2013-06-07T00:01:00.0000000;Theta;6.350616006E+17;528
2011-05-31T00:01:00.0000000;Psi;634423968600000000;860
2010-01-16T00:01:00.0000000;Delta;6.33992E+017;983
2017-10-29T00:01:00.0000000;Tau;6.36448E+017;137
2010-09-25T00:01:00.0000000;Theta;634209696600000000;259
2016-05-27T00:01:00.0000000;Pi;6.359990406E+17;92
2015-04-10T00:01:00.0000000;Sigma;635642208600000000;169
2010-07-07T00:01:00.0000000;Delta;634140576600000000;68
2018-05-23T00:02:00.0000000;Phi;6.366263052E+17;876
2016-09-09T00:01:00.0000000;Mu;6.36090E+017;324
2013-03-03T00:02:00.0000000;Mu;6.34979E+017;376
2015-05-18T00:01:00.0000000;Omega;635675040600000000;557
2013-07-13T00:02:00.0000000;Alpha;6.350927052E+17;123
2019-12-30T00:02:00.0000000;Alpha;637,132,609,200,000,000.00000000;410
2019-09-09T00:03:00.0000000;Iota;637,035,841,800,000,000.00000000;683
2011-01-09T00:01:00.0000000;Phi;634,301,280,600,000,000.00000000;10
2019-09-21T00:01:00.0000000;Epsilon;6.370462086E+17;864
2016-11-06T00:02:00.0000000;Iota;6.361398732E+17;510
2010-01-15T00:01:00.0000000;Delta;633991104600000000;275
2011-04-20T00:02:00.0000000;Alpha;6.343885452E+17;794
2019-07-30T00:02:00.0000000;Delta;6.370004172E+17;697
2019-02-19T00:02:00.0000000;Iota;6.368613132E+17;496
2015-10-23T00:01:00.0000000;Gamma;6.358115526E+17;813
2019-07-28T00:01:00.0000000;Upsilon;6.369986886E+17;9
2015-03-30T00:02:00.0000000;Phi;635632705200000000;981
2010-11-26T00:01:00.0000000;Kappa;6.342632646E+17;5
2016-03-13T00:01:00.0000000;Gamma;6.359342406E+17;776
2013-08-10T00:01:00.0000000;Omicron;635116896600000000;63
2012-11-09T00:01:00.0000000;Nu;634,880,160,600,000,000.00000000;301
2016-07-28T00:03:00.0000000;Chi;636052609800000000;73
2017-09-11T00:01:00.0000000;Zeta;6.364068486E+17;694
2010-11-18T00:01:00.0000000;Pi;634256352600000000;299
2012-10-25T00:01:00.0000000;Pi;634867200600000000;142
2010-02-27T00:01:00.0000000;Theta;6.340282566E+17;645
2013-11-28T00:01:00.0000000;Tau;6.35212E+017;213
2011-03-11T00:02:00.0000000;Gamma;6.343539852E+17;21
2015-11-15T00:03:00.0000000;Epsilon;635,831,425,800,000,000.00000000;510
2018-06-16T00:01:00.0000000;Kappa;636,647,040,600,000,000.00000000;388
2016-02-10T00:01:00.0000000;Xi;6.359065926E+17;521
2017-04-25T00:01:00.0000000;Nu;636,286,752,600,000,000.00000000;402
2017-03-12T00:01:00.0000000;Chi;6.362487366E+17;152
2014-04-20T00:01:00.0000000;Delta;635335488600000000;265
2012-01-21T00:01:00.0000000;Sigma;634627008600000000;923
2017-08-05T00:01:00.0000000;Iota;6.363748806E+17;391
2012-08-06T00:01:00.0000000;Chi;634798080600000000;659
2013-06-15T00:01:00.0000000;Kappa;635068512600000000;935
2010-10-27T00:01:00.0000000;Chi;634,237,344,600,000,000.00000000;527
2016-11-09T00:02:00.0000000;Omega;636142465200000000;199
2016-02-16T00:01:00.0000000;Omicron;635,911,776,600,000,000.00000000;653
2011-10-06T00:01:00.0000000;Tau;634,534,560,600,000,000.00000000;32
2014-11-25T00:02:00.0000000;Phi;6.35525E+017;282
2012-09-14T00:02:00.0000000;Rho;634,831,777,200,000,000.00000000;128
2016-02-07T00:01:00.0000000;Phi;6.359040006E+17;414
2016-10-27T00:02:00.0000000;Delta;636,131,233,200,000,000.00000000;593
2013-03-24T00:03:00.0000000;Theta;6.349968018E+17;759
2016-04-25T00:03:00.0000000;Eta;635971393800000000;669
2019-03-09T00:01:00.0000000;Epsilon;6.368768646E+17;358
2012-07-09T00:03:00.0000000;Theta;6.34774E+017;602
2017-07-20T00:02:00.0000000;Beta;636361057200000000;999
2015-09-01T00:01:00.0000000;Upsilon;6.357666246E+17;157
