TM;Category;unknown;Quantity
2010-02-01T00:01:00.0000000;Rho;634005792600000000;759
2013-02-14T00:01:00.0000000;Pi;6.349639686E+17;32
2016-06-12T00:01:00.0000000;Alpha;6.360128646E+17;276
2015-03-28T00:01:00.0000000;Omicron;635,630,976,600,000,000.00000000;432
2012-01-07T00:01:00.0000000;Delta;634614912600000000;805
2011-10-25T00:01:00.0000000;Kappa;634,550,976,600,000,000.00000000;394
2015-06-23T00:01:00.0000000;Omega;635706144600000000;519
2013-12-17T00:02:00.0000000;Gamma;6.35228E+017;536
2012-08-28T00:01:00.0000000;Iota;634,817,088,600,000,000.00000000;100
2013-10-14T00:01:00.0000000;Gamma;635173056600000000;20
2015-06-09T00:01:00.0000000;Iota;635694048600000000;948
2010-03-04T00:01:00.0000000;Mu;634032576600000000;24
2010-04-28T00:02:00.0000000;Nu;634,080,097,200,000,000.00000000;149
2017-04-18T00:01:00.0000000;Alpha;6.362807046E+17;934
2018-12-12T00:02:00.0000000;Mu;636,801,697,200,000,000.00000000;738
2015-02-08T00:01:00.0000000;Phi;6.35590E+017;787
2011-05-05T00:01:00.0000000;Iota;6.344015046E+17;402
2010-10-01T00:01:00.0000000;Mu;6.342148806E+17;142
2018-07-07T00:01:00.0000000;Mu;636665184600000000;515
2012-05-09T00:02:00.0000000;Phi;634,721,185,200,000,000.00000000;689
2012-04-29T00:01:00.0000000;Sigma;6.34713E+017;958
2013-11-23T00:01:00.0000000;Theta;635,207,616,600,000,000.00000000;561
2012-05-19T00:02:00.0000000;Iota;6.347298252E+17;375
2013-05-14T00:01:00.0000000;Omega;6.35041E+017;156
2011-02-25T00:01:00.0000000;Alpha;6.343418886E+17;24
2019-05-11T00:02:00.0000000;Mu;636931297200000000;927
2014-10-02T00:01:00.0000000;Psi;6.35478E+017;402
2017-02-27T00:02:00.0000000;Zeta;636237505200000000;951
2010-12-08T00:01:00.0000000;Xi;6.34274E+017;755
2010-02-25T00:01:00.0000000;Upsilon;6.340265286E+17;28
2016-09-27T00:01:00.0000000;Iota;6.36105E+017;563
2015-07-29T00:02:00.0000000;Upsilon;635737249200000000;590
2017-08-12T00:01:00.0000000;Chi;636,380,928,600,000,000.00000000;545
2013-07-23T00:01:00.0000000;Kappa;635101344600000000;321
2017-12-05T00:01:00.0000000;Xi;6.36480E+017;383
2015-12-20T00:01:00.0000000;Gamma;635861664600000000;333
2013-12-10T00:01:00.0000000;Mu;635,222,304,600,000,000.00000000;580
2014-12-08T00:02:00.0000000;Epsilon;635,535,937,200,000,000.00000000;328
2018-06-15T00:02:00.0000000;Nu;636,646,177,200,000,000.00000000;533
2014-07-02T00:02:00.0000000;Phi;635398561200000000;556
2015-09-12T00:02:00.0000000;Psi;6.35776E+017;17
2013-10-13T00:02:00.0000000;Beta;635172193200000000;423
2014-03-07T00:04:00.0000000;Chi;635297474400000000;396
2013-05-30T00:02:00.0000000;Theta;6.35055E+017;623
2019-09-21T00:01:00.0000000;Psi;6.370462086E+17;405
2016-09-20T00:03:00.0000000;Sigma;636,099,265,800,000,000.00000000;532
2012-10-31T00:01:00.0000000;Mu;6.348723846E+17;792
2017-03-02T00:03:00.0000000;Chi;636,240,097,800,000,000.00000000;656
2019-11-28T00:01:00.0000000;Phi;6.37105E+017;467
2015-10-13T00:02:00.0000000;Sigma;635802913200000000;792
2019-06-02T00:03:00.0000000;Pi;6.369503058E+17;294
2011-04-08T00:01:00.0000000;Alpha;634,378,176,600,000,000.00000000;896
