TM;Category;unknown;Quantity
2019-04-20T00:01:00.0000000;Delta;636,913,152,600,000,000.00000000;487
2014-06-04T00:01:00.0000000;Phi;6.353743686E+17;290
2016-02-17T00:01:00.0000000;Chi;635,912,640,600,000,000.00000000;662
2015-04-19T00:01:00.0000000;Eta;6.35650E+017;583
2015-05-02T00:01:00.0000000;Rho;635,661,216,600,000,000.00000000;783
2019-05-09T00:01:00.0000000;Nu;636,929,568,600,000,000.00000000;282
2012-05-24T00:01:00.0000000;Rho;6.347341446E+17;577
2018-08-13T00:01:00.0000000;Beta;636697152600000000;71
2018-11-17T00:01:00.0000000;Sigma;6.367800966E+17;877
2011-02-04T00:02:00.0000000;Lambda;6.343237452E+17;451
2019-12-24T00:01:00.0000000;Upsilon;6.371274246E+17;245
2016-10-24T00:01:00.0000000;Alpha;636128640600000000;367
2010-05-07T00:01:00.0000000;Omicron;6.340878726E+17;205
2013-08-26T00:01:00.0000000;Xi;635,130,720,600,000,000.00000000;909
2017-03-25T00:01:00.0000000;Delta;6.36260E+017;278
2013-03-11T00:01:00.0000000;Delta;634985568600000000;861
2015-11-04T00:01:00.0000000;Alpha;6.35822E+017;571
2010-10-05T00:01:00.0000000;Sigma;634218336600000000;654
2013-11-25T00:02:00.0000000;Lambda;635209345200000000;67
2013-11-17T00:01:00.0000000;Mu;6.352024326E+17;934
2012-11-19T00:01:00.0000000;Mu;6.348888006E+17;321
2019-01-28T00:02:00.0000000;Delta;6.368423052E+17;74
2017-03-07T00:01:00.0000000;Eta;6.36244E+017;455
2018-07-28T00:01:00.0000000;Rho;6.36683E+017;816
2015-07-21T00:02:00.0000000;Delta;6.357303372E+17;514
2016-03-08T00:02:00.0000000;Kappa;635929921200000000;413
2018-07-29T00:01:00.0000000;Rho;6.36684E+017;748
2015-10-08T00:01:00.0000000;Sigma;635798592600000000;378
2017-07-16T00:01:00.0000000;Beta;6.363576006E+17;290
2013-09-23T00:01:00.0000000;Pi;6.351549126E+17;451
2012-06-13T00:02:00.0000000;Phi;634751425200000000;284
2019-05-20T00:01:00.0000000;Eta;6.369390726E+17;692
2016-12-08T00:02:00.0000000;Sigma;6.36168E+017;627
2010-04-18T00:02:00.0000000;Beta;6.340714572E+17;139
2013-08-20T00:02:00.0000000;Alpha;635125537200000000;675
2014-03-02T00:01:00.0000000;Eta;6.352931526E+17;915
2014-03-17T00:01:00.0000000;Delta;6.35306E+017;418
2011-04-28T00:02:00.0000000;Kappa;634395457200000000;894
2019-05-05T00:01:00.0000000;Gamma;636926112600000000;539
2019-08-12T00:01:00.0000000;Iota;6.37012E+017;922
2016-09-29T00:02:00.0000000;Tau;6.361070412E+17;271
2018-10-29T00:01:00.0000000;Nu;6.367636806E+17;844
2015-12-10T00:02:00.0000000;Nu;6.35853E+017;594
2019-08-01T00:02:00.0000000;Chi;6.370021452E+17;150
2019-05-09T00:01:00.0000000;Mu;636,929,568,600,000,000.00000000;289
2012-12-04T00:01:00.0000000;Upsilon;6.349017606E+17;790
2013-01-17T00:02:00.0000000;Gamma;634,939,777,200,000,000.00000000;626
2015-05-04T00:01:00.0000000;Iota;635662944600000000;855
2018-09-06T00:01:00.0000000;Nu;6.367178886E+17;420
2012-08-25T00:01:00.0000000;Lambda;634814496600000000;20
2013-11-03T00:02:00.0000000;Xi;635,190,337,200,000,000.00000000;346
2013-02-12T00:01:00.0000000;Gamma;6.34962E+017;702
2017-12-23T00:01:00.0000000;Nu;6.36496E+017;397
2018-01-20T00:01:00.0000000;Kappa;636520032600000000;286
2017-10-28T00:02:00.0000000;Delta;6.36447E+017;772
2010-05-20T00:02:00.0000000;Gamma;634099105200000000;815
2016-02-06T00:02:00.0000000;Eta;6.359031372E+17;163
2017-10-14T00:01:00.0000000;Alpha;6.364353606E+17;533
2014-11-04T00:02:00.0000000;Theta;635506561200000000;916
2010-07-18T00:02:00.0000000;Tau;6.341500812E+17;447
2016-01-11T00:01:00.0000000;Omicron;635,880,672,600,000,000.00000000;677
2016-04-03T00:01:00.0000000;Gamma;6.359523846E+17;975
2014-02-06T00:03:00.0000000;Chi;635272417800000000;61
2017-01-16T00:02:00.0000000;Mu;6.362012172E+17;196
2019-06-04T00:02:00.0000000;Epsilon;6.369520332E+17;58
2013-02-17T00:02:00.0000000;Kappa;6.349665612E+17;2
2012-12-11T00:03:00.0000000;Sigma;634,907,809,800,000,000.00000000;383
2010-02-01T00:01:00.0000000;Omega;634005792600000000;291
2018-01-22T00:01:00.0000000;Mu;636,521,760,600,000,000.00000000;405
2018-07-11T00:01:00.0000000;Omega;6.36669E+017;482
2011-08-21T00:03:00.0000000;Omega;6.344948178E+17;703
2012-03-04T00:02:00.0000000;Phi;6.34664E+017;376
2011-07-22T00:01:00.0000000;Phi;634468896600000000;234
2018-07-28T00:01:00.0000000;Psi;6.36683E+017;182
2015-05-21T00:01:00.0000000;Epsilon;635,677,632,600,000,000.00000000;396
2018-01-07T00:01:00.0000000;Zeta;636508800600000000;774
2012-01-13T00:02:00.0000000;Rho;6.346200972E+17;93
2011-11-19T00:01:00.0000000;Omega;6.34573E+017;831
2010-10-20T00:01:00.0000000;Sigma;6.342312966E+17;383
2014-11-26T00:02:00.0000000;Zeta;6.35526E+017;111
2011-07-22T00:02:00.0000000;Iota;634468897200000000;350
2018-01-02T00:01:00.0000000;Chi;636504480600000000;991
2010-07-26T00:02:00.0000000;Sigma;634156993200000000;340
2018-05-11T00:01:00.0000000;Xi;636,615,936,600,000,000.00000000;646
2018-11-20T00:01:00.0000000;Lambda;6.367826886E+17;370
2016-03-15T00:01:00.0000000;Nu;6.359359686E+17;540
2019-11-22T00:01:00.0000000;Xi;637,099,776,600,000,000.00000000;496
2014-04-05T00:02:00.0000000;Mu;6.35323E+017;253
2014-09-14T00:01:00.0000000;Phi;6.35462E+017;226
2014-10-15T00:01:00.0000000;Alpha;635,489,280,600,000,000.00000000;486
2017-11-30T00:02:00.0000000;Theta;636475969200000000;825
2017-01-27T00:02:00.0000000;Omicron;636210721200000000;760
2013-05-06T00:04:00.0000000;Omega;635,033,954,400,000,000.00000000;245
2011-05-09T00:01:00.0000000;Upsilon;6.344049606E+17;393
2014-10-15T00:02:00.0000000;Xi;635,489,281,200,000,000.00000000;253
2010-03-19T00:02:00.0000000;Theta;634045537200000000;817
2014-07-12T00:01:00.0000000;Omega;6.354072006E+17;355
2010-02-14T00:01:00.0000000;Chi;634017024600000000;18
2018-09-01T00:01:00.0000000;Alpha;6.36714E+017;479
2019-07-17T00:02:00.0000000;Lambda;636989185200000000;59
2010-12-29T00:04:00.0000000;Theta;6.342917784E+17;712
2013-08-11T00:01:00.0000000;Theta;635117760600000000;439
2010-09-29T00:02:00.0000000;Theta;6.342131532E+17;854
2010-03-25T00:01:00.0000000;Gamma;634,050,720,600,000,000.00000000;102
2016-05-10T00:02:00.0000000;Sigma;6.359843532E+17;651
2013-01-16T00:01:00.0000000;Beta;634938912600000000;754
2010-10-20T00:02:00.0000000;Delta;6.342312972E+17;731
2014-06-10T00:02:00.0000000;Omega;635,379,553,200,000,000.00000000;302
2012-09-22T00:02:00.0000000;Beta;6.348386892E+17;537
2011-06-24T00:03:00.0000000;Pi;6.34445E+017;223
2011-10-16T00:02:00.0000000;Gamma;6.345432012E+17;11
2017-05-09T00:01:00.0000000;Upsilon;6.362988486E+17;720
2012-06-22T00:02:00.0000000;Lambda;6.34759E+017;485
2012-06-20T00:01:00.0000000;Omicron;634757472600000000;535
2012-10-12T00:02:00.0000000;Iota;6.348559692E+17;849
2013-03-28T00:02:00.0000000;Nu;635000257200000000;47
2016-02-23T00:02:00.0000000;Gamma;6.359178252E+17;296
2011-11-12T00:02:00.0000000;Omega;634,566,529,200,000,000.00000000;281
2014-02-10T00:01:00.0000000;Pi;6.35276E+017;116
2012-02-07T00:01:00.0000000;Lambda;634641696600000000;604
2013-12-16T00:02:00.0000000;Gamma;6.35227E+017;935
2018-03-31T00:02:00.0000000;Phi;636580513200000000;400
2017-03-05T00:01:00.0000000;Nu;636242688600000000;922
2013-11-27T00:01:00.0000000;Alpha;635211072600000000;7
2015-02-04T00:02:00.0000000;Mu;635586049200000000;955
2011-05-17T00:02:00.0000000;Delta;634411873200000000;422
2017-05-22T00:02:00.0000000;Xi;6.363100812E+17;418
2018-12-22T00:02:00.0000000;Mu;6.368103372E+17;614
2015-05-19T00:01:00.0000000;Iota;635,675,904,600,000,000.00000000;22
2012-01-29T00:01:00.0000000;Theta;6.34634E+017;481
2011-11-14T00:02:00.0000000;Sigma;634568257200000000;20
2011-06-28T00:02:00.0000000;Zeta;6.344481612E+17;681
2018-03-04T00:02:00.0000000;Eta;6.36557E+017;461
2017-08-12T00:02:00.0000000;Pi;636,380,929,200,000,000.00000000;818
2015-03-03T00:02:00.0000000;Pi;6.356093772E+17;829
2012-05-21T00:02:00.0000000;Chi;6.347315532E+17;667
2013-09-09T00:01:00.0000000;Mu;635142816600000000;434
2019-07-19T00:02:00.0000000;Theta;636,990,913,200,000,000.00000000;275
2013-06-30T00:02:00.0000000;Upsilon;635,081,473,200,000,000.00000000;831
2012-05-13T00:01:00.0000000;Alpha;634724640600000000;521
2016-10-04T00:02:00.0000000;Epsilon;636111361200000000;921
2013-11-26T00:02:00.0000000;Xi;635210209200000000;982
2015-04-07T00:02:00.0000000;Beta;6.356396172E+17;131
2010-08-21T00:01:00.0000000;Tau;6.34179E+017;928
2019-05-30T00:01:00.0000000;Pi;636947712600000000;632
2017-12-26T00:02:00.0000000;Iota;6.364984332E+17;662
2017-11-23T00:01:00.0000000;Beta;6.364699206E+17;498
2015-12-11T00:03:00.0000000;Rho;6.35854E+017;823
2012-06-27T00:03:00.0000000;Zeta;6.347635218E+17;921
2017-09-28T00:02:00.0000000;Alpha;6.364215372E+17;468
2014-11-07T00:03:00.0000000;Alpha;6.35509E+017;991
2018-08-04T00:02:00.0000000;Mu;636689377200000000;986
2011-05-26T00:02:00.0000000;Delta;6.344196492E+17;952
2017-12-08T00:03:00.0000000;Gamma;6.364828818E+17;727
2010-12-04T00:02:00.0000000;Eta;634270177200000000;276
2014-08-13T00:02:00.0000000;Phi;6.354348492E+17;357
2016-08-23T00:02:00.0000000;Rho;6.360750732E+17;394
2010-03-24T00:03:00.0000000;Sigma;634049857800000000;296
2016-10-25T00:01:00.0000000;Psi;636,129,504,600,000,000.00000000;281
2015-09-22T00:01:00.0000000;Omega;635784768600000000;334
2012-10-21T00:02:00.0000000;Chi;634,863,745,200,000,000.00000000;453
2012-05-07T00:01:00.0000000;Pi;634719456600000000;500
2010-09-14T00:02:00.0000000;Sigma;6.342001932E+17;446
2014-06-24T00:02:00.0000000;Psi;635391649200000000;593
2017-11-21T00:03:00.0000000;Zeta;6.364681938E+17;83
2017-03-24T00:01:00.0000000;Psi;636259104600000000;654
2010-05-04T00:03:00.0000000;Chi;6.34085E+017;277
2010-08-20T00:03:00.0000000;Alpha;6.34179E+017;114
2017-09-10T00:04:00.0000000;Beta;6.364059864E+17;272
2015-11-05T00:01:00.0000000;Omega;6.35823E+017;606
2017-06-04T00:01:00.0000000;Chi;636321312600000000;774
2013-12-01T00:02:00.0000000;Sigma;6.352145292E+17;497
2019-03-21T00:01:00.0000000;Omega;6.36887E+017;354
2010-03-22T00:02:00.0000000;Tau;634,048,129,200,000,000.00000000;373
2016-07-25T00:03:00.0000000;Beta;636,050,017,800,000,000.00000000;593
2019-06-12T00:01:00.0000000;Omicron;636,958,944,600,000,000.00000000;459
2016-01-04T00:02:00.0000000;Mu;6.358746252E+17;885
2013-11-20T00:03:00.0000000;Omicron;635,205,025,800,000,000.00000000;569
2019-01-28T00:01:00.0000000;Upsilon;6.368423046E+17;714
2018-04-04T00:04:00.0000000;Omicron;636583970400000000;246
2012-06-21T00:01:00.0000000;Epsilon;6.34758E+017;460
2018-11-18T00:02:00.0000000;Nu;6.367809612E+17;1
2011-11-14T00:01:00.0000000;Beta;634568256600000000;119
2016-03-02T00:03:00.0000000;Mu;635,924,737,800,000,000.00000000;794
2017-02-12T00:03:00.0000000;Omicron;636224545800000000;337
2018-10-24T00:02:00.0000000;Eta;636759361200000000;476
2010-09-21T00:03:00.0000000;Mu;634,206,241,800,000,000.00000000;279
2019-12-30T00:01:00.0000000;Tau;637,132,608,600,000,000.00000000;25
2017-05-10T00:02:00.0000000;Xi;636299713200000000;836
2019-03-03T00:02:00.0000000;Iota;6.36872E+017;636
2011-11-29T00:03:00.0000000;Omicron;634,581,217,800,000,000.00000000;796
2018-12-14T00:02:00.0000000;Nu;636,803,425,200,000,000.00000000;720
2018-07-01T00:01:00.0000000;Chi;636660000600000000;479
2017-03-09T00:03:00.0000000;Psi;6.362461458E+17;222
2012-07-05T00:01:00.0000000;Eta;634,770,432,600,000,000.00000000;865
2011-12-08T00:04:00.0000000;Eta;6.345889944E+17;370
2013-04-24T00:03:00.0000000;Chi;6.35024E+017;47
2018-07-26T00:02:00.0000000;Zeta;6.36682E+017;170
2014-10-29T00:04:00.0000000;Alpha;635501378400000000;269
2012-08-07T00:03:00.0000000;Upsilon;634,798,945,800,000,000.00000000;103
2011-03-26T00:02:00.0000000;Tau;6.34367E+017;115
2018-01-01T00:03:00.0000000;Upsilon;636,503,617,800,000,000.00000000;679
2012-11-01T00:03:00.0000000;Lambda;6.348732498E+17;44
2016-05-07T00:02:00.0000000;Xi;6.359817612E+17;699
2016-08-25T00:03:00.0000000;Rho;6.360768018E+17;736
2017-06-26T00:03:00.0000000;Kappa;6.363403218E+17;514
2012-03-14T00:02:00.0000000;Upsilon;634672801200000000;804
2010-04-18T00:02:00.0000000;Theta;6.340714572E+17;611
2016-12-29T00:02:00.0000000;Upsilon;6.361856652E+17;616
2010-05-07T00:01:00.0000000;Kappa;6.340878726E+17;735
2011-02-07T00:02:00.0000000;Mu;6.343263372E+17;498
2010-09-26T00:03:00.0000000;Epsilon;6.34211E+017;469
2018-09-21T00:02:00.0000000;Alpha;6.36731E+017;652
2016-04-05T00:03:00.0000000;Omicron;635954113800000000;568
2012-08-06T00:02:00.0000000;Pi;634798081200000000;834
2019-02-01T00:02:00.0000000;Tau;6.368457612E+17;681
2015-04-10T00:03:00.0000000;Eta;635642209800000000;260
2018-06-16T00:04:00.0000000;Iota;636647042400000000;181
2014-05-25T00:03:00.0000000;Pi;635365729800000000;135
2011-06-09T00:04:00.0000000;Epsilon;6.344317464E+17;347
2012-11-15T00:03:00.0000000;Omicron;6.348853458E+17;886
2011-03-14T00:02:00.0000000;Eta;6.343565772E+17;338
2012-09-22T00:02:00.0000000;Pi;6.348386892E+17;129
2013-12-08T00:01:00.0000000;Upsilon;635220576600000000;35
2012-09-29T00:05:00.0000000;Psi;634,844,739,000,000,000.00000000;576
2013-08-02T00:02:00.0000000;Gamma;635109985200000000;124
2018-09-11T00:03:00.0000000;Upsilon;636722209800000000;581
2018-01-14T00:04:00.0000000;Omicron;6.365148504E+17;342
2012-05-14T00:01:00.0000000;Xi;634725504600000000;290
2011-04-05T00:03:00.0000000;Kappa;634375585800000000;503
2015-03-12T00:03:00.0000000;Nu;6.35617E+017;690
2019-11-20T00:02:00.0000000;Phi;637098049200000000;155
2013-11-17T00:01:00.0000000;Rho;6.352024326E+17;455
