TM;Category;unknown;Quantity
2011-08-15T00:01:00.0000000;Rho;634489632600000000;465
2017-06-24T00:01:00.0000000;Mu;6.36339E+017;395
2016-04-17T00:01:00.0000000;Omicron;6.35964E+017;935
2012-05-28T00:01:00.0000000;Eta;634,737,600,600,000,000.00000000;541
2018-03-01T00:01:00.0000000;Phi;636554592600000000;221
2013-06-25T00:01:00.0000000;Kappa;6.350771526E+17;221
2018-03-10T00:01:00.0000000;Phi;6.365623686E+17;620
2019-06-12T00:01:00.0000000;Nu;636,958,944,600,000,000.00000000;668
2016-10-17T00:01:00.0000000;Eta;6.361225926E+17;11
2014-03-07T00:01:00.0000000;Omega;6.352974726E+17;51
2011-04-18T00:01:00.0000000;Nu;6.343868166E+17;149
2019-10-22T00:01:00.0000000;Phi;637072992600000000;332
2011-09-25T00:01:00.0000000;Lambda;6.34525E+017;561
2011-03-15T00:01:00.0000000;Upsilon;6.343574406E+17;105
2019-08-05T00:01:00.0000000;Tau;637005600600000000;62
2017-12-10T00:02:00.0000000;Rho;6.364846092E+17;135
2010-06-27T00:02:00.0000000;Kappa;6.34132E+017;893
2012-04-24T00:01:00.0000000;Iota;634,708,224,600,000,000.00000000;950
2010-11-10T00:01:00.0000000;Zeta;6.342494406E+17;632
2011-09-28T00:01:00.0000000;Delta;6.345276486E+17;113
2019-11-04T00:01:00.0000000;Xi;637,084,224,600,000,000.00000000;513
2017-10-04T00:01:00.0000000;Xi;636426720600000000;772
2015-06-04T00:01:00.0000000;Delta;635689728600000000;145
2017-12-19T00:01:00.0000000;Zeta;636492384600000000;825
2012-01-22T00:02:00.0000000;Lambda;634,627,873,200,000,000.00000000;700
2013-12-13T00:01:00.0000000;Rho;635224896600000000;748
2019-02-11T00:01:00.0000000;Phi;6.36854E+017;376
2013-12-20T00:02:00.0000000;Beta;6.352309452E+17;167
2012-12-28T00:01:00.0000000;Theta;634922496600000000;581
2013-11-22T00:01:00.0000000;Psi;635,206,752,600,000,000.00000000;489
2011-08-24T00:01:00.0000000;Chi;6.344974086E+17;893
2019-01-25T00:01:00.0000000;Beta;6.36840E+017;475
2015-03-03T00:04:00.0000000;Upsilon;635609378400000000;193
2011-12-25T00:02:00.0000000;Lambda;6.346036812E+17;766
2015-03-11T00:01:00.0000000;Gamma;635616288600000000;654
2016-04-26T00:01:00.0000000;Chi;635972256600000000;996
2015-09-08T00:02:00.0000000;Tau;635772673200000000;961
2018-05-07T00:02:00.0000000;Gamma;636612481200000000;128
2018-10-15T00:02:00.0000000;Tau;6.367515852E+17;548
2014-09-23T00:01:00.0000000;Lambda;635470272600000000;629
2013-05-20T00:02:00.0000000;Omicron;6.350460492E+17;212
2014-07-01T00:02:00.0000000;Eta;635397697200000000;370
2010-05-16T00:01:00.0000000;Chi;634,095,648,600,000,000.00000000;344
2015-10-09T00:02:00.0000000;Omega;635799457200000000;342
2014-09-05T00:02:00.0000000;Delta;635454721200000000;136
2015-01-15T00:01:00.0000000;Beta;635,568,768,600,000,000.00000000;595
2016-12-28T00:02:00.0000000;Epsilon;6.361848012E+17;138
2017-08-02T00:01:00.0000000;Xi;6.363722886E+17;353
2011-09-04T00:01:00.0000000;Upsilon;634506912600000000;300
2015-10-23T00:03:00.0000000;Xi;6.358115538E+17;858
2011-06-15T00:01:00.0000000;Lambda;6.344369286E+17;778
2015-04-09T00:01:00.0000000;Zeta;6.356413446E+17;550
2015-12-27T00:03:00.0000000;Theta;6.35868E+017;158
2019-11-06T00:01:00.0000000;Mu;637,085,952,600,000,000.00000000;481
2018-02-05T00:01:00.0000000;Tau;636533856600000000;663
2012-01-24T00:02:00.0000000;Lambda;634629601200000000;642
2017-06-19T00:01:00.0000000;Sigma;636,334,272,600,000,000.00000000;100
2012-05-25T00:01:00.0000000;Epsilon;634735008600000000;521
2016-06-10T00:02:00.0000000;Mu;6.36011E+017;910
2012-08-08T00:02:00.0000000;Nu;634,799,809,200,000,000.00000000;88
2018-04-21T00:02:00.0000000;Epsilon;636,598,657,200,000,000.00000000;669
2010-01-13T00:01:00.0000000;Zeta;633989376600000000;641
2013-09-15T00:01:00.0000000;Nu;635148000600000000;936
2010-05-01T00:01:00.0000000;Omicron;634082688600000000;348
2018-03-23T00:01:00.0000000;Epsilon;6.36574E+017;296
2018-11-29T00:01:00.0000000;Omega;636790464600000000;522
2016-12-03T00:01:00.0000000;Gamma;636,163,200,600,000,000.00000000;331
2018-01-06T00:01:00.0000000;Sigma;636507936600000000;293
2011-06-27T00:01:00.0000000;Lambda;6.34447E+017;322
2019-09-07T00:02:00.0000000;Chi;637034113200000000;823
