TM;Category;unknown;Quantity
2015-01-28T00:01:00.0000000;Alpha;635580000600000000;538
2015-12-27T00:01:00.0000000;Psi;635867712600000000;199
2018-12-27T00:01:00.0000000;Pi;6.368146566E+17;156
2013-07-22T00:02:00.0000000;Nu;635100481200000000;149
2012-11-05T00:01:00.0000000;Omicron;634876704600000000;561
2013-12-02T00:01:00.0000000;Xi;6.352153926E+17;356
2014-05-08T00:01:00.0000000;Zeta;635351040600000000;538
2016-03-25T00:01:00.0000000;Omicron;635944608600000000;871
2016-03-17T00:01:00.0000000;Beta;6.359376966E+17;530
2011-03-08T00:01:00.0000000;Omega;6.34351E+017;537
2015-04-28T00:01:00.0000000;Upsilon;635657760600000000;549
2010-10-28T00:01:00.0000000;Lambda;634,238,208,600,000,000.00000000;859
2016-08-09T00:02:00.0000000;Delta;6.360629772E+17;973
2017-02-25T00:01:00.0000000;Mu;6.362357766E+17;33
2016-12-22T00:01:00.0000000;Epsilon;636179616600000000;810
2011-05-01T00:01:00.0000000;Alpha;634398048600000000;109
2012-07-08T00:03:00.0000000;Lambda;6.34773E+017;370
2012-03-03T00:01:00.0000000;Eta;634663296600000000;729
2010-06-13T00:01:00.0000000;Delta;6.341198406E+17;370
2016-10-17T00:01:00.0000000;Lambda;6.361225926E+17;737
2010-08-18T00:01:00.0000000;Nu;634176864600000000;265
2011-10-31T00:02:00.0000000;Gamma;6.34556E+017;405
2012-05-24T00:01:00.0000000;Phi;6.347341446E+17;507
2014-04-06T00:01:00.0000000;Gamma;6.35323E+017;157
2018-10-03T00:01:00.0000000;Zeta;636,741,216,600,000,000.00000000;415
2017-01-31T00:01:00.0000000;Zeta;6.36214E+017;251
2012-04-25T00:03:00.0000000;Beta;634709089800000000;171
2010-03-28T00:02:00.0000000;Kappa;6.34053E+017;896
2018-05-28T00:02:00.0000000;Psi;636,630,625,200,000,000.00000000;283
2015-04-03T00:01:00.0000000;Beta;6.35636E+017;876
2018-12-21T00:01:00.0000000;Phi;6.36809E+017;139
2016-03-10T00:01:00.0000000;Epsilon;6.35932E+017;840
2011-08-24T00:02:00.0000000;Omicron;6.344974092E+17;231
2014-09-08T00:01:00.0000000;Delta;635,457,312,600,000,000.00000000;476
2012-11-22T00:01:00.0000000;Omicron;634891392600000000;987
2014-12-13T00:01:00.0000000;Chi;6.35540E+017;545
2019-10-13T00:01:00.0000000;Tau;6.370652166E+17;922
2013-08-19T00:02:00.0000000;Sigma;6.351246732E+17;507
2014-01-07T00:02:00.0000000;Omicron;6.352464972E+17;728
2018-12-08T00:01:00.0000000;Psi;6.367982406E+17;170
2014-03-20T00:01:00.0000000;Rho;6.353087046E+17;598
2016-02-14T00:03:00.0000000;Epsilon;635,910,049,800,000,000.00000000;756
2017-12-21T00:01:00.0000000;Upsilon;636494112600000000;384
2010-10-08T00:02:00.0000000;Beta;634,220,929,200,000,000.00000000;101
2015-01-07T00:02:00.0000000;Upsilon;6.355618572E+17;278
2012-04-05T00:02:00.0000000;Omicron;634,691,809,200,000,000.00000000;365
2011-11-07T00:02:00.0000000;Gamma;634562209200000000;881
2017-04-15T00:02:00.0000000;Sigma;6.362781132E+17;746
2018-11-11T00:01:00.0000000;Theta;636774912600000000;707
2011-12-13T00:03:00.0000000;Lambda;634593313800000000;274
2013-09-18T00:02:00.0000000;Upsilon;6.35151E+017;626
2014-04-19T00:01:00.0000000;Epsilon;635334624600000000;375
2012-10-19T00:01:00.0000000;Delta;634862016600000000;459
2019-08-01T00:02:00.0000000;Epsilon;6.370021452E+17;58
2015-07-21T00:02:00.0000000;Nu;6.357303372E+17;314
2013-12-31T00:02:00.0000000;Delta;635240449200000000;696
2019-06-12T00:01:00.0000000;Pi;636,958,944,600,000,000.00000000;837
2014-06-28T00:02:00.0000000;Mu;635,395,105,200,000,000.00000000;948
2016-04-07T00:01:00.0000000;Eta;635955840600000000;868
2014-07-04T00:01:00.0000000;Omega;6.35400E+017;81
2016-08-07T00:01:00.0000000;Beta;6.360612486E+17;215
2016-12-30T00:01:00.0000000;Chi;6.361865286E+17;788
2014-06-03T00:01:00.0000000;Xi;6.353735046E+17;717
2014-01-06T00:02:00.0000000;Xi;6.352456332E+17;477
2018-05-05T00:01:00.0000000;Tau;6.366107526E+17;173
2014-08-05T00:01:00.0000000;Sigma;635,427,936,600,000,000.00000000;657
2018-05-12T00:01:00.0000000;Kappa;636,616,800,600,000,000.00000000;477
2012-05-05T00:01:00.0000000;Eta;6.347177286E+17;232
2017-11-20T00:03:00.0000000;Sigma;6.364673298E+17;569
2010-07-18T00:03:00.0000000;Pi;6.341500818E+17;687
2019-07-13T00:02:00.0000000;Pi;6.369857292E+17;678
2013-08-21T00:02:00.0000000;Omega;635126401200000000;200
2012-11-12T00:01:00.0000000;Sigma;634882752600000000;768
2018-08-13T00:02:00.0000000;Zeta;636697153200000000;241
2016-07-01T00:02:00.0000000;Epsilon;6.360292812E+17;899
2016-07-14T00:02:00.0000000;Iota;6.36041E+017;319
2012-04-22T00:01:00.0000000;Omicron;634,706,496,600,000,000.00000000;290
2010-01-10T00:01:00.0000000;Zeta;633,986,784,600,000,000.00000000;654
2010-11-11T00:01:00.0000000;Delta;634250304600000000;388
2019-02-08T00:02:00.0000000;Mu;636851809200000000;178
2014-01-26T00:02:00.0000000;Theta;6.352629132E+17;211
2017-09-27T00:01:00.0000000;Mu;6.364206726E+17;445
2010-02-05T00:03:00.0000000;Omega;6.340092498E+17;431
2010-04-26T00:01:00.0000000;Sigma;634078368600000000;288
2010-12-07T00:01:00.0000000;Eta;634272768600000000;105
2018-03-31T00:03:00.0000000;Xi;636580513800000000;77
2019-06-03T00:02:00.0000000;Kappa;6.369511692E+17;943
2013-06-04T00:02:00.0000000;Gamma;6.350590092E+17;654
2018-01-15T00:01:00.0000000;Upsilon;6.365157126E+17;989
2014-07-08T00:02:00.0000000;Alpha;6.354037452E+17;568
2019-05-16T00:02:00.0000000;Kappa;6.369356172E+17;823
2017-08-09T00:01:00.0000000;Tau;636378336600000000;616
2012-07-02T00:01:00.0000000;Upsilon;634767840600000000;221
2010-08-13T00:02:00.0000000;Delta;634172545200000000;890
2013-02-22T00:02:00.0000000;Lambda;634970881200000000;216
2016-10-05T00:02:00.0000000;Pi;636112225200000000;690
2011-03-19T00:01:00.0000000;Lambda;634360896600000000;325
2017-05-16T00:01:00.0000000;Epsilon;636304896600000000;857
2013-03-18T00:03:00.0000000;Nu;6.34992E+017;355
2017-07-15T00:02:00.0000000;Psi;6.363567372E+17;132
2013-07-03T00:03:00.0000000;Alpha;635084065800000000;194
2010-01-28T00:03:00.0000000;Kappa;634,002,337,800,000,000.00000000;83
2014-10-18T00:03:00.0000000;Rho;6.35492E+017;263
2015-11-15T00:01:00.0000000;Beta;635831424600000000;202
2019-12-03T00:02:00.0000000;Beta;6.371092812E+17;405
2012-07-23T00:02:00.0000000;Omicron;634785985200000000;597
2018-06-18T00:02:00.0000000;Pi;636648769200000000;135
2017-09-04T00:02:00.0000000;Rho;6.36401E+017;436
2010-02-17T00:02:00.0000000;Nu;634019617200000000;812
2013-09-02T00:02:00.0000000;Zeta;6.351367692E+17;30
2011-09-26T00:03:00.0000000;Nu;6.345259218E+17;731
2011-05-22T00:02:00.0000000;Alpha;6.344161932E+17;646
2011-04-15T00:02:00.0000000;Pi;6.34384E+017;159
2013-01-13T00:02:00.0000000;Iota;6.349363212E+17;114
2012-11-29T00:01:00.0000000;Beta;634897440600000000;875
2019-06-21T00:03:00.0000000;Xi;6.369667218E+17;669
2018-07-29T00:01:00.0000000;Chi;6.36684E+017;650
2012-05-17T00:01:00.0000000;Mu;6.34728E+017;54
2010-02-10T00:02:00.0000000;Lambda;6.340135692E+17;99
2013-12-20T00:03:00.0000000;Epsilon;6.352309458E+17;238
2012-11-09T00:02:00.0000000;Nu;634880161200000000;819
2010-08-15T00:02:00.0000000;Omega;634,174,273,200,000,000.00000000;260
2010-01-30T00:03:00.0000000;Omega;634004065800000000;864
2017-07-04T00:03:00.0000000;Sigma;636,347,233,800,000,000.00000000;585
2017-03-19T00:01:00.0000000;Lambda;636,254,784,600,000,000.00000000;842
2010-07-13T00:02:00.0000000;Eta;634145761200000000;686
2018-07-23T00:01:00.0000000;Nu;636,679,008,600,000,000.00000000;477
2015-02-06T00:01:00.0000000;Eta;6.35588E+017;411
2010-02-02T00:02:00.0000000;Delta;6.34007E+017;275
2014-03-05T00:04:00.0000000;Upsilon;635295746400000000;567
2014-09-16T00:02:00.0000000;Zeta;6.354642252E+17;219
2010-12-04T00:05:00.0000000;Delta;6.34270E+017;898
2018-12-08T00:02:00.0000000;Phi;6.367982412E+17;989
2012-06-11T00:01:00.0000000;Upsilon;6.347496966E+17;181
2011-09-06T00:02:00.0000000;Epsilon;6.34509E+017;582
2016-06-06T00:04:00.0000000;Epsilon;6.36008E+017;284
2015-07-31T00:02:00.0000000;Omicron;635,738,977,200,000,000.00000000;253
2015-02-03T00:02:00.0000000;Kappa;635585185200000000;258
2013-08-31T00:02:00.0000000;Xi;6.35135E+017;737
2011-08-30T00:01:00.0000000;Sigma;634,502,592,600,000,000.00000000;86
