TM;Category;unknown;Quantity
2010-06-11T00:01:00.0000000;Upsilon;6.34118E+017;291
2017-04-16T00:01:00.0000000;Phi;6.362789766E+17;841
2018-08-13T00:01:00.0000000;Nu;636697152600000000;900
2011-02-12T00:01:00.0000000;Omicron;634,330,656,600,000,000.00000000;87
2018-02-13T00:01:00.0000000;Lambda;636540768600000000;707
2010-06-27T00:01:00.0000000;Omega;634131936600000000;626
2014-08-30T00:02:00.0000000;Rho;6.354495372E+17;853
2010-10-15T00:02:00.0000000;Eta;6.34227E+017;7
2019-03-31T00:01:00.0000000;Alpha;636895872600000000;636
2016-03-19T00:01:00.0000000;Alpha;635939424600000000;645
2010-02-15T00:02:00.0000000;Zeta;634,017,889,200,000,000.00000000;233
2013-11-26T00:01:00.0000000;Theta;635210208600000000;322
2015-11-11T00:01:00.0000000;Omega;6.358279686E+17;388
2011-06-28T00:01:00.0000000;Chi;6.344481606E+17;739
2016-06-16T00:01:00.0000000;Phi;6.360163206E+17;272
2018-02-13T00:01:00.0000000;Tau;636540768600000000;464
2017-01-27T00:01:00.0000000;Rho;636210720600000000;271
2011-08-19T00:01:00.0000000;Upsilon;6.34493E+017;121
2011-09-02T00:01:00.0000000;Alpha;634505184600000000;411
2011-01-01T00:01:00.0000000;Phi;6.342943686E+17;276
2018-09-24T00:01:00.0000000;Sigma;6.367334406E+17;917
2015-05-16T00:01:00.0000000;Kappa;635673312600000000;820
2011-02-08T00:01:00.0000000;Zeta;6.343272006E+17;641
2011-02-01T00:01:00.0000000;Mu;6.34321E+017;670
2016-08-29T00:01:00.0000000;Psi;636080256600000000;977
2018-04-02T00:01:00.0000000;Omega;636582240600000000;782
2010-04-28T00:02:00.0000000;Xi;634,080,097,200,000,000.00000000;336
2014-11-24T00:01:00.0000000;Xi;635523840600000000;957
2014-11-28T00:02:00.0000000;Epsilon;6.355272972E+17;424
2013-09-03T00:01:00.0000000;Sigma;6.351376326E+17;587
2017-06-29T00:02:00.0000000;Chi;6.363429132E+17;325
2018-04-11T00:01:00.0000000;Phi;6.36590E+017;868
2015-09-05T00:01:00.0000000;Gamma;635,770,080,600,000,000.00000000;870
2011-07-11T00:01:00.0000000;Rho;634459392600000000;781
2019-02-07T00:01:00.0000000;Psi;636,850,944,600,000,000.00000000;981
2015-12-15T00:01:00.0000000;Tau;6.358573446E+17;335
2015-09-10T00:02:00.0000000;Alpha;6.35774E+017;149
2010-11-19T00:01:00.0000000;Omega;634257216600000000;916
2015-12-24T00:01:00.0000000;Lambda;635,865,120,600,000,000.00000000;287
2018-10-28T00:01:00.0000000;Omega;6.36763E+017;24
2017-04-14T00:02:00.0000000;Rho;6.36277E+017;44
2012-11-06T00:01:00.0000000;Nu;634877568600000000;502
2017-01-27T00:01:00.0000000;Beta;636210720600000000;419
2018-10-05T00:02:00.0000000;Phi;636742945200000000;370
2010-12-05T00:01:00.0000000;Zeta;634271040600000000;486
2012-02-11T00:02:00.0000000;Alpha;634645153200000000;156
2014-04-23T00:01:00.0000000;Chi;6.35338E+017;178
2013-09-17T00:02:00.0000000;Eta;6.35150E+017;697
2016-07-23T00:01:00.0000000;Theta;6.360482886E+17;457
2010-07-30T00:03:00.0000000;Rho;634160449800000000;654
2014-03-10T00:01:00.0000000;Lambda;635300064600000000;823
2012-05-28T00:02:00.0000000;Pi;634,737,601,200,000,000.00000000;771
2019-11-09T00:01:00.0000000;Eta;637088544600000000;444
2015-09-11T00:01:00.0000000;Iota;6.35775E+017;831
2010-01-06T00:01:00.0000000;Theta;6.339833286E+17;135
2019-08-08T00:01:00.0000000;Delta;637,008,192,600,000,000.00000000;601
2010-04-25T00:02:00.0000000;Mu;634077505200000000;253
2017-06-03T00:02:00.0000000;Epsilon;636320449200000000;564
2016-05-02T00:02:00.0000000;Alpha;635977441200000000;71
2016-01-21T00:01:00.0000000;Beta;6.358893126E+17;620
2019-10-04T00:01:00.0000000;Delta;637057440600000000;895
2018-10-31T00:01:00.0000000;Delta;6.367654086E+17;940
2014-09-11T00:01:00.0000000;Kappa;635459904600000000;968
2018-02-16T00:02:00.0000000;Kappa;6.365433612E+17;606
2010-07-10T00:01:00.0000000;Omega;634,143,168,600,000,000.00000000;256
2017-11-07T00:02:00.0000000;Mu;636456097200000000;915
2014-03-13T00:02:00.0000000;Nu;635302657200000000;20
2013-04-05T00:01:00.0000000;Xi;635007168600000000;543
2016-09-08T00:01:00.0000000;Omicron;6.36089E+017;831
2018-05-20T00:01:00.0000000;Omega;6.366237126E+17;658
2014-10-22T00:03:00.0000000;Zeta;6.354953298E+17;755
2018-10-11T00:01:00.0000000;Gamma;6.367481286E+17;9
2014-09-15T00:02:00.0000000;Tau;6.35463E+017;386
2016-12-31T00:01:00.0000000;Delta;6.361873926E+17;538
2012-11-15T00:01:00.0000000;Delta;6.34885E+017;750
2015-02-28T00:01:00.0000000;Omicron;6.356067846E+17;291
2013-11-03T00:02:00.0000000;Upsilon;635,190,337,200,000,000.00000000;280
2018-03-10T00:01:00.0000000;Kappa;6.365623686E+17;317
2013-02-18T00:01:00.0000000;Tau;6.349674246E+17;16
2012-08-22T00:02:00.0000000;Tau;6.348119052E+17;10
