TM;Category;unknown;Quantity
2014-03-26T00:01:00.0000000;Tau;635313888600000000;122
2019-04-16T00:01:00.0000000;Eta;636909696600000000;143
2011-09-14T00:01:00.0000000;Iota;634515552600000000;834
2018-12-23T00:01:00.0000000;Delta;6.368112006E+17;464
2013-10-22T00:01:00.0000000;Nu;635179968600000000;342
2013-04-19T00:01:00.0000000;Sigma;635,019,264,600,000,000.00000000;290
2018-11-25T00:01:00.0000000;Mu;636,787,008,600,000,000.00000000;963
2017-08-10T00:01:00.0000000;Tau;636379200600000000;411
2019-10-11T00:01:00.0000000;Lambda;6.370634886E+17;922
2014-10-04T00:01:00.0000000;Kappa;6.35480E+017;963
2011-10-18T00:01:00.0000000;Rho;6.345449286E+17;209
2019-11-14T00:01:00.0000000;Iota;6.370928646E+17;322
2014-11-20T00:01:00.0000000;Omicron;635,520,384,600,000,000.00000000;823
2013-05-17T00:01:00.0000000;Theta;6.350434566E+17;241
2017-08-17T00:01:00.0000000;Phi;6.36385E+017;117
2017-03-11T00:01:00.0000000;Tau;6.362478726E+17;299
2010-10-09T00:01:00.0000000;Zeta;634,221,792,600,000,000.00000000;285
2014-10-17T00:01:00.0000000;Phi;635491008600000000;772
2012-02-18T00:01:00.0000000;Sigma;6.346512006E+17;704
2012-03-24T00:01:00.0000000;Tau;6.34681E+017;455
2018-05-29T00:01:00.0000000;Gamma;636,631,488,600,000,000.00000000;268
2012-11-30T00:01:00.0000000;Eta;634898304600000000;949
2019-04-07T00:01:00.0000000;Nu;6.36902E+017;715
2018-07-17T00:01:00.0000000;Delta;6.366738246E+17;908
2018-04-01T00:01:00.0000000;Kappa;636581376600000000;661
2015-07-30T00:02:00.0000000;Lambda;635,738,113,200,000,000.00000000;393
2011-07-05T00:01:00.0000000;Tau;634454208600000000;89
2019-02-05T00:02:00.0000000;Upsilon;636,849,217,200,000,000.00000000;86
2014-01-24T00:01:00.0000000;Mu;6.35261E+017;512
2017-07-11T00:01:00.0000000;Kappa;636353280600000000;323
2018-05-29T00:01:00.0000000;Zeta;636,631,488,600,000,000.00000000;159
2015-11-24T00:01:00.0000000;Epsilon;6.35839E+017;239
2019-06-01T00:02:00.0000000;Theta;6.36949E+017;613
2017-10-12T00:02:00.0000000;Tau;6.36434E+017;23
2015-07-03T00:02:00.0000000;Iota;6.357147852E+17;172
2018-01-16T00:01:00.0000000;Epsilon;6.365165766E+17;570
2017-02-22T00:01:00.0000000;Omega;6.362331846E+17;431
2012-10-14T00:01:00.0000000;Omega;6.348576966E+17;618
2014-02-25T00:01:00.0000000;Upsilon;635288832600000000;376
2015-03-08T00:01:00.0000000;Theta;635,613,696,600,000,000.00000000;677
2016-03-15T00:02:00.0000000;Xi;6.359359692E+17;367
2019-04-06T00:01:00.0000000;Theta;636901056600000000;954
2011-03-27T00:01:00.0000000;Omega;6.34368E+017;395
2014-06-19T00:02:00.0000000;Tau;6.353873292E+17;920
2014-02-11T00:02:00.0000000;Eta;6.352767372E+17;384
2017-06-18T00:03:00.0000000;Chi;636,333,409,800,000,000.00000000;910
2013-11-12T00:01:00.0000000;Sigma;6.35198E+017;337
2011-12-17T00:01:00.0000000;Delta;634,596,768,600,000,000.00000000;398
2012-11-24T00:02:00.0000000;Gamma;634,893,121,200,000,000.00000000;978
2013-08-14T00:01:00.0000000;Mu;6.35120E+017;983
2018-08-23T00:01:00.0000000;Phi;636705792600000000;420
2010-05-18T00:01:00.0000000;Epsilon;634,097,376,600,000,000.00000000;670
2014-06-26T00:02:00.0000000;Sigma;635393377200000000;425
2017-07-14T00:02:00.0000000;Omega;6.363558732E+17;662
2019-11-29T00:01:00.0000000;Omicron;6.37106E+017;674
2011-07-27T00:02:00.0000000;Zeta;634473217200000000;589
2017-12-30T00:02:00.0000000;Zeta;636501889200000000;29
2011-06-26T00:02:00.0000000;Chi;6.34446E+017;26
2012-09-21T00:02:00.0000000;Iota;6.34838E+017;905
2017-08-09T00:02:00.0000000;Theta;636378337200000000;440
2018-08-29T00:01:00.0000000;Mu;636710976600000000;70
2011-06-08T00:02:00.0000000;Alpha;6.34431E+017;742
2013-04-23T00:01:00.0000000;Nu;635022720600000000;494
2013-01-05T00:01:00.0000000;Zeta;634929408600000000;707
2013-09-10T00:02:00.0000000;Gamma;635,143,681,200,000,000.00000000;728
2014-09-10T00:02:00.0000000;Mu;635459041200000000;638
2013-03-19T00:01:00.0000000;Upsilon;634992480600000000;267
2018-04-22T00:01:00.0000000;Sigma;636,599,520,600,000,000.00000000;587
2019-01-09T00:01:00.0000000;Omicron;6.368258886E+17;823
2013-03-19T00:01:00.0000000;Pi;634992480600000000;699
2012-03-13T00:02:00.0000000;Mu;634671937200000000;779
2018-11-15T00:02:00.0000000;Omega;6.367783692E+17;945
2018-05-08T00:02:00.0000000;Kappa;636613345200000000;132
2013-12-20T00:01:00.0000000;Theta;6.352309446E+17;754
2011-02-28T00:01:00.0000000;Mu;634344480600000000;658
2010-05-10T00:01:00.0000000;Upsilon;6.340904646E+17;682
2015-03-28T00:01:00.0000000;Tau;635,630,976,600,000,000.00000000;84
2019-06-18T00:01:00.0000000;Rho;6.36964E+017;288
2014-09-22T00:02:00.0000000;Xi;635469409200000000;362
2014-01-13T00:02:00.0000000;Theta;635251681200000000;480
2015-06-06T00:02:00.0000000;Iota;635,691,457,200,000,000.00000000;862
2019-03-07T00:01:00.0000000;Chi;6.368751366E+17;94
2018-04-25T00:03:00.0000000;Theta;636602113800000000;144
2014-01-06T00:03:00.0000000;Epsilon;6.352456338E+17;577
