TM;Category;unknown;Quantity
2010-08-10T00:01:00.0000000;Eta;6.341699526E+17;242
2015-01-27T00:01:00.0000000;Alpha;6.355791366E+17;601
2018-04-12T00:01:00.0000000;Tau;6.36591E+017;743
2013-07-05T00:01:00.0000000;Iota;635085792600000000;423
2011-03-31T00:01:00.0000000;Xi;6.343712646E+17;133
2010-12-22T00:01:00.0000000;Xi;634,285,728,600,000,000.00000000;968
2018-04-17T00:01:00.0000000;Upsilon;6.365952006E+17;265
2018-07-23T00:01:00.0000000;Delta;636,679,008,600,000,000.00000000;864
2017-12-20T00:01:00.0000000;Zeta;636493248600000000;14
2015-03-06T00:01:00.0000000;Kappa;635611968600000000;98
2011-08-28T00:01:00.0000000;Chi;634500864600000000;587
2013-08-11T00:01:00.0000000;Iota;635117760600000000;924
2016-03-23T00:01:00.0000000;Delta;635,942,880,600,000,000.00000000;470
2011-06-20T00:01:00.0000000;Beta;634,441,248,600,000,000.00000000;831
2012-11-19T00:01:00.0000000;Nu;6.348888006E+17;63
2010-06-06T00:01:00.0000000;Gamma;634,113,792,600,000,000.00000000;282
2015-12-04T00:01:00.0000000;Mu;635847840600000000;36
2015-07-20T00:02:00.0000000;Beta;6.35729E+017;296
2011-02-10T00:01:00.0000000;Phi;634328928600000000;422
2010-03-18T00:01:00.0000000;Delta;6.340446726E+17;230
2015-12-13T00:01:00.0000000;Gamma;6.35856E+017;527
2010-06-07T00:01:00.0000000;Alpha;634114656600000000;519
2010-04-01T00:01:00.0000000;Chi;6.340567686E+17;705
2013-10-25T00:01:00.0000000;Iota;6.35183E+017;708
2011-09-20T00:01:00.0000000;Tau;634520736600000000;946
2012-12-29T00:01:00.0000000;Upsilon;634923360600000000;840
2014-06-21T00:01:00.0000000;Pi;6.353890566E+17;868
2014-10-21T00:02:00.0000000;Nu;6.35494E+017;312
2013-11-24T00:01:00.0000000;Epsilon;635,208,480,600,000,000.00000000;978
2018-01-13T00:01:00.0000000;Pi;6.365139846E+17;58
2014-02-06T00:01:00.0000000;Xi;635272416600000000;404
2011-05-01T00:01:00.0000000;Gamma;634398048600000000;189
2011-07-28T00:02:00.0000000;Tau;634474081200000000;587
2017-09-04T00:01:00.0000000;Lambda;6.36401E+017;791
2012-02-27T00:01:00.0000000;Epsilon;634,658,976,600,000,000.00000000;582
2012-12-29T00:01:00.0000000;Alpha;634923360600000000;740
2015-06-10T00:02:00.0000000;Nu;635694913200000000;189
2017-02-24T00:01:00.0000000;Omega;6.362349126E+17;5
2011-06-08T00:02:00.0000000;Delta;6.34431E+017;185
2018-10-03T00:01:00.0000000;Iota;636,741,216,600,000,000.00000000;789
2013-08-10T00:01:00.0000000;Delta;635116896600000000;222
2014-09-28T00:01:00.0000000;Zeta;635,474,592,600,000,000.00000000;896
2016-01-28T00:01:00.0000000;Theta;635,895,360,600,000,000.00000000;983
2014-01-24T00:02:00.0000000;Theta;6.352611852E+17;36
2016-06-10T00:02:00.0000000;Phi;6.36011E+017;224
2011-07-10T00:02:00.0000000;Lambda;634458529200000000;442
2012-05-18T00:01:00.0000000;Eta;6.34729E+017;682
2012-07-12T00:02:00.0000000;Upsilon;6.347764812E+17;941
2013-12-31T00:01:00.0000000;Omicron;635240448600000000;234
2017-02-28T00:01:00.0000000;Zeta;636238368600000000;461
2015-09-15T00:01:00.0000000;Xi;6.357787206E+17;426
2019-03-01T00:01:00.0000000;Beta;636869952600000000;806
2019-10-15T00:01:00.0000000;Iota;637066944600000000;360
2015-05-22T00:01:00.0000000;Phi;635678496600000000;40
2013-08-10T00:02:00.0000000;Omicron;635116897200000000;818
2015-08-08T00:02:00.0000000;Sigma;6.357458892E+17;57
2018-07-31T00:01:00.0000000;Zeta;6.366859206E+17;523
2015-05-30T00:02:00.0000000;Zeta;6.356854092E+17;8
2018-04-17T00:01:00.0000000;Gamma;6.365952006E+17;81
2010-06-04T00:02:00.0000000;Phi;634,112,065,200,000,000.00000000;360
2018-05-03T00:01:00.0000000;Omicron;6.366090246E+17;893
2019-06-24T00:02:00.0000000;Omega;6.369693132E+17;436
2018-05-14T00:01:00.0000000;Omicron;636618528600000000;472
2015-03-13T00:02:00.0000000;Alpha;6.35618E+017;595
2017-12-08T00:01:00.0000000;Upsilon;6.364828806E+17;965
2012-01-01T00:03:00.0000000;Alpha;634609729800000000;413
2016-03-11T00:02:00.0000000;Theta;6.35933E+017;280
2017-04-23T00:02:00.0000000;Tau;636285025200000000;567
2010-08-06T00:02:00.0000000;Zeta;6.341664972E+17;237
2011-06-05T00:02:00.0000000;Pi;634428289200000000;606
2015-07-10T00:02:00.0000000;Epsilon;635720833200000000;504
2010-08-18T00:02:00.0000000;Delta;634176865200000000;834
2018-02-23T00:02:00.0000000;Alpha;636549409200000000;178
2012-01-03T00:01:00.0000000;Theta;634611456600000000;897
2018-05-31T00:02:00.0000000;Zeta;636633217200000000;450
2015-05-28T00:01:00.0000000;Delta;6.356836806E+17;829
2019-09-14T00:03:00.0000000;Sigma;637040161800000000;927
2019-06-10T00:04:00.0000000;Pi;636,957,218,400,000,000.00000000;34
2016-02-16T00:02:00.0000000;Tau;635,911,777,200,000,000.00000000;644
2017-12-05T00:02:00.0000000;Psi;6.36480E+017;831
2013-02-13T00:02:00.0000000;Tau;6.34963E+017;106
2012-10-18T00:02:00.0000000;Rho;634861153200000000;376
2010-11-08T00:01:00.0000000;Nu;6.342477126E+17;215
2017-07-13T00:02:00.0000000;Kappa;6.36355E+017;825
2011-12-26T00:01:00.0000000;Mu;6.346045446E+17;724
2011-01-19T00:01:00.0000000;Phi;6.343099206E+17;905
2011-01-26T00:01:00.0000000;Omicron;634,315,968,600,000,000.00000000;414
2018-05-12T00:01:00.0000000;Psi;636,616,800,600,000,000.00000000;97
2016-12-15T00:03:00.0000000;Mu;636173569800000000;373
2010-05-08T00:01:00.0000000;Sigma;6.340887366E+17;847
2012-10-19T00:01:00.0000000;Sigma;634862016600000000;531
2014-12-10T00:02:00.0000000;Epsilon;635537665200000000;307
2013-01-09T00:01:00.0000000;Nu;6.349328646E+17;796
2013-09-22T00:01:00.0000000;Lambda;6.351540486E+17;376
2014-03-06T00:01:00.0000000;Sigma;6.352966086E+17;418
2018-12-05T00:01:00.0000000;Mu;6.367956486E+17;573
2013-11-09T00:02:00.0000000;Alpha;6.35196E+017;225
2019-01-31T00:02:00.0000000;Xi;6.368448972E+17;452
2013-12-15T00:01:00.0000000;Eta;635226624600000000;937
2012-01-17T00:02:00.0000000;Alpha;6.346235532E+17;19
2014-08-12T00:01:00.0000000;Upsilon;6.354339846E+17;525
2010-06-25T00:02:00.0000000;Epsilon;634130209200000000;42
2010-05-31T00:01:00.0000000;Upsilon;6.341086086E+17;81
2016-04-24T00:01:00.0000000;Zeta;635970528600000000;187
2015-01-24T00:02:00.0000000;Kappa;6.355765452E+17;336
