TM;Category;unknown;Quantity
2013-01-15T00:01:00.0000000;Phi;634938048600000000;765
2012-06-10T00:01:00.0000000;Lambda;6.347488326E+17;84
2015-12-29T00:01:00.0000000;Zeta;6.35869E+017;705
2010-05-11T00:01:00.0000000;Psi;6.340913286E+17;616
2014-08-29T00:01:00.0000000;Eta;6.35449E+017;397
2010-02-15T00:01:00.0000000;Kappa;634,017,888,600,000,000.00000000;753
2014-11-23T00:01:00.0000000;Eta;635522976600000000;328
2014-06-24T00:01:00.0000000;Lambda;635391648600000000;968
2012-05-16T00:01:00.0000000;Iota;6.34727E+017;42
2016-08-10T00:01:00.0000000;Kappa;6.360638406E+17;820
2011-01-17T00:01:00.0000000;Mu;6.343081926E+17;624
2016-06-22T00:01:00.0000000;Gamma;636,021,504,600,000,000.00000000;478
2011-03-25T00:01:00.0000000;Nu;634366080600000000;662
2018-04-07T00:01:00.0000000;Iota;636586560600000000;438
2010-06-13T00:01:00.0000000;Tau;6.341198406E+17;774
2019-10-24T00:01:00.0000000;Epsilon;6.37075E+017;572
2017-05-12T00:01:00.0000000;Theta;636301440600000000;629
2017-12-17T00:01:00.0000000;Omega;636,490,656,600,000,000.00000000;749
2018-07-04T00:01:00.0000000;Kappa;636,662,592,600,000,000.00000000;536
2017-05-18T00:01:00.0000000;Delta;636306624600000000;691
2013-06-27T00:02:00.0000000;Kappa;635078881200000000;449
2014-05-03T00:01:00.0000000;Beta;635346720600000000;543
2018-04-25T00:01:00.0000000;Alpha;636602112600000000;362
2014-04-03T00:01:00.0000000;Sigma;635320800600000000;637
2017-07-10T00:02:00.0000000;Kappa;636352417200000000;988
2015-10-30T00:01:00.0000000;Lambda;635,817,600,600,000,000.00000000;467
2017-08-28T00:02:00.0000000;Upsilon;636,394,753,200,000,000.00000000;405
2018-12-24T00:01:00.0000000;Iota;6.368120646E+17;964
2019-10-14T00:01:00.0000000;Delta;637066080600000000;250
2010-11-17T00:01:00.0000000;Omicron;634255488600000000;642
2011-11-10T00:01:00.0000000;Kappa;634564800600000000;650
2011-07-10T00:02:00.0000000;Phi;634458529200000000;81
2015-01-16T00:01:00.0000000;Gamma;635569632600000000;173
2019-07-29T00:02:00.0000000;Tau;6.369995532E+17;2
2018-01-07T00:02:00.0000000;Sigma;636508801200000000;494
2010-09-29T00:02:00.0000000;Rho;6.342131532E+17;417
2016-06-18T00:02:00.0000000;Alpha;636018049200000000;992
2017-04-01T00:01:00.0000000;Kappa;6.362660166E+17;439
2010-05-28T00:02:00.0000000;Sigma;6.341060172E+17;100
2018-02-11T00:01:00.0000000;Beta;636539040600000000;312
2016-05-24T00:01:00.0000000;Iota;6.35996E+017;778
2012-10-27T00:01:00.0000000;Tau;6.34869E+017;97
2017-01-09T00:02:00.0000000;Nu;636195169200000000;335
2010-12-12T00:01:00.0000000;Omicron;6.342770886E+17;149
2018-06-30T00:02:00.0000000;Nu;636659137200000000;304
2013-08-26T00:01:00.0000000;Kappa;635,130,720,600,000,000.00000000;747
2017-07-27T00:01:00.0000000;Mu;636367104600000000;125
2010-06-04T00:01:00.0000000;Pi;634,112,064,600,000,000.00000000;797
2014-08-21T00:02:00.0000000;Theta;635,441,761,200,000,000.00000000;751
2014-08-19T00:01:00.0000000;Theta;635440032600000000;345
2013-12-08T00:01:00.0000000;Sigma;635220576600000000;372
2010-04-12T00:02:00.0000000;Rho;634066273200000000;611
2018-04-06T00:02:00.0000000;Delta;636585697200000000;574
2015-11-11T00:02:00.0000000;Upsilon;6.358279692E+17;104
2010-06-14T00:02:00.0000000;Psi;6.341207052E+17;537
2015-01-23T00:01:00.0000000;Zeta;6.355756806E+17;24
2011-09-16T00:02:00.0000000;Iota;634517281200000000;471
2014-07-31T00:02:00.0000000;Zeta;635423617200000000;459
2014-06-18T00:01:00.0000000;Omega;6.353864646E+17;625
2010-11-16T00:02:00.0000000;Omicron;634254625200000000;128
2017-01-03T00:01:00.0000000;Iota;636189984600000000;934
2014-12-29T00:02:00.0000000;Gamma;635554081200000000;450
2014-10-28T00:01:00.0000000;Lambda;6.355005126E+17;339
2010-12-01T00:01:00.0000000;Theta;634267584600000000;362
2012-08-24T00:03:00.0000000;Zeta;634813633800000000;924
2016-01-12T00:01:00.0000000;Pi;635,881,536,600,000,000.00000000;818
2018-04-30T00:02:00.0000000;Upsilon;6.366064332E+17;401
2015-12-27T00:01:00.0000000;Xi;635867712600000000;247
2010-04-14T00:02:00.0000000;Kappa;634068001200000000;444
2015-07-30T00:01:00.0000000;Tau;635738112600000000;78
2018-10-19T00:02:00.0000000;Eta;636,755,041,200,000,000.00000000;662
2018-07-19T00:01:00.0000000;Phi;636675552600000000;887
2013-06-16T00:01:00.0000000;Lambda;635069376600000000;111
2019-09-15T00:02:00.0000000;Mu;637041025200000000;118
2016-11-16T00:02:00.0000000;Rho;636148513200000000;719
2010-07-07T00:01:00.0000000;Mu;634140576600000000;627
2014-03-26T00:02:00.0000000;Lambda;635313889200000000;86
2011-11-18T00:03:00.0000000;Xi;6.345717138E+17;164
2017-05-07T00:03:00.0000000;Rho;6.362971218E+17;749
2018-10-06T00:02:00.0000000;Zeta;636743809200000000;164
2010-04-04T00:03:00.0000000;Tau;6.340593618E+17;626
2014-01-07T00:01:00.0000000;Zeta;6.352464966E+17;346
2018-07-21T00:01:00.0000000;Chi;636,677,280,600,000,000.00000000;194
2019-08-11T00:02:00.0000000;Iota;6.37011E+017;811
2018-08-20T00:02:00.0000000;Tau;6.367032012E+17;581
2019-09-20T00:02:00.0000000;Kappa;6.370453452E+17;691
2012-11-09T00:03:00.0000000;Omega;634880161800000000;869
2015-06-04T00:01:00.0000000;Zeta;635689728600000000;748
2014-03-24T00:01:00.0000000;Mu;6.353121606E+17;595
2017-11-24T00:01:00.0000000;Pi;6.364707846E+17;269
2015-06-27T00:02:00.0000000;Eta;635709601200000000;404
2016-09-10T00:02:00.0000000;Phi;6.360906252E+17;953
2011-06-05T00:02:00.0000000;Phi;634428289200000000;137
2017-10-25T00:02:00.0000000;Tau;636444865200000000;481
2017-08-28T00:02:00.0000000;Zeta;636,394,753,200,000,000.00000000;708
2011-05-15T00:02:00.0000000;Pi;634,410,145,200,000,000.00000000;790
2010-10-21T00:01:00.0000000;Chi;6.342321606E+17;606
2015-08-09T00:02:00.0000000;Delta;6.357467532E+17;543
2014-06-04T00:02:00.0000000;Pi;6.353743692E+17;130
2019-06-09T00:03:00.0000000;Phi;636956353800000000;972
2014-06-02T00:03:00.0000000;Upsilon;6.353726418E+17;954
2017-02-15T00:01:00.0000000;Zeta;636227136600000000;558
2014-01-30T00:02:00.0000000;Phi;635266369200000000;513
2013-06-09T00:01:00.0000000;Omicron;635063328600000000;52
2018-08-23T00:02:00.0000000;Beta;636705793200000000;451
2013-11-14T00:02:00.0000000;Iota;6.351998412E+17;62
2013-11-14T00:02:00.0000000;Theta;6.351998412E+17;733
2016-11-06T00:02:00.0000000;Delta;6.361398732E+17;483
2010-09-28T00:01:00.0000000;Chi;6.34212E+017;415
2019-07-18T00:02:00.0000000;Eta;636,990,049,200,000,000.00000000;565
2014-11-25T00:01:00.0000000;Nu;6.35525E+017;716
2016-04-04T00:02:00.0000000;Lambda;6.359532492E+17;999
2015-02-25T00:02:00.0000000;Gamma;6.35604E+017;123
2019-02-14T00:05:00.0000000;Xi;6.36856995E+17;421
2015-07-23T00:02:00.0000000;Tau;6.357320652E+17;551
