TM;Category;unknown;Quantity
2011-04-16T00:01:00.0000000;Omicron;6.343850886E+17;884
2018-08-07T00:01:00.0000000;Upsilon;636691968600000000;405
2012-10-27T00:01:00.0000000;Mu;6.34869E+017;1
2016-02-12T00:01:00.0000000;Tau;635908320600000000;270
2019-02-25T00:01:00.0000000;Chi;636,866,496,600,000,000.00000000;886
2016-05-14T00:01:00.0000000;Theta;635987808600000000;834
2015-11-20T00:01:00.0000000;Psi;635835744600000000;82
2018-03-20T00:01:00.0000000;Chi;636571008600000000;516
2011-09-05T00:01:00.0000000;Sigma;6.34508E+017;683
2017-03-24T00:01:00.0000000;Beta;636259104600000000;415
2017-08-26T00:01:00.0000000;Pi;636393024600000000;468
2012-12-24T00:01:00.0000000;Eta;6.349190406E+17;480
2018-02-10T00:01:00.0000000;Zeta;636,538,176,600,000,000.00000000;570
2010-04-28T00:01:00.0000000;Epsilon;634,080,096,600,000,000.00000000;48
2015-02-24T00:02:00.0000000;Chi;6.35603E+017;224
2014-03-06T00:01:00.0000000;Alpha;6.352966086E+17;677
2010-05-07T00:01:00.0000000;Alpha;6.340878726E+17;673
2014-08-26T00:01:00.0000000;Kappa;635446080600000000;366
2012-06-14T00:01:00.0000000;Tau;634752288600000000;729
2019-12-05T00:02:00.0000000;Rho;6.371110092E+17;228
2012-06-16T00:01:00.0000000;Chi;634,754,016,600,000,000.00000000;16
2011-02-22T00:01:00.0000000;Psi;6.343392966E+17;776
2019-04-30T00:01:00.0000000;Delta;6.369217926E+17;810
2015-07-13T00:01:00.0000000;Sigma;635,723,424,600,000,000.00000000;323
2016-09-26T00:01:00.0000000;Zeta;6.36104E+017;606
2017-08-10T00:01:00.0000000;Mu;636379200600000000;585
2018-01-29T00:01:00.0000000;Nu;6.36528E+017;413
2010-04-22T00:01:00.0000000;Iota;6.340749126E+17;0
2014-10-03T00:01:00.0000000;Xi;6.35479E+017;181
2012-10-01T00:01:00.0000000;Mu;634846464600000000;570
2016-11-10T00:01:00.0000000;Chi;636143328600000000;192
2016-09-25T00:02:00.0000000;Eta;6.36104E+017;622
2015-05-05T00:02:00.0000000;Theta;635663809200000000;553
2018-02-07T00:01:00.0000000;Sigma;636535584600000000;996
2016-03-18T00:01:00.0000000;Lambda;6.359385606E+17;222
2019-03-04T00:01:00.0000000;Theta;6.36873E+017;483
2019-03-16T00:01:00.0000000;Pi;636,882,912,600,000,000.00000000;238
2012-05-19T00:02:00.0000000;Upsilon;6.347298252E+17;111
2013-12-16T00:01:00.0000000;Gamma;6.35227E+017;297
2014-07-19T00:01:00.0000000;Omicron;635413248600000000;137
2014-01-22T00:01:00.0000000;Delta;6.35259E+017;767
2014-04-01T00:03:00.0000000;Omicron;635319073800000000;830
2010-05-19T00:02:00.0000000;Chi;634098241200000000;618
2014-01-15T00:01:00.0000000;Upsilon;635,253,408,600,000,000.00000000;198
2013-09-04T00:02:00.0000000;Omicron;6.351384972E+17;614
2019-01-05T00:01:00.0000000;Xi;636822432600000000;5
2013-10-02T00:01:00.0000000;Omicron;635162688600000000;805
2014-03-22T00:02:00.0000000;Zeta;6.353104332E+17;54
2019-09-23T00:01:00.0000000;Beta;6.370479366E+17;273
2015-07-10T00:02:00.0000000;Zeta;635720833200000000;419
2013-11-03T00:01:00.0000000;Xi;635190336600000000;518
2012-10-23T00:02:00.0000000;Psi;634865473200000000;992
2015-12-08T00:03:00.0000000;Omicron;635851297800000000;90
2014-10-18T00:02:00.0000000;Kappa;635491873200000000;697
2012-07-02T00:01:00.0000000;Zeta;634767840600000000;706
2010-12-02T00:01:00.0000000;Rho;634,268,448,600,000,000.00000000;912
2013-03-17T00:02:00.0000000;Beta;634990753200000000;658
2011-05-31T00:01:00.0000000;Xi;634423968600000000;988
2013-03-10T00:02:00.0000000;Chi;634984705200000000;180
2019-11-06T00:01:00.0000000;Theta;637,085,952,600,000,000.00000000;289
2011-09-29T00:02:00.0000000;Delta;6.345285132E+17;29
2016-03-23T00:02:00.0000000;Lambda;635,942,881,200,000,000.00000000;45
2019-02-05T00:02:00.0000000;Eta;636,849,217,200,000,000.00000000;188
2016-04-30T00:02:00.0000000;Upsilon;635975713200000000;143
2017-07-15T00:01:00.0000000;Delta;6.363567366E+17;467
2017-02-27T00:01:00.0000000;Epsilon;636237504600000000;671
2016-07-01T00:01:00.0000000;Omicron;6.360292806E+17;471
2015-07-13T00:02:00.0000000;Xi;635,723,425,200,000,000.00000000;725
2011-01-25T00:01:00.0000000;Phi;634,315,104,600,000,000.00000000;542
2012-08-18T00:02:00.0000000;Rho;6.348084492E+17;307
2015-01-21T00:01:00.0000000;Mu;6.35574E+017;807
2013-04-20T00:02:00.0000000;Sigma;635,020,129,200,000,000.00000000;558
2015-10-15T00:03:00.0000000;Beta;635804641800000000;948
2011-05-06T00:02:00.0000000;Omicron;6.344023692E+17;92
2018-01-13T00:02:00.0000000;Rho;6.365139852E+17;414
2017-03-17T00:01:00.0000000;Xi;636253056600000000;721
2015-05-24T00:01:00.0000000;Alpha;635680224600000000;628
2013-06-04T00:02:00.0000000;Phi;6.350590092E+17;670
2015-12-10T00:03:00.0000000;Nu;6.35853E+017;482
2017-02-17T00:02:00.0000000;Phi;6.36229E+017;343
2016-10-17T00:02:00.0000000;Nu;6.361225932E+17;250
2013-05-11T00:01:00.0000000;Chi;635038272600000000;553
2013-05-22T00:02:00.0000000;Iota;635047777200000000;784
2013-04-19T00:01:00.0000000;Lambda;635,019,264,600,000,000.00000000;670
2010-04-20T00:02:00.0000000;Pi;6.340731852E+17;768
2011-06-08T00:01:00.0000000;Iota;6.34431E+017;785
2011-08-28T00:02:00.0000000;Xi;634500865200000000;381
2015-07-01T00:02:00.0000000;Mu;6.35713E+017;311
2016-07-13T00:02:00.0000000;Psi;636039649200000000;218
2011-05-21T00:03:00.0000000;Epsilon;6.344153298E+17;501
2010-09-07T00:02:00.0000000;Pi;6.34194E+017;109
2016-06-28T00:02:00.0000000;Mu;6.36027E+017;253
2013-04-17T00:01:00.0000000;Lambda;635017536600000000;346
2013-11-28T00:02:00.0000000;Mu;6.35212E+017;513
2018-10-29T00:03:00.0000000;Psi;6.367636818E+17;893
2011-11-06T00:02:00.0000000;Upsilon;6.345613452E+17;852
2014-05-22T00:02:00.0000000;Zeta;635,363,137,200,000,000.00000000;881
2015-07-09T00:02:00.0000000;Eta;635719969200000000;421
2018-03-14T00:01:00.0000000;Alpha;636565824600000000;574
2010-12-08T00:02:00.0000000;Omicron;6.34274E+017;308
2012-02-27T00:02:00.0000000;Omega;634,658,977,200,000,000.00000000;75
2010-02-19T00:02:00.0000000;Rho;634021345200000000;737
2011-08-04T00:02:00.0000000;Psi;6.344801292E+17;746
2015-01-09T00:02:00.0000000;Alpha;635563585200000000;745
2010-08-26T00:03:00.0000000;Nu;6.341837778E+17;319
2012-10-20T00:01:00.0000000;Xi;634,862,880,600,000,000.00000000;114
2016-04-01T00:02:00.0000000;Delta;6.359506572E+17;852
2012-01-10T00:03:00.0000000;Kappa;6.34618E+017;3
2014-01-25T00:02:00.0000000;Tau;6.352620492E+17;970
2015-02-12T00:01:00.0000000;Beta;6.355929606E+17;519
2014-06-06T00:02:00.0000000;Omega;635376097200000000;636
2018-05-16T00:01:00.0000000;Tau;6.36620E+017;304
2017-10-14T00:01:00.0000000;Sigma;6.364353606E+17;620
2017-05-23T00:01:00.0000000;Xi;6.363109446E+17;780
2012-06-25T00:02:00.0000000;Pi;6.347617932E+17;23
2015-03-06T00:01:00.0000000;Delta;635611968600000000;450
2019-06-30T00:02:00.0000000;Phi;636,974,497,200,000,000.00000000;912
2011-10-08T00:01:00.0000000;Upsilon;634,536,288,600,000,000.00000000;973
2010-01-19T00:01:00.0000000;Theta;6.339945606E+17;115
2017-05-23T00:01:00.0000000;Tau;6.363109446E+17;57
2011-10-01T00:03:00.0000000;Epsilon;634530241800000000;401
2018-09-10T00:03:00.0000000;Omicron;636721345800000000;846
2012-12-23T00:02:00.0000000;Kappa;6.349181772E+17;16
2014-06-24T00:02:00.0000000;Beta;635391649200000000;932
2014-12-21T00:03:00.0000000;Sigma;635547169800000000;526
2011-04-18T00:02:00.0000000;Beta;6.343868172E+17;481
2012-11-11T00:02:00.0000000;Rho;634881889200000000;679
2012-02-20T00:01:00.0000000;Eta;6.346529286E+17;826
2011-01-28T00:03:00.0000000;Chi;634317697800000000;53
2019-08-02T00:03:00.0000000;Delta;637003009800000000;269
2018-09-16T00:04:00.0000000;Rho;636726530400000000;975
2015-06-11T00:02:00.0000000;Iota;635695777200000000;421
2017-10-18T00:02:00.0000000;Beta;6.364388172E+17;400
2013-04-25T00:04:00.0000000;Omega;6.350244504E+17;839
2013-06-15T00:03:00.0000000;Lambda;635068513800000000;452
