TM;Category;unknown;Quantity
2015-11-26T00:01:00.0000000;Delta;6.358409286E+17;753
2019-10-19T00:01:00.0000000;Epsilon;637,070,400,600,000,000.00000000;692
2010-08-01T00:02:00.0000000;Iota;634162177200000000;312
2017-02-20T00:01:00.0000000;Omega;6.362314566E+17;431
2010-04-16T00:01:00.0000000;Zeta;6.34070E+017;421
2018-10-26T00:01:00.0000000;Delta;6.36761E+017;663
2012-12-30T00:01:00.0000000;Lambda;634924224600000000;343
2018-04-26T00:02:00.0000000;Zeta;636602977200000000;12
2015-01-30T00:01:00.0000000;Phi;635581728600000000;205
2010-09-06T00:01:00.0000000;Upsilon;634193280600000000;420
2016-03-19T00:01:00.0000000;Mu;635939424600000000;913
2014-04-26T00:01:00.0000000;Beta;6.353406726E+17;593
2016-04-30T00:01:00.0000000;Epsilon;635975712600000000;868
2012-06-29T00:01:00.0000000;Epsilon;6.347652486E+17;408
2012-09-28T00:01:00.0000000;Eta;6.348438726E+17;425
2013-04-24T00:01:00.0000000;Lambda;635023584600000000;548
2011-11-15T00:01:00.0000000;Zeta;634569120600000000;508
2015-05-28T00:01:00.0000000;Omega;6.356836806E+17;810
2014-04-10T00:01:00.0000000;Psi;6.353268486E+17;299
2017-08-13T00:01:00.0000000;Delta;636,381,792,600,000,000.00000000;430
2015-05-06T00:01:00.0000000;Sigma;635664672600000000;254
2017-11-15T00:01:00.0000000;Omega;636463008600000000;373
2014-09-20T00:01:00.0000000;Iota;6.354676806E+17;642
2016-10-27T00:01:00.0000000;Kappa;636,131,232,600,000,000.00000000;84
2016-01-21T00:01:00.0000000;Iota;6.358893126E+17;538
2016-04-09T00:01:00.0000000;Kappa;635,957,568,600,000,000.00000000;324
2016-02-15T00:01:00.0000000;Xi;635,910,912,600,000,000.00000000;186
2010-09-12T00:01:00.0000000;Epsilon;6.341984646E+17;541
2018-05-04T00:02:00.0000000;Pi;6.366098892E+17;592
2017-10-06T00:01:00.0000000;Alpha;636,428,448,600,000,000.00000000;649
