TM;Category;unknown;Quantity
2011-01-20T00:01:00.0000000;Tau;6.343107846E+17;630
2011-04-26T00:01:00.0000000;Delta;634,393,728,600,000,000.00000000;119
2019-01-28T00:01:00.0000000;Eta;6.368423046E+17;716
2011-08-27T00:01:00.0000000;Eta;634500000600000000;686
2016-09-16T00:01:00.0000000;Xi;636095808600000000;64
2012-02-18T00:02:00.0000000;Gamma;6.346512012E+17;927
2010-05-25T00:01:00.0000000;Xi;6.34103E+017;837
2019-03-22T00:01:00.0000000;Xi;6.36888E+017;917
2012-07-07T00:01:00.0000000;Nu;634772160600000000;77
2011-04-01T00:01:00.0000000;Gamma;6.343721286E+17;858
2016-12-21T00:01:00.0000000;Omega;636,178,752,600,000,000.00000000;525
2018-06-21T00:02:00.0000000;Kappa;6.36651E+017;549
2016-05-02T00:01:00.0000000;Tau;635977440600000000;252
2015-07-16T00:01:00.0000000;Tau;635726016600000000;838
2016-09-08T00:01:00.0000000;Iota;6.36089E+017;971
2011-03-14T00:01:00.0000000;Lambda;6.343565766E+17;757
2015-05-05T00:01:00.0000000;Beta;635663808600000000;16
2016-07-17T00:01:00.0000000;Theta;6.36043E+017;43
2014-09-04T00:01:00.0000000;Theta;6.354538566E+17;357
2011-04-11T00:01:00.0000000;Sigma;634380768600000000;651
2010-06-24T00:01:00.0000000;Rho;634,129,344,600,000,000.00000000;838
2010-01-02T00:01:00.0000000;Omicron;6.339798726E+17;432
2010-12-11T00:01:00.0000000;Theta;6.342762246E+17;81
2017-02-17T00:01:00.0000000;Pi;6.36229E+017;272
2015-11-06T00:01:00.0000000;Omega;6.35824E+017;117
2013-08-07T00:01:00.0000000;Tau;635,114,304,600,000,000.00000000;474
2013-10-03T00:01:00.0000000;Phi;635163552600000000;747
2014-10-09T00:01:00.0000000;Kappa;6.354840966E+17;939
2019-05-26T00:01:00.0000000;Delta;636,944,256,600,000,000.00000000;686
2016-05-24T00:01:00.0000000;Gamma;6.35996E+017;936
2014-02-25T00:01:00.0000000;Alpha;635288832600000000;224
2012-01-01T00:02:00.0000000;Kappa;634609729200000000;722
2014-06-29T00:01:00.0000000;Rho;635,395,968,600,000,000.00000000;994
2018-04-24T00:01:00.0000000;Kappa;636,601,248,600,000,000.00000000;139
2018-04-15T00:01:00.0000000;Kappa;6.365934726E+17;368
2013-03-16T00:01:00.0000000;Pi;634,989,888,600,000,000.00000000;412
2017-02-25T00:01:00.0000000;Sigma;6.362357766E+17;15
2010-08-29T00:02:00.0000000;Tau;634186369200000000;128
2019-06-28T00:01:00.0000000;Omicron;636972768600000000;897
2012-10-04T00:01:00.0000000;Lambda;634,849,056,600,000,000.00000000;272
2016-05-13T00:01:00.0000000;Iota;635986944600000000;649
2019-10-12T00:02:00.0000000;Omega;6.370643532E+17;42
2015-04-01T00:01:00.0000000;Tau;6.35634E+017;320
2014-08-31T00:01:00.0000000;Iota;6.354504006E+17;945
2014-03-19T00:02:00.0000000;Zeta;6.353078412E+17;833
2010-08-11T00:01:00.0000000;Iota;6.341708166E+17;499
2011-10-31T00:01:00.0000000;Eta;6.34556E+017;920
2016-03-01T00:01:00.0000000;Phi;635923872600000000;527
2011-08-11T00:01:00.0000000;Eta;634486176600000000;753
2013-10-20T00:03:00.0000000;Delta;635178241800000000;647
2016-07-14T00:02:00.0000000;Upsilon;6.36041E+017;18
