TM;Category;unknown;Quantity
2010-11-08T00:01:00.0000000;Zeta;6.342477126E+17;818
2012-08-14T00:01:00.0000000;Iota;6.34805E+017;586
2019-12-31T00:01:00.0000000;Omega;637133472600000000;559
2015-02-19T00:01:00.0000000;Nu;635,599,008,600,000,000.00000000;400
2019-04-12T00:01:00.0000000;Gamma;6.369062406E+17;922
2016-03-17T00:01:00.0000000;Upsilon;6.359376966E+17;830
2010-01-25T00:01:00.0000000;Psi;633999744600000000;353
2016-06-10T00:01:00.0000000;Beta;6.36011E+017;663
2017-11-21T00:01:00.0000000;Psi;6.364681926E+17;861
2011-11-13T00:02:00.0000000;Sigma;634567393200000000;417
2010-11-03T00:02:00.0000000;Lambda;6.34243E+017;62
2019-03-12T00:01:00.0000000;Phi;636879456600000000;218
2017-03-02T00:01:00.0000000;Zeta;636,240,096,600,000,000.00000000;417
2014-02-27T00:01:00.0000000;Phi;6.35291E+017;772
2010-08-04T00:01:00.0000000;Theta;6.34165E+017;566
2015-01-13T00:01:00.0000000;Nu;635,567,040,600,000,000.00000000;867
2013-06-27T00:01:00.0000000;Nu;635078880600000000;140
2019-11-21T00:01:00.0000000;Upsilon;637098912600000000;161
2011-11-06T00:01:00.0000000;Kappa;6.345613446E+17;691
2012-07-19T00:02:00.0000000;Nu;634782529200000000;585
2011-05-31T00:01:00.0000000;Omega;634423968600000000;123
2014-07-02T00:01:00.0000000;Mu;635398560600000000;551
2013-08-26T00:01:00.0000000;Nu;635,130,720,600,000,000.00000000;740
2013-09-15T00:01:00.0000000;Theta;635148000600000000;857
2017-03-19T00:02:00.0000000;Omega;636,254,785,200,000,000.00000000;142
2015-01-07T00:01:00.0000000;Gamma;6.355618566E+17;808
2015-11-20T00:02:00.0000000;Pi;635835745200000000;814
2016-04-01T00:01:00.0000000;Sigma;6.359506566E+17;270
2018-12-21T00:02:00.0000000;Pi;6.368094732E+17;546
2018-06-06T00:01:00.0000000;Zeta;6.366384006E+17;938
2013-08-11T00:01:00.0000000;Gamma;635117760600000000;437
2012-07-06T00:01:00.0000000;Pi;634771296600000000;188
2016-04-27T00:01:00.0000000;Chi;635,973,120,600,000,000.00000000;844
2017-10-30T00:01:00.0000000;Phi;6.36449E+017;461
2016-06-06T00:01:00.0000000;Upsilon;636007680600000000;661
2019-05-17T00:01:00.0000000;Zeta;6.369364806E+17;513
2017-07-08T00:02:00.0000000;Rho;636350689200000000;304
2019-04-19T00:01:00.0000000;Zeta;636,912,288,600,000,000.00000000;795
2018-10-01T00:02:00.0000000;Beta;636,739,489,200,000,000.00000000;947
2019-10-23T00:01:00.0000000;Upsilon;6.37074E+017;365
2014-07-26T00:01:00.0000000;Zeta;6.354192966E+17;963
2018-05-13T00:01:00.0000000;Omega;636617664600000000;133
2019-06-18T00:01:00.0000000;Alpha;6.36964E+017;173
2013-12-21T00:01:00.0000000;Iota;6.352318086E+17;533
2017-02-08T00:01:00.0000000;Zeta;636221088600000000;837
2018-06-09T00:02:00.0000000;Kappa;6.366409932E+17;763
2013-08-02T00:01:00.0000000;Iota;635109984600000000;607
2011-07-12T00:02:00.0000000;Kappa;6.34460E+017;827
2017-05-14T00:01:00.0000000;Pi;636,303,168,600,000,000.00000000;676
2013-11-19T00:01:00.0000000;Upsilon;635204160600000000;266
2019-09-14T00:01:00.0000000;Pi;637040160600000000;552
2010-08-18T00:03:00.0000000;Nu;634176865800000000;968
2011-08-09T00:01:00.0000000;Xi;634484448600000000;246
2019-05-18T00:01:00.0000000;Omicron;6.369373446E+17;520
2019-05-27T00:01:00.0000000;Psi;636,945,120,600,000,000.00000000;474
2013-08-05T00:01:00.0000000;Omicron;635,112,576,600,000,000.00000000;201
2019-09-29T00:03:00.0000000;Gamma;637,053,121,800,000,000.00000000;998
2012-11-10T00:01:00.0000000;Theta;634881024600000000;136
2019-09-29T00:01:00.0000000;Epsilon;637,053,120,600,000,000.00000000;236
2012-01-30T00:01:00.0000000;Iota;6.34635E+017;386
2018-02-12T00:02:00.0000000;Rho;636539905200000000;480
2014-11-27T00:01:00.0000000;Upsilon;6.35526E+017;262
2013-11-01T00:02:00.0000000;Zeta;635188609200000000;359
2019-01-27T00:02:00.0000000;Phi;6.368414412E+17;220
2016-05-22T00:02:00.0000000;Lambda;6.35995E+017;898
2014-07-26T00:02:00.0000000;Nu;6.354192972E+17;925
2016-03-20T00:01:00.0000000;Rho;635940288600000000;716
2011-12-14T00:01:00.0000000;Zeta;634594176600000000;778
2012-05-11T00:01:00.0000000;Xi;634,722,912,600,000,000.00000000;781
2014-03-20T00:02:00.0000000;Gamma;6.353087052E+17;121
2017-05-24T00:01:00.0000000;Xi;6.363118086E+17;275
2019-12-21T00:01:00.0000000;Mu;6.371248326E+17;598
2012-09-07T00:02:00.0000000;Rho;6.348257292E+17;142
2019-05-23T00:02:00.0000000;Omega;636941665200000000;286
2013-07-18T00:01:00.0000000;Zeta;635,097,024,600,000,000.00000000;331
2019-07-23T00:02:00.0000000;Kappa;636994369200000000;587
2011-08-09T00:02:00.0000000;Rho;634484449200000000;838
2016-08-28T00:02:00.0000000;Omega;636079393200000000;932
2014-03-21T00:01:00.0000000;Omega;6.353095686E+17;152
2017-12-19T00:02:00.0000000;Epsilon;636492385200000000;270
2013-08-27T00:02:00.0000000;Mu;635131585200000000;677
2014-06-06T00:03:00.0000000;Phi;635376097800000000;891
2014-01-30T00:01:00.0000000;Mu;6.352663686E+17;877
2013-11-10T00:01:00.0000000;Chi;6.35196E+017;610
2013-11-14T00:02:00.0000000;Delta;6.351998412E+17;332
2017-04-15T00:01:00.0000000;Theta;6.36278E+017;234
2014-04-24T00:02:00.0000000;Pi;6.353389452E+17;803
2019-04-18T00:02:00.0000000;Iota;636,911,425,200,000,000.00000000;205
2014-05-03T00:02:00.0000000;Kappa;635,346,721,200,000,000.00000000;830
2011-05-10T00:02:00.0000000;Pi;634405825200000000;59
2010-11-04T00:01:00.0000000;Phi;6.34244E+017;42
2019-10-07T00:03:00.0000000;Zeta;6.370600338E+17;644
2010-07-29T00:04:00.0000000;Delta;634159586400000000;219
2013-02-10T00:02:00.0000000;Lambda;634960513200000000;0
2010-05-04T00:03:00.0000000;Nu;6.34085E+017;285
2014-06-13T00:01:00.0000000;Delta;635382144600000000;36
2012-07-20T00:01:00.0000000;Rho;634783392600000000;411
2010-11-03T00:02:00.0000000;Alpha;6.34243E+017;7
2015-01-23T00:04:00.0000000;Alpha;6.355756824E+17;49
2010-01-31T00:02:00.0000000;Omega;634004929200000000;432
2010-03-26T00:02:00.0000000;Chi;634051585200000000;508
2017-07-27T00:02:00.0000000;Iota;636367105200000000;895
2012-10-01T00:02:00.0000000;Tau;634,846,465,200,000,000.00000000;658
2013-09-02T00:02:00.0000000;Epsilon;6.351367692E+17;682
2012-05-23T00:03:00.0000000;Phi;634733281800000000;203
2013-11-03T00:01:00.0000000;Omega;635190336600000000;202
2019-07-14T00:02:00.0000000;Mu;6.369865932E+17;161
2013-02-20T00:02:00.0000000;Xi;634969153200000000;974
2019-03-02T00:02:00.0000000;Mu;6.36871E+017;626
2010-05-08T00:01:00.0000000;Theta;6.340887366E+17;541
2014-07-18T00:02:00.0000000;Psi;635412385200000000;106
2016-11-24T00:02:00.0000000;Rho;6.361554252E+17;35
2011-03-23T00:01:00.0000000;Phi;634364352600000000;165
2019-04-30T00:02:00.0000000;Zeta;6.369217932E+17;120
2016-06-27T00:04:00.0000000;Kappa;6.360258264E+17;139
2019-12-08T00:02:00.0000000;Upsilon;637113601200000000;393
2013-07-21T00:01:00.0000000;Xi;635099616600000000;911
2017-10-05T00:03:00.0000000;Eta;636,427,585,800,000,000.00000000;160
2018-09-28T00:02:00.0000000;Zeta;636736897200000000;926
2015-12-13T00:02:00.0000000;Pi;6.358556172E+17;155
2015-03-25T00:03:00.0000000;Mu;635,628,385,800,000,000.00000000;196
2011-09-25T00:02:00.0000000;Delta;6.34525E+017;530
2016-11-04T00:01:00.0000000;Theta;6.361381446E+17;58
2013-07-29T00:03:00.0000000;Xi;6.351065298E+17;720
2018-10-28T00:01:00.0000000;Eta;6.36763E+017;930
2016-11-25T00:01:00.0000000;Theta;6.361562886E+17;90
2019-06-01T00:03:00.0000000;Mu;6.369494418E+17;730
2017-10-06T00:03:00.0000000;Pi;636428449800000000;712
2012-04-13T00:02:00.0000000;Delta;6.346987212E+17;478
2013-09-03T00:02:00.0000000;Theta;6.351376332E+17;988
2012-05-06T00:02:00.0000000;Iota;634718593200000000;974
2012-05-18T00:01:00.0000000;Chi;6.34729E+017;167
2013-02-28T00:03:00.0000000;Gamma;6.34976E+017;112
2018-09-20T00:02:00.0000000;Beta;6.36730E+017;768
2018-05-15T00:02:00.0000000;Tau;6.36619E+017;447
2012-06-10T00:02:00.0000000;Gamma;6.347488332E+17;64
2014-07-29T00:04:00.0000000;Mu;635421890400000000;373
2017-09-03T00:02:00.0000000;Xi;636399937200000000;988
2013-07-15T00:02:00.0000000;Theta;635094433200000000;852
2014-11-16T00:03:00.0000000;Phi;635516929800000000;341
2019-06-03T00:02:00.0000000;Delta;6.369511692E+17;881
2016-10-24T00:02:00.0000000;Gamma;636128641200000000;260
2017-07-07T00:01:00.0000000;Pi;636,349,824,600,000,000.00000000;878
2011-06-22T00:02:00.0000000;Pi;634442977200000000;24
2017-09-15T00:03:00.0000000;Theta;636,410,305,800,000,000.00000000;260
2010-03-31T00:01:00.0000000;Zeta;6.34056E+017;17
2014-07-06T00:03:00.0000000;Alpha;6.354020178E+17;653
2014-12-20T00:01:00.0000000;Xi;6.355463046E+17;260
2013-01-05T00:02:00.0000000;Eta;6.34929E+017;380
2011-08-12T00:02:00.0000000;Mu;634,487,041,200,000,000.00000000;148
2016-12-13T00:03:00.0000000;Theta;6.361718418E+17;4
2018-05-03T00:02:00.0000000;Pi;6.366090252E+17;319
2018-08-05T00:02:00.0000000;Iota;636690241200000000;178
2019-03-26T00:03:00.0000000;Eta;6.368915538E+17;171
2011-05-15T00:02:00.0000000;Sigma;634,410,145,200,000,000.00000000;55
2016-06-08T00:02:00.0000000;Pi;6.36009E+017;347
2015-11-09T00:02:00.0000000;Nu;6.358262412E+17;798
2011-12-09T00:01:00.0000000;Psi;6.345898566E+17;771
2019-09-15T00:03:00.0000000;Psi;6.37041E+017;647
2016-11-01T00:03:00.0000000;Xi;6.36136E+017;767
2015-06-10T00:02:00.0000000;Iota;635694913200000000;250
2011-10-30T00:02:00.0000000;Gamma;6.34555E+017;347
2019-06-14T00:05:00.0000000;Tau;636960675000000000;267
2010-09-21T00:03:00.0000000;Xi;634,206,241,800,000,000.00000000;239
2012-12-10T00:01:00.0000000;Zeta;634906944600000000;915
2017-02-20T00:04:00.0000000;Alpha;6.362314584E+17;528
2011-04-07T00:02:00.0000000;Eta;634,377,313,200,000,000.00000000;179
2011-11-26T00:03:00.0000000;Chi;634578625800000000;538
2013-01-03T00:02:00.0000000;Eta;634927681200000000;416
2016-07-15T00:01:00.0000000;Beta;6.36041E+017;687
2012-08-22T00:02:00.0000000;Xi;6.348119052E+17;981
2014-08-17T00:04:00.0000000;Tau;635438306400000000;538
2017-10-08T00:02:00.0000000;Psi;636430177200000000;295
2012-12-21T00:02:00.0000000;Iota;6.349164492E+17;302
2017-06-10T00:02:00.0000000;Pi;6.363264972E+17;12
2018-02-01T00:02:00.0000000;Mu;6.365304012E+17;945
