TM;Category;unknown;Quantity
2010-04-13T00:01:00.0000000;Delta;634067136600000000;281
2013-02-13T00:01:00.0000000;Gamma;6.34963E+017;253
2010-01-18T00:01:00.0000000;Beta;6.33994E+017;52
2018-03-02T00:01:00.0000000;Mu;636555456600000000;16
2019-10-20T00:01:00.0000000;Mu;637071264600000000;151
2011-07-14T00:01:00.0000000;Eta;6.34462E+017;612
2014-01-13T00:01:00.0000000;Chi;635251680600000000;952
2015-12-06T00:02:00.0000000;Omega;635,849,569,200,000,000.00000000;179
2011-05-13T00:01:00.0000000;Sigma;634408416600000000;334
2016-01-12T00:02:00.0000000;Alpha;635881537200000000;514
2014-10-16T00:01:00.0000000;Theta;635,490,144,600,000,000.00000000;580
2011-03-24T00:01:00.0000000;Phi;634365216600000000;537
2010-02-21T00:01:00.0000000;Theta;6.34023E+017;642
2010-03-26T00:01:00.0000000;Omega;634051584600000000;784
2013-08-08T00:01:00.0000000;Chi;635,115,168,600,000,000.00000000;762
2017-03-26T00:01:00.0000000;Psi;6.36261E+017;379
2010-12-31T00:01:00.0000000;Lambda;6.342935046E+17;466
2018-09-19T00:01:00.0000000;Upsilon;636729120600000000;276
2014-01-09T00:01:00.0000000;Upsilon;6.352482246E+17;123
2015-02-03T00:02:00.0000000;Phi;635585185200000000;0
2010-08-12T00:01:00.0000000;Epsilon;634171680600000000;649
2015-10-11T00:01:00.0000000;Omega;635,801,184,600,000,000.00000000;693
2011-05-01T00:01:00.0000000;Pi;634398048600000000;435
2011-01-20T00:01:00.0000000;Omega;6.343107846E+17;350
2011-09-30T00:01:00.0000000;Phi;6.345293766E+17;9
2016-11-21T00:02:00.0000000;Phi;6.361528332E+17;791
2015-05-04T00:02:00.0000000;Sigma;635662945200000000;56
2011-06-06T00:02:00.0000000;Upsilon;6.34429E+017;855
2013-11-14T00:01:00.0000000;Xi;6.351998406E+17;994
2016-07-04T00:02:00.0000000;Sigma;6.360318732E+17;625
2013-03-24T00:01:00.0000000;Zeta;6.349968006E+17;160
2018-01-27T00:01:00.0000000;Lambda;6.36526E+017;916
2016-11-05T00:01:00.0000000;Epsilon;6.361390086E+17;530
2015-06-30T00:01:00.0000000;Pi;635712192600000000;589
2012-09-16T00:01:00.0000000;Epsilon;634,833,504,600,000,000.00000000;242
2013-01-06T00:01:00.0000000;Omega;6.34930E+017;529
2015-03-23T00:02:00.0000000;Psi;635626657200000000;660
2015-05-23T00:01:00.0000000;Pi;635679360600000000;213
2012-10-22T00:01:00.0000000;Omicron;634,864,608,600,000,000.00000000;52
2019-12-17T00:01:00.0000000;Tau;6.37121E+017;965
2017-10-26T00:01:00.0000000;Mu;636445728600000000;383
2012-09-30T00:01:00.0000000;Delta;634845600600000000;495
2018-06-19T00:02:00.0000000;Beta;636649633200000000;411
2015-11-18T00:01:00.0000000;Eta;635,834,016,600,000,000.00000000;344
2013-10-31T00:01:00.0000000;Xi;6.351877446E+17;837
2014-02-18T00:01:00.0000000;Mu;635282784600000000;293
2016-05-29T00:02:00.0000000;Iota;6.360007692E+17;142
2014-11-17T00:01:00.0000000;Beta;635517792600000000;707
2017-05-29T00:01:00.0000000;Eta;636316128600000000;46
2016-11-09T00:02:00.0000000;Upsilon;636142465200000000;10
2013-11-01T00:02:00.0000000;Eta;635188609200000000;867
2019-09-20T00:01:00.0000000;Epsilon;6.370453446E+17;352
2012-08-13T00:01:00.0000000;Sigma;634804128600000000;774
2011-02-02T00:01:00.0000000;Kappa;6.34322E+017;869
2019-09-02T00:02:00.0000000;Alpha;6.370297932E+17;380
2017-07-11T00:01:00.0000000;Sigma;636353280600000000;526
2018-04-20T00:01:00.0000000;Nu;636597792600000000;807
2015-06-11T00:02:00.0000000;Nu;635695777200000000;705
2011-03-15T00:01:00.0000000;Pi;6.343574406E+17;497
2010-11-09T00:02:00.0000000;Pi;6.342485772E+17;238
2019-02-21T00:02:00.0000000;Nu;636863041200000000;253
2019-10-01T00:02:00.0000000;Mu;637054849200000000;740
2019-03-14T00:01:00.0000000;Epsilon;636,881,184,600,000,000.00000000;406
2017-02-09T00:01:00.0000000;Omicron;636221952600000000;688
2017-08-21T00:01:00.0000000;Tau;6.363887046E+17;698
2018-08-21T00:01:00.0000000;Chi;6.367040646E+17;474
2010-06-12T00:01:00.0000000;Iota;6.34119E+017;35
2017-12-13T00:02:00.0000000;Beta;636487201200000000;697
2015-01-21T00:01:00.0000000;Epsilon;6.35574E+017;996
2013-03-15T00:03:00.0000000;Sigma;634989025800000000;742
2016-12-11T00:01:00.0000000;Rho;6.361701126E+17;31
2019-04-13T00:02:00.0000000;Tau;6.369071052E+17;27
2017-01-25T00:04:00.0000000;Mu;636208994400000000;752
2016-02-10T00:02:00.0000000;Omega;6.359065932E+17;21
2010-04-13T00:02:00.0000000;Rho;634067137200000000;163
2019-04-27T00:02:00.0000000;Sigma;6.369192012E+17;969
2014-12-06T00:02:00.0000000;Omicron;635534209200000000;606
2017-01-16T00:02:00.0000000;Omicron;6.362012172E+17;28
2016-04-16T00:01:00.0000000;Pi;6.35964E+017;856
