TM;Category;unknown;Quantity
2012-04-03T00:01:00.0000000;Rho;634690080600000000;368
2016-10-16T00:01:00.0000000;Sigma;6.361217286E+17;649
2016-12-06T00:01:00.0000000;Rho;636165792600000000;581
2015-10-01T00:01:00.0000000;Phi;6.35793E+017;591
2013-05-31T00:01:00.0000000;Tau;6.35056E+017;381
2011-09-21T00:01:00.0000000;Eta;634521600600000000;12
2017-12-24T00:01:00.0000000;Epsilon;6.36497E+017;948
2016-05-08T00:01:00.0000000;Tau;6.359826246E+17;607
2017-03-21T00:01:00.0000000;Psi;636,256,512,600,000,000.00000000;46
2014-02-14T00:01:00.0000000;Mu;6.352793286E+17;398
2014-09-06T00:01:00.0000000;Pi;635455584600000000;215
2011-10-22T00:01:00.0000000;Nu;634548384600000000;132
2016-07-14T00:01:00.0000000;Upsilon;636040512600000000;427
2019-11-21T00:01:00.0000000;Kappa;637098912600000000;278
2017-02-28T00:02:00.0000000;Nu;636,238,369,200,000,000.00000000;884
2017-02-02T00:01:00.0000000;Nu;6.362159046E+17;898
2018-01-07T00:01:00.0000000;Delta;636508800600000000;524
2016-06-03T00:01:00.0000000;Pi;636,005,088,600,000,000.00000000;399
2019-08-03T00:01:00.0000000;Gamma;637003872600000000;166
2010-01-08T00:01:00.0000000;Lambda;633985056600000000;347
2016-10-04T00:01:00.0000000;Xi;636111360600000000;76
2012-12-30T00:01:00.0000000;Tau;634924224600000000;251
2014-06-07T00:02:00.0000000;Epsilon;635376961200000000;160
2015-05-30T00:01:00.0000000;Alpha;6.356854086E+17;430
2013-11-09T00:01:00.0000000;Theta;635195520600000000;531
2016-08-31T00:02:00.0000000;Rho;636,081,985,200,000,000.00000000;138
2015-11-09T00:01:00.0000000;Psi;6.358262406E+17;121
2013-10-01T00:01:00.0000000;Epsilon;635,161,824,600,000,000.00000000;73
2016-07-27T00:01:00.0000000;Chi;636,051,744,600,000,000.00000000;228
2017-09-09T00:01:00.0000000;Alpha;6.364051206E+17;794
2010-12-17T00:02:00.0000000;Rho;634281409200000000;474
2015-05-24T00:02:00.0000000;Sigma;635680225200000000;629
2016-09-09T00:01:00.0000000;Psi;6.36090E+017;218
2012-12-24T00:02:00.0000000;Gamma;6.349190412E+17;641
2016-09-03T00:02:00.0000000;Omega;636084577200000000;882
2018-07-03T00:01:00.0000000;Omicron;636,661,728,600,000,000.00000000;37
