TM;Category;unknown;Quantity
2018-06-05T00:01:00.0000000;Chi;6.36638E+017;237
2019-12-26T00:01:00.0000000;Eta;637129152600000000;550
2019-12-20T00:01:00.0000000;Xi;6.371239686E+17;750
2012-01-05T00:01:00.0000000;Alpha;634,613,184,600,000,000.00000000;195
2017-08-08T00:01:00.0000000;Kappa;636377472600000000;950
2019-07-07T00:01:00.0000000;Chi;6.36981E+017;480
2012-02-22T00:01:00.0000000;Tau;6.346546566E+17;501
2019-01-16T00:01:00.0000000;Kappa;636831936600000000;715
2012-06-01T00:01:00.0000000;Sigma;634741056600000000;34
2011-11-18T00:01:00.0000000;Phi;6.34572E+017;557
2012-09-23T00:01:00.0000000;Delta;6.348395526E+17;613
2013-12-04T00:01:00.0000000;Phi;6.352171206E+17;760
2014-11-03T00:01:00.0000000;Mu;635,505,696,600,000,000.00000000;576
2019-05-12T00:02:00.0000000;Eta;6.36932E+017;907
2010-11-19T00:02:00.0000000;Psi;6.34257E+017;282
2017-02-17T00:01:00.0000000;Kappa;6.36229E+017;333
2016-03-16T00:02:00.0000000;Beta;6.359368332E+17;913
2016-06-18T00:01:00.0000000;Omega;636018048600000000;821
2015-08-30T00:01:00.0000000;Chi;6.357648966E+17;720
2019-04-28T00:01:00.0000000;Tau;6.369200646E+17;852
2012-01-27T00:02:00.0000000;Xi;6.34632E+017;608
2017-03-06T00:01:00.0000000;Kappa;636243552600000000;990
2013-09-30T00:02:00.0000000;Sigma;635,160,961,200,000,000.00000000;443
2016-12-18T00:02:00.0000000;Xi;636,176,161,200,000,000.00000000;29
2014-06-13T00:02:00.0000000;Phi;635382145200000000;570
2017-09-12T00:01:00.0000000;Omicron;6.364077126E+17;311
2011-10-27T00:01:00.0000000;Omicron;634552704600000000;709
2019-06-04T00:01:00.0000000;Psi;6.369520326E+17;424
2017-01-01T00:01:00.0000000;Omicron;6.361882566E+17;86
2012-01-05T00:01:00.0000000;Omicron;634,613,184,600,000,000.00000000;456
2010-03-01T00:01:00.0000000;Pi;6.340299846E+17;57
2016-07-05T00:01:00.0000000;Xi;6.360327366E+17;768
2019-04-06T00:01:00.0000000;Xi;636901056600000000;382
2011-12-13T00:01:00.0000000;Nu;6.345933126E+17;489
2014-01-12T00:01:00.0000000;Phi;635250816600000000;51
2010-12-04T00:01:00.0000000;Lambda;634,270,176,600,000,000.00000000;300
2011-04-25T00:02:00.0000000;Phi;634,392,865,200,000,000.00000000;787
2019-04-26T00:01:00.0000000;Rho;6.36918E+017;625
2016-07-15T00:01:00.0000000;Sigma;6.36041E+017;524
2015-11-17T00:01:00.0000000;Omega;635,833,152,600,000,000.00000000;419
2010-02-15T00:01:00.0000000;Delta;634,017,888,600,000,000.00000000;273
2010-02-11T00:01:00.0000000;Eta;6.340144326E+17;470
2016-09-13T00:01:00.0000000;Sigma;6.360932166E+17;99
2019-07-26T00:02:00.0000000;Psi;6.36997E+017;817
2019-09-20T00:02:00.0000000;Nu;6.370453452E+17;681
2014-08-13T00:01:00.0000000;Psi;6.354348486E+17;278
2015-06-10T00:01:00.0000000;Upsilon;635694912600000000;198
2010-06-04T00:02:00.0000000;Epsilon;634,112,065,200,000,000.00000000;0
2010-07-16T00:01:00.0000000;Kappa;6.34148E+017;640
2019-03-04T00:01:00.0000000;Lambda;6.36873E+017;646
2015-08-19T00:01:00.0000000;Chi;635,755,392,600,000,000.00000000;758
2017-05-10T00:01:00.0000000;Omega;636299712600000000;68
2014-09-18T00:01:00.0000000;Epsilon;6.354659526E+17;483
2013-05-07T00:01:00.0000000;Eta;635,034,816,600,000,000.00000000;327
2011-01-27T00:01:00.0000000;Pi;634,316,832,600,000,000.00000000;887
2010-01-25T00:02:00.0000000;Delta;633999745200000000;603
2011-06-08T00:02:00.0000000;Tau;6.34431E+017;961
2012-07-29T00:01:00.0000000;Sigma;6.34791E+017;67
2019-06-21T00:04:00.0000000;Beta;6.369667224E+17;352
2017-07-17T00:01:00.0000000;Chi;6.363584646E+17;608
2010-10-11T00:02:00.0000000;Tau;634223521200000000;334
2014-11-19T00:02:00.0000000;Omicron;635,519,521,200,000,000.00000000;286
2017-02-24T00:02:00.0000000;Epsilon;6.362349132E+17;984
2018-05-16T00:01:00.0000000;Upsilon;6.36620E+017;482
2019-11-17T00:01:00.0000000;Omega;6.370954566E+17;747
2015-05-08T00:02:00.0000000;Pi;6.35666E+017;417
2014-12-16T00:01:00.0000000;Rho;6.355428486E+17;967
2019-01-08T00:01:00.0000000;Gamma;6.36825E+017;154
2015-11-30T00:02:00.0000000;Chi;6.358443852E+17;889
2012-06-17T00:01:00.0000000;Psi;634,754,880,600,000,000.00000000;800
2018-07-11T00:01:00.0000000;Eta;6.36669E+017;822
2015-01-21T00:01:00.0000000;Psi;6.35574E+017;525
2016-08-14T00:03:00.0000000;Omicron;636,067,297,800,000,000.00000000;586
2013-07-29T00:02:00.0000000;Gamma;6.351065292E+17;336
2012-09-03T00:01:00.0000000;Kappa;6.34822E+017;882
2015-10-31T00:02:00.0000000;Omicron;635,818,465,200,000,000.00000000;272
2019-03-31T00:02:00.0000000;Theta;636,895,873,200,000,000.00000000;864
2011-04-07T00:01:00.0000000;Delta;634,377,312,600,000,000.00000000;23
2014-11-20T00:03:00.0000000;Mu;635,520,385,800,000,000.00000000;664
2011-03-01T00:01:00.0000000;Upsilon;634345344600000000;710
2017-04-12T00:02:00.0000000;Eta;6.36276E+017;86
2016-06-22T00:01:00.0000000;Eta;636,021,504,600,000,000.00000000;468
2017-04-11T00:02:00.0000000;Nu;636274657200000000;460
2017-10-28T00:02:00.0000000;Gamma;6.36447E+017;931
2015-12-08T00:02:00.0000000;Xi;635851297200000000;886
2019-08-22T00:02:00.0000000;Sigma;637020289200000000;907
2019-10-11T00:01:00.0000000;Omicron;6.370634886E+17;578
2019-11-11T00:01:00.0000000;Kappa;6.37090E+017;690
2012-06-12T00:02:00.0000000;Eta;634750561200000000;268
2019-01-01T00:02:00.0000000;Sigma;636,818,977,200,000,000.00000000;658
2013-07-03T00:02:00.0000000;Gamma;635084065200000000;165
2014-06-24T00:01:00.0000000;Theta;635391648600000000;418
2010-07-21T00:01:00.0000000;Lambda;6.341526726E+17;721
2015-12-06T00:04:00.0000000;Iota;635849570400000000;656
2018-08-15T00:01:00.0000000;Beta;6.36699E+017;524
2017-05-20T00:02:00.0000000;Zeta;6.36308E+017;196
2012-07-22T00:03:00.0000000;Zeta;634,785,121,800,000,000.00000000;888
2010-06-14T00:02:00.0000000;Mu;6.341207052E+17;667
2011-03-04T00:02:00.0000000;Alpha;634347937200000000;237
2010-08-25T00:02:00.0000000;Iota;6.341829132E+17;815
2014-01-02T00:02:00.0000000;Pi;635242177200000000;43
2018-01-29T00:01:00.0000000;Pi;6.36528E+017;878
2015-12-07T00:02:00.0000000;Tau;635850433200000000;893
2016-09-22T00:02:00.0000000;Kappa;636100993200000000;365
2013-10-06T00:01:00.0000000;Lambda;6.35166E+017;44
2014-09-14T00:02:00.0000000;Tau;6.35462E+017;418
2012-04-21T00:01:00.0000000;Rho;634705632600000000;231
2017-10-04T00:02:00.0000000;Eta;636,426,721,200,000,000.00000000;600
2014-12-20T00:02:00.0000000;Chi;6.355463052E+17;774
2018-03-17T00:03:00.0000000;Chi;636,568,417,800,000,000.00000000;960
2017-11-17T00:03:00.0000000;Kappa;6.364647378E+17;346
2016-10-11T00:02:00.0000000;Delta;636117409200000000;844
2017-12-14T00:02:00.0000000;Theta;636488065200000000;77
2019-04-08T00:01:00.0000000;Rho;6.36903E+017;927
2019-04-08T00:02:00.0000000;Omega;6.36903E+017;280
2010-02-06T00:02:00.0000000;Chi;6.340101132E+17;152
2018-12-31T00:03:00.0000000;Epsilon;636,818,113,800,000,000.00000000;948
2018-10-12T00:02:00.0000000;Sigma;6.367489932E+17;165
2017-11-05T00:02:00.0000000;Rho;6.364543692E+17;997
2011-06-26T00:02:00.0000000;Omega;6.34446E+017;622
2019-05-13T00:01:00.0000000;Rho;6.36933E+017;862
2017-11-13T00:02:00.0000000;Alpha;636461281200000000;281
2016-05-02T00:03:00.0000000;Chi;6.35977E+017;320
2016-08-20T00:01:00.0000000;Delta;6.36072E+017;490
2010-11-14T00:01:00.0000000;Eta;634,252,896,600,000,000.00000000;377
2013-06-26T00:01:00.0000000;Xi;6.350780166E+17;970
2018-05-16T00:02:00.0000000;Zeta;6.36620E+017;763
2014-07-20T00:02:00.0000000;Lambda;635414113200000000;582
2014-02-02T00:01:00.0000000;Nu;635268960600000000;108
2013-07-14T00:03:00.0000000;Delta;635093569800000000;673
2010-06-09T00:03:00.0000000;Gamma;6.34116E+017;4
2010-08-05T00:03:00.0000000;Nu;6.341656338E+17;175
2010-11-29T00:02:00.0000000;Nu;634265857200000000;722
2019-03-11T00:02:00.0000000;Eta;636878593200000000;798
2011-10-11T00:02:00.0000000;Mu;6.34539E+017;242
2016-04-21T00:03:00.0000000;Gamma;6.359679378E+17;621
2015-12-01T00:02:00.0000000;Phi;635845249200000000;182
2019-07-24T00:01:00.0000000;Omega;6.36995E+017;816
2018-07-06T00:02:00.0000000;Iota;636664321200000000;602
2019-08-06T00:02:00.0000000;Omega;637,006,465,200,000,000.00000000;892
2013-08-01T00:01:00.0000000;Lambda;6.351091206E+17;129
2018-04-22T00:02:00.0000000;Nu;636,599,521,200,000,000.00000000;31
2017-01-24T00:01:00.0000000;Chi;636,208,128,600,000,000.00000000;11
2019-07-10T00:02:00.0000000;Xi;6.369831372E+17;596
2019-05-23T00:03:00.0000000;Eta;636,941,665,800,000,000.00000000;869
2016-01-04T00:01:00.0000000;Pi;6.358746246E+17;424
2017-08-24T00:03:00.0000000;Eta;6.363912978E+17;268
2010-11-12T00:02:00.0000000;Alpha;634251169200000000;466
2014-06-13T00:02:00.0000000;Epsilon;635382145200000000;358
2017-12-19T00:03:00.0000000;Chi;636492385800000000;369
2011-01-01T00:02:00.0000000;Epsilon;6.342943692E+17;352
2014-10-18T00:02:00.0000000;Upsilon;635491873200000000;452
2016-12-11T00:01:00.0000000;Eta;6.361701126E+17;680
2014-02-22T00:03:00.0000000;Mu;635286241800000000;1
2016-05-10T00:02:00.0000000;Nu;6.359843532E+17;617
2014-08-26T00:05:00.0000000;Upsilon;6.35446083E+17;962
2012-03-04T00:03:00.0000000;Zeta;6.34664E+017;342
2015-03-22T00:02:00.0000000;Psi;635625793200000000;396
2019-10-23T00:02:00.0000000;Chi;6.37074E+017;943
2019-06-29T00:03:00.0000000;Lambda;636,973,633,800,000,000.00000000;30
2014-06-01T00:02:00.0000000;Kappa;6.353717772E+17;362
2015-12-19T00:03:00.0000000;Kappa;635860801800000000;141
2019-03-24T00:03:00.0000000;Eta;6.368898258E+17;144
2011-07-19T00:01:00.0000000;Kappa;6.344663046E+17;37
2019-06-17T00:03:00.0000000;Mu;6.36963E+017;145
2019-07-08T00:03:00.0000000;Alpha;6.369814098E+17;92
2012-11-01T00:01:00.0000000;Xi;6.348732486E+17;103
2018-06-28T00:04:00.0000000;Phi;636657410400000000;736
2018-03-31T00:02:00.0000000;Sigma;636580513200000000;45
2011-06-03T00:02:00.0000000;Sigma;634426561200000000;351
2017-10-18T00:03:00.0000000;Tau;636438817800000000;95
2014-11-05T00:03:00.0000000;Lambda;635507425800000000;198
2015-12-06T00:02:00.0000000;Xi;635,849,569,200,000,000.00000000;266
2012-09-09T00:04:00.0000000;Theta;634827458400000000;840
2012-07-15T00:01:00.0000000;Pi;6.347790726E+17;324
2019-12-04T00:01:00.0000000;Kappa;6.371101446E+17;321
2016-01-26T00:02:00.0000000;Omicron;635893633200000000;607
2015-04-18T00:02:00.0000000;Rho;6.35649E+017;510
2016-02-03T00:04:00.0000000;Beta;6.359005464E+17;869
2011-02-12T00:03:00.0000000;Eta;634,330,657,800,000,000.00000000;616
2017-12-05T00:02:00.0000000;Gamma;6.36480E+017;888
2012-05-18T00:01:00.0000000;Theta;6.34729E+017;392
2016-10-11T00:02:00.0000000;Upsilon;636117409200000000;63
2011-11-21T00:02:00.0000000;Phi;6.345743052E+17;0
2018-02-23T00:01:00.0000000;Zeta;636549408600000000;912
2013-08-08T00:02:00.0000000;Epsilon;635115169200000000;323
2016-09-04T00:02:00.0000000;Eta;636085441200000000;153
2018-08-06T00:02:00.0000000;Beta;636691105200000000;401
2011-03-27T00:02:00.0000000;Xi;6.34368E+017;747
2019-10-09T00:03:00.0000000;Phi;6.370617618E+17;125
2010-08-08T00:06:00.0000000;Mu;634168227600000000;96
2019-08-31T00:01:00.0000000;Eta;6.37028E+017;900
2016-03-07T00:02:00.0000000;Lambda;635929057200000000;935
2013-01-04T00:03:00.0000000;Upsilon;634928545800000000;144
2010-11-26T00:03:00.0000000;Psi;6.342632658E+17;202
2014-08-18T00:01:00.0000000;Epsilon;635439168600000000;976
2012-04-18T00:03:00.0000000;Lambda;634703041800000000;13
2013-08-23T00:02:00.0000000;Eta;635,128,129,200,000,000.00000000;929
2018-11-05T00:02:00.0000000;Beta;636769729200000000;96
2018-07-31T00:04:00.0000000;Delta;6.366859224E+17;509
2011-05-28T00:03:00.0000000;Phi;634421377800000000;714
2016-04-05T00:02:00.0000000;Eta;635954113200000000;495
2015-01-23T00:02:00.0000000;Lambda;6.355756812E+17;661
2013-01-03T00:05:00.0000000;Eta;6.34928E+017;23
2016-11-21T00:03:00.0000000;Iota;6.361528338E+17;954
2013-12-16T00:01:00.0000000;Mu;6.35227E+017;139
2019-01-28T00:02:00.0000000;Sigma;6.368423052E+17;197
2010-09-24T00:03:00.0000000;Zeta;634208833800000000;235
2012-11-18T00:02:00.0000000;Epsilon;6.348879372E+17;45
2019-04-28T00:02:00.0000000;Upsilon;6.369200652E+17;713
2010-03-02T00:02:00.0000000;Gamma;634030849200000000;184
2011-09-29T00:03:00.0000000;Iota;6.345285138E+17;993
2012-03-01T00:02:00.0000000;Rho;634661569200000000;8
2011-03-01T00:02:00.0000000;Beta;634,345,345,200,000,000.00000000;577
2011-02-06T00:04:00.0000000;Lambda;6.343254744E+17;631
2015-03-13T00:02:00.0000000;Rho;6.35618E+017;637
2012-02-02T00:02:00.0000000;Tau;6.346373772E+17;267
2014-10-11T00:04:00.0000000;Xi;635485826400000000;777
2011-06-20T00:05:00.0000000;Gamma;634441251000000000;252
2010-07-23T00:04:00.0000000;Beta;634154402400000000;527
2019-04-25T00:02:00.0000000;Omega;6.36917E+017;986
2010-03-21T00:04:00.0000000;Psi;634,047,266,400,000,000.00000000;555
2018-02-04T00:04:00.0000000;Kappa;636532994400000000;464
2014-06-11T00:03:00.0000000;Nu;635380417800000000;237
2019-03-13T00:02:00.0000000;Theta;636,880,321,200,000,000.00000000;908
2017-12-29T00:03:00.0000000;Mu;636501025800000000;232
2014-10-19T00:02:00.0000000;Omicron;6.35493E+017;775
2011-01-25T00:03:00.0000000;Omega;634,315,105,800,000,000.00000000;502
2010-02-17T00:04:00.0000000;Xi;634019618400000000;270
2012-11-05T00:04:00.0000000;Sigma;634,876,706,400,000,000.00000000;735
2019-01-12T00:04:00.0000000;Iota;6.368284824E+17;992
2012-08-09T00:04:00.0000000;Omega;634800674400000000;718
2013-09-07T00:03:00.0000000;Upsilon;635141089800000000;487
2012-10-29T00:04:00.0000000;Beta;6.348706584E+17;28
2011-11-11T00:04:00.0000000;Omega;634565666400000000;7
2013-04-28T00:07:00.0000000;Kappa;6.350270442E+17;908
2018-05-11T00:06:00.0000000;Gamma;636615939600000000;779
