TM;Category;unknown;Quantity
2010-04-24T00:01:00.0000000;Kappa;6.340766406E+17;284
2015-10-15T00:01:00.0000000;Xi;635804640600000000;587
2014-03-25T00:01:00.0000000;Psi;6.353130246E+17;62
2010-04-20T00:01:00.0000000;Mu;6.340731846E+17;55
2013-11-04T00:01:00.0000000;Beta;635,191,200,600,000,000.00000000;18
2016-03-14T00:02:00.0000000;Delta;6.359351052E+17;377
2016-09-29T00:01:00.0000000;Pi;6.361070406E+17;742
2019-12-23T00:01:00.0000000;Chi;6.371265606E+17;716
2013-07-20T00:01:00.0000000;Gamma;635,098,752,600,000,000.00000000;613
2016-07-07T00:01:00.0000000;Psi;636034464600000000;596
2013-05-30T00:01:00.0000000;Zeta;635054688600000000;50
2013-09-09T00:01:00.0000000;Gamma;635142816600000000;897
2013-11-20T00:01:00.0000000;Xi;635205024600000000;197
2018-04-13T00:01:00.0000000;Chi;6.365917446E+17;494
2017-05-24T00:01:00.0000000;Pi;6.363118086E+17;62
2014-08-31T00:01:00.0000000;Beta;6.354504006E+17;629
2015-04-15T00:02:00.0000000;Upsilon;635646529200000000;413
2015-05-25T00:01:00.0000000;Delta;6.35681E+017;663
2018-04-05T00:01:00.0000000;Theta;636,584,832,600,000,000.00000000;959
2017-07-11T00:01:00.0000000;Rho;636353280600000000;449
2014-05-22T00:01:00.0000000;Theta;635,363,136,600,000,000.00000000;206
2018-05-09T00:01:00.0000000;Beta;636614208600000000;267
2012-07-06T00:01:00.0000000;Xi;634771296600000000;155
2011-03-08T00:01:00.0000000;Omicron;6.34351E+017;856
2018-08-31T00:01:00.0000000;Nu;636712704600000000;883
2014-02-20T00:01:00.0000000;Theta;635284512600000000;787
2012-12-10T00:01:00.0000000;Kappa;634906944600000000;911
2018-07-28T00:02:00.0000000;Chi;6.36683E+017;854
2011-08-02T00:01:00.0000000;Psi;6.34478E+017;697
2015-01-14T00:01:00.0000000;Lambda;635,567,904,600,000,000.00000000;674
2016-02-04T00:02:00.0000000;Epsilon;6.35901E+017;390
2014-02-24T00:01:00.0000000;Omega;635287968600000000;457
2017-05-29T00:01:00.0000000;Xi;636316128600000000;834
2017-04-28T00:02:00.0000000;Theta;636289345200000000;616
2018-07-24T00:01:00.0000000;Kappa;636679872600000000;927
2014-08-12T00:01:00.0000000;Omega;6.354339846E+17;861
2011-03-08T00:01:00.0000000;Nu;6.34351E+017;469
2014-07-12T00:01:00.0000000;Sigma;6.354072006E+17;927
2015-04-10T00:01:00.0000000;Tau;635642208600000000;476
2017-07-08T00:01:00.0000000;Iota;636,350,688,600,000,000.00000000;792
2013-12-06T00:02:00.0000000;Alpha;635218849200000000;883
2012-07-10T00:02:00.0000000;Chi;6.34775E+017;591
2018-09-25T00:02:00.0000000;Lambda;6.367343052E+17;548
2017-08-04T00:02:00.0000000;Beta;6.363740172E+17;682
2016-10-02T00:01:00.0000000;Mu;6.361096326E+17;935
2010-05-28T00:02:00.0000000;Psi;6.341060172E+17;981
2015-02-08T00:01:00.0000000;Gamma;6.35590E+017;237
2010-05-10T00:02:00.0000000;Nu;6.340904652E+17;952
2019-04-16T00:01:00.0000000;Phi;636909696600000000;443
2014-07-31T00:02:00.0000000;Epsilon;635423617200000000;576
2016-08-23T00:01:00.0000000;Nu;6.360750726E+17;145
2017-06-23T00:02:00.0000000;Pi;6.36338E+017;251
2019-08-07T00:02:00.0000000;Omicron;637,007,329,200,000,000.00000000;178
2018-01-23T00:02:00.0000000;Delta;636522625200000000;845
2019-11-03T00:02:00.0000000;Lambda;637,083,361,200,000,000.00000000;127
2018-07-16T00:01:00.0000000;Xi;6.366729606E+17;22
2017-08-30T00:03:00.0000000;Nu;636,396,481,800,000,000.00000000;596
2019-12-04T00:03:00.0000000;Omega;6.371101458E+17;709
2018-06-01T00:01:00.0000000;Theta;636634080600000000;743
2010-11-29T00:01:00.0000000;Beta;634265856600000000;838
2017-10-11T00:03:00.0000000;Sigma;6.36433E+017;847
2016-06-06T00:02:00.0000000;Xi;636007681200000000;946
2010-02-10T00:01:00.0000000;Tau;6.340135686E+17;279
2015-01-26T00:02:00.0000000;Zeta;6.355782732E+17;862
2018-08-23T00:01:00.0000000;Alpha;636705792600000000;140
2019-01-07T00:02:00.0000000;Phi;6.36824E+017;532
2011-02-06T00:01:00.0000000;Rho;6.343254726E+17;847
2010-01-14T00:01:00.0000000;Tau;633990240600000000;470
2017-10-08T00:02:00.0000000;Xi;636430177200000000;177
2017-05-27T00:01:00.0000000;Epsilon;6.363144006E+17;840
2010-12-03T00:02:00.0000000;Kappa;634,269,313,200,000,000.00000000;737
2011-09-26T00:02:00.0000000;Sigma;6.345259212E+17;309
