TM;Category;unknown;Quantity
2014-03-29T00:01:00.0000000;Gamma;635,316,480,600,000,000.00000000;320
2014-03-22T00:01:00.0000000;Pi;6.353104326E+17;110
2015-11-28T00:01:00.0000000;Omega;6.358426566E+17;879
2012-11-11T00:01:00.0000000;Delta;634881888600000000;737
2016-12-19T00:01:00.0000000;Nu;636,177,024,600,000,000.00000000;284
2013-12-13T00:01:00.0000000;Tau;635224896600000000;788
2019-10-09T00:01:00.0000000;Iota;6.370617606E+17;225
2017-05-04T00:02:00.0000000;Beta;6.362945292E+17;19
2010-12-25T00:01:00.0000000;Alpha;634288320600000000;119
2014-02-11T00:01:00.0000000;Chi;6.35277E+017;538
2017-04-30T00:01:00.0000000;Alpha;636291072600000000;453
2014-08-14T00:01:00.0000000;Iota;6.354357126E+17;469
2010-04-11T00:02:00.0000000;Psi;634,065,409,200,000,000.00000000;27
2019-03-21T00:01:00.0000000;Zeta;6.36887E+017;968
2017-10-11T00:01:00.0000000;Theta;6.36433E+017;151
2012-10-17T00:01:00.0000000;Phi;634860288600000000;731
2012-08-01T00:01:00.0000000;Rho;6.347937606E+17;438
2017-04-25T00:02:00.0000000;Alpha;636,286,753,200,000,000.00000000;225
2014-04-03T00:01:00.0000000;Eta;635320800600000000;144
2018-08-12T00:01:00.0000000;Theta;636696288600000000;884
2018-08-12T00:01:00.0000000;Psi;636696288600000000;358
2017-02-27T00:01:00.0000000;Omicron;636237504600000000;55
2011-03-02T00:02:00.0000000;Zeta;634,346,209,200,000,000.00000000;97
2018-11-16T00:02:00.0000000;Iota;6.367792332E+17;432
2017-12-04T00:01:00.0000000;Omega;6.36479E+017;164
2014-06-25T00:01:00.0000000;Rho;635392512600000000;696
2016-07-13T00:01:00.0000000;Beta;636039648600000000;184
2018-06-17T00:01:00.0000000;Tau;636,647,904,600,000,000.00000000;392
2015-06-08T00:01:00.0000000;Chi;635,693,184,600,000,000.00000000;339
2015-11-05T00:01:00.0000000;Xi;6.35823E+017;17
2013-07-26T00:01:00.0000000;Nu;6.35104E+017;598
2011-03-31T00:01:00.0000000;Alpha;6.343712646E+17;52
2010-08-08T00:01:00.0000000;Gamma;6.341682246E+17;690
2015-08-26T00:01:00.0000000;Lambda;6.35761E+017;542
2017-06-05T00:01:00.0000000;Epsilon;636322176600000000;20
2014-06-30T00:01:00.0000000;Psi;635396832600000000;256
2019-01-08T00:02:00.0000000;Omega;6.368250252E+17;16
2019-06-01T00:01:00.0000000;Theta;6.36949E+017;679
2013-03-17T00:01:00.0000000;Mu;634990752600000000;61
2012-12-04T00:01:00.0000000;Kappa;6.349017606E+17;145
2011-07-28T00:01:00.0000000;Sigma;634474080600000000;61
2012-01-30T00:02:00.0000000;Sigma;6.346347852E+17;154
2011-09-10T00:01:00.0000000;Xi;6.345120966E+17;207
2015-05-08T00:01:00.0000000;Upsilon;6.35666E+017;416
2019-12-30T00:01:00.0000000;Omega;637,132,608,600,000,000.00000000;303
2016-12-21T00:01:00.0000000;Psi;636,178,752,600,000,000.00000000;659
2010-05-30T00:02:00.0000000;Iota;6.341077452E+17;585
2014-03-06T00:01:00.0000000;Xi;6.352966086E+17;56
2013-06-20T00:02:00.0000000;Sigma;6.350728332E+17;405
2018-04-24T00:01:00.0000000;Nu;636,601,248,600,000,000.00000000;836
2014-02-18T00:01:00.0000000;Upsilon;635282784600000000;304
2010-09-24T00:01:00.0000000;Iota;634208832600000000;502
2015-07-19T00:01:00.0000000;Phi;6.35729E+017;766
2014-08-01T00:01:00.0000000;Epsilon;635424480600000000;574
2010-10-24T00:01:00.0000000;Alpha;634234752600000000;532
2013-11-22T00:01:00.0000000;Iota;635,206,752,600,000,000.00000000;916
2014-03-03T00:01:00.0000000;Omicron;6.352940166E+17;881
2011-09-16T00:02:00.0000000;Eta;634517281200000000;194
2016-01-26T00:01:00.0000000;Mu;635893632600000000;401
2011-05-07T00:01:00.0000000;Nu;6.344032326E+17;942
2018-10-31T00:02:00.0000000;Rho;6.367654092E+17;32
2015-01-28T00:02:00.0000000;Phi;635580001200000000;172
2017-06-02T00:02:00.0000000;Phi;636319585200000000;673
2016-11-14T00:01:00.0000000;Phi;636,146,784,600,000,000.00000000;585
2015-03-17T00:02:00.0000000;Rho;6.356214732E+17;693
2011-10-22T00:02:00.0000000;Delta;634548385200000000;827
2016-10-29T00:01:00.0000000;Omicron;636132960600000000;190
2015-05-26T00:01:00.0000000;Lambda;6.35682E+017;581
2014-12-01T00:01:00.0000000;Nu;6.355298886E+17;635
2017-10-05T00:01:00.0000000;Chi;636,427,584,600,000,000.00000000;183
2013-01-21T00:02:00.0000000;Upsilon;634943233200000000;107
