TM;Category;unknown;Quantity
2011-04-15T00:01:00.0000000;Mu;6.34384E+017;222
2014-01-19T00:01:00.0000000;Omega;635256864600000000;625
2019-12-14T00:01:00.0000000;Sigma;637118784600000000;551
2013-11-20T00:01:00.0000000;Upsilon;635205024600000000;705
2014-07-04T00:01:00.0000000;Delta;6.35400E+017;535
2015-04-17T00:01:00.0000000;Epsilon;635648256600000000;210
2014-12-09T00:01:00.0000000;Upsilon;635,536,800,600,000,000.00000000;930
2011-06-10T00:03:00.0000000;Omega;6.344326098E+17;991
2017-09-09T00:01:00.0000000;Theta;6.364051206E+17;824
2019-05-21T00:02:00.0000000;Tau;636939937200000000;592
2018-02-20T00:01:00.0000000;Gamma;6.365468166E+17;590
2019-01-25T00:01:00.0000000;Iota;6.36840E+017;751
2010-11-20T00:01:00.0000000;Beta;6.34258E+017;293
2010-05-31T00:01:00.0000000;Gamma;6.341086086E+17;512
2010-10-29T00:01:00.0000000;Nu;634239072600000000;529
2014-05-31T00:01:00.0000000;Psi;6.353709126E+17;792
2016-09-12T00:01:00.0000000;Delta;6.360923526E+17;827
2015-01-28T00:01:00.0000000;Mu;635580000600000000;32
2013-12-04T00:01:00.0000000;Nu;6.352171206E+17;163
2011-05-10T00:01:00.0000000;Lambda;6.344058246E+17;261
2014-02-16T00:01:00.0000000;Kappa;6.352810566E+17;972
2016-11-17T00:01:00.0000000;Psi;636149376600000000;35
2012-12-26T00:01:00.0000000;Psi;6.349207686E+17;773
2017-06-12T00:01:00.0000000;Omega;6.363282246E+17;285
2016-12-06T00:01:00.0000000;Gamma;636165792600000000;553
2010-10-13T00:01:00.0000000;Nu;634225248600000000;124
2014-04-14T00:01:00.0000000;Omicron;635330304600000000;256
2017-03-26T00:01:00.0000000;Pi;6.36261E+017;249
2016-04-18T00:01:00.0000000;Mu;6.359653446E+17;976
2017-10-15T00:01:00.0000000;Pi;6.364362246E+17;794
2017-01-26T00:01:00.0000000;Phi;636,209,856,600,000,000.00000000;212
2013-07-15T00:02:00.0000000;Chi;635094433200000000;745
2013-11-21T00:01:00.0000000;Delta;635205888600000000;977
2018-01-04T00:02:00.0000000;Epsilon;636,506,209,200,000,000.00000000;397
2015-09-15T00:01:00.0000000;Alpha;6.357787206E+17;215
2018-06-27T00:01:00.0000000;Iota;6.366565446E+17;701
2015-09-17T00:02:00.0000000;Pi;6.357804492E+17;949
2016-07-12T00:01:00.0000000;Omicron;636038784600000000;814
2016-11-27T00:01:00.0000000;Phi;6.361580166E+17;963
2011-03-04T00:01:00.0000000;Xi;634,347,936,600,000,000.00000000;995
2017-10-07T00:01:00.0000000;Chi;636,429,312,600,000,000.00000000;723
2015-12-23T00:01:00.0000000;Epsilon;635,864,256,600,000,000.00000000;282
2019-08-13T00:01:00.0000000;Pi;6.37013E+017;357
2019-09-19T00:02:00.0000000;Upsilon;6.370444812E+17;320
2016-06-14T00:01:00.0000000;Zeta;6.360145926E+17;893
2015-04-19T00:01:00.0000000;Zeta;6.35650E+017;810
2012-11-09T00:02:00.0000000;Upsilon;634880161200000000;567
2015-04-29T00:01:00.0000000;Lambda;635658624600000000;384
