TM;Category;unknown;Quantity
2014-09-27T00:01:00.0000000;Psi;635,473,728,600,000,000.00000000;730
2018-11-04T00:01:00.0000000;Iota;636768864600000000;249
2018-12-30T00:01:00.0000000;Eta;636817248600000000;116
2019-08-02T00:01:00.0000000;Omicron;637003008600000000;717
2018-04-18T00:01:00.0000000;Alpha;6.365960646E+17;910
2011-12-03T00:01:00.0000000;Lambda;634584672600000000;620
2016-07-12T00:01:00.0000000;Omega;636038784600000000;706
2017-11-26T00:01:00.0000000;Sigma;636472512600000000;23
2012-09-30T00:01:00.0000000;Chi;634845600600000000;738
2018-09-13T00:01:00.0000000;Delta;636723936600000000;325
2010-09-29T00:01:00.0000000;Nu;6.342131526E+17;407
2013-07-13T00:01:00.0000000;Alpha;6.350927046E+17;428
2015-05-13T00:01:00.0000000;Alpha;6.356707206E+17;578
2010-01-15T00:02:00.0000000;Beta;6.33991E+017;486
2013-07-20T00:01:00.0000000;Mu;635,098,752,600,000,000.00000000;759
2016-04-14T00:01:00.0000000;Sigma;635961888600000000;36
2018-05-18T00:01:00.0000000;Lambda;6.36622E+017;368
2010-11-04T00:01:00.0000000;Tau;6.34244E+017;479
2010-01-31T00:01:00.0000000;Upsilon;634004928600000000;392
2015-03-07T00:01:00.0000000;Theta;635612832600000000;740
2019-03-02T00:01:00.0000000;Lambda;6.36871E+017;107
2010-01-23T00:01:00.0000000;Alpha;6.339980166E+17;76
2010-06-07T00:01:00.0000000;Sigma;634114656600000000;430
2010-05-03T00:01:00.0000000;Tau;634084416600000000;946
2013-07-28T00:01:00.0000000;Gamma;6.351056646E+17;59
2012-06-01T00:01:00.0000000;Omega;634741056600000000;242
2019-07-29T00:01:00.0000000;Tau;6.369995526E+17;308
2018-07-01T00:02:00.0000000;Phi;636660001200000000;283
2011-05-20T00:01:00.0000000;Kappa;6.34414E+017;398
2016-09-11T00:01:00.0000000;Zeta;6.360914886E+17;190
2014-01-06T00:01:00.0000000;Alpha;6.352456326E+17;296
2012-07-20T00:02:00.0000000;Theta;634,783,393,200,000,000.00000000;796
2010-12-28T00:01:00.0000000;Lambda;6.34291E+017;73
2014-04-20T00:01:00.0000000;Lambda;635335488600000000;960
2011-02-15T00:02:00.0000000;Kappa;634333249200000000;616
2011-07-19T00:01:00.0000000;Alpha;6.344663046E+17;141
2011-01-09T00:02:00.0000000;Gamma;634301281200000000;214
2019-02-02T00:01:00.0000000;Epsilon;636846624600000000;950
2016-05-23T00:02:00.0000000;Nu;6.35996E+017;811
2016-05-31T00:01:00.0000000;Zeta;636002496600000000;431
2018-04-21T00:01:00.0000000;Tau;636598656600000000;474
2014-01-28T00:02:00.0000000;Pi;6.352646412E+17;178
2016-02-12T00:02:00.0000000;Epsilon;635908321200000000;78
2010-03-08T00:01:00.0000000;Alpha;634036032600000000;976
2011-11-26T00:01:00.0000000;Lambda;634578624600000000;980
2012-06-13T00:01:00.0000000;Iota;634751424600000000;145
2013-01-14T00:02:00.0000000;Omega;634937185200000000;789
2014-03-31T00:01:00.0000000;Rho;635,318,208,600,000,000.00000000;753
2016-05-25T00:01:00.0000000;Psi;6.359973126E+17;563
2019-05-02T00:01:00.0000000;Psi;6.369235206E+17;853
2018-03-17T00:01:00.0000000;Alpha;636,568,416,600,000,000.00000000;591
2017-12-28T00:01:00.0000000;Xi;6.365001606E+17;986
2018-06-02T00:02:00.0000000;Iota;6.36635E+017;669
2018-08-04T00:02:00.0000000;Pi;636689377200000000;130
2015-03-20T00:02:00.0000000;Gamma;6.356240652E+17;407
2015-05-17T00:02:00.0000000;Rho;635674177200000000;517
2011-02-24T00:01:00.0000000;Zeta;6.343410246E+17;363
2015-12-02T00:01:00.0000000;Beta;635846112600000000;9
2018-04-16T00:01:00.0000000;Kappa;6.365943366E+17;995
2017-11-01T00:02:00.0000000;Beta;6.364509132E+17;822
2012-05-24T00:01:00.0000000;Zeta;6.347341446E+17;467
2019-12-31T00:02:00.0000000;Sigma;637133473200000000;429
2016-08-11T00:01:00.0000000;Omega;636064704600000000;774
2014-04-22T00:01:00.0000000;Beta;6.35337E+017;335
2016-02-16T00:02:00.0000000;Nu;635,911,777,200,000,000.00000000;295
2013-10-27T00:01:00.0000000;Mu;6.351842886E+17;72
2010-09-06T00:03:00.0000000;Upsilon;6.34193E+017;758
2016-11-28T00:01:00.0000000;Pi;636158880600000000;367
2012-07-05T00:02:00.0000000;Omega;634770433200000000;660
2014-01-09T00:01:00.0000000;Alpha;6.352482246E+17;857
2013-05-12T00:01:00.0000000;Phi;635039136600000000;279
2012-03-13T00:01:00.0000000;Beta;634671936600000000;139
2017-06-13T00:01:00.0000000;Upsilon;6.363290886E+17;602
2017-01-10T00:01:00.0000000;Delta;636196032600000000;697
2018-01-04T00:01:00.0000000;Gamma;636,506,208,600,000,000.00000000;999
2015-06-22T00:02:00.0000000;Iota;635705281200000000;9
2015-06-12T00:03:00.0000000;Phi;6.35697E+017;436
2018-04-09T00:01:00.0000000;Delta;636588288600000000;197
2015-02-06T00:01:00.0000000;Delta;6.35588E+017;818
2010-06-03T00:01:00.0000000;Alpha;634111200600000000;71
2011-07-10T00:02:00.0000000;Epsilon;634458529200000000;352
2011-03-23T00:02:00.0000000;Alpha;634364353200000000;238
2018-12-15T00:02:00.0000000;Eta;636804289200000000;687
2015-05-23T00:02:00.0000000;Sigma;635679361200000000;308
2011-08-28T00:02:00.0000000;Iota;634500865200000000;388
2012-08-11T00:01:00.0000000;Psi;634802400600000000;62
2016-05-27T00:01:00.0000000;Alpha;6.359990406E+17;726
2014-06-05T00:01:00.0000000;Epsilon;6.353752326E+17;762
2017-04-20T00:02:00.0000000;Upsilon;6.362824332E+17;158
2016-02-23T00:02:00.0000000;Pi;6.359178252E+17;607
2011-06-18T00:02:00.0000000;Psi;634,439,521,200,000,000.00000000;403
2016-04-11T00:03:00.0000000;Iota;635959297800000000;536
2012-01-25T00:01:00.0000000;Gamma;634630464600000000;438
2011-10-15T00:03:00.0000000;Upsilon;6.345423378E+17;999
2018-09-27T00:03:00.0000000;Pi;636736033800000000;944
2016-08-11T00:01:00.0000000;Pi;636064704600000000;385
2010-02-11T00:03:00.0000000;Zeta;634014433800000000;759
2018-01-14T00:02:00.0000000;Phi;6.365148492E+17;744
2012-04-06T00:02:00.0000000;Omega;634692673200000000;488
2012-04-21T00:02:00.0000000;Gamma;634,705,633,200,000,000.00000000;501
2018-11-05T00:03:00.0000000;Alpha;636,769,729,800,000,000.00000000;521
2012-03-30T00:01:00.0000000;Nu;6.346866246E+17;108
2019-04-09T00:03:00.0000000;Delta;6.369036498E+17;814
2013-05-19T00:01:00.0000000;Zeta;6.350451846E+17;640
2010-06-24T00:01:00.0000000;Epsilon;634,129,344,600,000,000.00000000;524
2013-08-06T00:01:00.0000000;Phi;635,113,440,600,000,000.00000000;704
2010-04-10T00:02:00.0000000;Iota;634,064,545,200,000,000.00000000;539
2013-02-08T00:01:00.0000000;Nu;634958784600000000;30
2011-12-20T00:02:00.0000000;Lambda;634599361200000000;397
2011-03-08T00:01:00.0000000;Rho;6.34351E+017;460
2019-08-06T00:01:00.0000000;Omicron;637,006,464,600,000,000.00000000;389
2010-01-25T00:02:00.0000000;Xi;633999745200000000;422
2019-06-29T00:01:00.0000000;Lambda;636973632600000000;342
2013-11-11T00:02:00.0000000;Theta;6.35197E+017;357
2013-03-19T00:01:00.0000000;Zeta;634992480600000000;200
2012-08-29T00:02:00.0000000;Kappa;634817953200000000;45
2019-03-26T00:02:00.0000000;Upsilon;6.368915532E+17;749
2011-11-21T00:03:00.0000000;Beta;6.345743058E+17;11
2016-05-23T00:01:00.0000000;Phi;6.35996E+017;131
2016-01-05T00:02:00.0000000;Kappa;6.358754892E+17;466
