TM;Category;unknown;Quantity
2019-08-11T00:01:00.0000000;Delta;637010784600000000;409
2015-01-26T00:01:00.0000000;Epsilon;6.355782726E+17;653
2016-09-03T00:01:00.0000000;Omega;636,084,576,600,000,000.00000000;226
2012-03-02T00:01:00.0000000;Rho;634662432600000000;946
2014-05-21T00:01:00.0000000;Theta;635362272600000000;991
2010-08-22T00:01:00.0000000;Phi;6.34180E+017;372
2016-05-16T00:01:00.0000000;Omega;635,989,536,600,000,000.00000000;46
2017-06-05T00:01:00.0000000;Xi;636322176600000000;907
2011-11-26T00:02:00.0000000;Kappa;634578625200000000;130
2018-01-04T00:01:00.0000000;Epsilon;636,506,208,600,000,000.00000000;313
2013-08-14T00:01:00.0000000;Gamma;6.35120E+017;530
2010-01-27T00:01:00.0000000;Alpha;634001472600000000;861
2011-09-05T00:01:00.0000000;Lambda;6.34508E+017;789
2011-11-11T00:01:00.0000000;Lambda;634,565,664,600,000,000.00000000;400
2018-12-26T00:01:00.0000000;Iota;6.368137926E+17;910
2018-06-30T00:01:00.0000000;Omega;636659136600000000;759
2015-04-16T00:02:00.0000000;Delta;635647393200000000;2
2015-10-25T00:01:00.0000000;Omicron;6.358132806E+17;770
2015-04-15T00:01:00.0000000;Omega;635,646,528,600,000,000.00000000;253
2018-01-27T00:02:00.0000000;Beta;6.36526E+017;424
2012-04-30T00:01:00.0000000;Beta;6.34713E+017;20
2016-04-01T00:01:00.0000000;Theta;6.359506566E+17;247
2014-01-31T00:01:00.0000000;Lambda;635267232600000000;697
2012-11-14T00:01:00.0000000;Epsilon;6.34884E+017;515
2017-12-29T00:02:00.0000000;Eta;6.365010252E+17;387
2016-05-08T00:01:00.0000000;Theta;6.359826246E+17;928
2019-02-13T00:01:00.0000000;Omicron;6.36856E+017;546
2015-01-26T00:01:00.0000000;Lambda;6.355782726E+17;415
2017-07-24T00:01:00.0000000;Chi;636,364,512,600,000,000.00000000;564
2018-07-12T00:03:00.0000000;Chi;6.366695058E+17;708
2011-12-03T00:01:00.0000000;Rho;634584672600000000;177
2018-07-06T00:02:00.0000000;Pi;636664321200000000;154
2016-11-24T00:01:00.0000000;Upsilon;6.361554246E+17;682
2013-04-03T00:01:00.0000000;Sigma;635,005,440,600,000,000.00000000;890
2013-05-25T00:01:00.0000000;Nu;635,050,368,600,000,000.00000000;204
2016-05-16T00:01:00.0000000;Upsilon;635,989,536,600,000,000.00000000;676
2011-03-19T00:01:00.0000000;Sigma;634360896600000000;12
2013-07-06T00:01:00.0000000;Lambda;6.35087E+017;868
2012-08-19T00:01:00.0000000;Mu;6.348093126E+17;555
2012-03-24T00:01:00.0000000;Gamma;6.34681E+017;139
2016-10-11T00:02:00.0000000;Chi;636117409200000000;972
2013-08-31T00:01:00.0000000;Theta;6.35135E+017;395
2018-01-01T00:02:00.0000000;Kappa;636503617200000000;226
2016-09-14T00:02:00.0000000;Kappa;6.360940812E+17;85
2015-03-30T00:01:00.0000000;Iota;635632704600000000;37
2018-03-29T00:01:00.0000000;Alpha;6.365787846E+17;289
2010-02-21T00:01:00.0000000;Eta;6.34023E+017;682
2015-04-05T00:01:00.0000000;Delta;6.356378886E+17;779
2013-12-17T00:03:00.0000000;Iota;6.35228E+017;852
2016-10-10T00:03:00.0000000;Omicron;636116545800000000;232
2012-05-06T00:02:00.0000000;Zeta;634718593200000000;788
2018-05-22T00:03:00.0000000;Tau;6.366254418E+17;840
2013-09-26T00:02:00.0000000;Sigma;635157505200000000;571
2019-08-30T00:01:00.0000000;Eta;6.37027E+017;241
2014-06-02T00:01:00.0000000;Upsilon;6.353726406E+17;156
2015-06-23T00:02:00.0000000;Nu;635706145200000000;112
2011-09-15T00:01:00.0000000;Epsilon;634516416600000000;929
2014-08-30T00:01:00.0000000;Eta;6.354495366E+17;599
2017-10-20T00:01:00.0000000;Omega;636440544600000000;825
2017-02-03T00:01:00.0000000;Phi;6.362167686E+17;479
2010-08-22T00:01:00.0000000;Kappa;6.34180E+017;594
2014-03-15T00:02:00.0000000;Omicron;635304385200000000;823
2011-07-12T00:01:00.0000000;Xi;634460256600000000;433
2014-02-07T00:02:00.0000000;Delta;635273281200000000;390
2014-02-26T00:03:00.0000000;Gamma;6.35290E+017;402
2012-01-27T00:01:00.0000000;Zeta;634632192600000000;624
2013-12-14T00:02:00.0000000;Phi;635225761200000000;521
2015-06-23T00:01:00.0000000;Rho;635706144600000000;838
2010-10-01T00:01:00.0000000;Alpha;6.342148806E+17;943
2013-02-09T00:01:00.0000000;Pi;634959648600000000;984
2010-01-31T00:01:00.0000000;Iota;634004928600000000;406
