TM;Category;unknown;Quantity
2013-07-20T00:01:00.0000000;Iota;635,098,752,600,000,000.00000000;789
2014-10-10T00:02:00.0000000;Mu;635484961200000000;807
2015-11-03T00:01:00.0000000;Phi;635821056600000000;218
2018-11-10T00:01:00.0000000;Omega;636774048600000000;804
2013-11-12T00:01:00.0000000;Alpha;6.35198E+017;394
2014-05-15T00:01:00.0000000;Delta;6.353570886E+17;148
2016-02-29T00:01:00.0000000;Chi;6.359230086E+17;619
2018-05-04T00:01:00.0000000;Epsilon;6.366098886E+17;567
2011-09-20T00:01:00.0000000;Zeta;634520736600000000;174
2012-12-07T00:01:00.0000000;Xi;6.349043526E+17;189
2015-05-01T00:01:00.0000000;Tau;635,660,352,600,000,000.00000000;497
2014-07-11T00:01:00.0000000;Mu;6.354063366E+17;469
2017-12-12T00:01:00.0000000;Iota;6.364863366E+17;477
2010-02-28T00:01:00.0000000;Omicron;6.340291206E+17;825
2012-07-06T00:01:00.0000000;Rho;634771296600000000;226
2010-03-19T00:02:00.0000000;Omega;634045537200000000;488
2010-02-07T00:01:00.0000000;Lambda;6.340109766E+17;763
2018-04-28T00:01:00.0000000;Kappa;6.36605E+017;186
2019-10-24T00:01:00.0000000;Phi;6.37075E+017;680
2015-07-18T00:01:00.0000000;Phi;635727744600000000;379
2012-07-01T00:02:00.0000000;Pi;634766977200000000;719
2019-06-21T00:02:00.0000000;Gamma;6.369667212E+17;434
2010-03-05T00:01:00.0000000;Iota;634,033,440,600,000,000.00000000;862
2017-09-30T00:01:00.0000000;Gamma;6.364232646E+17;201
2010-12-10T00:01:00.0000000;Lambda;6.34275E+017;743
2017-05-20T00:01:00.0000000;Chi;6.36308E+017;688
2018-11-23T00:01:00.0000000;Omega;636785280600000000;485
2014-03-10T00:01:00.0000000;Gamma;635300064600000000;479
2014-01-19T00:01:00.0000000;Upsilon;635256864600000000;694
2012-03-12T00:01:00.0000000;Phi;6.346710726E+17;507
2013-02-01T00:01:00.0000000;Pi;6.349527366E+17;871
2010-08-20T00:01:00.0000000;Theta;634178592600000000;409
2018-03-14T00:01:00.0000000;Chi;636565824600000000;220
2011-10-22T00:01:00.0000000;Zeta;634548384600000000;642
2019-11-26T00:01:00.0000000;Nu;637103232600000000;144
2018-05-13T00:01:00.0000000;Xi;636617664600000000;788
2013-09-21T00:01:00.0000000;Epsilon;6.351531846E+17;848
2017-01-13T00:01:00.0000000;Sigma;6.36199E+017;446
2011-10-21T00:01:00.0000000;Beta;634547520600000000;508
2019-08-28T00:01:00.0000000;Omega;637025472600000000;791
2016-05-30T00:01:00.0000000;Alpha;6.360016326E+17;196
2016-05-23T00:02:00.0000000;Sigma;6.35996E+017;680
2019-02-02T00:02:00.0000000;Upsilon;636846625200000000;343
2016-04-14T00:01:00.0000000;Gamma;635961888600000000;309
2012-07-09T00:02:00.0000000;Theta;6.34774E+017;167
2011-06-25T00:02:00.0000000;Upsilon;6.34446E+017;911
2015-03-02T00:01:00.0000000;Iota;6.356085126E+17;675
2012-10-07T00:02:00.0000000;Nu;6.34852E+017;991
2016-06-20T00:01:00.0000000;Gamma;636019776600000000;402
2010-12-20T00:02:00.0000000;Pi;634,284,001,200,000,000.00000000;812
2014-01-15T00:03:00.0000000;Iota;635,253,409,800,000,000.00000000;409
2015-11-09T00:02:00.0000000;Iota;6.358262412E+17;635
2016-08-21T00:01:00.0000000;Delta;6.36073E+017;376
2016-06-04T00:01:00.0000000;Pi;636,005,952,600,000,000.00000000;177
2019-03-29T00:02:00.0000000;Psi;636894145200000000;65
2014-11-05T00:02:00.0000000;Mu;635507425200000000;186
2016-11-14T00:01:00.0000000;Beta;636,146,784,600,000,000.00000000;379
2016-05-29T00:01:00.0000000;Phi;6.360007686E+17;586
2010-08-14T00:01:00.0000000;Epsilon;634173408600000000;385
2011-04-08T00:01:00.0000000;Psi;634,378,176,600,000,000.00000000;91
2018-04-06T00:01:00.0000000;Tau;636,585,696,600,000,000.00000000;677
2016-06-10T00:03:00.0000000;Phi;6.360111378E+17;845
2013-04-28T00:02:00.0000000;Zeta;6.350270412E+17;598
2019-03-20T00:01:00.0000000;Upsilon;6.36886E+017;481
2014-12-04T00:02:00.0000000;Lambda;635532481200000000;416
2010-01-06T00:01:00.0000000;Gamma;6.339833286E+17;283
2017-02-01T00:02:00.0000000;Pi;6.362150412E+17;162
2014-03-12T00:02:00.0000000;Omega;635,301,793,200,000,000.00000000;677
2015-03-30T00:02:00.0000000;Tau;635632705200000000;831
2019-11-21T00:02:00.0000000;Iota;637,098,913,200,000,000.00000000;905
2017-11-05T00:02:00.0000000;Psi;6.364543692E+17;190
2010-07-23T00:02:00.0000000;Psi;6.341544012E+17;469
2016-07-29T00:01:00.0000000;Gamma;636,053,472,600,000,000.00000000;248
2017-02-22T00:03:00.0000000;Nu;6.362331858E+17;358
2018-03-03T00:01:00.0000000;Mu;636556320600000000;703
2014-04-27T00:02:00.0000000;Kappa;6.353415372E+17;609
2011-08-05T00:03:00.0000000;Omicron;6.344809938E+17;198
2018-02-01T00:02:00.0000000;Iota;6.365304012E+17;492
2016-01-11T00:01:00.0000000;Chi;635,880,672,600,000,000.00000000;501
2012-04-28T00:01:00.0000000;Iota;6.34712E+017;492
2019-08-24T00:01:00.0000000;Xi;637,022,016,600,000,000.00000000;2
2012-10-29T00:02:00.0000000;Chi;6.348706572E+17;160
2011-01-12T00:02:00.0000000;Iota;6.34304E+017;600
2010-01-02T00:02:00.0000000;Zeta;6.339798732E+17;171
2016-09-03T00:02:00.0000000;Upsilon;636084577200000000;347
2015-12-04T00:02:00.0000000;Xi;635,847,841,200,000,000.00000000;871
2018-11-20T00:01:00.0000000;Xi;6.367826886E+17;972
2019-02-20T00:02:00.0000000;Lambda;636862177200000000;433
2016-07-01T00:02:00.0000000;Alpha;6.360292812E+17;371
2012-05-21T00:01:00.0000000;Kappa;6.347315526E+17;448
2019-03-06T00:02:00.0000000;Lambda;6.368742732E+17;112
2013-05-21T00:02:00.0000000;Rho;635046913200000000;52
2018-11-18T00:01:00.0000000;Kappa;6.367809606E+17;872
2014-06-15T00:02:00.0000000;Upsilon;6.35384E+017;91
2012-02-04T00:01:00.0000000;Sigma;6.346391046E+17;601
2014-09-24T00:01:00.0000000;Chi;635471136600000000;586
2010-03-26T00:02:00.0000000;Delta;634051585200000000;434
2017-08-16T00:03:00.0000000;Iota;6.36384E+017;123
2013-01-18T00:02:00.0000000;Upsilon;634,940,641,200,000,000.00000000;370
2010-11-14T00:01:00.0000000;Nu;634,252,896,600,000,000.00000000;974
2011-06-30T00:01:00.0000000;Phi;6.344498886E+17;287
2019-10-01T00:02:00.0000000;Gamma;637054849200000000;136
2011-03-26T00:02:00.0000000;Omicron;6.34367E+017;604
2019-02-28T00:02:00.0000000;Sigma;636869089200000000;118
2015-01-26T00:01:00.0000000;Alpha;6.355782726E+17;200
2018-08-13T00:03:00.0000000;Phi;6.36697E+017;250
2012-06-23T00:01:00.0000000;Iota;6.34760E+017;577
2010-02-26T00:02:00.0000000;Beta;6.340273932E+17;956
2013-10-20T00:02:00.0000000;Sigma;635178241200000000;715
2018-04-23T00:01:00.0000000;Sigma;636,600,384,600,000,000.00000000;66
2013-10-26T00:01:00.0000000;Nu;6.351834246E+17;667
2015-10-14T00:03:00.0000000;Beta;635803777800000000;871
2017-04-10T00:01:00.0000000;Phi;636273792600000000;913
2016-06-04T00:01:00.0000000;Alpha;636,005,952,600,000,000.00000000;405
2019-04-01T00:02:00.0000000;Theta;636,896,737,200,000,000.00000000;512
2019-09-19T00:02:00.0000000;Omicron;6.370444812E+17;263
2011-04-18T00:02:00.0000000;Sigma;6.343868172E+17;617
2017-02-14T00:02:00.0000000;Alpha;636226273200000000;740
2014-03-29T00:01:00.0000000;Xi;635,316,480,600,000,000.00000000;793
2016-10-15T00:01:00.0000000;Eta;6.36121E+017;14
2017-10-05T00:02:00.0000000;Lambda;636,427,585,200,000,000.00000000;414
2010-05-25T00:02:00.0000000;Eta;6.341034252E+17;82
2011-10-07T00:02:00.0000000;Beta;634,535,425,200,000,000.00000000;937
2017-07-06T00:03:00.0000000;Delta;636,348,961,800,000,000.00000000;553
2013-03-04T00:01:00.0000000;Upsilon;6.34980E+017;583
2018-02-24T00:01:00.0000000;Kappa;636550272600000000;534
2013-08-29T00:03:00.0000000;Psi;6.35133E+017;547
2013-12-13T00:01:00.0000000;Kappa;635224896600000000;431
2010-05-11T00:01:00.0000000;Nu;6.340913286E+17;696
2016-08-19T00:02:00.0000000;Psi;6.36072E+017;9
2010-04-14T00:01:00.0000000;Phi;634068000600000000;755
2015-11-08T00:01:00.0000000;Theta;6.358253766E+17;9
2017-04-02T00:01:00.0000000;Kappa;6.362668806E+17;867
2017-08-23T00:03:00.0000000;Iota;6.363904338E+17;241
2015-10-06T00:01:00.0000000;Upsilon;6.357968646E+17;84
2018-01-05T00:02:00.0000000;Delta;636507073200000000;185
2019-05-21T00:02:00.0000000;Upsilon;636939937200000000;89
2014-11-07T00:03:00.0000000;Sigma;6.35509E+017;396
2010-07-28T00:03:00.0000000;Rho;634,158,721,800,000,000.00000000;120
2013-06-13T00:01:00.0000000;Upsilon;635,066,784,600,000,000.00000000;998
2013-03-19T00:02:00.0000000;Theta;6.34992E+017;770
2016-05-12T00:02:00.0000000;Omicron;635986081200000000;116
2015-04-02T00:01:00.0000000;Eta;6.35635E+017;497
2015-09-18T00:02:00.0000000;Epsilon;6.357813132E+17;74
2019-07-11T00:01:00.0000000;Tau;6.369840006E+17;565
2019-12-17T00:02:00.0000000;Xi;6.37121E+017;534
2014-08-12T00:02:00.0000000;Eta;6.354339852E+17;126
2010-12-25T00:01:00.0000000;Zeta;634288320600000000;746
