TM;Category;unknown;Quantity
2018-09-13T00:01:00.0000000;Xi;636723936600000000;784
2017-02-27T00:01:00.0000000;Zeta;636237504600000000;594
2019-09-22T00:01:00.0000000;Omega;6.370470726E+17;112
2014-12-10T00:01:00.0000000;Tau;635537664600000000;786
2013-10-04T00:01:00.0000000;Nu;635164416600000000;447
2017-12-30T00:01:00.0000000;Phi;6.365018886E+17;204
2019-06-13T00:01:00.0000000;Mu;636,959,808,600,000,000.00000000;647
2019-05-31T00:01:00.0000000;Eta;6.36949E+017;754
2014-10-04T00:02:00.0000000;Psi;6.354797772E+17;394
2016-05-22T00:01:00.0000000;Mu;6.35995E+017;778
2018-03-11T00:01:00.0000000;Lambda;6.365632326E+17;525
2015-10-23T00:01:00.0000000;Rho;6.358115526E+17;270
2012-10-31T00:01:00.0000000;Phi;6.348723846E+17;863
2015-05-12T00:01:00.0000000;Upsilon;6.356698566E+17;419
2013-11-11T00:01:00.0000000;Omicron;6.35197E+017;109
2019-10-26T00:02:00.0000000;Alpha;6.370764492E+17;692
2010-06-27T00:02:00.0000000;Mu;6.34132E+017;807
2011-01-28T00:01:00.0000000;Kappa;634317696600000000;98
2017-07-12T00:01:00.0000000;Gamma;6.36354E+017;225
2011-12-17T00:01:00.0000000;Sigma;634,596,768,600,000,000.00000000;495
2017-08-06T00:01:00.0000000;Iota;6.363757446E+17;159
2018-03-06T00:01:00.0000000;Alpha;6.36559E+017;369
2014-04-06T00:02:00.0000000;Nu;6.353233932E+17;288
2014-04-25T00:01:00.0000000;Nu;6.353398086E+17;314
2015-09-22T00:01:00.0000000;Omicron;635784768600000000;116
2013-10-03T00:01:00.0000000;Iota;635163552600000000;64
2011-04-22T00:01:00.0000000;Eta;6.343902726E+17;758
2012-11-26T00:01:00.0000000;Iota;634,894,848,600,000,000.00000000;313
2011-10-28T00:02:00.0000000;Eta;634553569200000000;525
2017-08-30T00:01:00.0000000;Sigma;636,396,480,600,000,000.00000000;398
2011-01-18T00:01:00.0000000;Theta;6.343090566E+17;850
2012-09-03T00:01:00.0000000;Epsilon;6.34822E+017;285
2012-09-30T00:01:00.0000000;Eta;634845600600000000;250
2017-12-03T00:02:00.0000000;Theta;6.36479E+017;568
