TM;Category;unknown;Quantity
2014-11-09T00:01:00.0000000;Omicron;6.35511E+017;378
2013-05-22T00:01:00.0000000;Upsilon;635047776600000000;163
2012-08-30T00:01:00.0000000;Omega;634818816600000000;912
2018-03-30T00:01:00.0000000;Delta;6.365796486E+17;675
2017-10-20T00:01:00.0000000;Xi;636440544600000000;66
2017-08-27T00:01:00.0000000;Kappa;636393888600000000;935
2014-10-14T00:01:00.0000000;Iota;635,488,416,600,000,000.00000000;447
2016-01-13T00:01:00.0000000;Upsilon;635882400600000000;191
2011-03-14T00:02:00.0000000;Mu;6.343565772E+17;658
2010-03-29T00:01:00.0000000;Delta;6.34054E+017;496
2011-01-10T00:01:00.0000000;Chi;634302144600000000;274
2014-04-05T00:01:00.0000000;Epsilon;6.35323E+017;227
2015-02-01T00:01:00.0000000;Omicron;635,583,456,600,000,000.00000000;276
2012-12-04T00:01:00.0000000;Nu;6.349017606E+17;745
2012-05-26T00:01:00.0000000;Pi;634735872600000000;740
2015-09-18T00:01:00.0000000;Omicron;6.357813126E+17;134
2018-05-05T00:02:00.0000000;Xi;6.366107532E+17;727
2016-01-06T00:01:00.0000000;Beta;6.358763526E+17;469
2015-12-09T00:01:00.0000000;Pi;635852160600000000;570
2017-05-17T00:03:00.0000000;Pi;6.36306E+017;10
2015-05-18T00:01:00.0000000;Nu;635675040600000000;799
2015-12-18T00:01:00.0000000;Alpha;6.358599366E+17;492
2014-08-20T00:02:00.0000000;Xi;635,440,897,200,000,000.00000000;893
2011-08-08T00:01:00.0000000;Alpha;6.344835846E+17;123
2011-12-17T00:01:00.0000000;Upsilon;634,596,768,600,000,000.00000000;189
2011-06-03T00:01:00.0000000;Iota;634,426,560,600,000,000.00000000;718
2010-09-04T00:01:00.0000000;Lambda;634,191,552,600,000,000.00000000;368
2019-01-01T00:02:00.0000000;Kappa;636,818,977,200,000,000.00000000;895
2018-09-17T00:01:00.0000000;Psi;636727392600000000;31
2010-12-27T00:01:00.0000000;Alpha;6.34290E+017;75
2013-06-24T00:01:00.0000000;Kappa;6.350762886E+17;114
2015-04-23T00:01:00.0000000;Iota;6.356534406E+17;814
2010-02-27T00:01:00.0000000;Sigma;6.340282566E+17;978
2011-08-31T00:01:00.0000000;Zeta;634,503,456,600,000,000.00000000;238
2013-08-07T00:01:00.0000000;Kappa;635,114,304,600,000,000.00000000;437
2011-06-26T00:01:00.0000000;Theta;6.34446E+017;547
2010-11-04T00:02:00.0000000;Rho;6.342442572E+17;523
2015-08-09T00:01:00.0000000;Chi;6.357467526E+17;104
2019-10-08T00:02:00.0000000;Sigma;6.370608972E+17;346
2011-11-09T00:01:00.0000000;Eta;634563936600000000;227
2019-03-13T00:02:00.0000000;Epsilon;636,880,321,200,000,000.00000000;38
2012-06-16T00:02:00.0000000;Theta;634,754,017,200,000,000.00000000;879
2017-07-06T00:01:00.0000000;Delta;636,348,960,600,000,000.00000000;119
2018-04-09T00:02:00.0000000;Iota;6.36588E+017;211
2016-08-04T00:02:00.0000000;Psi;6.360586572E+17;191
2016-07-19T00:01:00.0000000;Nu;6.360448326E+17;725
2013-09-15T00:01:00.0000000;Omega;635148000600000000;689
2015-04-29T00:03:00.0000000;Nu;635658625800000000;177
2013-09-19T00:02:00.0000000;Omicron;6.351514572E+17;49
2014-06-07T00:02:00.0000000;Xi;635376961200000000;622
