TM;Category;unknown;Quantity
2015-10-29T00:01:00.0000000;Rho;635,816,736,600,000,000.00000000;60
2013-02-20T00:01:00.0000000;Iota;634969152600000000;287
2019-04-30T00:02:00.0000000;Rho;6.369217932E+17;342
2010-04-28T00:01:00.0000000;Gamma;634,080,096,600,000,000.00000000;733
2011-01-06T00:02:00.0000000;Omicron;634,298,689,200,000,000.00000000;640
2016-07-22T00:01:00.0000000;Psi;6.360474246E+17;214
2017-02-02T00:01:00.0000000;Eta;6.362159046E+17;832
2010-07-07T00:01:00.0000000;Zeta;634140576600000000;690
2011-10-17T00:01:00.0000000;Zeta;6.345440646E+17;833
2014-05-01T00:01:00.0000000;Omega;635344992600000000;38
2012-01-07T00:01:00.0000000;Epsilon;634614912600000000;273
2014-12-15T00:01:00.0000000;Phi;6.35542E+017;408
2017-10-06T00:01:00.0000000;Rho;636,428,448,600,000,000.00000000;357
2013-10-28T00:01:00.0000000;Kappa;6.351851526E+17;15
2013-11-09T00:01:00.0000000;Sigma;635195520600000000;346
2013-11-11T00:01:00.0000000;Zeta;6.35197E+017;237
2019-05-15T00:01:00.0000000;Gamma;6.36935E+017;150
2016-12-13T00:01:00.0000000;Mu;6.361718406E+17;513
2017-01-26T00:01:00.0000000;Epsilon;636,209,856,600,000,000.00000000;73
2014-09-09T00:02:00.0000000;Chi;635,458,177,200,000,000.00000000;853
2014-08-11T00:01:00.0000000;Psi;6.35433E+017;179
2019-07-25T00:03:00.0000000;Omega;6.36996E+017;273
2010-09-30T00:01:00.0000000;Pi;6.342140166E+17;795
2016-09-30T00:01:00.0000000;Theta;6.361079046E+17;78
2015-02-17T00:02:00.0000000;Lambda;635,597,281,200,000,000.00000000;449
2015-10-30T00:01:00.0000000;Mu;635,817,600,600,000,000.00000000;351
2015-09-26T00:01:00.0000000;Eta;635788224600000000;508
2013-05-14T00:01:00.0000000;Sigma;6.35041E+017;204
2011-07-27T00:01:00.0000000;Tau;634,473,216,600,000,000.00000000;222
2012-06-24T00:02:00.0000000;Nu;6.347609292E+17;861
2010-02-18T00:02:00.0000000;Pi;634020481200000000;507
2019-10-20T00:02:00.0000000;Eta;637071265200000000;265
2019-03-07T00:02:00.0000000;Rho;6.368751372E+17;72
2016-09-10T00:01:00.0000000;Pi;6.360906246E+17;897
2016-06-08T00:01:00.0000000;Beta;636009408600000000;366
2013-03-11T00:02:00.0000000;Xi;634985569200000000;656
2015-03-15T00:01:00.0000000;Delta;6.35620E+017;992
2016-02-12T00:02:00.0000000;Psi;635908321200000000;454
2015-05-12T00:01:00.0000000;Phi;6.356698566E+17;449
2015-09-23T00:02:00.0000000;Iota;635,785,633,200,000,000.00000000;939
2010-01-01T00:01:00.0000000;Alpha;6.339790086E+17;996
2019-04-29T00:02:00.0000000;Kappa;6.369209292E+17;903
2011-07-14T00:02:00.0000000;Tau;6.34462E+017;829
2016-11-05T00:02:00.0000000;Omicron;6.361390092E+17;112
2019-04-02T00:01:00.0000000;Upsilon;636,897,600,600,000,000.00000000;362
2013-01-19T00:01:00.0000000;Tau;634,941,504,600,000,000.00000000;490
2016-09-25T00:03:00.0000000;Eta;6.36104E+017;745
2012-12-15T00:01:00.0000000;Eta;634,911,264,600,000,000.00000000;485
2013-07-22T00:02:00.0000000;Iota;635100481200000000;504
2015-04-01T00:01:00.0000000;Sigma;6.35634E+017;60
2019-04-12T00:03:00.0000000;Theta;6.369062418E+17;635
2011-04-27T00:01:00.0000000;Phi;634,394,592,600,000,000.00000000;906
2014-07-27T00:01:00.0000000;Psi;6.354201606E+17;228
2010-02-18T00:01:00.0000000;Beta;634020480600000000;582
2019-08-25T00:02:00.0000000;Phi;637,022,881,200,000,000.00000000;530
2019-08-28T00:01:00.0000000;Lambda;637025472600000000;550
2018-12-19T00:02:00.0000000;Rho;6.36808E+017;703
2019-10-27T00:01:00.0000000;Epsilon;6.370773126E+17;499
2012-12-06T00:02:00.0000000;Gamma;6.349034892E+17;206
2012-07-10T00:02:00.0000000;Psi;6.34775E+017;675
2012-06-08T00:02:00.0000000;Omicron;6.347471052E+17;689
2015-07-18T00:01:00.0000000;Rho;635727744600000000;426
2010-10-24T00:01:00.0000000;Omega;634234752600000000;795
2019-04-22T00:01:00.0000000;Beta;636914880600000000;734
2018-11-25T00:02:00.0000000;Beta;636,787,009,200,000,000.00000000;534
2013-03-29T00:04:00.0000000;Mu;635,001,122,400,000,000.00000000;266
2019-01-27T00:02:00.0000000;Nu;6.368414412E+17;381
2010-12-28T00:03:00.0000000;Delta;6.342909138E+17;784
2014-03-28T00:02:00.0000000;Theta;635,315,617,200,000,000.00000000;699
2016-11-10T00:01:00.0000000;Upsilon;636143328600000000;662
2017-07-24T00:02:00.0000000;Xi;636,364,513,200,000,000.00000000;342
2019-12-28T00:02:00.0000000;Xi;637,130,881,200,000,000.00000000;742
2015-01-02T00:01:00.0000000;Alpha;6.35558E+017;486
2017-02-04T00:02:00.0000000;Lambda;6.362176332E+17;369
2010-03-23T00:02:00.0000000;Pi;634,048,993,200,000,000.00000000;192
2018-03-23T00:01:00.0000000;Rho;6.36574E+017;412
2019-10-25T00:03:00.0000000;Eta;6.370755858E+17;153
