TM;Category;unknown;Quantity
2016-12-07T00:01:00.0000000;Alpha;6.36167E+017;547
2011-09-20T00:01:00.0000000;Lambda;634520736600000000;354
2011-05-21T00:01:00.0000000;Phi;6.34415E+017;241
2011-09-03T00:01:00.0000000;Mu;634506048600000000;77
2012-12-05T00:01:00.0000000;Mu;6.349026246E+17;379
2016-11-21T00:01:00.0000000;Psi;6.36153E+017;835
2016-05-15T00:01:00.0000000;Chi;635988672600000000;390
2010-07-16T00:01:00.0000000;Omega;6.34148E+017;368
2014-06-28T00:01:00.0000000;Iota;635,395,104,600,000,000.00000000;274
2011-07-28T00:01:00.0000000;Psi;634474080600000000;136
2011-04-22T00:01:00.0000000;Nu;6.343902726E+17;406
2010-05-27T00:01:00.0000000;Psi;6.341051526E+17;167
2011-04-22T00:02:00.0000000;Kappa;634390273200000000;968
2013-06-11T00:01:00.0000000;Nu;635065056600000000;935
2015-11-19T00:02:00.0000000;Chi;635834881200000000;129
2016-02-06T00:01:00.0000000;Rho;6.359031366E+17;459
2010-10-04T00:02:00.0000000;Zeta;634217473200000000;277
2019-12-15T00:01:00.0000000;Pi;637119648600000000;754
2014-10-17T00:01:00.0000000;Omicron;635491008600000000;934
2017-02-15T00:02:00.0000000;Phi;636227137200000000;642
2018-11-30T00:01:00.0000000;Pi;636791328600000000;168
2018-02-27T00:01:00.0000000;Iota;636,552,864,600,000,000.00000000;359
2015-03-08T00:01:00.0000000;Iota;635,613,696,600,000,000.00000000;91
2011-01-09T00:01:00.0000000;Alpha;634,301,280,600,000,000.00000000;795
2018-06-28T00:01:00.0000000;Upsilon;6.366574086E+17;510
2010-01-03T00:01:00.0000000;Beta;6.339807366E+17;596
2010-08-18T00:02:00.0000000;Eta;634176865200000000;644
2016-11-13T00:01:00.0000000;Upsilon;636,145,920,600,000,000.00000000;45
2018-06-09T00:03:00.0000000;Eta;6.366409938E+17;435
2012-10-22T00:01:00.0000000;Gamma;634,864,608,600,000,000.00000000;749
2010-07-12T00:02:00.0000000;Eta;634144897200000000;886
2012-03-14T00:01:00.0000000;Epsilon;634672800600000000;151
2013-06-10T00:02:00.0000000;Omega;635064193200000000;962
2017-08-02T00:02:00.0000000;Delta;6.363722892E+17;717
2014-10-06T00:02:00.0000000;Omicron;6.354815052E+17;891
2011-07-03T00:02:00.0000000;Omicron;634452481200000000;760
2014-07-03T00:02:00.0000000;Phi;6.35399E+017;111
2014-11-29T00:01:00.0000000;Mu;6.355281606E+17;318
2010-07-29T00:02:00.0000000;Nu;634,159,585,200,000,000.00000000;960
2015-02-17T00:01:00.0000000;Sigma;635597280600000000;861
2011-06-11T00:02:00.0000000;Xi;6.344334732E+17;724
2011-04-30T00:01:00.0000000;Omega;634397184600000000;184
2015-11-18T00:02:00.0000000;Delta;635,834,017,200,000,000.00000000;622
2014-05-19T00:01:00.0000000;Nu;635360544600000000;583
2019-07-16T00:01:00.0000000;Eta;636988320600000000;242
2019-04-01T00:01:00.0000000;Theta;636,896,736,600,000,000.00000000;849
2019-08-31T00:02:00.0000000;Xi;6.37028E+017;262
2011-10-05T00:01:00.0000000;Rho;634533696600000000;357
2019-01-14T00:02:00.0000000;Omicron;636830209200000000;33
2011-12-20T00:01:00.0000000;Rho;634599360600000000;688
2018-12-27T00:02:00.0000000;Sigma;636814657200000000;544
2012-09-10T00:01:00.0000000;Phi;6.348283206E+17;475
2015-08-07T00:02:00.0000000;Eta;6.35745E+017;424
2013-04-15T00:01:00.0000000;Alpha;6.350158086E+17;305
2011-09-07T00:01:00.0000000;Omega;6.34510E+017;771
2018-09-10T00:01:00.0000000;Rho;6.367213446E+17;652
2011-01-29T00:02:00.0000000;Kappa;634318561200000000;767
2018-02-16T00:02:00.0000000;Psi;6.365433612E+17;394
2013-05-18T00:01:00.0000000;Alpha;6.350443206E+17;605
2010-02-03T00:01:00.0000000;Tau;6.34008E+017;59
2013-05-18T00:02:00.0000000;Tau;6.350443212E+17;835
2017-02-15T00:01:00.0000000;Epsilon;636227136600000000;679
2018-08-28T00:01:00.0000000;Nu;636,710,112,600,000,000.00000000;460
2011-10-08T00:03:00.0000000;Lambda;634536289800000000;92
2017-08-06T00:02:00.0000000;Eta;6.363757452E+17;991
2014-07-08T00:02:00.0000000;Theta;6.354037452E+17;733
2013-08-19T00:02:00.0000000;Chi;6.351246732E+17;600
2015-08-02T00:01:00.0000000;Kappa;635,740,704,600,000,000.00000000;75
2013-04-09T00:02:00.0000000;Iota;6.350106252E+17;17
2017-04-29T00:01:00.0000000;Delta;636290208600000000;299
2016-07-10T00:03:00.0000000;Alpha;636037057800000000;880
2015-08-03T00:02:00.0000000;Alpha;635741569200000000;900
2016-10-23T00:02:00.0000000;Iota;636127777200000000;738
2017-11-13T00:01:00.0000000;Omega;636461280600000000;953
2019-05-26T00:01:00.0000000;Iota;636,944,256,600,000,000.00000000;650
2017-10-10T00:01:00.0000000;Mu;636431904600000000;804
2014-09-30T00:01:00.0000000;Pi;635476320600000000;782
2012-10-29T00:01:00.0000000;Mu;6.348706566E+17;436
2011-07-10T00:01:00.0000000;Omega;634458528600000000;316
2017-10-07T00:02:00.0000000;Sigma;636429313200000000;53
2014-01-15T00:02:00.0000000;Beta;635,253,409,200,000,000.00000000;458
2010-04-22T00:02:00.0000000;Xi;6.340749132E+17;721
2015-07-23T00:02:00.0000000;Nu;6.357320652E+17;501
2010-06-07T00:01:00.0000000;Beta;634114656600000000;898
2011-09-16T00:02:00.0000000;Pi;634517281200000000;422
2013-05-31T00:02:00.0000000;Kappa;6.35056E+017;783
2015-11-10T00:02:00.0000000;Iota;6.358271052E+17;878
2010-09-09T00:01:00.0000000;Nu;6.34196E+017;646
2013-12-25T00:01:00.0000000;Nu;635235264600000000;932
2012-05-23T00:02:00.0000000;Sigma;6.347332812E+17;158
2012-07-27T00:01:00.0000000;Beta;6.34789E+017;472
2014-10-25T00:03:00.0000000;Iota;6.354979218E+17;144
2017-01-10T00:01:00.0000000;Kappa;636196032600000000;835
2019-07-27T00:01:00.0000000;Zeta;6.369978246E+17;625
2017-06-02T00:02:00.0000000;Tau;636319585200000000;610
2018-02-14T00:02:00.0000000;Pi;6.36542E+017;437
2015-02-16T00:03:00.0000000;Sigma;635,596,417,800,000,000.00000000;283
2016-08-12T00:02:00.0000000;Upsilon;636065569200000000;643
2016-01-26T00:02:00.0000000;Mu;635893633200000000;594
2016-07-17T00:03:00.0000000;Omicron;6.360431058E+17;50
2017-06-07T00:02:00.0000000;Nu;6.36324E+017;568
2016-02-12T00:01:00.0000000;Kappa;635908320600000000;988
2015-06-02T00:02:00.0000000;Eta;6.356880012E+17;83
2018-04-06T00:02:00.0000000;Zeta;636585697200000000;533
2019-06-02T00:01:00.0000000;Omicron;6.36950E+017;407
2013-06-16T00:03:00.0000000;Iota;635069377800000000;381
2014-05-26T00:01:00.0000000;Zeta;635366592600000000;240
2018-04-21T00:02:00.0000000;Sigma;636,598,657,200,000,000.00000000;843
2013-09-10T00:01:00.0000000;Phi;635143680600000000;700
2014-10-17T00:03:00.0000000;Tau;635491009800000000;822
2016-05-16T00:02:00.0000000;Sigma;635,989,537,200,000,000.00000000;800
2015-06-15T00:03:00.0000000;Delta;6.356992338E+17;413
2018-05-20T00:02:00.0000000;Phi;6.366237132E+17;679
2010-11-24T00:01:00.0000000;Phi;6.342615366E+17;572
2017-09-19T00:02:00.0000000;Lambda;636413761200000000;59
2011-07-02T00:02:00.0000000;Nu;6.344516172E+17;768
2013-08-05T00:02:00.0000000;Phi;635,112,577,200,000,000.00000000;617
2011-07-20T00:01:00.0000000;Zeta;6.344671686E+17;248
2013-04-27T00:04:00.0000000;Theta;6.350261784E+17;177
2016-08-30T00:03:00.0000000;Nu;636,081,121,800,000,000.00000000;525
2016-03-08T00:04:00.0000000;Xi;6.35930E+017;465
2018-11-09T00:03:00.0000000;Iota;636773185800000000;938
2015-10-05T00:03:00.0000000;Mu;6.357960018E+17;507
2018-07-22T00:01:00.0000000;Epsilon;636,678,144,600,000,000.00000000;669
2012-12-10T00:02:00.0000000;Chi;634906945200000000;743
2010-05-19T00:01:00.0000000;Omega;634,098,240,600,000,000.00000000;882
2016-06-13T00:03:00.0000000;Mu;6.360137298E+17;386
2015-03-11T00:01:00.0000000;Tau;635616288600000000;550
2011-04-25T00:01:00.0000000;Theta;634392864600000000;663
2010-09-22T00:02:00.0000000;Sigma;634207105200000000;961
2016-08-24T00:02:00.0000000;Upsilon;6.360759372E+17;518
2017-08-04T00:03:00.0000000;Psi;6.363740178E+17;32
2011-02-15T00:02:00.0000000;Nu;634333249200000000;721
2016-06-03T00:03:00.0000000;Delta;636,005,089,800,000,000.00000000;494
2013-08-01T00:03:00.0000000;Rho;635109121800000000;525
2013-07-21T00:02:00.0000000;Rho;635099617200000000;606
2012-02-29T00:02:00.0000000;Mu;634,660,705,200,000,000.00000000;165
2013-07-16T00:03:00.0000000;Pi;635095297800000000;835
2016-05-10T00:02:00.0000000;Tau;6.359843532E+17;233
2019-05-11T00:02:00.0000000;Lambda;636931297200000000;907
2015-07-22T00:02:00.0000000;Eta;6.357312012E+17;840
2014-02-05T00:01:00.0000000;Epsilon;635,271,552,600,000,000.00000000;70
2013-07-23T00:02:00.0000000;Xi;635101345200000000;114
2019-04-24T00:03:00.0000000;Gamma;6.36917E+017;588
2014-12-16T00:02:00.0000000;Delta;6.355428492E+17;710
2012-03-14T00:01:00.0000000;Pi;634672800600000000;395
2019-04-10T00:02:00.0000000;Delta;6.369045132E+17;222
2011-01-21T00:04:00.0000000;Chi;634311650400000000;56
2012-12-10T00:02:00.0000000;Rho;634906945200000000;749
2010-03-12T00:03:00.0000000;Psi;6.340394898E+17;669
2013-06-17T00:03:00.0000000;Upsilon;6.35070E+017;13
2019-10-30T00:03:00.0000000;Epsilon;637079905800000000;676
2019-07-30T00:02:00.0000000;Chi;6.370004172E+17;362
2017-03-23T00:02:00.0000000;Gamma;636258241200000000;219
2012-12-14T00:02:00.0000000;Sigma;634,910,401,200,000,000.00000000;131
2014-12-08T00:02:00.0000000;Rho;635,535,937,200,000,000.00000000;154
2017-09-26T00:01:00.0000000;Zeta;6.364198086E+17;295
2013-07-09T00:02:00.0000000;Rho;6.350892492E+17;895
2015-03-13T00:02:00.0000000;Epsilon;6.35618E+017;600
2012-03-14T00:02:00.0000000;Phi;634672801200000000;803
2016-09-07T00:02:00.0000000;Mu;6.36088E+017;885
2019-04-19T00:03:00.0000000;Upsilon;636,912,289,800,000,000.00000000;678
2018-12-30T00:01:00.0000000;Theta;636817248600000000;383
2017-12-03T00:01:00.0000000;Xi;636478560600000000;424
2011-05-12T00:03:00.0000000;Tau;634,407,553,800,000,000.00000000;214
2018-04-29T00:02:00.0000000;Kappa;6.36606E+017;317
2012-12-02T00:02:00.0000000;Zeta;6.34900E+017;883
2011-06-26T00:01:00.0000000;Iota;6.34446E+017;182
2012-11-07T00:02:00.0000000;Rho;634,878,433,200,000,000.00000000;178
2017-10-20T00:04:00.0000000;Rho;636,440,546,400,000,000.00000000;612
2011-09-17T00:01:00.0000000;Beta;634,518,144,600,000,000.00000000;508
2018-07-10T00:01:00.0000000;Iota;6.36668E+017;293
2019-04-23T00:02:00.0000000;Tau;636915745200000000;302
2011-12-04T00:03:00.0000000;Pi;6.34586E+017;855
2011-03-08T00:01:00.0000000;Epsilon;6.34351E+017;519
2014-01-14T00:03:00.0000000;Zeta;635,252,545,800,000,000.00000000;741
2012-12-25T00:01:00.0000000;Psi;6.349199046E+17;516
2012-04-12T00:02:00.0000000;Phi;6.346978572E+17;928
2016-10-27T00:01:00.0000000;Epsilon;636,131,232,600,000,000.00000000;410
2012-07-01T00:03:00.0000000;Sigma;634,766,977,800,000,000.00000000;959
2018-08-16T00:03:00.0000000;Chi;6.366997458E+17;835
2012-03-29T00:03:00.0000000;Chi;6.346857618E+17;441
2012-02-21T00:03:00.0000000;Rho;6.346537938E+17;12
2018-09-19T00:02:00.0000000;Mu;6.36729E+017;403
2017-10-21T00:03:00.0000000;Delta;636,441,409,800,000,000.00000000;24
2017-05-09T00:01:00.0000000;Zeta;6.362988486E+17;748
2015-09-25T00:02:00.0000000;Lambda;635787361200000000;526
2017-04-28T00:03:00.0000000;Tau;636289345800000000;289
2014-02-01T00:06:00.0000000;Rho;635268099600000000;21
2016-01-29T00:03:00.0000000;Tau;635896225800000000;494
2010-06-03T00:02:00.0000000;Epsilon;634,111,201,200,000,000.00000000;153
2012-04-17T00:02:00.0000000;Upsilon;6.347021772E+17;875
2012-02-02T00:02:00.0000000;Delta;6.346373772E+17;36
2016-01-10T00:02:00.0000000;Eta;635,879,809,200,000,000.00000000;318
2011-11-06T00:04:00.0000000;Alpha;634561346400000000;975
2017-05-19T00:03:00.0000000;Kappa;6.36307E+017;879
2015-07-11T00:04:00.0000000;Epsilon;635,721,698,400,000,000.00000000;118
2018-10-21T00:03:00.0000000;Theta;636756769800000000;257
2016-03-06T00:03:00.0000000;Omicron;635928193800000000;146
2018-02-04T00:03:00.0000000;Kappa;636532993800000000;154
2011-06-16T00:03:00.0000000;Gamma;634437793800000000;385
2015-12-01T00:03:00.0000000;Iota;635845249800000000;266
2011-03-25T00:03:00.0000000;Epsilon;6.34366E+017;942
2016-10-29T00:02:00.0000000;Delta;636132961200000000;928
2015-12-17T00:06:00.0000000;Lambda;635859075600000000;507
2012-02-01T00:04:00.0000000;Zeta;6.346365144E+17;495
2014-07-08T00:03:00.0000000;Upsilon;6.354037458E+17;729
2010-07-26T00:02:00.0000000;Delta;634156993200000000;493
2010-12-06T00:03:00.0000000;Tau;6.34272E+017;379
2015-07-21T00:02:00.0000000;Omicron;6.357303372E+17;98
2016-05-03T00:03:00.0000000;Xi;6.35978E+017;654
2017-10-23T00:03:00.0000000;Kappa;636,443,137,800,000,000.00000000;197
2012-09-25T00:02:00.0000000;Omicron;6.348412812E+17;139
2014-01-30T00:05:00.0000000;Delta;635,266,371,000,000,000.00000000;79
2017-10-18T00:03:00.0000000;Rho;636438817800000000;211
2014-12-06T00:02:00.0000000;Epsilon;635534209200000000;639
2010-01-16T00:03:00.0000000;Epsilon;6.33992E+017;485
2016-12-05T00:03:00.0000000;Eta;6.36165E+017;664
2019-02-14T00:03:00.0000000;Gamma;6.368569938E+17;908
2012-12-21T00:03:00.0000000;Pi;6.349164498E+17;961
2018-04-28T00:03:00.0000000;Omega;6.36605E+017;50
2014-08-14T00:02:00.0000000;Kappa;6.354357132E+17;670
2019-02-09T00:06:00.0000000;Eta;6.36853E+017;747
2018-04-25T00:03:00.0000000;Omega;636602113800000000;622
