TM;Category;unknown;Quantity
2013-04-18T00:01:00.0000000;Omicron;635018400600000000;744
2012-05-28T00:01:00.0000000;Chi;634,737,600,600,000,000.00000000;340
2011-01-19T00:01:00.0000000;Chi;6.343099206E+17;590
2016-06-11T00:01:00.0000000;Kappa;6.36012E+017;595
2011-05-05T00:01:00.0000000;Rho;6.344015046E+17;287
2019-06-18T00:01:00.0000000;Mu;6.36964E+017;246
2014-08-25T00:01:00.0000000;Beta;635445216600000000;184
2010-01-07T00:01:00.0000000;Mu;633984192600000000;540
2010-07-02T00:01:00.0000000;Alpha;6.341362566E+17;963
2012-04-22T00:01:00.0000000;Pi;634,706,496,600,000,000.00000000;869
2018-06-23T00:01:00.0000000;Xi;6.36653E+017;975
2016-04-03T00:01:00.0000000;Lambda;6.359523846E+17;370
2019-07-17T00:01:00.0000000;Chi;636989184600000000;481
2010-05-15T00:01:00.0000000;Zeta;634094784600000000;926
2012-08-25T00:01:00.0000000;Psi;634814496600000000;986
2016-09-11T00:01:00.0000000;Rho;6.360914886E+17;671
2014-08-12T00:01:00.0000000;Gamma;6.354339846E+17;262
2016-08-01T00:01:00.0000000;Mu;636056064600000000;177
2018-04-17T00:01:00.0000000;Xi;6.365952006E+17;147
2017-08-11T00:01:00.0000000;Iota;636,380,064,600,000,000.00000000;807
2015-04-19T00:01:00.0000000;Delta;6.35650E+017;17
2013-01-04T00:01:00.0000000;Iota;634928544600000000;179
2013-02-14T00:01:00.0000000;Upsilon;6.349639686E+17;243
2016-04-20T00:01:00.0000000;Theta;6.359670726E+17;760
2016-07-18T00:02:00.0000000;Eta;6.360439692E+17;780
2015-09-14T00:01:00.0000000;Psi;6.357778566E+17;882
2010-03-04T00:01:00.0000000;Omicron;634032576600000000;768
2011-03-16T00:01:00.0000000;Psi;6.343583046E+17;709
2015-06-18T00:01:00.0000000;Mu;6.357018246E+17;512
2015-09-17T00:01:00.0000000;Delta;6.357804486E+17;622
2013-04-10T00:01:00.0000000;Omicron;6.350114886E+17;815
2018-11-25T00:03:00.0000000;Kappa;636,787,009,800,000,000.00000000;987
2016-08-08T00:02:00.0000000;Lambda;6.360621132E+17;117
2012-10-18T00:01:00.0000000;Theta;634861152600000000;702
2012-10-04T00:01:00.0000000;Phi;634,849,056,600,000,000.00000000;657
2014-11-28T00:01:00.0000000;Psi;6.355272966E+17;504
2013-03-16T00:01:00.0000000;Omicron;634,989,888,600,000,000.00000000;631
2016-05-16T00:02:00.0000000;Iota;635,989,537,200,000,000.00000000;328
2010-08-16T00:02:00.0000000;Omicron;634,175,137,200,000,000.00000000;76
2011-01-11T00:02:00.0000000;Nu;634303009200000000;974
2019-03-09T00:02:00.0000000;Mu;6.368768652E+17;708
2014-08-06T00:01:00.0000000;Alpha;635428800600000000;234
2018-04-25T00:01:00.0000000;Tau;636602112600000000;198
2015-01-26T00:02:00.0000000;Eta;6.355782732E+17;67
2012-06-24T00:01:00.0000000;Eta;6.347609286E+17;231
2016-09-03T00:01:00.0000000;Chi;636,084,576,600,000,000.00000000;179
2010-07-04T00:02:00.0000000;Phi;6.341379852E+17;362
2013-12-27T00:02:00.0000000;Chi;635236993200000000;114
2011-04-26T00:03:00.0000000;Delta;634,393,729,800,000,000.00000000;89
2011-08-21T00:02:00.0000000;Delta;6.344948172E+17;443
2019-09-21T00:02:00.0000000;Upsilon;6.370462092E+17;469
2014-07-30T00:01:00.0000000;Tau;6.354227526E+17;883
2014-01-03T00:02:00.0000000;Sigma;6.35243E+017;77
2010-05-10T00:02:00.0000000;Zeta;6.340904652E+17;900
2013-03-07T00:02:00.0000000;Chi;6.349821132E+17;698
2011-04-15T00:01:00.0000000;Phi;6.34384E+017;181
2017-10-21T00:02:00.0000000;Kappa;636441409200000000;410
2016-05-14T00:01:00.0000000;Pi;635987808600000000;501
2011-07-03T00:01:00.0000000;Omega;6.344524806E+17;402
2017-11-27T00:02:00.0000000;Gamma;636,473,377,200,000,000.00000000;363
2016-09-07T00:01:00.0000000;Omega;6.36088E+017;774
2012-11-17T00:03:00.0000000;Beta;6.348870738E+17;81
2013-12-30T00:01:00.0000000;Gamma;635,239,584,600,000,000.00000000;367
2018-02-08T00:02:00.0000000;Lambda;636,536,449,200,000,000.00000000;201
2014-11-30T00:01:00.0000000;Psi;6.355290246E+17;693
2017-01-02T00:02:00.0000000;Omicron;636189121200000000;849
2018-06-11T00:01:00.0000000;Iota;6.366427206E+17;585
2015-07-09T00:01:00.0000000;Pi;6.357199686E+17;746
2016-01-03T00:01:00.0000000;Epsilon;6.358737606E+17;693
2014-09-02T00:02:00.0000000;Xi;6.354521292E+17;343
2012-08-28T00:02:00.0000000;Tau;634,817,089,200,000,000.00000000;363
2011-08-01T00:01:00.0000000;Beta;6.34478E+017;889
2018-07-30T00:02:00.0000000;Lambda;6.366850572E+17;701
2016-05-19T00:02:00.0000000;Tau;635992129200000000;328
2015-06-13T00:02:00.0000000;Delta;6.35698E+017;678
2011-04-07T00:03:00.0000000;Sigma;634,377,313,800,000,000.00000000;879
2019-09-02T00:01:00.0000000;Tau;6.370297926E+17;8
2013-07-07T00:02:00.0000000;Mu;6.35088E+017;909
2011-01-09T00:01:00.0000000;Kappa;634,301,280,600,000,000.00000000;592
2017-08-05T00:02:00.0000000;Eta;6.363748812E+17;228
2015-12-06T00:02:00.0000000;Gamma;635,849,569,200,000,000.00000000;434
2012-12-07T00:01:00.0000000;Rho;6.349043526E+17;801
2014-09-14T00:02:00.0000000;Omicron;6.35462E+017;180
2012-04-09T00:01:00.0000000;Theta;634695264600000000;994
2010-12-27T00:02:00.0000000;Phi;6.34290E+017;791
2011-11-01T00:02:00.0000000;Delta;6.345570252E+17;320
2011-08-21T00:01:00.0000000;Eta;6.344948166E+17;368
2016-11-20T00:03:00.0000000;Beta;6.361519698E+17;922
2019-07-18T00:03:00.0000000;Pi;636,990,049,800,000,000.00000000;723
2018-08-15T00:01:00.0000000;Omega;6.36699E+017;826
2013-10-09T00:02:00.0000000;Rho;6.351687372E+17;497
2010-10-28T00:01:00.0000000;Iota;634,238,208,600,000,000.00000000;65
2018-01-29T00:01:00.0000000;Upsilon;6.36528E+017;559
2019-02-02T00:02:00.0000000;Theta;636846625200000000;140
2019-02-22T00:02:00.0000000;Epsilon;636863905200000000;286
2010-04-22T00:02:00.0000000;Kappa;6.340749132E+17;601
2010-07-16T00:01:00.0000000;Zeta;6.34148E+017;403
2019-11-09T00:02:00.0000000;Zeta;6.37089E+017;131
2010-12-31T00:01:00.0000000;Mu;6.342935046E+17;456
2010-03-06T00:02:00.0000000;Delta;634,034,305,200,000,000.00000000;109
2019-06-03T00:03:00.0000000;Alpha;6.369511698E+17;437
2011-03-08T00:03:00.0000000;Upsilon;6.34351E+017;899
2012-06-10T00:01:00.0000000;Kappa;6.347488326E+17;360
2018-06-04T00:02:00.0000000;Beta;6.36637E+017;931
2016-01-01T00:02:00.0000000;Sigma;6.358720332E+17;868
2013-07-25T00:02:00.0000000;Omega;6.35103E+017;391
2015-01-20T00:03:00.0000000;Upsilon;6.355730898E+17;852
2013-11-06T00:02:00.0000000;Omega;635192929200000000;88
2010-05-13T00:02:00.0000000;Rho;634093057200000000;160
2012-01-04T00:02:00.0000000;Tau;634,612,321,200,000,000.00000000;257
2011-06-29T00:02:00.0000000;Pi;6.344490252E+17;470
2010-10-04T00:02:00.0000000;Tau;634217473200000000;54
2011-01-07T00:03:00.0000000;Lambda;634,299,553,800,000,000.00000000;851
2016-04-25T00:03:00.0000000;Lambda;635971393800000000;68
2011-07-11T00:01:00.0000000;Upsilon;634459392600000000;117
2011-11-27T00:02:00.0000000;Gamma;634579489200000000;117
2015-02-08T00:05:00.0000000;Gamma;6.35589507E+17;212
2018-03-14T00:02:00.0000000;Alpha;636565825200000000;846
2015-08-01T00:01:00.0000000;Kappa;635,739,840,600,000,000.00000000;899
2012-04-20T00:01:00.0000000;Zeta;634704768600000000;187
2013-04-11T00:01:00.0000000;Kappa;6.350123526E+17;70
2012-01-26T00:02:00.0000000;Psi;634631329200000000;755
2017-10-24T00:01:00.0000000;Kappa;636,444,000,600,000,000.00000000;810
2016-01-14T00:02:00.0000000;Kappa;635883265200000000;122
2016-04-22T00:03:00.0000000;Omega;6.359688018E+17;513
2019-12-25T00:02:00.0000000;Iota;637128289200000000;152
2013-05-18T00:02:00.0000000;Sigma;6.350443212E+17;58
2017-10-04T00:01:00.0000000;Phi;636426720600000000;779
2013-09-23T00:03:00.0000000;Gamma;6.351549138E+17;334
2014-12-19T00:01:00.0000000;Delta;6.355454406E+17;426
2010-10-20T00:02:00.0000000;Rho;6.342312972E+17;294
2018-02-03T00:02:00.0000000;Alpha;6.365321292E+17;376
2017-06-12T00:02:00.0000000;Kappa;6.363282252E+17;560
2019-06-21T00:01:00.0000000;Phi;6.369667206E+17;183
2019-05-18T00:02:00.0000000;Sigma;6.369373452E+17;836
2011-05-09T00:01:00.0000000;Eta;6.344049606E+17;283
2011-10-13T00:02:00.0000000;Zeta;6.34541E+017;389
2010-05-14T00:03:00.0000000;Phi;634093921800000000;246
2014-11-16T00:03:00.0000000;Xi;635516929800000000;905
2016-08-13T00:02:00.0000000;Mu;636,066,433,200,000,000.00000000;443
2018-06-22T00:01:00.0000000;Lambda;6.36652E+017;108
2017-10-16T00:01:00.0000000;Theta;6.364370886E+17;747
2012-08-26T00:02:00.0000000;Pi;634,815,361,200,000,000.00000000;874
2019-02-02T00:01:00.0000000;Delta;636846624600000000;206
2013-03-10T00:02:00.0000000;Pi;634984705200000000;109
2012-03-16T00:03:00.0000000;Theta;634,674,529,800,000,000.00000000;552
2014-08-31T00:02:00.0000000;Lambda;6.354504012E+17;842
2010-04-01T00:01:00.0000000;Xi;6.340567686E+17;580
2011-04-20T00:03:00.0000000;Iota;6.343885458E+17;213
2016-09-23T00:01:00.0000000;Nu;636101856600000000;755
2012-09-11T00:02:00.0000000;Beta;634829185200000000;457
2011-07-25T00:02:00.0000000;Omega;634,471,489,200,000,000.00000000;848
2017-10-18T00:02:00.0000000;Tau;6.364388172E+17;100
2018-10-31T00:02:00.0000000;Psi;6.367654092E+17;306
2019-07-14T00:02:00.0000000;Iota;6.369865932E+17;443
2014-01-11T00:01:00.0000000;Psi;6.352499526E+17;102
2016-01-25T00:02:00.0000000;Sigma;635892769200000000;873
2017-10-09T00:04:00.0000000;Theta;6.36431E+017;862
2018-06-11T00:01:00.0000000;Xi;6.366427206E+17;370
2012-07-09T00:01:00.0000000;Lambda;6.34774E+017;810
2019-07-15T00:03:00.0000000;Mu;636987457800000000;923
2010-08-29T00:02:00.0000000;Nu;634186369200000000;815
2017-03-26T00:02:00.0000000;Kappa;6.36261E+017;979
2016-04-26T00:01:00.0000000;Iota;635972256600000000;673
2011-06-21T00:02:00.0000000;Omicron;634442113200000000;120
2010-08-26T00:02:00.0000000;Lambda;6.341837772E+17;478
2015-06-02T00:01:00.0000000;Theta;6.356880006E+17;78
2018-12-22T00:01:00.0000000;Psi;6.368103366E+17;276
2017-02-22T00:01:00.0000000;Xi;6.362331846E+17;752
2016-02-08T00:03:00.0000000;Pi;6.359048658E+17;400
2016-09-23T00:01:00.0000000;Gamma;636101856600000000;227
2012-05-17T00:01:00.0000000;Theta;6.34728E+017;598
2019-02-17T00:03:00.0000000;Chi;6.368595858E+17;423
2017-08-11T00:02:00.0000000;Upsilon;636,380,065,200,000,000.00000000;633
2015-07-06T00:02:00.0000000;Theta;6.357173772E+17;186
2012-04-24T00:02:00.0000000;Lambda;634708225200000000;697
2017-01-12T00:01:00.0000000;Omega;6.36198E+017;861
2014-08-30T00:01:00.0000000;Chi;6.354495366E+17;998
2018-12-05T00:04:00.0000000;Pi;6.367956504E+17;260
2015-11-22T00:03:00.0000000;Rho;6.35837E+017;64
2012-12-09T00:02:00.0000000;Xi;634906081200000000;296
2019-10-22T00:03:00.0000000;Psi;6.37073E+017;12
2019-07-11T00:01:00.0000000;Phi;6.369840006E+17;862
2018-11-02T00:02:00.0000000;Rho;6.367671372E+17;677
2011-08-01T00:02:00.0000000;Theta;6.34478E+017;32
2014-10-31T00:01:00.0000000;Kappa;635503104600000000;191
2017-12-01T00:02:00.0000000;Upsilon;636476833200000000;222
2015-02-14T00:02:00.0000000;Mu;635594689200000000;541
2017-08-09T00:02:00.0000000;Eta;636378337200000000;585
2011-12-20T00:02:00.0000000;Xi;634599361200000000;960
2016-03-29T00:05:00.0000000;Mu;6.35948067E+17;358
2018-06-05T00:02:00.0000000;Eta;6.366375372E+17;177
2012-09-06T00:02:00.0000000;Mu;6.348248652E+17;900
2015-09-20T00:01:00.0000000;Omega;635783040600000000;916
2015-06-26T00:03:00.0000000;Nu;635708737800000000;91
2010-04-16T00:02:00.0000000;Sigma;6.34070E+017;815
2019-03-06T00:02:00.0000000;Tau;6.368742732E+17;143
2011-05-21T00:03:00.0000000;Nu;6.344153298E+17;612
2012-03-29T00:02:00.0000000;Xi;6.346857612E+17;741
2016-10-19T00:02:00.0000000;Kappa;6.361243212E+17;914
2015-02-23T00:03:00.0000000;Xi;6.35602E+017;591
2010-08-14T00:04:00.0000000;Nu;634,173,410,400,000,000.00000000;449
2016-06-27T00:02:00.0000000;Sigma;6.36026E+017;943
2016-06-21T00:02:00.0000000;Lambda;636,020,641,200,000,000.00000000;577
2011-07-04T00:02:00.0000000;Tau;634453345200000000;35
2014-01-06T00:02:00.0000000;Iota;6.352456332E+17;501
2014-06-10T00:03:00.0000000;Delta;635,379,553,800,000,000.00000000;455
2014-12-28T00:04:00.0000000;Tau;635553218400000000;347
2010-12-07T00:02:00.0000000;Omicron;6.34273E+017;737
2014-06-04T00:02:00.0000000;Omega;6.353743692E+17;329
2011-10-14T00:02:00.0000000;Chi;6.345414732E+17;517
2017-07-11T00:03:00.0000000;Iota;6.36353E+017;473
2016-05-24T00:03:00.0000000;Sigma;6.359964498E+17;129
2013-01-29T00:03:00.0000000;Gamma;6.349501458E+17;736
2014-07-24T00:03:00.0000000;Chi;6.354175698E+17;137
2012-01-09T00:04:00.0000000;Pi;6.34617E+017;482
2015-07-17T00:02:00.0000000;Beta;635726881200000000;792
2015-03-24T00:03:00.0000000;Xi;635,627,521,800,000,000.00000000;902
2011-09-13T00:02:00.0000000;Pi;6.345146892E+17;672
2013-11-13T00:02:00.0000000;Theta;6.351989772E+17;681
2013-09-16T00:04:00.0000000;Mu;6.35149E+017;801
2015-05-29T00:04:00.0000000;Kappa;6.356845464E+17;321
2011-03-15T00:05:00.0000000;Delta;634357443000000000;186
2016-10-27T00:03:00.0000000;Epsilon;636131233800000000;43
2018-04-18T00:03:00.0000000;Kappa;636596065800000000;260
2017-08-22T00:04:00.0000000;Nu;6.363895704E+17;796
2014-09-30T00:03:00.0000000;Phi;6.35476E+017;364
2012-05-19T00:04:00.0000000;Sigma;6.347298264E+17;746
2016-02-29T00:03:00.0000000;Iota;635923009800000000;128
2013-07-17T00:02:00.0000000;Nu;635096161200000000;96
2017-04-06T00:05:00.0000000;Kappa;636270339000000000;573
2014-10-09T00:03:00.0000000;Alpha;635484097800000000;192
2018-04-29T00:02:00.0000000;Sigma;6.36606E+017;720
2011-04-21T00:03:00.0000000;Theta;634389409800000000;682
2019-02-28T00:03:00.0000000;Upsilon;6.36869E+017;609
2012-12-21T00:02:00.0000000;Pi;6.349164492E+17;174
2017-05-07T00:05:00.0000000;Zeta;636297123000000000;433
2011-04-02T00:02:00.0000000;Zeta;6.343729932E+17;63
2016-12-01T00:04:00.0000000;Lambda;636161474400000000;540
2014-12-31T00:03:00.0000000;Upsilon;6.35556E+017;52
2014-10-19T00:04:00.0000000;Xi;6.35493E+017;521
2014-10-23T00:03:00.0000000;Rho;6.354961938E+17;525
2018-07-18T00:03:00.0000000;Tau;636674689800000000;305
2018-08-06T00:02:00.0000000;Mu;636691105200000000;290
2014-10-02T00:03:00.0000000;Sigma;6.35478E+017;413
