TM;Category;unknown;Quantity
2015-10-10T00:01:00.0000000;Tau;635800320600000000;369
2019-07-04T00:01:00.0000000;Omega;636977952600000000;151
2016-11-02T00:02:00.0000000;Beta;6.36136E+017;132
2015-10-02T00:01:00.0000000;Eta;6.357934086E+17;667
2014-12-07T00:01:00.0000000;Mu;635,535,072,600,000,000.00000000;805
2017-06-14T00:01:00.0000000;Sigma;6.363299526E+17;20
2012-03-21T00:01:00.0000000;Omicron;634678848600000000;597
2016-07-13T00:01:00.0000000;Pi;636039648600000000;97
2019-06-27T00:01:00.0000000;Lambda;636971904600000000;289
2019-09-26T00:01:00.0000000;Nu;637050528600000000;537
2018-12-13T00:01:00.0000000;Iota;636,802,560,600,000,000.00000000;376
2013-08-25T00:01:00.0000000;Alpha;635,129,856,600,000,000.00000000;795
2012-06-11T00:01:00.0000000;Omega;6.347496966E+17;646
2013-04-03T00:01:00.0000000;Theta;635,005,440,600,000,000.00000000;877
2012-02-15T00:01:00.0000000;Delta;6.34649E+017;318
2010-08-24T00:01:00.0000000;Beta;6.341820486E+17;23
2011-03-20T00:01:00.0000000;Iota;634,361,760,600,000,000.00000000;72
2013-04-29T00:02:00.0000000;Alpha;6.350279052E+17;50
2013-05-04T00:01:00.0000000;Xi;635032224600000000;318
2010-07-15T00:01:00.0000000;Alpha;634147488600000000;561
2013-11-28T00:01:00.0000000;Nu;6.35212E+017;94
2016-01-15T00:01:00.0000000;Chi;635884128600000000;809
2010-02-12T00:02:00.0000000;Delta;634015297200000000;679
2019-10-17T00:01:00.0000000;Rho;637,068,672,600,000,000.00000000;577
2019-01-11T00:01:00.0000000;Epsilon;6.368276166E+17;847
2018-03-09T00:01:00.0000000;Epsilon;6.365615046E+17;121
2013-04-01T00:01:00.0000000;Mu;635,003,712,600,000,000.00000000;823
2019-02-08T00:01:00.0000000;Rho;636851808600000000;723
2017-01-08T00:01:00.0000000;Mu;636,194,304,600,000,000.00000000;307
2015-07-26T00:01:00.0000000;Phi;6.357346566E+17;72
2015-11-17T00:01:00.0000000;Lambda;635,833,152,600,000,000.00000000;34
2017-07-02T00:01:00.0000000;Lambda;6.363455046E+17;972
2017-02-08T00:01:00.0000000;Phi;636221088600000000;254
2018-05-24T00:01:00.0000000;Mu;6.366271686E+17;757
2017-01-13T00:01:00.0000000;Pi;6.36199E+017;916
2015-08-25T00:01:00.0000000;Epsilon;6.35761E+017;865
2014-09-16T00:01:00.0000000;Gamma;6.35464E+017;775
2019-08-07T00:01:00.0000000;Beta;637,007,328,600,000,000.00000000;156
2011-09-18T00:01:00.0000000;Eta;634,519,008,600,000,000.00000000;510
2019-10-30T00:01:00.0000000;Alpha;6.370799046E+17;658
2013-10-22T00:01:00.0000000;Omicron;635179968600000000;474
2019-10-02T00:02:00.0000000;Pi;637055713200000000;152
2019-02-15T00:01:00.0000000;Phi;6.368578566E+17;487
2010-08-13T00:01:00.0000000;Iota;634172544600000000;938
2019-11-09T00:01:00.0000000;Mu;637088544600000000;167
2018-02-18T00:01:00.0000000;Iota;6.365450886E+17;995
2012-03-21T00:01:00.0000000;Omega;634678848600000000;688
2018-06-05T00:02:00.0000000;Psi;6.366375372E+17;311
2018-07-23T00:01:00.0000000;Iota;636,679,008,600,000,000.00000000;877
2017-05-05T00:02:00.0000000;Psi;6.362953932E+17;14
2011-12-01T00:01:00.0000000;Upsilon;634,582,944,600,000,000.00000000;445
2019-11-18T00:01:00.0000000;Omega;6.370963206E+17;764
2015-06-20T00:03:00.0000000;Lambda;635703553800000000;410
2019-03-11T00:01:00.0000000;Gamma;636878592600000000;396
2015-06-10T00:01:00.0000000;Xi;635694912600000000;62
2010-01-22T00:02:00.0000000;Mu;6.339971532E+17;319
2019-10-19T00:01:00.0000000;Sigma;637,070,400,600,000,000.00000000;84
2015-06-25T00:02:00.0000000;Omega;635,707,873,200,000,000.00000000;962
2013-01-30T00:02:00.0000000;Delta;6.349510092E+17;756
2015-07-06T00:01:00.0000000;Lambda;6.357173766E+17;882
2015-01-26T00:01:00.0000000;Chi;6.355782726E+17;952
2018-09-25T00:02:00.0000000;Theta;6.367343052E+17;271
2013-11-06T00:01:00.0000000;Sigma;635,192,928,600,000,000.00000000;996
2012-06-30T00:02:00.0000000;Omicron;634766113200000000;993
2014-08-06T00:03:00.0000000;Chi;635428801800000000;664
2019-09-18T00:02:00.0000000;Pi;6.37044E+017;115
2011-12-25T00:01:00.0000000;Phi;6.34604E+017;448
2018-04-15T00:01:00.0000000;Rho;6.365934726E+17;266
2016-08-20T00:02:00.0000000;Gamma;6.36072E+017;439
2012-03-24T00:02:00.0000000;Tau;6.34681E+017;5
2017-05-30T00:02:00.0000000;Chi;636,316,993,200,000,000.00000000;988
2010-06-19T00:01:00.0000000;Psi;634125024600000000;7
2013-07-01T00:03:00.0000000;Omega;635,082,337,800,000,000.00000000;115
2011-01-11T00:01:00.0000000;Phi;634303008600000000;704
2015-10-10T00:02:00.0000000;Epsilon;635,800,321,200,000,000.00000000;574
2010-04-09T00:02:00.0000000;Phi;634,063,681,200,000,000.00000000;874
2016-05-21T00:01:00.0000000;Gamma;635993856600000000;242
2015-03-16T00:01:00.0000000;Tau;6.35621E+017;359
2015-09-16T00:01:00.0000000;Kappa;6.357795846E+17;559
2015-10-10T00:02:00.0000000;Chi;635,800,321,200,000,000.00000000;936
2019-07-15T00:02:00.0000000;Xi;636987457200000000;535
2019-05-09T00:03:00.0000000;Psi;636929569800000000;637
2018-04-26T00:02:00.0000000;Chi;636602977200000000;591
2010-09-07T00:02:00.0000000;Delta;6.34194E+017;542
2015-10-06T00:03:00.0000000;Alpha;6.357968658E+17;351
2011-04-06T00:01:00.0000000;Gamma;634376448600000000;15
2011-09-21T00:01:00.0000000;Xi;634521600600000000;901
2017-08-15T00:01:00.0000000;Pi;636383520600000000;870
2012-02-07T00:01:00.0000000;Zeta;634641696600000000;694
2012-04-05T00:02:00.0000000;Xi;634,691,809,200,000,000.00000000;216
2012-09-12T00:01:00.0000000;Iota;634830048600000000;306
2017-07-29T00:01:00.0000000;Sigma;636368832600000000;18
2018-11-08T00:01:00.0000000;Epsilon;636,772,320,600,000,000.00000000;737
2013-06-22T00:02:00.0000000;Xi;6.350745612E+17;556
2019-09-07T00:03:00.0000000;Pi;637034113800000000;641
2017-06-22T00:02:00.0000000;Tau;636336865200000000;328
2016-02-28T00:02:00.0000000;Upsilon;6.359221452E+17;391
2012-10-16T00:02:00.0000000;Xi;634859425200000000;706
2016-04-16T00:01:00.0000000;Omicron;6.35964E+017;70
2013-04-03T00:01:00.0000000;Delta;635,005,440,600,000,000.00000000;941
2016-01-09T00:01:00.0000000;Pi;635878944600000000;470
2012-03-13T00:02:00.0000000;Gamma;634671937200000000;186
2018-06-29T00:02:00.0000000;Omicron;636658273200000000;646
2012-06-25T00:02:00.0000000;Zeta;6.347617932E+17;796
2015-01-21T00:01:00.0000000;Beta;6.35574E+017;685
2013-06-12T00:01:00.0000000;Xi;635,065,920,600,000,000.00000000;767
2017-11-12T00:02:00.0000000;Omega;636460417200000000;918
2014-11-07T00:03:00.0000000;Omicron;6.35509E+017;486
2012-07-01T00:01:00.0000000;Tau;634766976600000000;810
