TM;Category;unknown;Quantity
2015-07-27T00:01:00.0000000;Tau;6.357355206E+17;972
2011-04-30T00:01:00.0000000;Psi;634397184600000000;493
2017-01-21T00:01:00.0000000;Upsilon;636205536600000000;3
2012-10-10T00:01:00.0000000;Delta;6.34854E+017;871
2015-01-10T00:02:00.0000000;Sigma;635564449200000000;130
2014-04-07T00:01:00.0000000;Pi;6.353242566E+17;273
2015-12-24T00:01:00.0000000;Sigma;635,865,120,600,000,000.00000000;899
2010-06-09T00:01:00.0000000;Eta;634116384600000000;126
2010-07-22T00:01:00.0000000;Kappa;6.341535366E+17;205
2016-03-27T00:01:00.0000000;Sigma;635946336600000000;75
2016-07-05T00:01:00.0000000;Alpha;6.360327366E+17;77
2010-08-14T00:01:00.0000000;Theta;634173408600000000;36
2019-11-05T00:01:00.0000000;Sigma;637,085,088,600,000,000.00000000;74
2017-01-21T00:02:00.0000000;Alpha;636205537200000000;544
2016-01-13T00:02:00.0000000;Upsilon;635882401200000000;285
2011-04-10T00:01:00.0000000;Mu;634379904600000000;93
2010-10-12T00:01:00.0000000;Mu;634224384600000000;342
2011-09-04T00:02:00.0000000;Eta;6.34507E+017;366
2010-09-20T00:01:00.0000000;Nu;634,205,376,600,000,000.00000000;733
2018-06-06T00:01:00.0000000;Chi;6.366384006E+17;904
2017-04-18T00:01:00.0000000;Lambda;6.362807046E+17;53
2011-09-06T00:01:00.0000000;Omega;6.34509E+017;934
2017-05-18T00:02:00.0000000;Kappa;6.36307E+017;393
2011-04-26T00:02:00.0000000;Rho;634,393,729,200,000,000.00000000;580
2019-02-26T00:01:00.0000000;Alpha;636,867,360,600,000,000.00000000;763
2015-03-27T00:01:00.0000000;Psi;635,630,112,600,000,000.00000000;547
2019-07-12T00:01:00.0000000;Theta;6.369848646E+17;330
2011-08-24T00:01:00.0000000;Theta;6.344974086E+17;64
2018-01-08T00:01:00.0000000;Rho;636509664600000000;423
2017-01-20T00:02:00.0000000;Alpha;636204673200000000;780
2019-04-16T00:01:00.0000000;Alpha;636909696600000000;138
2016-08-02T00:02:00.0000000;Delta;6.36057E+017;217
2014-03-08T00:01:00.0000000;Upsilon;635298336600000000;393
2019-10-22T00:01:00.0000000;Delta;637072992600000000;89
2018-10-25T00:01:00.0000000;Sigma;636760224600000000;385
2010-06-21T00:01:00.0000000;Alpha;634126752600000000;41
2015-06-29T00:01:00.0000000;Rho;635711328600000000;843
2010-12-12T00:02:00.0000000;Kappa;6.342770892E+17;115
2015-12-12T00:01:00.0000000;Omicron;6.35855E+017;453
2012-09-14T00:01:00.0000000;Mu;634,831,776,600,000,000.00000000;487
2019-07-18T00:02:00.0000000;Omega;636,990,049,200,000,000.00000000;134
2014-06-22T00:02:00.0000000;Beta;6.353899212E+17;310
2011-06-23T00:01:00.0000000;Omega;634443840600000000;14
2011-08-23T00:02:00.0000000;Tau;6.344965452E+17;272
2018-09-11T00:02:00.0000000;Tau;636722209200000000;832
