TM;Category;unknown;Quantity
2019-08-09T00:01:00.0000000;Iota;637009056600000000;907
2015-01-16T00:01:00.0000000;Iota;635569632600000000;518
2019-03-18T00:01:00.0000000;Eta;636884640600000000;466
2017-11-14T00:01:00.0000000;Iota;636462144600000000;889
2016-03-18T00:01:00.0000000;Omega;6.359385606E+17;989
2016-08-21T00:01:00.0000000;Xi;6.36073E+017;141
2014-06-03T00:01:00.0000000;Mu;6.353735046E+17;336
2010-03-24T00:01:00.0000000;Delta;634,049,856,600,000,000.00000000;844
2013-12-10T00:01:00.0000000;Pi;635,222,304,600,000,000.00000000;240
2018-02-17T00:01:00.0000000;Omicron;6.365442246E+17;488
2014-08-06T00:01:00.0000000;Beta;635428800600000000;913
2016-01-22T00:01:00.0000000;Phi;6.358901766E+17;753
2012-05-25T00:01:00.0000000;Xi;634735008600000000;513
2016-06-27T00:01:00.0000000;Theta;6.36026E+017;697
2017-05-18T00:01:00.0000000;Upsilon;636306624600000000;764
2011-12-24T00:01:00.0000000;Alpha;6.34603E+017;817
2014-06-15T00:01:00.0000000;Chi;6.35384E+017;626
2010-10-03T00:01:00.0000000;Delta;6.342166086E+17;139
2013-03-09T00:01:00.0000000;Mu;6.349838406E+17;74
2015-03-20T00:01:00.0000000;Iota;6.356240646E+17;359
2015-09-19T00:01:00.0000000;Zeta;6.357821766E+17;343
2016-06-19T00:01:00.0000000;Chi;636018912600000000;440
2016-08-03T00:01:00.0000000;Lambda;6.36058E+017;631
2013-11-22T00:01:00.0000000;Mu;635,206,752,600,000,000.00000000;20
2014-11-22T00:01:00.0000000;Phi;635522112600000000;108
2014-09-12T00:01:00.0000000;Alpha;635460768600000000;858
2019-01-10T00:01:00.0000000;Gamma;6.368267526E+17;731
2018-11-25T00:02:00.0000000;Gamma;636,787,009,200,000,000.00000000;653
2013-02-22T00:01:00.0000000;Omega;634970880600000000;372
2019-01-03T00:01:00.0000000;Beta;636820704600000000;830
2013-07-11T00:02:00.0000000;Alpha;6.350909772E+17;969
2017-11-16T00:01:00.0000000;Sigma;6.36464E+017;99
2015-11-26T00:01:00.0000000;Phi;6.358409286E+17;745
2011-05-29T00:01:00.0000000;Gamma;634422240600000000;201
2011-01-14T00:01:00.0000000;Psi;6.34306E+017;467
2011-12-30T00:01:00.0000000;Psi;6.346080006E+17;347
2019-07-07T00:01:00.0000000;Lambda;6.36981E+017;545
2017-01-02T00:02:00.0000000;Theta;636189121200000000;535
2013-11-11T00:01:00.0000000;Psi;6.35197E+017;410
2016-03-04T00:02:00.0000000;Theta;635,926,465,200,000,000.00000000;685
2014-12-26T00:02:00.0000000;Chi;635,551,489,200,000,000.00000000;879
2014-02-21T00:01:00.0000000;Phi;635,285,376,600,000,000.00000000;389
2017-04-20T00:03:00.0000000;Delta;636282433800000000;687
2010-10-22T00:01:00.0000000;Beta;6.342330246E+17;755
2016-09-22T00:01:00.0000000;Xi;636100992600000000;703
2014-10-25T00:02:00.0000000;Upsilon;6.354979212E+17;314
2011-02-20T00:03:00.0000000;Lambda;6.343375698E+17;680
2014-08-29T00:01:00.0000000;Lambda;6.35449E+017;104
2012-02-08T00:01:00.0000000;Sigma;634642560600000000;961
2013-01-10T00:02:00.0000000;Chi;6.349337292E+17;721
2013-01-07T00:01:00.0000000;Kappa;6.34931E+017;739
2017-09-02T00:02:00.0000000;Tau;636399073200000000;739
2013-02-27T00:02:00.0000000;Omicron;634975201200000000;378
2012-04-17T00:01:00.0000000;Omega;6.347021766E+17;523
2014-02-04T00:01:00.0000000;Kappa;635,270,688,600,000,000.00000000;240
2015-06-03T00:01:00.0000000;Theta;635688864600000000;710
2016-01-17T00:02:00.0000000;Lambda;6.35886E+017;649
2013-08-13T00:01:00.0000000;Lambda;6.35119E+017;559
2019-03-06T00:03:00.0000000;Xi;6.368742738E+17;254
2011-04-02T00:01:00.0000000;Epsilon;6.343729926E+17;19
2012-04-11T00:01:00.0000000;Mu;6.34697E+017;772
2011-09-15T00:03:00.0000000;Beta;634516417800000000;238
2014-06-12T00:01:00.0000000;Omega;635381280600000000;441
2016-04-05T00:02:00.0000000;Kappa;635954113200000000;610
2014-04-04T00:01:00.0000000;Theta;6.35322E+017;641
2013-08-07T00:02:00.0000000;Kappa;635,114,305,200,000,000.00000000;138
2012-06-16T00:02:00.0000000;Beta;634,754,017,200,000,000.00000000;13
2014-11-07T00:02:00.0000000;Pi;6.35509E+017;9
2018-05-14T00:02:00.0000000;Alpha;636618529200000000;643
2010-06-13T00:02:00.0000000;Rho;6.341198412E+17;941
2017-05-19T00:01:00.0000000;Sigma;6.36307E+017;266
2018-10-19T00:02:00.0000000;Omicron;636,755,041,200,000,000.00000000;195
2013-10-28T00:02:00.0000000;Sigma;6.351851532E+17;864
2012-08-23T00:01:00.0000000;Theta;634812768600000000;460
2017-04-24T00:01:00.0000000;Nu;636285888600000000;103
2015-04-22T00:03:00.0000000;Xi;6.356525778E+17;138
2015-02-01T00:01:00.0000000;Rho;635,583,456,600,000,000.00000000;112
2017-02-01T00:02:00.0000000;Theta;6.362150412E+17;953
2013-07-16T00:01:00.0000000;Zeta;635095296600000000;713
2010-10-14T00:01:00.0000000;Kappa;6.34226E+017;148
2010-10-19T00:01:00.0000000;Upsilon;6.342304326E+17;643
2011-07-02T00:02:00.0000000;Eta;6.344516172E+17;970
2011-12-27T00:02:00.0000000;Sigma;6.346054092E+17;102
2019-11-17T00:01:00.0000000;Sigma;6.370954566E+17;847
2018-11-09T00:01:00.0000000;Upsilon;636,773,184,600,000,000.00000000;523
2012-01-06T00:02:00.0000000;Alpha;634614049200000000;732
2011-02-13T00:03:00.0000000;Beta;634331521800000000;784
2017-07-06T00:02:00.0000000;Kappa;636,348,961,200,000,000.00000000;245
2015-06-04T00:02:00.0000000;Sigma;635689729200000000;904
2012-03-02T00:01:00.0000000;Alpha;634662432600000000;676
2015-03-26T00:01:00.0000000;Lambda;635,629,248,600,000,000.00000000;858
2011-01-11T00:02:00.0000000;Beta;634303009200000000;447
2010-02-10T00:02:00.0000000;Alpha;6.340135692E+17;738
2016-02-04T00:02:00.0000000;Beta;6.35901E+017;549
2014-06-26T00:02:00.0000000;Pi;635393377200000000;223
2016-02-21T00:02:00.0000000;Beta;6.35916E+017;905
2016-01-11T00:03:00.0000000;Sigma;635880673800000000;193
2015-09-21T00:02:00.0000000;Upsilon;635783905200000000;249
2011-02-16T00:01:00.0000000;Sigma;634334112600000000;352
2018-06-30T00:02:00.0000000;Epsilon;636659137200000000;736
2013-09-25T00:01:00.0000000;Mu;6.351566406E+17;45
2015-09-25T00:02:00.0000000;Chi;635787361200000000;825
2010-11-19T00:02:00.0000000;Chi;6.34257E+017;478
2014-05-04T00:01:00.0000000;Eta;635,347,584,600,000,000.00000000;260
2017-11-27T00:01:00.0000000;Epsilon;636473376600000000;338
2013-05-28T00:02:00.0000000;Alpha;635052961200000000;222
2015-12-07T00:02:00.0000000;Xi;635850433200000000;190
2016-07-08T00:01:00.0000000;Rho;636035328600000000;639
2013-01-20T00:01:00.0000000;Sigma;634,942,368,600,000,000.00000000;50
2012-10-01T00:01:00.0000000;Sigma;634846464600000000;789
2017-01-10T00:02:00.0000000;Psi;636196033200000000;216
2012-06-20T00:02:00.0000000;Tau;6.34757E+017;977
2015-06-14T00:02:00.0000000;Rho;6.35698E+017;672
2016-07-10T00:01:00.0000000;Sigma;636,037,056,600,000,000.00000000;653
2019-07-12T00:01:00.0000000;Pi;6.369848646E+17;488
2015-02-09T00:02:00.0000000;Pi;6.355903692E+17;368
2018-08-27T00:01:00.0000000;Mu;636,709,248,600,000,000.00000000;76
2019-06-17T00:02:00.0000000;Pi;6.36963E+017;309
