TM;Category;unknown;Quantity
2016-10-11T00:01:00.0000000;Omicron;636117408600000000;700
2010-09-06T00:01:00.0000000;Sigma;634193280600000000;597
2013-04-08T00:01:00.0000000;Alpha;6.35010E+017;848
2013-05-04T00:01:00.0000000;Omega;635032224600000000;113
2013-04-17T00:01:00.0000000;Sigma;635017536600000000;456
2019-03-08T00:01:00.0000000;Eta;6.368760006E+17;791
2010-11-07T00:01:00.0000000;Omega;6.342468486E+17;852
2010-03-30T00:01:00.0000000;Theta;6.34055E+017;467
2013-04-29T00:01:00.0000000;Psi;6.350279046E+17;497
2016-11-05T00:01:00.0000000;Tau;6.361390086E+17;503
2016-01-16T00:01:00.0000000;Tau;6.35885E+017;421
2013-12-24T00:02:00.0000000;Psi;635234401200000000;595
2012-01-13T00:02:00.0000000;Upsilon;6.346200972E+17;898
2014-12-06T00:01:00.0000000;Omega;635534208600000000;797
2018-01-12T00:01:00.0000000;Eta;6.365131206E+17;731
2018-08-07T00:02:00.0000000;Upsilon;636691969200000000;294
2011-06-28T00:01:00.0000000;Rho;6.344481606E+17;53
2017-03-19T00:01:00.0000000;Psi;636,254,784,600,000,000.00000000;871
2010-09-26T00:01:00.0000000;Omega;6.34211E+017;661
2012-05-18T00:02:00.0000000;Iota;6.347289612E+17;448
2018-07-15T00:01:00.0000000;Chi;6.366720966E+17;108
2010-09-18T00:01:00.0000000;Rho;634203648600000000;705
2019-08-21T00:01:00.0000000;Psi;637019424600000000;75
2019-12-12T00:01:00.0000000;Xi;637,117,056,600,000,000.00000000;809
2019-03-08T00:01:00.0000000;Tau;6.368760006E+17;908
2012-10-27T00:01:00.0000000;Rho;6.34869E+017;263
2017-07-07T00:01:00.0000000;Epsilon;636,349,824,600,000,000.00000000;478
2019-10-08T00:01:00.0000000;Mu;6.370608966E+17;758
2017-12-02T00:01:00.0000000;Delta;636477696600000000;304
2013-05-15T00:01:00.0000000;Zeta;6.35042E+017;303
2016-08-17T00:01:00.0000000;Epsilon;636069888600000000;190
2011-08-26T00:01:00.0000000;Lambda;6.344991366E+17;46
2013-11-16T00:01:00.0000000;Sigma;6.352015686E+17;132
2015-09-06T00:01:00.0000000;Sigma;635,770,944,600,000,000.00000000;170
2010-10-16T00:02:00.0000000;Upsilon;6.34228E+017;213
2019-07-31T00:03:00.0000000;Xi;6.370012818E+17;948
2012-04-24T00:02:00.0000000;Gamma;634708225200000000;737
2012-01-29T00:02:00.0000000;Phi;6.34634E+017;400
2016-12-29T00:02:00.0000000;Phi;6.361856652E+17;593
2013-10-14T00:01:00.0000000;Tau;635173056600000000;163
2011-03-30T00:01:00.0000000;Tau;6.343704006E+17;198
2011-06-03T00:01:00.0000000;Phi;634,426,560,600,000,000.00000000;988
2012-11-28T00:01:00.0000000;Mu;634896576600000000;730
2012-11-16T00:01:00.0000000;Phi;6.348862086E+17;790
2013-02-17T00:01:00.0000000;Rho;6.349665606E+17;345
2015-12-31T00:01:00.0000000;Omega;6.35871E+017;486
2015-05-10T00:01:00.0000000;Tau;6.356681286E+17;949
2017-03-16T00:01:00.0000000;Rho;636252192600000000;802
2011-05-06T00:01:00.0000000;Delta;6.344023686E+17;31
2011-02-10T00:01:00.0000000;Zeta;634328928600000000;79
2013-03-31T00:01:00.0000000;Delta;635002848600000000;826
2017-11-30T00:03:00.0000000;Iota;636475969800000000;482
2018-09-21T00:01:00.0000000;Alpha;6.36731E+017;509
2019-08-18T00:02:00.0000000;Epsilon;6.370168332E+17;771
2016-01-25T00:01:00.0000000;Theta;635892768600000000;948
2017-01-01T00:01:00.0000000;Tau;6.361882566E+17;906
2011-03-17T00:02:00.0000000;Chi;634359169200000000;273
2016-03-18T00:02:00.0000000;Lambda;635938561200000000;186
2015-05-30T00:01:00.0000000;Eta;6.356854086E+17;664
2010-02-16T00:01:00.0000000;Zeta;634,018,752,600,000,000.00000000;867
2017-01-27T00:01:00.0000000;Upsilon;636210720600000000;579
2014-04-09T00:02:00.0000000;Alpha;6.353259852E+17;927
2010-07-29T00:01:00.0000000;Zeta;634,159,584,600,000,000.00000000;782
2014-06-27T00:02:00.0000000;Psi;635,394,241,200,000,000.00000000;101
2017-03-03T00:02:00.0000000;Rho;636240961200000000;992
2013-01-25T00:03:00.0000000;Omega;6.34947E+017;662
2012-12-23T00:02:00.0000000;Rho;6.349181772E+17;958
2016-09-06T00:01:00.0000000;Phi;636087168600000000;104
2010-05-16T00:02:00.0000000;Theta;634,095,649,200,000,000.00000000;797
2019-12-31T00:02:00.0000000;Omega;637133473200000000;630
2014-03-28T00:01:00.0000000;Delta;635315616600000000;120
2011-06-28T00:02:00.0000000;Upsilon;6.344481612E+17;881
2017-10-21T00:03:00.0000000;Beta;636,441,409,800,000,000.00000000;457
2014-09-14T00:02:00.0000000;Delta;6.35462E+017;891
2014-05-27T00:02:00.0000000;Sigma;6.35367E+017;111
2011-09-05T00:02:00.0000000;Gamma;6.34508E+017;154
2012-12-01T00:01:00.0000000;Sigma;6.34899E+017;46
2018-08-08T00:02:00.0000000;Kappa;636,692,833,200,000,000.00000000;463
2014-06-16T00:02:00.0000000;Theta;6.35385E+017;412
2010-04-02T00:01:00.0000000;Kappa;6.340576326E+17;269
2017-07-22T00:02:00.0000000;Nu;636362785200000000;514
2011-10-24T00:01:00.0000000;Iota;634,550,112,600,000,000.00000000;327
2017-02-17T00:02:00.0000000;Kappa;6.36229E+017;590
2011-02-19T00:02:00.0000000;Beta;6.34337E+017;758
2017-05-23T00:02:00.0000000;Lambda;6.363109452E+17;689
2012-12-30T00:01:00.0000000;Iota;634924224600000000;389
2010-03-28T00:02:00.0000000;Eta;6.34053E+017;512
2010-05-11T00:02:00.0000000;Theta;6.340913292E+17;208
2014-11-27T00:02:00.0000000;Mu;6.355264332E+17;214
2019-08-07T00:01:00.0000000;Kappa;637,007,328,600,000,000.00000000;373
2013-06-04T00:01:00.0000000;Zeta;6.350590086E+17;991
2011-03-28T00:02:00.0000000;Delta;6.34369E+017;940
2011-05-29T00:01:00.0000000;Eta;634422240600000000;409
2018-10-20T00:04:00.0000000;Tau;636755906400000000;483
2016-02-07T00:03:00.0000000;Chi;6.359040018E+17;937
2016-10-26T00:01:00.0000000;Zeta;636,130,368,600,000,000.00000000;452
2013-10-18T00:03:00.0000000;Omicron;635176513800000000;536
2015-09-24T00:02:00.0000000;Alpha;635,786,497,200,000,000.00000000;871
2012-06-29T00:02:00.0000000;Upsilon;634765249200000000;163
2011-11-19T00:02:00.0000000;Chi;6.345725772E+17;782
2010-02-08T00:02:00.0000000;Tau;6.340118412E+17;61
2018-04-18T00:02:00.0000000;Phi;636596065200000000;900
2011-11-04T00:02:00.0000000;Gamma;6.345596172E+17;44
2011-05-11T00:01:00.0000000;Alpha;634406688600000000;91
2015-12-10T00:01:00.0000000;Delta;635853024600000000;760
2016-05-18T00:01:00.0000000;Rho;635,991,264,600,000,000.00000000;73
2015-12-17T00:02:00.0000000;Zeta;6.358590732E+17;654
2018-12-11T00:04:00.0000000;Omega;636,800,834,400,000,000.00000000;963
2010-09-23T00:03:00.0000000;Omicron;634207969800000000;518
2017-10-21T00:02:00.0000000;Xi;636441409200000000;275
2018-09-29T00:03:00.0000000;Delta;636737761800000000;605
2010-11-17T00:03:00.0000000;Sigma;634255489800000000;207
2017-09-27T00:03:00.0000000;Nu;6.364206738E+17;731
2011-03-28T00:01:00.0000000;Rho;6.34369E+017;246
2017-05-24T00:01:00.0000000;Nu;6.363118086E+17;575
2010-03-28T00:02:00.0000000;Nu;6.34053E+017;81
2015-03-29T00:02:00.0000000;Pi;635631841200000000;433
2016-12-19T00:03:00.0000000;Delta;636,177,025,800,000,000.00000000;313
2017-01-12T00:02:00.0000000;Mu;6.36198E+017;793
2010-03-23T00:02:00.0000000;Upsilon;634,048,993,200,000,000.00000000;65
2013-01-13T00:03:00.0000000;Mu;6.349363218E+17;907
2011-04-11T00:02:00.0000000;Lambda;634380769200000000;372
2011-08-29T00:01:00.0000000;Beta;634501728600000000;921
2019-09-04T00:02:00.0000000;Phi;6.370315212E+17;716
2011-06-12T00:01:00.0000000;Xi;6.344343366E+17;556
2016-07-30T00:03:00.0000000;Zeta;636054337800000000;758
