TM;Category;unknown;Quantity
2011-06-03T00:01:00.0000000;Omega;634,426,560,600,000,000.00000000;305
2010-03-31T00:01:00.0000000;Eta;6.34056E+017;423
2019-10-29T00:01:00.0000000;Delta;6.370790406E+17;262
2014-10-05T00:01:00.0000000;Omicron;6.354806406E+17;508
2010-05-29T00:01:00.0000000;Psi;6.341068806E+17;640
2016-01-05T00:01:00.0000000;Epsilon;6.358754886E+17;715
2010-12-20T00:01:00.0000000;Rho;634,284,000,600,000,000.00000000;687
2017-08-24T00:01:00.0000000;Rho;6.363912966E+17;18
2019-01-07T00:01:00.0000000;Eta;6.36824E+017;84
2015-12-14T00:02:00.0000000;Sigma;6.358564812E+17;488
2016-03-22T00:01:00.0000000;Iota;635,942,016,600,000,000.00000000;360
2015-10-10T00:01:00.0000000;Xi;635800320600000000;112
2013-10-28T00:01:00.0000000;Alpha;6.351851526E+17;323
2019-12-06T00:01:00.0000000;Sigma;6.371118726E+17;624
2011-04-04T00:01:00.0000000;Pi;634374720600000000;161
2011-05-02T00:01:00.0000000;Kappa;6.34399E+017;4
2017-10-15T00:01:00.0000000;Gamma;6.364362246E+17;445
2012-03-05T00:02:00.0000000;Omega;6.34665E+017;218
2013-07-09T00:01:00.0000000;Chi;6.350892486E+17;772
2010-12-05T00:01:00.0000000;Sigma;634271040600000000;368
2014-11-01T00:01:00.0000000;Phi;635,503,968,600,000,000.00000000;751
2018-04-10T00:01:00.0000000;Zeta;6.36589E+017;514
2017-01-21T00:01:00.0000000;Theta;636205536600000000;818
2016-09-17T00:01:00.0000000;Sigma;636096672600000000;243
2014-02-22T00:01:00.0000000;Iota;635,286,240,600,000,000.00000000;153
2014-05-08T00:01:00.0000000;Sigma;635351040600000000;576
2017-10-04T00:02:00.0000000;Psi;636,426,721,200,000,000.00000000;810
2010-10-16T00:02:00.0000000;Nu;6.34228E+017;401
2015-10-28T00:01:00.0000000;Nu;635815872600000000;67
2011-08-10T00:01:00.0000000;Sigma;634485312600000000;563
2010-09-23T00:02:00.0000000;Beta;634207969200000000;798
2010-07-22T00:01:00.0000000;Omicron;6.341535366E+17;700
2015-06-20T00:01:00.0000000;Gamma;6.357035526E+17;823
2015-09-16T00:01:00.0000000;Nu;6.357795846E+17;554
2018-02-02T00:01:00.0000000;Delta;6.365312646E+17;571
2012-11-06T00:02:00.0000000;Psi;634,877,569,200,000,000.00000000;868
2018-12-03T00:01:00.0000000;Epsilon;6.36794E+017;74
2011-09-03T00:02:00.0000000;Pi;634506049200000000;586
2012-08-29T00:01:00.0000000;Psi;634817952600000000;90
2019-11-12T00:01:00.0000000;Omicron;6.37091E+017;831
2011-03-24T00:01:00.0000000;Iota;634365216600000000;462
2014-08-04T00:02:00.0000000;Sigma;635,427,073,200,000,000.00000000;498
2012-10-31T00:01:00.0000000;Omega;6.348723846E+17;362
2010-04-11T00:01:00.0000000;Phi;634,065,408,600,000,000.00000000;453
2019-08-25T00:01:00.0000000;Kappa;637,022,880,600,000,000.00000000;17
2018-08-17T00:03:00.0000000;Iota;6.367006098E+17;28
2018-08-25T00:01:00.0000000;Upsilon;636707520600000000;386
2016-01-30T00:01:00.0000000;Lambda;635,897,088,600,000,000.00000000;183
2013-10-01T00:01:00.0000000;Nu;635,161,824,600,000,000.00000000;956
2017-07-10T00:01:00.0000000;Nu;636352416600000000;397
2012-05-29T00:01:00.0000000;Lambda;634,738,464,600,000,000.00000000;179
2019-06-28T00:01:00.0000000;Sigma;636972768600000000;455
2019-10-15T00:01:00.0000000;Phi;637066944600000000;751
2017-08-13T00:03:00.0000000;Sigma;636381793800000000;360
2012-06-28T00:01:00.0000000;Eta;6.347643846E+17;895
2017-03-27T00:01:00.0000000;Tau;6.36262E+017;849
2015-04-25T00:01:00.0000000;Upsilon;6.356551686E+17;393
2012-10-08T00:01:00.0000000;Rho;6.34853E+017;877
2017-05-27T00:02:00.0000000;Lambda;636314401200000000;75
2016-05-13T00:01:00.0000000;Kappa;635986944600000000;716
2017-07-08T00:02:00.0000000;Upsilon;636350689200000000;609
2019-11-04T00:03:00.0000000;Rho;637,084,225,800,000,000.00000000;614
2010-07-02T00:01:00.0000000;Mu;6.341362566E+17;145
2019-08-16T00:01:00.0000000;Phi;6.370151046E+17;562
2014-10-15T00:02:00.0000000;Pi;635,489,281,200,000,000.00000000;251
2017-09-14T00:01:00.0000000;Xi;636409440600000000;283
2017-04-16T00:01:00.0000000;Mu;6.362789766E+17;497
2015-11-24T00:01:00.0000000;Chi;6.35839E+017;139
2014-08-08T00:02:00.0000000;Nu;6.35431E+017;609
2013-06-15T00:02:00.0000000;Psi;635068513200000000;379
2014-08-31T00:01:00.0000000;Epsilon;6.354504006E+17;886
2014-11-10T00:01:00.0000000;Lambda;6.355117446E+17;411
2015-09-14T00:01:00.0000000;Mu;6.357778566E+17;440
2019-06-05T00:02:00.0000000;Omicron;6.369528972E+17;191
2019-10-20T00:01:00.0000000;Lambda;637071264600000000;728
2015-06-22T00:01:00.0000000;Pi;635705280600000000;754
2014-09-13T00:01:00.0000000;Pi;635461632600000000;315
2011-07-21T00:01:00.0000000;Mu;6.344680326E+17;590
2011-01-22T00:02:00.0000000;Theta;634312513200000000;879
2012-10-06T00:01:00.0000000;Eta;634850784600000000;850
2019-01-05T00:02:00.0000000;Delta;6.36822E+017;991
2018-03-19T00:04:00.0000000;Rho;636570146400000000;691
2014-09-21T00:03:00.0000000;Zeta;635468545800000000;140
2014-01-09T00:02:00.0000000;Zeta;6.352482252E+17;907
2012-03-20T00:01:00.0000000;Delta;634677984600000000;742
2016-12-20T00:02:00.0000000;Chi;636,177,889,200,000,000.00000000;726
2010-06-11T00:01:00.0000000;Omicron;6.34118E+017;804
2019-06-16T00:01:00.0000000;Chi;636962400600000000;902
2016-09-25T00:02:00.0000000;Xi;6.36104E+017;510
2012-06-25T00:02:00.0000000;Kappa;6.347617932E+17;345
2011-04-05T00:02:00.0000000;Upsilon;634375585200000000;784
2016-11-14T00:02:00.0000000;Eta;636,146,785,200,000,000.00000000;983
