TM;Category;unknown;Quantity
2014-07-21T00:01:00.0000000;Omega;635414976600000000;289
2018-04-22T00:01:00.0000000;Mu;636,599,520,600,000,000.00000000;780
2014-06-02T00:01:00.0000000;Psi;6.353726406E+17;37
2018-02-28T00:01:00.0000000;Psi;636,553,728,600,000,000.00000000;442
2012-11-28T00:01:00.0000000;Phi;634896576600000000;994
2017-05-28T00:01:00.0000000;Iota;636315264600000000;351
2013-01-14T00:01:00.0000000;Iota;6.349371846E+17;461
2013-01-05T00:01:00.0000000;Delta;634929408600000000;149
2019-12-09T00:01:00.0000000;Omicron;637114464600000000;627
2011-10-11T00:01:00.0000000;Omega;634538880600000000;673
2017-11-08T00:01:00.0000000;Tau;636456960600000000;481
2018-10-31T00:01:00.0000000;Zeta;6.367654086E+17;695
2017-03-19T00:02:00.0000000;Psi;636,254,785,200,000,000.00000000;971
2018-11-15T00:02:00.0000000;Nu;6.367783692E+17;309
2019-11-23T00:02:00.0000000;Omicron;637,100,641,200,000,000.00000000;879
2015-01-16T00:02:00.0000000;Epsilon;635569633200000000;503
2018-10-29T00:01:00.0000000;Zeta;6.367636806E+17;386
2014-05-24T00:01:00.0000000;Eta;635,364,864,600,000,000.00000000;373
2014-05-17T00:01:00.0000000;Gamma;6.353588166E+17;950
2011-12-25T00:01:00.0000000;Upsilon;6.34604E+017;862
2013-04-28T00:01:00.0000000;Xi;6.350270406E+17;467
2014-10-20T00:02:00.0000000;Kappa;6.35494E+017;941
2011-04-06T00:02:00.0000000;Delta;634376449200000000;81
2019-07-05T00:01:00.0000000;Pi;636978816600000000;211
2016-12-14T00:01:00.0000000;Pi;6.361727046E+17;669
2015-09-26T00:01:00.0000000;Lambda;635788224600000000;400
2016-07-23T00:02:00.0000000;Kappa;636048289200000000;170
2018-06-24T00:02:00.0000000;Kappa;6.366539532E+17;94
2010-04-07T00:02:00.0000000;Beta;634061953200000000;548
2016-04-16T00:02:00.0000000;Chi;6.35964E+017;741
2014-03-12T00:01:00.0000000;Iota;635,301,792,600,000,000.00000000;108
2010-01-08T00:01:00.0000000;Kappa;633985056600000000;857
2018-12-20T00:01:00.0000000;Epsilon;6.36809E+017;37
2011-08-18T00:02:00.0000000;Iota;6.34492E+017;949
2017-04-20T00:01:00.0000000;Nu;6.362824326E+17;250
2013-07-11T00:02:00.0000000;Mu;6.350909772E+17;225
2016-11-20T00:02:00.0000000;Omicron;6.36152E+017;854
2011-07-26T00:02:00.0000000;Iota;634,472,353,200,000,000.00000000;623
2013-06-06T00:01:00.0000000;Upsilon;6.350607366E+17;760
2011-01-02T00:01:00.0000000;Iota;6.342952326E+17;284
2018-11-14T00:01:00.0000000;Gamma;6.36778E+017;410
2018-08-21T00:01:00.0000000;Alpha;6.367040646E+17;325
2011-03-05T00:02:00.0000000;Psi;634348801200000000;623
2014-06-10T00:01:00.0000000;Rho;635,379,552,600,000,000.00000000;96
2016-05-20T00:02:00.0000000;Omicron;635992993200000000;390
2016-11-08T00:01:00.0000000;Mu;6.361416006E+17;659
2013-06-25T00:01:00.0000000;Chi;6.350771526E+17;525
2017-06-06T00:01:00.0000000;Eta;6.36323E+017;913
2017-12-23T00:02:00.0000000;Lambda;6.36496E+017;184
2018-03-22T00:03:00.0000000;Epsilon;6.36573E+017;792
2017-03-21T00:01:00.0000000;Sigma;636,256,512,600,000,000.00000000;953
2014-10-30T00:01:00.0000000;Mu;635502240600000000;901
2018-05-02T00:01:00.0000000;Kappa;6.366081606E+17;520
2014-06-11T00:01:00.0000000;Beta;635,380,416,600,000,000.00000000;952
2016-10-15T00:02:00.0000000;Zeta;6.36121E+017;916
2019-09-22T00:01:00.0000000;Tau;6.370470726E+17;276
2013-11-06T00:02:00.0000000;Iota;635192929200000000;780
2016-12-06T00:02:00.0000000;Omicron;6.36166E+017;574
2019-06-29T00:02:00.0000000;Nu;636,973,633,200,000,000.00000000;131
2016-06-16T00:01:00.0000000;Sigma;6.360163206E+17;992
2012-09-29T00:03:00.0000000;Theta;634844737800000000;79
2013-03-11T00:02:00.0000000;Rho;634985569200000000;95
2013-11-16T00:02:00.0000000;Beta;6.352015692E+17;597
2017-12-30T00:01:00.0000000;Chi;6.365018886E+17;674
2016-05-11T00:01:00.0000000;Alpha;6.359852166E+17;935
2016-01-17T00:03:00.0000000;Omicron;6.358858578E+17;945
2015-12-19T00:01:00.0000000;Iota;6.358608006E+17;464
2019-06-25T00:02:00.0000000;Phi;6.369701772E+17;352
2012-06-18T00:02:00.0000000;Phi;634755745200000000;169
2012-07-08T00:03:00.0000000;Eta;6.34773E+017;350
2019-08-30T00:02:00.0000000;Lambda;6.37027E+017;541
2018-07-24T00:02:00.0000000;Sigma;636679873200000000;772
2016-01-16T00:02:00.0000000;Mu;6.35885E+017;52
2014-11-04T00:02:00.0000000;Nu;635506561200000000;517
2016-12-06T00:01:00.0000000;Xi;636165792600000000;237
2018-04-07T00:02:00.0000000;Tau;636586561200000000;650
2019-07-02T00:04:00.0000000;Omega;636976226400000000;409
2011-12-09T00:03:00.0000000;Lambda;6.345898578E+17;651
2019-03-19T00:02:00.0000000;Epsilon;6.36886E+017;945
2016-08-26T00:02:00.0000000;Beta;6.360776652E+17;125
2018-12-24T00:02:00.0000000;Rho;6.368120652E+17;130
2018-04-16T00:01:00.0000000;Theta;6.365943366E+17;375
2015-12-20T00:02:00.0000000;Chi;635861665200000000;971
2013-01-26T00:02:00.0000000;Omega;6.34948E+017;593
2014-05-15T00:01:00.0000000;Nu;6.353570886E+17;827
2010-07-19T00:03:00.0000000;Lambda;6.341509458E+17;622
2019-08-29T00:01:00.0000000;Pi;637026336600000000;965
2018-08-04T00:01:00.0000000;Iota;6.366893766E+17;415
2018-12-29T00:02:00.0000000;Beta;636816385200000000;344
2010-02-04T00:02:00.0000000;Lambda;6.34008E+017;971
2016-08-08T00:01:00.0000000;Sigma;6.360621126E+17;310
2011-11-29T00:01:00.0000000;Iota;634,581,216,600,000,000.00000000;701
2014-07-05T00:01:00.0000000;Delta;6.35401E+017;356
2019-09-19T00:01:00.0000000;Omicron;6.37044E+017;957
2013-12-29T00:03:00.0000000;Chi;635,238,721,800,000,000.00000000;675
2012-06-21T00:02:00.0000000;Upsilon;6.34758E+017;49
2019-07-27T00:03:00.0000000;Delta;6.369978258E+17;282
2014-08-15T00:01:00.0000000;Tau;6.354365766E+17;911
2016-10-02T00:01:00.0000000;Lambda;6.361096326E+17;451
2016-12-01T00:02:00.0000000;Kappa;636,161,473,200,000,000.00000000;118
2014-08-20T00:01:00.0000000;Kappa;635440896600000000;420
2018-07-28T00:03:00.0000000;Psi;6.36683E+017;625
2017-10-27T00:01:00.0000000;Alpha;636446592600000000;416
2011-10-29T00:02:00.0000000;Mu;6.34554E+017;378
2019-09-11T00:02:00.0000000;Rho;637,037,569,200,000,000.00000000;916
2013-09-23T00:01:00.0000000;Beta;6.351549126E+17;121
2015-02-02T00:02:00.0000000;Rho;635584321200000000;333
2013-07-13T00:04:00.0000000;Omega;635092706400000000;808
2010-04-16T00:02:00.0000000;Psi;6.34070E+017;652
2018-10-21T00:02:00.0000000;Eta;636,756,769,200,000,000.00000000;60
2019-05-12T00:02:00.0000000;Omicron;6.36932E+017;786
2019-08-16T00:01:00.0000000;Tau;6.370151046E+17;200
2014-10-21T00:02:00.0000000;Kappa;6.35494E+017;397
2015-03-09T00:04:00.0000000;Theta;635614562400000000;267
2016-11-01T00:02:00.0000000;Delta;6.36136E+017;94
2016-02-01T00:01:00.0000000;Kappa;635898816600000000;108
2019-10-28T00:02:00.0000000;Omicron;6.370781772E+17;271
2017-03-16T00:01:00.0000000;Theta;636252192600000000;627
2014-11-24T00:03:00.0000000;Nu;6.35524E+017;801
2015-10-14T00:03:00.0000000;Sigma;635803777800000000;290
2012-01-16T00:02:00.0000000;Psi;6.346226892E+17;637
2013-09-14T00:03:00.0000000;Gamma;635147137800000000;489
2013-11-19T00:03:00.0000000;Zeta;635204161800000000;859
2019-09-22T00:01:00.0000000;Kappa;6.370470726E+17;947
2019-10-24T00:01:00.0000000;Chi;6.37075E+017;965
2010-09-30T00:01:00.0000000;Gamma;6.342140166E+17;553
2014-05-23T00:01:00.0000000;Beta;635,364,000,600,000,000.00000000;136
2014-07-08T00:02:00.0000000;Omicron;6.354037452E+17;824
2015-10-14T00:02:00.0000000;Mu;635803777200000000;123
2018-02-27T00:03:00.0000000;Psi;636,552,865,800,000,000.00000000;404
2011-04-02T00:01:00.0000000;Nu;6.343729926E+17;177
2019-07-10T00:02:00.0000000;Upsilon;6.369831372E+17;410
2018-11-09T00:02:00.0000000;Zeta;636773185200000000;966
2016-04-26T00:01:00.0000000;Kappa;635972256600000000;706
2016-07-08T00:02:00.0000000;Eta;636,035,329,200,000,000.00000000;863
2017-07-31T00:02:00.0000000;Zeta;6.36371E+017;742
2014-07-25T00:02:00.0000000;Beta;6.354184332E+17;176
2013-10-23T00:02:00.0000000;Rho;6.35181E+017;844
2018-12-04T00:02:00.0000000;Alpha;6.367947852E+17;833
2011-10-18T00:03:00.0000000;Xi;6.345449298E+17;317
2013-03-19T00:02:00.0000000;Nu;6.34992E+017;376
2013-11-17T00:03:00.0000000;Iota;635202433800000000;195
2014-01-25T00:03:00.0000000;Chi;6.352620498E+17;693
2019-09-11T00:03:00.0000000;Omega;637,037,569,800,000,000.00000000;370
2017-01-01T00:02:00.0000000;Phi;6.361882572E+17;332
2015-11-24T00:02:00.0000000;Beta;6.35839E+017;456
2017-05-20T00:04:00.0000000;Beta;6.363083544E+17;677
2011-02-18T00:04:00.0000000;Epsilon;6.34336E+017;346
2013-02-01T00:02:00.0000000;Phi;6.349527372E+17;342
2011-01-16T00:02:00.0000000;Omicron;6.343073292E+17;64
2019-10-02T00:02:00.0000000;Sigma;637055713200000000;848
2012-04-15T00:02:00.0000000;Psi;6.347004492E+17;525
2015-02-03T00:02:00.0000000;Psi;635585185200000000;738
2016-05-27T00:02:00.0000000;Upsilon;6.359990412E+17;823
2012-04-24T00:04:00.0000000;Delta;634708226400000000;465
2013-09-29T00:03:00.0000000;Omicron;635,160,097,800,000,000.00000000;535
2011-05-15T00:04:00.0000000;Lambda;634410146400000000;635
2014-06-05T00:02:00.0000000;Theta;635375233200000000;265
2015-12-23T00:01:00.0000000;Gamma;635,864,256,600,000,000.00000000;165
2014-08-09T00:03:00.0000000;Zeta;6.35431E+017;188
2018-09-05T00:03:00.0000000;Nu;6.367170258E+17;760
2016-06-29T00:02:00.0000000;Beta;6.360275532E+17;439
2014-10-20T00:03:00.0000000;Phi;6.35494E+017;257
2010-10-23T00:02:00.0000000;Phi;634233889200000000;101
2010-12-07T00:03:00.0000000;Nu;6.34273E+017;630
2017-12-25T00:01:00.0000000;Alpha;6.364975686E+17;317
2013-09-18T00:03:00.0000000;Pi;6.351505938E+17;37
2015-08-02T00:02:00.0000000;Rho;635740705200000000;817
2017-07-11T00:02:00.0000000;Theta;6.36353E+017;924
2016-01-10T00:03:00.0000000;Zeta;635,879,809,800,000,000.00000000;575
2012-02-20T00:03:00.0000000;Sigma;6.346529298E+17;6
2014-05-14T00:04:00.0000000;Gamma;6.353562264E+17;195
2013-10-12T00:02:00.0000000;Theta;6.351713292E+17;530
2017-12-19T00:03:00.0000000;Beta;636492385800000000;794
2013-04-08T00:02:00.0000000;Rho;6.35010E+017;61
2013-05-28T00:04:00.0000000;Alpha;635052962400000000;745
2012-10-28T00:03:00.0000000;Alpha;6.348697938E+17;989
2012-06-01T00:03:00.0000000;Gamma;6.34741E+017;830
2019-12-08T00:02:00.0000000;Epsilon;637113601200000000;219
2016-03-09T00:03:00.0000000;Nu;6.35931E+017;215
2017-04-12T00:04:00.0000000;Nu;6.36276E+017;269
2010-08-09T00:03:00.0000000;Tau;6.341690898E+17;827
2010-09-04T00:04:00.0000000;Omicron;634191554400000000;56
2014-05-31T00:01:00.0000000;Eta;6.353709126E+17;361
2019-08-02T00:01:00.0000000;Beta;637003008600000000;60
2014-02-10T00:03:00.0000000;Kappa;6.352758738E+17;658
2012-11-25T00:01:00.0000000;Delta;634,893,984,600,000,000.00000000;393
2016-12-06T00:03:00.0000000;Zeta;6.36166E+017;966
2014-01-26T00:04:00.0000000;Pi;6.352629144E+17;618
2011-08-27T00:02:00.0000000;Gamma;634500001200000000;295
2017-06-05T00:03:00.0000000;Delta;6.36322E+017;353
2011-04-16T00:02:00.0000000;Psi;6.343850892E+17;311
2011-07-20T00:02:00.0000000;Zeta;6.344671692E+17;161
2014-03-06T00:02:00.0000000;Pi;6.352966092E+17;517
2011-11-23T00:03:00.0000000;Omicron;6.345760338E+17;486
2016-07-13T00:02:00.0000000;Theta;636039649200000000;720
2019-03-22T00:02:00.0000000;Psi;6.368880972E+17;329
2015-07-26T00:04:00.0000000;Nu;635734658400000000;349
2014-02-08T00:02:00.0000000;Zeta;6.35274E+017;470
2017-12-03T00:02:00.0000000;Chi;6.36479E+017;421
2010-08-17T00:04:00.0000000;Omega;634176002400000000;574
2017-07-15T00:01:00.0000000;Iota;6.363567366E+17;451
2016-03-27T00:06:00.0000000;Delta;6.359463396E+17;668
2019-08-26T00:03:00.0000000;Rho;637023745800000000;620
2011-05-10T00:03:00.0000000;Chi;634405825800000000;909
2011-09-12T00:03:00.0000000;Theta;6.345138258E+17;590
2016-11-09T00:01:00.0000000;Tau;6.361424646E+17;162
2013-04-02T00:02:00.0000000;Epsilon;635,004,577,200,000,000.00000000;390
2010-05-15T00:02:00.0000000;Chi;634094785200000000;384
2012-10-26T00:03:00.0000000;Tau;6.34868E+017;892
2011-10-29T00:04:00.0000000;Tau;6.34554E+017;388
2013-07-09T00:02:00.0000000;Xi;6.350892492E+17;92
2014-01-19T00:01:00.0000000;Zeta;635256864600000000;311
2016-06-28T00:02:00.0000000;Gamma;6.36027E+017;29
2019-12-31T00:03:00.0000000;Lambda;637133473800000000;153
2016-04-09T00:03:00.0000000;Kappa;635,957,569,800,000,000.00000000;88
2011-02-06T00:02:00.0000000;Iota;6.343254732E+17;326
2015-02-13T00:02:00.0000000;Gamma;6.355938252E+17;31
2010-09-07T00:06:00.0000000;Kappa;6.341941476E+17;942
2018-02-24T00:04:00.0000000;Omicron;636,550,274,400,000,000.00000000;381
2017-06-29T00:03:00.0000000;Kappa;6.363429138E+17;494
2017-07-24T00:03:00.0000000;Zeta;636,364,513,800,000,000.00000000;536
2017-01-23T00:03:00.0000000;Pi;636,207,265,800,000,000.00000000;3
2019-04-17T00:03:00.0000000;Psi;636,910,561,800,000,000.00000000;166
2018-12-08T00:02:00.0000000;Alpha;6.367982412E+17;894
2011-12-15T00:06:00.0000000;Pi;634,595,043,600,000,000.00000000;19
