TM;Category;unknown;Quantity
2017-07-24T00:01:00.0000000;Xi;636,364,512,600,000,000.00000000;710
2019-09-14T00:01:00.0000000;Delta;637040160600000000;655
2019-03-10T00:01:00.0000000;Chi;6.368777286E+17;811
2016-11-18T00:01:00.0000000;Nu;636150240600000000;392
2010-11-30T00:01:00.0000000;Lambda;634266720600000000;33
2017-07-24T00:01:00.0000000;Upsilon;636,364,512,600,000,000.00000000;758
2019-04-05T00:02:00.0000000;Rho;636900193200000000;360
2019-04-23T00:01:00.0000000;Nu;636915744600000000;29
2014-02-05T00:01:00.0000000;Iota;635,271,552,600,000,000.00000000;425
2017-08-13T00:01:00.0000000;Nu;636,381,792,600,000,000.00000000;486
2016-06-26T00:01:00.0000000;Gamma;636024960600000000;729
2013-09-18T00:01:00.0000000;Phi;6.35151E+017;394
2018-02-11T00:01:00.0000000;Gamma;636539040600000000;626
2014-03-07T00:02:00.0000000;Mu;635297473200000000;489
2014-06-24T00:01:00.0000000;Mu;635391648600000000;480
2013-01-25T00:01:00.0000000;Pi;6.34947E+017;257
2012-02-21T00:01:00.0000000;Epsilon;6.346537926E+17;535
2018-08-27T00:01:00.0000000;Upsilon;636,709,248,600,000,000.00000000;913
2013-05-09T00:01:00.0000000;Theta;635,036,544,600,000,000.00000000;495
2013-04-03T00:01:00.0000000;Kappa;635,005,440,600,000,000.00000000;585
2013-07-07T00:01:00.0000000;Sigma;6.35088E+017;148
2013-01-18T00:01:00.0000000;Eta;634,940,640,600,000,000.00000000;275
2012-02-03T00:02:00.0000000;Lambda;6.346382412E+17;519
2015-05-17T00:01:00.0000000;Upsilon;635674176600000000;804
2015-12-30T00:01:00.0000000;Psi;6.35870E+017;25
2011-11-07T00:01:00.0000000;Iota;6.345622086E+17;997
2010-10-11T00:01:00.0000000;Kappa;634223520600000000;441
2019-09-25T00:01:00.0000000;Omega;6.370496646E+17;1
2013-01-10T00:03:00.0000000;Omicron;6.349337298E+17;131
2014-06-09T00:01:00.0000000;Beta;635,378,688,600,000,000.00000000;542
2014-08-24T00:01:00.0000000;Lambda;635444352600000000;365
2017-08-10T00:01:00.0000000;Delta;636379200600000000;633
2019-03-05T00:01:00.0000000;Beta;6.368734086E+17;922
2015-09-28T00:01:00.0000000;Alpha;635789952600000000;116
2016-07-24T00:02:00.0000000;Theta;636049153200000000;219
2018-08-19T00:01:00.0000000;Alpha;6.367023366E+17;296
2019-11-06T00:02:00.0000000;Nu;637085953200000000;454
2014-07-30T00:01:00.0000000;Zeta;6.354227526E+17;35
2017-02-12T00:01:00.0000000;Lambda;636,224,544,600,000,000.00000000;274
2012-05-15T00:02:00.0000000;Phi;6.34726E+017;434
2017-03-03T00:01:00.0000000;Rho;636,240,960,600,000,000.00000000;609
2011-04-22T00:01:00.0000000;Phi;6.343902726E+17;890
2016-06-15T00:02:00.0000000;Eta;6.360154572E+17;891
2017-06-23T00:01:00.0000000;Gamma;636337728600000000;474
2017-06-12T00:02:00.0000000;Tau;6.363282252E+17;22
2016-03-02T00:01:00.0000000;Epsilon;635924736600000000;317
2018-07-25T00:02:00.0000000;Omicron;636680737200000000;214
2012-03-31T00:01:00.0000000;Upsilon;6.346874886E+17;823
2012-05-29T00:01:00.0000000;Pi;634,738,464,600,000,000.00000000;655
2012-08-04T00:02:00.0000000;Sigma;634796353200000000;499
2017-11-04T00:01:00.0000000;Upsilon;6.364535046E+17;660
2019-02-23T00:01:00.0000000;Sigma;636864768600000000;355
2012-06-23T00:01:00.0000000;Delta;6.34760E+017;594
2013-07-21T00:01:00.0000000;Omicron;635099616600000000;452
2017-03-20T00:02:00.0000000;Iota;636,255,649,200,000,000.00000000;715
2012-01-23T00:01:00.0000000;Gamma;634,628,736,600,000,000.00000000;381
2010-05-19T00:01:00.0000000;Xi;634,098,240,600,000,000.00000000;266
2010-11-28T00:01:00.0000000;Omicron;6.342649926E+17;771
2018-04-08T00:01:00.0000000;Kappa;636587424600000000;413
2012-03-11T00:02:00.0000000;Alpha;6.346702092E+17;527
2010-07-10T00:01:00.0000000;Iota;634,143,168,600,000,000.00000000;560
2018-07-07T00:02:00.0000000;Omicron;636665185200000000;631
2014-05-08T00:01:00.0000000;Beta;635351040600000000;759
2010-12-12T00:01:00.0000000;Iota;6.342770886E+17;643
2011-01-15T00:02:00.0000000;Chi;6.343064652E+17;637
2018-04-28T00:02:00.0000000;Kappa;6.36605E+017;930
2015-02-07T00:02:00.0000000;Gamma;6.35589E+017;852
2010-05-10T00:01:00.0000000;Omega;6.340904646E+17;419
2015-02-10T00:02:00.0000000;Kappa;6.355912332E+17;982
2010-09-14T00:01:00.0000000;Zeta;6.342001926E+17;508
2011-06-05T00:02:00.0000000;Epsilon;634428289200000000;194
2015-02-26T00:02:00.0000000;Tau;6.356050572E+17;280
2014-08-24T00:01:00.0000000;Omega;635444352600000000;317
2010-01-07T00:02:00.0000000;Zeta;633984193200000000;122
2015-01-23T00:02:00.0000000;Nu;6.355756812E+17;944
2017-06-10T00:01:00.0000000;Sigma;6.363264966E+17;615
2010-05-17T00:02:00.0000000;Zeta;634,096,513,200,000,000.00000000;280
2016-08-24T00:02:00.0000000;Omicron;6.360759372E+17;348
2011-04-13T00:01:00.0000000;Iota;6.34382E+017;869
2012-07-24T00:01:00.0000000;Rho;634786848600000000;135
2018-05-04T00:02:00.0000000;Beta;6.366098892E+17;795
2012-06-12T00:02:00.0000000;Beta;634750561200000000;103
2016-03-23T00:01:00.0000000;Kappa;635,942,880,600,000,000.00000000;307
2010-04-17T00:02:00.0000000;Gamma;6.34071E+017;592
2017-04-04T00:01:00.0000000;Delta;636268608600000000;118
2017-05-29T00:02:00.0000000;Pi;636316129200000000;171
2014-04-02T00:02:00.0000000;Zeta;635319937200000000;870
2011-06-23T00:02:00.0000000;Upsilon;634443841200000000;124
2015-11-11T00:01:00.0000000;Nu;6.358279686E+17;543
2018-06-27T00:01:00.0000000;Theta;6.366565446E+17;445
2018-11-16T00:01:00.0000000;Alpha;6.367792326E+17;300
2015-09-18T00:01:00.0000000;Mu;6.357813126E+17;50
2017-05-20T00:01:00.0000000;Iota;6.36308E+017;947
2011-04-05T00:01:00.0000000;Delta;634375584600000000;367
2010-11-14T00:01:00.0000000;Epsilon;634,252,896,600,000,000.00000000;416
2015-11-20T00:03:00.0000000;Lambda;635835745800000000;416
2018-09-09T00:03:00.0000000;Upsilon;636720481800000000;979
2016-09-21T00:03:00.0000000;Psi;636100129800000000;103
2014-12-02T00:02:00.0000000;Delta;6.355307532E+17;512
2011-05-26T00:01:00.0000000;Mu;6.344196486E+17;256
2014-02-04T00:01:00.0000000;Gamma;635,270,688,600,000,000.00000000;738
2011-05-10T00:02:00.0000000;Xi;634405825200000000;447
2018-08-20T00:02:00.0000000;Epsilon;6.367032012E+17;559
2013-07-17T00:01:00.0000000;Mu;635096160600000000;298
2010-01-18T00:02:00.0000000;Epsilon;6.339936972E+17;815
2014-02-08T00:01:00.0000000;Phi;635274144600000000;914
2014-10-26T00:03:00.0000000;Gamma;6.354987858E+17;544
2012-07-31T00:01:00.0000000;Pi;6.347928966E+17;646
2010-07-09T00:02:00.0000000;Gamma;634,142,305,200,000,000.00000000;4
2014-12-05T00:01:00.0000000;Epsilon;635533344600000000;938
2018-10-20T00:01:00.0000000;Phi;636,755,904,600,000,000.00000000;548
2018-04-17T00:02:00.0000000;Iota;6.365952012E+17;477
2013-06-20T00:02:00.0000000;Eta;6.350728332E+17;791
2016-11-04T00:03:00.0000000;Psi;6.361381458E+17;174
2013-07-02T00:01:00.0000000;Phi;635,083,200,600,000,000.00000000;247
2012-11-08T00:01:00.0000000;Kappa;634,879,296,600,000,000.00000000;76
2013-11-26T00:01:00.0000000;Psi;635210208600000000;231
2017-05-08T00:01:00.0000000;Xi;6.362979846E+17;855
2016-10-23T00:03:00.0000000;Chi;636127777800000000;206
2013-08-23T00:02:00.0000000;Gamma;635,128,129,200,000,000.00000000;267
2015-10-22T00:02:00.0000000;Omega;6.358106892E+17;43
2012-10-03T00:01:00.0000000;Zeta;634,848,192,600,000,000.00000000;80
2011-03-20T00:02:00.0000000;Chi;634,361,761,200,000,000.00000000;582
2018-07-15T00:02:00.0000000;Rho;6.366720972E+17;618
2019-01-26T00:02:00.0000000;Lambda;6.36841E+017;813
2014-08-25T00:01:00.0000000;Omicron;635445216600000000;96
2013-08-11T00:02:00.0000000;Alpha;6.35118E+017;876
2019-09-07T00:01:00.0000000;Zeta;6.370341126E+17;800
2018-10-22T00:02:00.0000000;Omega;636757633200000000;212
2014-12-21T00:02:00.0000000;Lambda;6.355471692E+17;629
2012-12-05T00:03:00.0000000;Theta;6.349026258E+17;949
2012-06-19T00:01:00.0000000;Iota;634756608600000000;554
2012-10-01T00:02:00.0000000;Sigma;634,846,465,200,000,000.00000000;328
2016-08-14T00:01:00.0000000;Beta;636,067,296,600,000,000.00000000;563
2014-02-08T00:02:00.0000000;Iota;6.35274E+017;829
2011-11-04T00:02:00.0000000;Delta;6.345596172E+17;840
2013-02-12T00:02:00.0000000;Kappa;6.34962E+017;865
2016-02-18T00:01:00.0000000;Iota;635913504600000000;792
2018-12-21T00:01:00.0000000;Alpha;6.36809E+017;106
2014-10-12T00:01:00.0000000;Epsilon;635486688600000000;671
2010-08-17T00:03:00.0000000;Alpha;634176001800000000;52
2011-10-25T00:02:00.0000000;Rho;634,550,977,200,000,000.00000000;756
2018-07-31T00:04:00.0000000;Kappa;6.366859224E+17;16
2010-04-09T00:02:00.0000000;Psi;634,063,681,200,000,000.00000000;682
2017-08-25T00:02:00.0000000;Sigma;636392161200000000;82
2019-12-19T00:02:00.0000000;Rho;6.371231052E+17;144
2012-01-02T00:02:00.0000000;Lambda;634610593200000000;286
2018-10-16T00:02:00.0000000;Xi;636752449200000000;87
2015-08-08T00:03:00.0000000;Iota;6.357458898E+17;354
2010-01-07T00:02:00.0000000;Iota;633984193200000000;869
2015-09-30T00:04:00.0000000;Upsilon;6.357916824E+17;434
2019-04-24T00:03:00.0000000;Chi;6.36917E+017;723
2010-02-24T00:02:00.0000000;Chi;6.340256652E+17;660
2010-10-01T00:03:00.0000000;Tau;6.342148818E+17;413
2016-06-04T00:03:00.0000000;Omicron;636005953800000000;65
2018-03-27T00:01:00.0000000;Omicron;6.365770566E+17;922
2013-10-10T00:02:00.0000000;Mu;6.351696012E+17;105
2016-06-09T00:02:00.0000000;Phi;6.36010E+017;242
2017-05-02T00:01:00.0000000;Mu;6.36293E+017;391
2014-11-24T00:02:00.0000000;Delta;6.35524E+017;227
2019-11-22T00:03:00.0000000;Psi;637,099,777,800,000,000.00000000;747
2012-12-10T00:02:00.0000000;Gamma;634906945200000000;919
2017-09-28T00:01:00.0000000;Delta;6.364215366E+17;355
2013-09-06T00:01:00.0000000;Nu;6.351402246E+17;204
2015-04-12T00:03:00.0000000;Pi;635,643,937,800,000,000.00000000;983
2011-01-20T00:04:00.0000000;Alpha;634310786400000000;407
2011-03-13T00:02:00.0000000;Mu;6.343557132E+17;362
2013-06-03T00:01:00.0000000;Xi;6.350581446E+17;710
2011-01-19T00:02:00.0000000;Alpha;6.343099212E+17;701
2012-09-05T00:01:00.0000000;Omega;6.348240006E+17;266
2019-04-21T00:01:00.0000000;Zeta;636,914,016,600,000,000.00000000;190
2010-12-10T00:03:00.0000000;Beta;6.342753618E+17;121
2017-01-27T00:02:00.0000000;Nu;636210721200000000;176
2019-01-02T00:02:00.0000000;Chi;636819841200000000;431
2011-10-02T00:01:00.0000000;Nu;634531104600000000;258
2016-01-03T00:02:00.0000000;Chi;6.358737612E+17;529
2019-10-17T00:01:00.0000000;Sigma;637,068,672,600,000,000.00000000;63
2011-10-19T00:04:00.0000000;Beta;634545794400000000;378
