TM;Category;unknown;Quantity
2018-03-13T00:01:00.0000000;Eta;636564960600000000;526
2013-10-11T00:01:00.0000000;Omicron;6.351704646E+17;699
2011-10-24T00:01:00.0000000;Rho;634,550,112,600,000,000.00000000;835
2017-09-15T00:01:00.0000000;Upsilon;636410304600000000;667
2018-04-19T00:01:00.0000000;Epsilon;636596928600000000;83
2015-01-07T00:02:00.0000000;Phi;6.355618572E+17;662
2015-09-13T00:01:00.0000000;Epsilon;6.35777E+017;411
2017-11-14T00:01:00.0000000;Alpha;636462144600000000;735
2017-08-06T00:01:00.0000000;Epsilon;6.363757446E+17;560
2019-10-02T00:01:00.0000000;Eta;637055712600000000;87
2012-06-13T00:01:00.0000000;Upsilon;634751424600000000;445
2012-04-04T00:01:00.0000000;Sigma;634,690,944,600,000,000.00000000;60
2011-09-29T00:02:00.0000000;Nu;6.345285132E+17;919
2011-10-29T00:01:00.0000000;Delta;634554432600000000;85
2018-03-24T00:01:00.0000000;Alpha;6.36574E+017;415
2011-11-22T00:02:00.0000000;Alpha;6.345751692E+17;996
2013-06-29T00:01:00.0000000;Zeta;635080608600000000;952
2013-01-13T00:01:00.0000000;Zeta;6.349363206E+17;196
2012-08-24T00:01:00.0000000;Phi;634813632600000000;317
2016-07-15T00:01:00.0000000;Mu;6.36041E+017;623
2018-09-25T00:01:00.0000000;Beta;6.367343046E+17;689
2012-04-14T00:01:00.0000000;Psi;6.346995846E+17;193
2018-11-11T00:01:00.0000000;Epsilon;636774912600000000;384
2013-04-26T00:01:00.0000000;Pi;6.35025E+017;154
2013-12-18T00:01:00.0000000;Gamma;6.35229E+017;723
2014-04-15T00:02:00.0000000;Omicron;635,331,169,200,000,000.00000000;214
2012-10-05T00:01:00.0000000;Alpha;634849920600000000;760
2013-09-23T00:01:00.0000000;Theta;6.351549126E+17;242
2017-07-19T00:01:00.0000000;Iota;6.363601926E+17;632
2016-08-01T00:02:00.0000000;Xi;6.36056E+017;521
2019-06-13T00:01:00.0000000;Rho;636,959,808,600,000,000.00000000;785
2016-09-09T00:02:00.0000000;Eta;6.360897612E+17;92
2014-07-24T00:01:00.0000000;Omicron;6.35418E+017;983
2018-11-03T00:01:00.0000000;Tau;6.367680006E+17;442
2017-12-02T00:02:00.0000000;Phi;636477697200000000;102
2017-09-13T00:02:00.0000000;Beta;636408577200000000;722
2012-11-14T00:01:00.0000000;Gamma;6.34884E+017;638
2012-05-14T00:01:00.0000000;Zeta;634725504600000000;580
2018-10-11T00:01:00.0000000;Lambda;6.367481286E+17;12
2013-08-17T00:01:00.0000000;Theta;6.351229446E+17;879
2016-05-04T00:01:00.0000000;Xi;6.35979E+017;642
2018-06-24T00:01:00.0000000;Upsilon;6.366539526E+17;102
2018-03-14T00:01:00.0000000;Upsilon;636565824600000000;588
2013-05-19T00:02:00.0000000;Chi;6.350451852E+17;998
2019-09-18T00:01:00.0000000;Rho;6.37044E+017;49
2015-03-31T00:01:00.0000000;Psi;635633568600000000;837
2018-04-28T00:01:00.0000000;Zeta;6.36605E+017;172
2019-12-03T00:01:00.0000000;Chi;6.371092806E+17;990
2015-01-10T00:02:00.0000000;Psi;635564449200000000;644
2010-11-14T00:01:00.0000000;Sigma;634,252,896,600,000,000.00000000;382
2019-04-22T00:02:00.0000000;Gamma;636914881200000000;729
2017-11-04T00:01:00.0000000;Sigma;6.364535046E+17;946
2011-08-13T00:01:00.0000000;Upsilon;634,487,904,600,000,000.00000000;193
2011-05-12T00:01:00.0000000;Sigma;634407552600000000;90
2010-08-20T00:02:00.0000000;Epsilon;6.34179E+017;254
2012-08-22T00:01:00.0000000;Sigma;6.348119046E+17;460
