TM;Category;unknown;Quantity
2014-06-16T00:01:00.0000000;Beta;6.35385E+017;869
2014-11-03T00:01:00.0000000;Tau;635,505,696,600,000,000.00000000;781
2012-01-04T00:01:00.0000000;Phi;634,612,320,600,000,000.00000000;491
2014-02-25T00:01:00.0000000;Theta;635288832600000000;62
2018-12-01T00:01:00.0000000;Omega;6.36792E+017;178
2015-12-30T00:01:00.0000000;Pi;6.35870E+017;306
2014-01-02T00:01:00.0000000;Mu;635242176600000000;972
2012-08-04T00:01:00.0000000;Phi;6.347963526E+17;833
2012-10-13T00:01:00.0000000;Kappa;6.348568326E+17;244
2012-04-17T00:01:00.0000000;Mu;6.347021766E+17;205
2012-08-05T00:01:00.0000000;Iota;634797216600000000;656
2010-11-30T00:01:00.0000000;Pi;634266720600000000;370
2012-04-24T00:01:00.0000000;Alpha;634,708,224,600,000,000.00000000;208
2010-11-17T00:01:00.0000000;Kappa;634255488600000000;743
2016-07-30T00:01:00.0000000;Sigma;636054336600000000;241
2013-04-18T00:02:00.0000000;Kappa;635,018,401,200,000,000.00000000;527
2015-08-04T00:01:00.0000000;Phi;635742432600000000;929
2014-09-12T00:01:00.0000000;Lambda;635460768600000000;877
2019-10-16T00:01:00.0000000;Phi;637067808600000000;287
2013-09-30T00:01:00.0000000;Eta;635,160,960,600,000,000.00000000;486
2010-01-30T00:01:00.0000000;Iota;634,004,064,600,000,000.00000000;857
2011-10-04T00:01:00.0000000;Theta;634532832600000000;782
2011-05-13T00:01:00.0000000;Nu;634408416600000000;489
2017-09-04T00:01:00.0000000;Psi;6.36401E+017;162
2011-07-09T00:01:00.0000000;Beta;634,457,664,600,000,000.00000000;515
2012-08-31T00:01:00.0000000;Beta;634819680600000000;238
2013-07-01T00:02:00.0000000;Beta;635,082,337,200,000,000.00000000;610
2011-11-27T00:01:00.0000000;Epsilon;634579488600000000;330
2014-07-12T00:01:00.0000000;Rho;6.354072006E+17;934
2014-11-30T00:02:00.0000000;Epsilon;6.355290252E+17;916
2011-10-13T00:01:00.0000000;Omicron;6.34541E+017;348
2015-01-02T00:01:00.0000000;Xi;6.35558E+017;770
2018-11-01T00:01:00.0000000;Kappa;6.367662726E+17;619
2017-03-25T00:02:00.0000000;Eta;6.36260E+017;379
2012-06-26T00:02:00.0000000;Kappa;6.347626572E+17;675
2015-07-15T00:01:00.0000000;Theta;635,725,152,600,000,000.00000000;585
2013-04-04T00:01:00.0000000;Lambda;635006304600000000;132
2010-03-26T00:01:00.0000000;Zeta;634051584600000000;154
2019-08-10T00:03:00.0000000;Xi;6.37010E+017;16
2010-07-26T00:01:00.0000000;Epsilon;634156992600000000;667
2010-11-21T00:01:00.0000000;Iota;6.34259E+017;763
2015-01-04T00:01:00.0000000;Phi;6.355592646E+17;492
2014-12-20T00:02:00.0000000;Pi;6.355463052E+17;845
