TM;Category;unknown;Quantity
2013-12-04T00:01:00.0000000;Pi;6.352171206E+17;717
2015-04-09T00:01:00.0000000;Xi;6.356413446E+17;639
2017-02-11T00:01:00.0000000;Theta;636,223,680,600,000,000.00000000;91
2012-10-24T00:01:00.0000000;Iota;634866336600000000;74
2012-03-28T00:01:00.0000000;Kappa;6.346848966E+17;593
2014-05-18T00:01:00.0000000;Alpha;6.353596806E+17;780
2018-02-18T00:01:00.0000000;Sigma;6.365450886E+17;526
2017-10-27T00:01:00.0000000;Pi;636446592600000000;870
2016-05-02T00:01:00.0000000;Gamma;635977440600000000;151
2016-01-20T00:01:00.0000000;Phi;6.358884486E+17;388
2011-05-27T00:01:00.0000000;Upsilon;6.344205126E+17;541
2015-04-05T00:02:00.0000000;Rho;6.356378892E+17;965
2016-06-05T00:01:00.0000000;Epsilon;636,006,816,600,000,000.00000000;609
2011-11-28T00:01:00.0000000;Pi;634580352600000000;166
2018-07-04T00:01:00.0000000;Tau;636,662,592,600,000,000.00000000;447
2015-09-10T00:01:00.0000000;Sigma;635774400600000000;759
2010-06-18T00:01:00.0000000;Omicron;6.341241606E+17;489
2013-01-24T00:02:00.0000000;Tau;6.34946E+017;694
2014-06-30T00:01:00.0000000;Rho;635396832600000000;443
2019-10-06T00:02:00.0000000;Upsilon;6.37059E+017;183
2012-01-15T00:01:00.0000000;Upsilon;6.346218246E+17;916
2017-02-16T00:01:00.0000000;Alpha;636228000600000000;359
2011-08-17T00:01:00.0000000;Mu;634491360600000000;509
2019-11-06T00:01:00.0000000;Omega;637,085,952,600,000,000.00000000;305
2019-11-11T00:01:00.0000000;Iota;6.37090E+017;727
2014-02-21T00:01:00.0000000;Zeta;635,285,376,600,000,000.00000000;416
2014-12-19T00:01:00.0000000;Tau;6.355454406E+17;747
2019-02-14T00:01:00.0000000;Delta;6.368569926E+17;216
2012-11-03T00:02:00.0000000;Eta;634874977200000000;524
2014-07-10T00:01:00.0000000;Theta;6.354054726E+17;603
2012-07-19T00:02:00.0000000;Zeta;634782529200000000;255
2011-02-20T00:01:00.0000000;Psi;6.34338E+017;759
2012-08-12T00:01:00.0000000;Alpha;634803264600000000;619
2015-12-14T00:02:00.0000000;Theta;6.358564812E+17;444
2014-08-26T00:01:00.0000000;Pi;635446080600000000;11
2011-10-22T00:02:00.0000000;Lambda;634548385200000000;92
2019-01-29T00:01:00.0000000;Phi;6.368431686E+17;477
2011-10-22T00:01:00.0000000;Eta;634548384600000000;972
2011-02-28T00:02:00.0000000;Lambda;634344481200000000;12
2010-07-18T00:01:00.0000000;Chi;6.34150E+017;479
2017-04-10T00:01:00.0000000;Lambda;636273792600000000;866
2010-10-21T00:01:00.0000000;Beta;6.342321606E+17;112
2018-08-15T00:01:00.0000000;Rho;6.36699E+017;52
2013-09-28T00:01:00.0000000;Eta;635159232600000000;703
2016-09-24T00:02:00.0000000;Eta;6.36103E+017;255
2012-11-04T00:01:00.0000000;Mu;634875840600000000;620
2011-01-13T00:01:00.0000000;Psi;6.34305E+017;739
2011-03-15T00:01:00.0000000;Tau;6.343574406E+17;951
2017-07-24T00:03:00.0000000;Eta;636,364,513,800,000,000.00000000;918
2019-09-19T00:01:00.0000000;Phi;6.37044E+017;652
2018-11-02T00:01:00.0000000;Zeta;6.367671366E+17;703
2012-01-31T00:01:00.0000000;Xi;6.346356486E+17;859
2013-05-30T00:01:00.0000000;Alpha;635054688600000000;458
2018-01-18T00:01:00.0000000;Theta;636518304600000000;333
2016-03-24T00:02:00.0000000;Omega;635943745200000000;156
2011-07-29T00:02:00.0000000;Omega;634474945200000000;683
2016-08-29T00:02:00.0000000;Upsilon;636080257200000000;454
2013-10-14T00:01:00.0000000;Zeta;635173056600000000;556
2014-04-01T00:02:00.0000000;Tau;635319073200000000;345
2018-10-07T00:03:00.0000000;Phi;6.36745E+017;535
2010-07-25T00:02:00.0000000;Rho;634156129200000000;619
2018-09-27T00:02:00.0000000;Delta;6.367360332E+17;677
2015-06-05T00:01:00.0000000;Alpha;635690592600000000;386
2018-01-19T00:02:00.0000000;Kappa;636519169200000000;637
2017-09-02T00:01:00.0000000;Iota;636399072600000000;959
2013-09-02T00:01:00.0000000;Mu;6.351367686E+17;960
2012-11-06T00:01:00.0000000;Rho;634877568600000000;997
2010-01-27T00:02:00.0000000;Nu;634,001,473,200,000,000.00000000;138
2012-12-08T00:02:00.0000000;Pi;6.349052172E+17;39
2017-12-31T00:01:00.0000000;Omicron;636502752600000000;923
2018-04-21T00:02:00.0000000;Psi;636,598,657,200,000,000.00000000;205
2017-11-11T00:02:00.0000000;Chi;636,459,553,200,000,000.00000000;889
2018-03-02T00:02:00.0000000;Alpha;636555457200000000;201
2015-07-23T00:02:00.0000000;Phi;6.357320652E+17;452
2019-06-26T00:03:00.0000000;Chi;636971041800000000;40
2014-07-05T00:01:00.0000000;Phi;6.35401E+017;268
2011-09-12T00:01:00.0000000;Omega;6.345138246E+17;442
2017-07-16T00:03:00.0000000;Zeta;6.363576018E+17;916
2018-04-13T00:02:00.0000000;Sigma;6.365917452E+17;611
2018-10-08T00:01:00.0000000;Nu;6.36746E+017;756
2015-11-21T00:02:00.0000000;Upsilon;635836609200000000;461
2011-03-11T00:02:00.0000000;Upsilon;6.343539852E+17;53
2018-04-11T00:02:00.0000000;Delta;6.36590E+017;387
2015-11-12T00:01:00.0000000;Sigma;6.358288326E+17;174
2018-07-26T00:02:00.0000000;Tau;6.36682E+017;313
2012-06-03T00:01:00.0000000;Upsilon;6.34743E+017;349
2011-05-07T00:01:00.0000000;Phi;6.344032326E+17;907
2018-10-11T00:01:00.0000000;Tau;6.367481286E+17;79
2014-11-09T00:03:00.0000000;Psi;6.355108818E+17;93
2012-05-31T00:03:00.0000000;Gamma;634740193800000000;487
2013-08-17T00:03:00.0000000;Zeta;6.351229458E+17;950
2014-09-08T00:02:00.0000000;Lambda;635,457,313,200,000,000.00000000;689
2013-03-09T00:02:00.0000000;Beta;6.349838412E+17;421
2015-04-27T00:02:00.0000000;Kappa;635656897200000000;766
2019-11-24T00:01:00.0000000;Upsilon;637,101,504,600,000,000.00000000;149
2017-08-22T00:01:00.0000000;Mu;6.363895686E+17;987
2017-01-02T00:02:00.0000000;Kappa;636189121200000000;674
2014-01-16T00:02:00.0000000;Omega;635,254,273,200,000,000.00000000;482
2018-05-24T00:02:00.0000000;Gamma;636627169200000000;130
2012-06-09T00:01:00.0000000;Delta;6.347479686E+17;220
2015-10-15T00:01:00.0000000;Mu;635804640600000000;44
2013-10-18T00:01:00.0000000;Chi;635,176,512,600,000,000.00000000;421
2019-06-15T00:01:00.0000000;Zeta;636961536600000000;583
2010-07-20T00:01:00.0000000;Rho;6.341518086E+17;454
2012-01-27T00:04:00.0000000;Pi;6.34632E+017;656
2018-07-09T00:02:00.0000000;Iota;6.36667E+017;825
2014-02-13T00:01:00.0000000;Sigma;6.352784646E+17;165
2010-12-01T00:01:00.0000000;Tau;634267584600000000;321
2019-01-01T00:01:00.0000000;Alpha;636,818,976,600,000,000.00000000;523
2015-06-01T00:01:00.0000000;Upsilon;6.356871366E+17;484
2016-04-28T00:02:00.0000000;Xi;635,973,985,200,000,000.00000000;162
2016-04-09T00:01:00.0000000;Upsilon;635,957,568,600,000,000.00000000;147
2012-11-19T00:03:00.0000000;Mu;6.348888018E+17;205
2013-10-26T00:01:00.0000000;Sigma;6.351834246E+17;361
2011-09-19T00:03:00.0000000;Iota;634519873800000000;238
2016-11-20T00:01:00.0000000;Sigma;6.36152E+017;714
2011-07-21T00:03:00.0000000;Chi;634468033800000000;930
2017-09-29T00:01:00.0000000;Omicron;6.364224006E+17;539
2015-11-09T00:02:00.0000000;Psi;6.358262412E+17;998
2016-08-02T00:02:00.0000000;Eta;6.36057E+017;233
2010-02-23T00:01:00.0000000;Eta;6.34025E+017;960
2014-01-16T00:01:00.0000000;Epsilon;635,254,272,600,000,000.00000000;782
2012-07-09T00:02:00.0000000;Tau;6.34774E+017;941
2019-02-14T00:01:00.0000000;Gamma;6.368569926E+17;257
2016-09-05T00:02:00.0000000;Chi;636086305200000000;788
2016-08-01T00:01:00.0000000;Zeta;636056064600000000;249
2019-09-11T00:02:00.0000000;Omega;637,037,569,200,000,000.00000000;331
2018-08-03T00:03:00.0000000;Gamma;6.366885138E+17;643
2013-06-17T00:03:00.0000000;Kappa;6.35070E+017;312
2014-11-04T00:03:00.0000000;Xi;635506561800000000;809
2014-03-19T00:02:00.0000000;Psi;6.353078412E+17;837
2013-09-14T00:02:00.0000000;Zeta;635147137200000000;484
2013-07-13T00:03:00.0000000;Kappa;6.350927058E+17;930
2013-09-26T00:03:00.0000000;Iota;635157505800000000;127
2010-03-18T00:01:00.0000000;Phi;6.340446726E+17;705
2015-12-30T00:02:00.0000000;Zeta;6.35870E+017;327
2013-02-13T00:02:00.0000000;Xi;6.34963E+017;870
