TM;Category;unknown;Quantity
2010-09-29T00:01:00.0000000;Zeta;6.342131526E+17;335
2017-06-24T00:01:00.0000000;Gamma;6.36339E+017;322
2019-11-05T00:01:00.0000000;Gamma;637,085,088,600,000,000.00000000;293
2013-01-16T00:01:00.0000000;Phi;634938912600000000;279
2016-03-31T00:01:00.0000000;Theta;6.359497926E+17;724
2019-07-10T00:01:00.0000000;Upsilon;6.369831366E+17;589
2017-02-19T00:01:00.0000000;Xi;6.36231E+017;991
2014-11-08T00:01:00.0000000;Beta;6.35510E+017;762
2018-08-23T00:01:00.0000000;Tau;636705792600000000;203
2018-12-11T00:01:00.0000000;Theta;636800832600000000;862
2016-06-17T00:01:00.0000000;Eta;6.360171846E+17;602
2014-01-19T00:02:00.0000000;Omega;635256865200000000;198
2015-10-29T00:01:00.0000000;Lambda;635,816,736,600,000,000.00000000;636
2010-04-07T00:02:00.0000000;Delta;634061953200000000;898
2015-09-08T00:01:00.0000000;Kappa;635772672600000000;928
2010-12-19T00:01:00.0000000;Alpha;634283136600000000;181
2012-04-24T00:02:00.0000000;Alpha;634708225200000000;724
2011-07-08T00:01:00.0000000;Zeta;634,456,800,600,000,000.00000000;943
2017-04-27T00:01:00.0000000;Rho;636,288,480,600,000,000.00000000;320
2016-05-28T00:02:00.0000000;Theta;6.359999052E+17;998
2018-03-22T00:01:00.0000000;Alpha;636572736600000000;440
2017-11-16T00:01:00.0000000;Chi;6.36464E+017;758
2014-10-22T00:01:00.0000000;Beta;6.35495E+017;714
2010-11-02T00:01:00.0000000;Beta;6.34243E+017;11
2011-05-11T00:01:00.0000000;Lambda;634406688600000000;465
2018-09-24T00:02:00.0000000;Zeta;6.367334412E+17;543
2016-11-28T00:02:00.0000000;Iota;636158881200000000;202
2014-12-02T00:02:00.0000000;Chi;6.355307532E+17;767
2015-08-25T00:01:00.0000000;Beta;6.35761E+017;554
2014-09-14T00:01:00.0000000;Kappa;6.35462E+017;282
2017-03-12T00:01:00.0000000;Alpha;6.362487366E+17;44
2014-06-16T00:01:00.0000000;Xi;6.35385E+017;198
2012-10-31T00:01:00.0000000;Kappa;6.348723846E+17;389
2019-05-06T00:02:00.0000000;Kappa;636,926,977,200,000,000.00000000;720
2017-06-30T00:01:00.0000000;Gamma;6.363437766E+17;714
2011-07-21T00:02:00.0000000;Upsilon;634468033200000000;673
2014-10-28T00:01:00.0000000;Epsilon;6.355005126E+17;778
2019-10-23T00:01:00.0000000;Phi;6.37074E+017;497
2015-07-23T00:01:00.0000000;Zeta;6.357320646E+17;641
2015-10-14T00:01:00.0000000;Omicron;635803776600000000;186
2019-12-27T00:02:00.0000000;Epsilon;637130017200000000;926
2013-08-31T00:02:00.0000000;Nu;6.35135E+017;138
2017-01-12T00:01:00.0000000;Rho;6.36198E+017;143
2019-05-28T00:01:00.0000000;Phi;636945984600000000;341
2015-04-08T00:01:00.0000000;Delta;6.356404806E+17;813
2019-01-10T00:02:00.0000000;Epsilon;6.368267532E+17;696
2012-10-14T00:01:00.0000000;Upsilon;6.348576966E+17;353
2015-05-14T00:01:00.0000000;Alpha;6.356715846E+17;543
2013-05-31T00:03:00.0000000;Tau;6.35056E+017;874
2012-12-23T00:02:00.0000000;Iota;6.349181772E+17;668
2019-11-27T00:02:00.0000000;Sigma;6.37104E+017;970
2014-01-09T00:01:00.0000000;Xi;6.352482246E+17;424
2017-08-01T00:01:00.0000000;Delta;6.36371E+017;290
2018-10-17T00:01:00.0000000;Chi;636753312600000000;646
2015-04-25T00:01:00.0000000;Pi;6.356551686E+17;648
2016-11-14T00:01:00.0000000;Tau;636,146,784,600,000,000.00000000;377
2011-07-27T00:02:00.0000000;Tau;634473217200000000;729
2011-07-13T00:02:00.0000000;Sigma;6.34461E+017;84
2011-09-06T00:02:00.0000000;Omega;6.34509E+017;831
2019-08-04T00:02:00.0000000;Psi;637004737200000000;880
2015-08-08T00:01:00.0000000;Epsilon;6.35746E+017;464
2014-06-02T00:02:00.0000000;Upsilon;6.353726412E+17;405
2012-06-03T00:03:00.0000000;Chi;6.34743E+017;452
2017-07-04T00:01:00.0000000;Pi;636347232600000000;887
2016-07-11T00:01:00.0000000;Chi;636,037,920,600,000,000.00000000;568
2012-09-02T00:01:00.0000000;Delta;6.34821E+017;642
2011-09-16T00:02:00.0000000;Omicron;634517281200000000;254
2016-04-08T00:01:00.0000000;Phi;635956704600000000;783
2016-11-11T00:01:00.0000000;Lambda;636144192600000000;632
2019-01-29T00:01:00.0000000;Eta;6.368431686E+17;863
2015-02-09T00:01:00.0000000;Omicron;6.355903686E+17;25
2016-01-25T00:02:00.0000000;Rho;635892769200000000;830
2012-05-04T00:01:00.0000000;Alpha;6.347168646E+17;737
2015-08-24T00:02:00.0000000;Zeta;6.35760E+017;995
2019-12-21T00:01:00.0000000;Epsilon;6.371248326E+17;514
2013-04-17T00:02:00.0000000;Tau;635017537200000000;336
2013-01-22T00:01:00.0000000;Nu;634944096600000000;458
2012-07-11T00:01:00.0000000;Rho;6.34776E+017;810
2017-02-17T00:02:00.0000000;Xi;6.36229E+017;179
2010-02-26T00:03:00.0000000;Gamma;6.340273938E+17;980
2017-03-30T00:02:00.0000000;Chi;6.362642892E+17;616
2016-07-13T00:01:00.0000000;Iota;636039648600000000;941
2014-03-07T00:01:00.0000000;Xi;6.352974726E+17;172
2017-01-08T00:01:00.0000000;Epsilon;636,194,304,600,000,000.00000000;322
2011-02-20T00:01:00.0000000;Delta;6.34338E+017;197
2017-05-19T00:02:00.0000000;Iota;6.36307E+017;150
2018-08-06T00:03:00.0000000;Delta;636691105800000000;697
2010-03-13T00:01:00.0000000;Lambda;6.34040E+017;361
2017-09-05T00:04:00.0000000;Upsilon;6.364016664E+17;661
2013-07-06T00:01:00.0000000;Psi;6.35087E+017;445
2014-10-23T00:02:00.0000000;Kappa;6.354961932E+17;13
2015-03-16T00:02:00.0000000;Tau;6.356206092E+17;480
2018-08-06T00:02:00.0000000;Alpha;636691105200000000;753
2017-08-03T00:01:00.0000000;Lambda;6.363731526E+17;291
2012-02-15T00:02:00.0000000;Zeta;6.34649E+017;713
2016-11-08T00:01:00.0000000;Alpha;6.361416006E+17;407
2015-11-30T00:02:00.0000000;Kappa;6.358443852E+17;143
2018-05-17T00:02:00.0000000;Xi;6.36621E+017;360
2011-04-30T00:02:00.0000000;Iota;634397185200000000;413
2016-06-07T00:02:00.0000000;Phi;636008545200000000;479
2017-07-30T00:04:00.0000000;Tau;6.36370E+017;334
2016-02-24T00:01:00.0000000;Alpha;6.359186886E+17;969
2012-12-27T00:02:00.0000000;Delta;634921633200000000;459
2016-07-08T00:03:00.0000000;Phi;636,035,329,800,000,000.00000000;405
2016-01-23T00:01:00.0000000;Psi;6.358910406E+17;9
2018-08-16T00:02:00.0000000;Nu;6.36700E+017;234
2013-12-27T00:03:00.0000000;Theta;635,236,993,800,000,000.00000000;449
2016-03-06T00:01:00.0000000;Zeta;635,928,192,600,000,000.00000000;516
2014-01-14T00:01:00.0000000;Gamma;635252544600000000;844
2017-09-12T00:02:00.0000000;Theta;6.364077132E+17;280
2019-12-12T00:01:00.0000000;Gamma;637,117,056,600,000,000.00000000;919
2010-02-16T00:02:00.0000000;Omega;634,018,753,200,000,000.00000000;85
2015-08-20T00:03:00.0000000;Epsilon;635756257800000000;931
2019-05-23T00:02:00.0000000;Epsilon;636941665200000000;94
2019-12-25T00:01:00.0000000;Pi;637128288600000000;404
2010-12-28T00:02:00.0000000;Sigma;6.342909132E+17;715
2015-02-11T00:01:00.0000000;Iota;6.355920966E+17;124
2017-04-29T00:01:00.0000000;Rho;636290208600000000;724
2016-01-13T00:02:00.0000000;Beta;635882401200000000;430
2013-05-06T00:02:00.0000000;Iota;635,033,953,200,000,000.00000000;282
2011-12-18T00:02:00.0000000;Delta;634,597,633,200,000,000.00000000;69
2010-09-28T00:02:00.0000000;Mu;6.342122892E+17;99
2010-08-27T00:01:00.0000000;Epsilon;6.341846406E+17;952
2018-10-25T00:02:00.0000000;Kappa;6.36760E+017;21
2016-08-06T00:03:00.0000000;Gamma;6.360603858E+17;438
2013-03-02T00:03:00.0000000;Xi;6.34978E+017;853
2014-09-03T00:02:00.0000000;Omicron;6.354529932E+17;30
2018-10-31T00:01:00.0000000;Epsilon;6.367654086E+17;232
2016-03-08T00:02:00.0000000;Mu;635929921200000000;224
2012-09-13T00:02:00.0000000;Rho;634,830,913,200,000,000.00000000;560
2010-03-21T00:04:00.0000000;Pi;634,047,266,400,000,000.00000000;62
2011-12-30T00:01:00.0000000;Theta;6.346080006E+17;755
2018-09-16T00:02:00.0000000;Psi;636726529200000000;805
2013-10-01T00:03:00.0000000;Alpha;635161825800000000;610
2012-03-16T00:02:00.0000000;Upsilon;634,674,529,200,000,000.00000000;311
2017-07-19T00:03:00.0000000;Alpha;636360193800000000;427
2019-05-14T00:02:00.0000000;Gamma;6.36934E+017;128
2018-12-23T00:01:00.0000000;Chi;6.368112006E+17;844
2019-06-26T00:01:00.0000000;Zeta;6.369710406E+17;271
