TM;Category;unknown;Quantity
2017-12-09T00:01:00.0000000;Pi;6.364837446E+17;607
2010-09-20T00:01:00.0000000;Iota;634,205,376,600,000,000.00000000;80
2018-04-15T00:01:00.0000000;Theta;6.365934726E+17;584
2012-05-07T00:01:00.0000000;Epsilon;634719456600000000;481
2014-08-21T00:01:00.0000000;Chi;635,441,760,600,000,000.00000000;87
2014-08-25T00:02:00.0000000;Beta;635445217200000000;484
2019-03-31T00:01:00.0000000;Tau;636895872600000000;618
2017-09-12T00:01:00.0000000;Delta;6.364077126E+17;624
2013-11-29T00:01:00.0000000;Xi;6.35213E+017;560
2015-03-17T00:01:00.0000000;Kappa;6.356214726E+17;431
2014-01-15T00:02:00.0000000;Iota;635,253,409,200,000,000.00000000;375
2012-08-11T00:01:00.0000000;Upsilon;634802400600000000;461
2013-02-06T00:01:00.0000000;Eta;634,957,056,600,000,000.00000000;624
2019-07-12T00:01:00.0000000;Rho;6.369848646E+17;949
2018-04-22T00:01:00.0000000;Omicron;636,599,520,600,000,000.00000000;4
2019-02-28T00:01:00.0000000;Chi;636869088600000000;547
2010-06-25T00:01:00.0000000;Gamma;634130208600000000;70
2012-10-01T00:01:00.0000000;Chi;634846464600000000;168
2018-03-14T00:03:00.0000000;Theta;636565825800000000;326
2016-04-18T00:01:00.0000000;Omicron;6.359653446E+17;687
2015-01-03T00:01:00.0000000;Zeta;6.35558E+017;202
2019-07-03T00:01:00.0000000;Eta;636977088600000000;173
2015-05-09T00:02:00.0000000;Chi;6.356672652E+17;657
2010-05-22T00:01:00.0000000;Beta;634100832600000000;162
2016-09-27T00:02:00.0000000;Upsilon;6.361053132E+17;22
2012-11-11T00:01:00.0000000;Omega;634881888600000000;24
2013-08-15T00:01:00.0000000;Theta;6.351212166E+17;917
2014-12-29T00:01:00.0000000;Kappa;635554080600000000;194
2016-05-12T00:01:00.0000000;Chi;635986080600000000;613
2011-05-25T00:01:00.0000000;Lambda;6.344187846E+17;418
2019-06-05T00:02:00.0000000;Chi;6.369528972E+17;741
2013-02-27T00:02:00.0000000;Pi;634975201200000000;371
2017-09-23T00:01:00.0000000;Lambda;6.36417E+017;895
2018-02-24T00:01:00.0000000;Tau;636550272600000000;682
2010-11-04T00:01:00.0000000;Sigma;6.34244E+017;350
