TM;Category;unknown;Quantity
2017-01-15T00:01:00.0000000;Omicron;6.362003526E+17;609
2018-11-29T00:01:00.0000000;Kappa;636790464600000000;958
2013-11-25T00:01:00.0000000;Psi;635209344600000000;710
2012-07-10T00:01:00.0000000;Delta;6.34775E+017;520
2012-10-21T00:01:00.0000000;Delta;634,863,744,600,000,000.00000000;214
2011-06-21T00:01:00.0000000;Psi;634,442,112,600,000,000.00000000;159
2016-05-02T00:01:00.0000000;Pi;635977440600000000;886
2019-04-28T00:01:00.0000000;Psi;6.369200646E+17;253
2016-03-16T00:01:00.0000000;Alpha;6.359368326E+17;814
2018-11-09T00:01:00.0000000;Alpha;636,773,184,600,000,000.00000000;730
2013-05-14T00:01:00.0000000;Iota;6.35041E+017;30
2018-04-01T00:01:00.0000000;Nu;636581376600000000;899
2019-09-03T00:01:00.0000000;Upsilon;6.370306566E+17;65
2013-08-06T00:01:00.0000000;Gamma;635,113,440,600,000,000.00000000;436
2011-01-23T00:01:00.0000000;Omega;634313376600000000;554
2014-11-21T00:01:00.0000000;Psi;635,521,248,600,000,000.00000000;357
2010-07-23T00:01:00.0000000;Theta;6.341544006E+17;219
2016-05-07T00:01:00.0000000;Theta;6.359817606E+17;423
2011-01-25T00:01:00.0000000;Mu;634,315,104,600,000,000.00000000;632
2013-01-06T00:01:00.0000000;Alpha;6.34930E+017;974
2019-05-16T00:01:00.0000000;Upsilon;6.369356166E+17;58
2018-09-16T00:01:00.0000000;Phi;636,726,528,600,000,000.00000000;466
2018-07-17T00:01:00.0000000;Lambda;6.366738246E+17;682
2019-01-28T00:01:00.0000000;Lambda;6.368423046E+17;670
2013-07-03T00:01:00.0000000;Nu;635084064600000000;264
2012-07-30T00:01:00.0000000;Mu;6.347920326E+17;810
2013-01-02T00:01:00.0000000;Omega;634,926,816,600,000,000.00000000;998
2016-09-16T00:01:00.0000000;Tau;636095808600000000;281
2018-09-21T00:01:00.0000000;Omicron;6.36731E+017;193
2012-08-29T00:02:00.0000000;Eta;634817953200000000;187
2018-05-31T00:01:00.0000000;Delta;636633216600000000;831
2017-01-20T00:02:00.0000000;Tau;636204673200000000;660
2015-05-27T00:01:00.0000000;Xi;6.35683E+017;875
2017-07-28T00:02:00.0000000;Pi;636367969200000000;862
2016-03-24T00:01:00.0000000;Eta;635,943,744,600,000,000.00000000;173
2014-09-01T00:01:00.0000000;Sigma;6.354512646E+17;782
2012-02-08T00:01:00.0000000;Theta;634642560600000000;675
2013-06-13T00:01:00.0000000;Phi;635,066,784,600,000,000.00000000;626
2018-05-24T00:01:00.0000000;Omicron;6.366271686E+17;694
2017-12-07T00:01:00.0000000;Tau;6.364820166E+17;313
2018-03-05T00:02:00.0000000;Upsilon;6.36558E+017;700
2012-03-05T00:02:00.0000000;Alpha;6.34665E+017;254
2015-06-29T00:01:00.0000000;Delta;635711328600000000;945
2016-08-27T00:02:00.0000000;Kappa;6.360785292E+17;899
2013-09-11T00:02:00.0000000;Lambda;635,144,545,200,000,000.00000000;46
2019-01-04T00:01:00.0000000;Beta;636821568600000000;484
2019-10-23T00:02:00.0000000;Upsilon;6.37074E+017;599
2014-05-03T00:02:00.0000000;Upsilon;635,346,721,200,000,000.00000000;6
2015-05-23T00:01:00.0000000;Sigma;635679360600000000;251
2014-05-08T00:02:00.0000000;Phi;635351041200000000;30
2013-12-25T00:01:00.0000000;Tau;635235264600000000;245
2012-11-08T00:02:00.0000000;Chi;634,879,297,200,000,000.00000000;196
2012-09-07T00:01:00.0000000;Theta;6.348257286E+17;818
2011-05-14T00:02:00.0000000;Sigma;634,409,281,200,000,000.00000000;219
2010-06-12T00:01:00.0000000;Zeta;6.34119E+017;851
2017-12-23T00:02:00.0000000;Zeta;6.36496E+017;35
2017-07-13T00:01:00.0000000;Delta;6.36355E+017;938
2014-07-22T00:01:00.0000000;Upsilon;6.35416E+017;961
2019-08-08T00:02:00.0000000;Eta;637008193200000000;852
2016-04-01T00:01:00.0000000;Gamma;6.359506566E+17;106
2018-02-16T00:02:00.0000000;Sigma;6.365433612E+17;380
2017-09-27T00:02:00.0000000;Delta;6.364206732E+17;586
2011-10-09T00:01:00.0000000;Omicron;634537152600000000;393
2010-09-30T00:02:00.0000000;Psi;6.342140172E+17;233
2011-12-23T00:01:00.0000000;Phi;6.34602E+017;940
2018-05-17T00:02:00.0000000;Alpha;6.36621E+017;50
2010-04-19T00:01:00.0000000;Epsilon;6.340723206E+17;661
2016-11-13T00:03:00.0000000;Gamma;636,145,921,800,000,000.00000000;576
2014-06-17T00:01:00.0000000;Theta;6.35386E+017;374
2015-08-03T00:03:00.0000000;Pi;635741569800000000;634
2018-06-17T00:02:00.0000000;Mu;636647905200000000;693
2011-08-03T00:01:00.0000000;Lambda;6.344792646E+17;286
2017-05-30T00:03:00.0000000;Beta;636,316,993,800,000,000.00000000;673
2014-12-03T00:02:00.0000000;Rho;6.355316172E+17;871
2012-07-24T00:02:00.0000000;Delta;634786849200000000;897
2017-05-08T00:01:00.0000000;Gamma;6.362979846E+17;840
2013-02-22T00:02:00.0000000;Iota;634970881200000000;633
2014-04-01T00:01:00.0000000;Pi;635319072600000000;32
2018-01-01T00:02:00.0000000;Delta;636503617200000000;360
2018-06-08T00:02:00.0000000;Delta;6.366401292E+17;910
2011-02-12T00:01:00.0000000;Theta;634,330,656,600,000,000.00000000;657
2011-03-23T00:02:00.0000000;Mu;634364353200000000;506
2019-07-09T00:02:00.0000000;Omega;6.369822732E+17;218
