TM;Category;unknown;Quantity
2017-09-25T00:01:00.0000000;Eta;6.364189446E+17;569
2019-05-20T00:01:00.0000000;Gamma;6.369390726E+17;857
2010-07-16T00:01:00.0000000;Alpha;6.34148E+017;669
2016-11-14T00:01:00.0000000;Gamma;636,146,784,600,000,000.00000000;360
2018-09-25T00:01:00.0000000;Iota;6.367343046E+17;249
2014-07-21T00:01:00.0000000;Gamma;635414976600000000;569
2015-08-07T00:01:00.0000000;Epsilon;6.35745E+017;926
2013-08-18T00:01:00.0000000;Nu;6.351238086E+17;221
2018-04-19T00:01:00.0000000;Kappa;636596928600000000;167
2015-02-15T00:01:00.0000000;Epsilon;635595552600000000;964
2012-12-08T00:01:00.0000000;Kappa;6.349052166E+17;359
2017-02-07T00:01:00.0000000;Chi;6.362202246E+17;978
2014-10-26T00:01:00.0000000;Lambda;6.354987846E+17;307
2018-12-24T00:01:00.0000000;Kappa;6.368120646E+17;402
2016-04-14T00:01:00.0000000;Kappa;635961888600000000;884
2010-06-13T00:01:00.0000000;Omicron;6.341198406E+17;854
2018-08-07T00:01:00.0000000;Xi;636691968600000000;106
2010-04-21T00:01:00.0000000;Beta;6.340740486E+17;145
2015-07-06T00:01:00.0000000;Rho;6.357173766E+17;805
2014-10-01T00:01:00.0000000;Omicron;635477184600000000;385
2017-07-06T00:02:00.0000000;Rho;636,348,961,200,000,000.00000000;691
2016-09-16T00:02:00.0000000;Upsilon;636095809200000000;840
2015-06-07T00:01:00.0000000;Eta;635,692,320,600,000,000.00000000;613
2016-08-15T00:01:00.0000000;Nu;636,068,160,600,000,000.00000000;515
2018-07-26T00:02:00.0000000;Gamma;6.36682E+017;106
2012-12-03T00:01:00.0000000;Psi;6.34901E+017;885
2019-10-19T00:01:00.0000000;Omega;637,070,400,600,000,000.00000000;461
2014-08-10T00:02:00.0000000;Gamma;6.35432E+017;669
2019-01-30T00:02:00.0000000;Psi;6.368440332E+17;698
2013-04-17T00:02:00.0000000;Epsilon;635017537200000000;372
2015-05-15T00:01:00.0000000;Nu;6.356724486E+17;591
2012-03-22T00:01:00.0000000;Epsilon;634679712600000000;923
2012-09-13T00:02:00.0000000;Pi;634,830,913,200,000,000.00000000;771
2010-06-26T00:01:00.0000000;Theta;634131072600000000;736
2015-09-08T00:01:00.0000000;Tau;635772672600000000;473
2017-10-24T00:01:00.0000000;Eta;636,444,000,600,000,000.00000000;811
2013-07-22T00:01:00.0000000;Iota;635100480600000000;269
2010-03-28T00:01:00.0000000;Tau;634053312600000000;0
2017-01-12T00:02:00.0000000;Lambda;6.36198E+017;494
2015-04-21T00:03:00.0000000;Chi;6.356517138E+17;117
2013-02-19T00:01:00.0000000;Iota;6.349682886E+17;539
2010-08-26T00:01:00.0000000;Pi;6.341837766E+17;668
2018-08-27T00:02:00.0000000;Chi;636,709,249,200,000,000.00000000;242
2014-09-29T00:02:00.0000000;Rho;635475457200000000;673
2016-01-20T00:02:00.0000000;Sigma;6.358884492E+17;596
2017-10-20T00:01:00.0000000;Iota;636440544600000000;475
2014-11-02T00:02:00.0000000;Iota;635,504,833,200,000,000.00000000;864
2016-11-29T00:02:00.0000000;Mu;636159745200000000;426
2016-08-12T00:02:00.0000000;Kappa;636065569200000000;713
2010-05-03T00:01:00.0000000;Iota;634084416600000000;956
2013-09-04T00:01:00.0000000;Theta;6.351384966E+17;796
2014-01-16T00:03:00.0000000;Gamma;635,254,273,800,000,000.00000000;836
2017-04-29T00:01:00.0000000;Zeta;636290208600000000;987
2016-02-15T00:02:00.0000000;Sigma;635,910,913,200,000,000.00000000;575
2018-02-16T00:02:00.0000000;Delta;6.365433612E+17;217
2015-02-01T00:01:00.0000000;Tau;635,583,456,600,000,000.00000000;257
2014-07-25T00:01:00.0000000;Gamma;6.354184326E+17;375
2012-06-11T00:02:00.0000000;Eta;634749697200000000;215
2011-10-01T00:01:00.0000000;Mu;6.345302406E+17;826
