TM;Category;unknown;Quantity
2014-11-09T00:01:00.0000000;Phi;6.35511E+017;613
2014-10-02T00:01:00.0000000;Alpha;6.35478E+017;80
2015-09-26T00:01:00.0000000;Zeta;635788224600000000;336
2013-11-15T00:01:00.0000000;Sigma;6.352007046E+17;772
2011-06-16T00:01:00.0000000;Iota;634437792600000000;156
2018-01-07T00:01:00.0000000;Xi;636508800600000000;992
2013-01-10T00:01:00.0000000;Psi;6.349337286E+17;424
2010-03-09T00:01:00.0000000;Rho;634036896600000000;514
2010-01-23T00:01:00.0000000;Theta;6.339980166E+17;574
2016-11-24T00:01:00.0000000;Theta;6.361554246E+17;391
2013-12-14T00:01:00.0000000;Xi;635225760600000000;81
2018-07-06T00:01:00.0000000;Pi;636664320600000000;109
2019-09-16T00:01:00.0000000;Chi;637041888600000000;931
2017-09-23T00:01:00.0000000;Rho;6.36417E+017;539
2010-01-04T00:01:00.0000000;Eta;6.339816006E+17;644
2016-01-09T00:02:00.0000000;Lambda;635,878,945,200,000,000.00000000;269
2010-07-27T00:01:00.0000000;Mu;634157856600000000;470
2017-04-26T00:01:00.0000000;Zeta;636,287,616,600,000,000.00000000;631
2015-03-13T00:01:00.0000000;Epsilon;635618016600000000;875
2018-04-19T00:02:00.0000000;Kappa;636596929200000000;920
2017-10-23T00:01:00.0000000;Mu;636,443,136,600,000,000.00000000;433
2011-05-05T00:01:00.0000000;Omicron;6.344015046E+17;75
2018-11-07T00:01:00.0000000;Omega;636,771,456,600,000,000.00000000;530
2013-08-09T00:01:00.0000000;Upsilon;635116032600000000;473
2018-03-15T00:01:00.0000000;Phi;636566688600000000;940
2015-01-19T00:01:00.0000000;Tau;6.35572E+017;720
2010-07-07T00:02:00.0000000;Tau;634140577200000000;161
2016-10-14T00:01:00.0000000;Rho;6.36120E+017;339
2012-04-19T00:02:00.0000000;Delta;634703905200000000;11
2017-05-27T00:01:00.0000000;Omicron;6.363144006E+17;767
2010-08-24T00:01:00.0000000;Phi;6.341820486E+17;201
2015-10-07T00:01:00.0000000;Omega;6.357977286E+17;984
2019-08-13T00:01:00.0000000;Kappa;6.37013E+017;541
2014-08-14T00:02:00.0000000;Chi;6.354357132E+17;899
2012-03-29T00:02:00.0000000;Omega;6.346857612E+17;765
2012-02-12T00:01:00.0000000;Sigma;634646016600000000;160
2010-09-18T00:02:00.0000000;Delta;634203649200000000;225
2014-05-03T00:01:00.0000000;Omicron;635346720600000000;757
2016-01-14T00:02:00.0000000;Theta;635883265200000000;123
2016-12-04T00:01:00.0000000;Theta;636164064600000000;909
2014-09-29T00:01:00.0000000;Phi;635475456600000000;734
2017-10-07T00:01:00.0000000;Theta;636,429,312,600,000,000.00000000;981
2013-12-31T00:01:00.0000000;Delta;635240448600000000;718
2018-01-08T00:01:00.0000000;Nu;636509664600000000;628
2019-05-15T00:01:00.0000000;Xi;6.36935E+017;783
2015-12-31T00:01:00.0000000;Rho;6.35871E+017;60
2013-04-13T00:02:00.0000000;Psi;6.350140812E+17;113
2013-11-17T00:01:00.0000000;Beta;6.352024326E+17;843
2018-10-16T00:02:00.0000000;Omega;636752449200000000;123
2017-01-09T00:01:00.0000000;Eta;636195168600000000;488
2014-07-14T00:01:00.0000000;Iota;635408928600000000;944
2012-01-06T00:01:00.0000000;Eta;634,614,048,600,000,000.00000000;852
2019-02-28T00:01:00.0000000;Sigma;636869088600000000;308
2012-04-21T00:02:00.0000000;Omega;634,705,633,200,000,000.00000000;230
2016-06-02T00:01:00.0000000;Alpha;636004224600000000;286
2014-01-23T00:02:00.0000000;Gamma;6.35260E+017;682
2012-01-16T00:02:00.0000000;Phi;6.346226892E+17;903
2012-02-23T00:01:00.0000000;Pi;6.346555206E+17;843
2010-12-02T00:01:00.0000000;Mu;634,268,448,600,000,000.00000000;142
2012-11-13T00:01:00.0000000;Iota;6.34884E+017;921
2014-09-12T00:02:00.0000000;Chi;635460769200000000;321
2017-04-03T00:03:00.0000000;Epsilon;636267745800000000;56
2014-02-18T00:01:00.0000000;Rho;635282784600000000;673
2014-09-17T00:02:00.0000000;Sigma;6.354650892E+17;843
2015-05-20T00:02:00.0000000;Rho;635,676,769,200,000,000.00000000;146
2019-03-25T00:02:00.0000000;Iota;6.368906892E+17;313
2015-02-22T00:02:00.0000000;Chi;635601601200000000;141
2015-03-08T00:02:00.0000000;Sigma;635,613,697,200,000,000.00000000;133
2011-05-27T00:02:00.0000000;Eta;6.344205132E+17;886
2013-07-03T00:02:00.0000000;Epsilon;635084065200000000;43
2013-03-03T00:01:00.0000000;Rho;6.34979E+017;390
2017-11-01T00:01:00.0000000;Sigma;6.364509126E+17;753
2012-06-22T00:02:00.0000000;Beta;6.34759E+017;547
2012-06-12T00:02:00.0000000;Mu;634750561200000000;107
2015-12-01T00:01:00.0000000;Zeta;6.358452486E+17;631
2010-11-08T00:02:00.0000000;Eta;6.342477132E+17;614
2019-03-13T00:03:00.0000000;Epsilon;636,880,321,800,000,000.00000000;109
2010-05-21T00:01:00.0000000;Phi;634099968600000000;748
2012-03-06T00:03:00.0000000;Beta;6.346658898E+17;427
2013-10-02T00:02:00.0000000;Omega;635162689200000000;639
2019-10-11T00:02:00.0000000;Alpha;6.370634892E+17;961
2013-08-05T00:01:00.0000000;Beta;635,112,576,600,000,000.00000000;22
2017-10-07T00:02:00.0000000;Phi;636429313200000000;957
2017-01-29T00:02:00.0000000;Gamma;6.36212E+017;680
2012-04-16T00:03:00.0000000;Kappa;6.347013138E+17;330
2016-05-16T00:01:00.0000000;Chi;635,989,536,600,000,000.00000000;773
2014-05-03T00:02:00.0000000;Phi;635,346,721,200,000,000.00000000;410
2017-06-28T00:01:00.0000000;Sigma;6.363420486E+17;17
2017-01-20T00:01:00.0000000;Kappa;6.362046726E+17;84
2017-08-22T00:01:00.0000000;Alpha;6.363895686E+17;148
2011-05-17T00:01:00.0000000;Xi;634411872600000000;430
2012-01-04T00:03:00.0000000;Mu;634,612,321,800,000,000.00000000;292
2013-01-05T00:02:00.0000000;Epsilon;6.34929E+017;261
2018-05-17T00:02:00.0000000;Delta;6.36621E+017;993
2016-12-19T00:02:00.0000000;Iota;636,177,025,200,000,000.00000000;27
2014-03-26T00:02:00.0000000;Psi;635313889200000000;612
2016-03-05T00:03:00.0000000;Mu;635927329800000000;684
2017-09-29T00:02:00.0000000;Eta;6.364224012E+17;858
2014-09-11T00:03:00.0000000;Zeta;635459905800000000;436
2010-11-27T00:01:00.0000000;Rho;6.342641286E+17;297
2010-10-10T00:01:00.0000000;Omega;634,222,656,600,000,000.00000000;735
2010-04-10T00:01:00.0000000;Xi;634,064,544,600,000,000.00000000;513
2014-11-26T00:03:00.0000000;Zeta;6.35526E+017;513
2017-07-24T00:04:00.0000000;Omega;636,364,514,400,000,000.00000000;281
2014-09-13T00:01:00.0000000;Psi;635461632600000000;802
2016-12-13T00:02:00.0000000;Zeta;6.361718412E+17;374
2018-07-08T00:02:00.0000000;Zeta;6.36666E+017;704
2018-01-12T00:02:00.0000000;Alpha;6.365131212E+17;843
2017-04-13T00:01:00.0000000;Tau;6.36276E+017;527
2017-11-17T00:02:00.0000000;Theta;6.36465E+017;960
2019-05-05T00:01:00.0000000;Alpha;636926112600000000;289
2017-07-31T00:02:00.0000000;Theta;6.36371E+017;306
2016-02-03T00:03:00.0000000;Eta;6.35901E+017;162
2017-05-07T00:02:00.0000000;Nu;6.362971212E+17;615
2014-02-09T00:01:00.0000000;Epsilon;6.35275E+017;417
2015-04-16T00:01:00.0000000;Zeta;635647392600000000;720
2013-06-06T00:02:00.0000000;Omega;6.350607372E+17;500
2017-11-16T00:02:00.0000000;Omega;6.36464E+017;485
2018-11-13T00:03:00.0000000;Omega;6.36777E+017;580
2017-09-21T00:01:00.0000000;Eta;636415488600000000;679
2017-02-14T00:03:00.0000000;Lambda;636226273800000000;547
2018-03-17T00:02:00.0000000;Phi;636,568,417,200,000,000.00000000;517
2011-01-19T00:01:00.0000000;Eta;6.343099206E+17;510
2012-01-14T00:04:00.0000000;Omega;6.346209624E+17;38
2013-08-27T00:02:00.0000000;Psi;635131585200000000;124
2011-11-28T00:02:00.0000000;Iota;634,580,353,200,000,000.00000000;809
2017-04-01T00:01:00.0000000;Xi;6.362660166E+17;339
2014-11-05T00:01:00.0000000;Sigma;635507424600000000;555
2016-12-23T00:02:00.0000000;Alpha;636180481200000000;27
2015-07-20T00:02:00.0000000;Tau;6.35729E+017;42
2013-10-26T00:02:00.0000000;Zeta;6.351834252E+17;449
2014-05-07T00:01:00.0000000;Sigma;635350176600000000;399
2017-08-01T00:02:00.0000000;Omega;6.363714252E+17;497
2011-01-28T00:02:00.0000000;Zeta;634317697200000000;180
2015-08-01T00:02:00.0000000;Iota;635,739,841,200,000,000.00000000;954
2013-07-10T00:03:00.0000000;Eta;6.350901138E+17;503
2013-02-28T00:03:00.0000000;Lambda;6.34976E+017;696
2018-05-30T00:02:00.0000000;Theta;636632353200000000;527
2018-03-02T00:02:00.0000000;Omicron;636555457200000000;291
2016-12-27T00:04:00.0000000;Gamma;6.361839384E+17;936
2019-05-09T00:03:00.0000000;Mu;636929569800000000;143
2019-12-06T00:01:00.0000000;Mu;6.371118726E+17;384
2011-07-01T00:03:00.0000000;Tau;6.344507538E+17;630
2016-07-18T00:01:00.0000000;Rho;6.360439686E+17;728
2011-09-13T00:03:00.0000000;Delta;634514689800000000;800
2010-03-22T00:02:00.0000000;Alpha;634,048,129,200,000,000.00000000;907
2012-05-22T00:03:00.0000000;Omega;6.347324178E+17;214
2015-10-03T00:01:00.0000000;Epsilon;6.357942726E+17;215
2010-01-26T00:02:00.0000000;Omicron;634000609200000000;703
2018-10-24T00:02:00.0000000;Delta;636759361200000000;756
2018-09-30T00:01:00.0000000;Omicron;636738624600000000;568
2014-07-12T00:02:00.0000000;Lambda;635407201200000000;159
2012-04-18T00:02:00.0000000;Iota;634703041200000000;843
2019-02-19T00:03:00.0000000;Omega;636861313800000000;182
2015-04-18T00:02:00.0000000;Pi;6.35649E+017;207
2014-05-26T00:02:00.0000000;Lambda;635366593200000000;206
2012-07-10T00:02:00.0000000;Phi;6.34775E+017;257
2014-05-20T00:02:00.0000000;Beta;635361409200000000;775
2016-05-22T00:03:00.0000000;Delta;6.35995E+017;462
2016-01-13T00:02:00.0000000;Zeta;635882401200000000;988
2014-12-04T00:01:00.0000000;Gamma;635532480600000000;150
2014-01-31T00:04:00.0000000;Omega;635,267,234,400,000,000.00000000;17
2019-03-23T00:02:00.0000000;Mu;6.368889612E+17;554
2010-06-10T00:02:00.0000000;Mu;6.34117E+017;450
2011-12-22T00:02:00.0000000;Iota;6.34601E+017;827
2017-08-31T00:02:00.0000000;Iota;636397345200000000;275
