TM;Category;unknown;Quantity
2014-02-11T00:02:00.0000000;Psi;6.352767372E+17;703
2018-11-10T00:01:00.0000000;Eta;636774048600000000;511
2018-01-20T00:01:00.0000000;Mu;636520032600000000;521
2014-11-14T00:01:00.0000000;Eta;6.355152006E+17;213
2014-05-16T00:01:00.0000000;Lambda;6.353579526E+17;664
2016-03-17T00:01:00.0000000;Omicron;6.359376966E+17;674
2013-04-22T00:01:00.0000000;Xi;635021856600000000;871
2013-12-30T00:01:00.0000000;Epsilon;635,239,584,600,000,000.00000000;72
2019-08-13T00:01:00.0000000;Mu;6.37013E+017;654
2012-09-24T00:01:00.0000000;Zeta;6.348404166E+17;2
2013-07-07T00:01:00.0000000;Xi;6.35088E+017;719
2019-06-01T00:01:00.0000000;Pi;6.36949E+017;527
2019-01-25T00:01:00.0000000;Lambda;6.36840E+017;58
2019-12-20T00:01:00.0000000;Chi;6.371239686E+17;704
2017-09-23T00:01:00.0000000;Beta;6.36417E+017;559
2019-07-31T00:01:00.0000000;Delta;6.370012806E+17;349
2012-12-10T00:01:00.0000000;Xi;634906944600000000;955
2019-04-10T00:01:00.0000000;Sigma;6.369045126E+17;630
2012-06-27T00:02:00.0000000;Beta;6.347635212E+17;871
2013-07-01T00:01:00.0000000;Pi;635,082,336,600,000,000.00000000;650
2014-02-16T00:01:00.0000000;Rho;6.352810566E+17;320
2017-11-25T00:02:00.0000000;Gamma;636471649200000000;996
2013-06-12T00:01:00.0000000;Chi;635,065,920,600,000,000.00000000;148
2011-07-17T00:01:00.0000000;Alpha;6.344645766E+17;9
2018-03-07T00:01:00.0000000;Iota;6.365597766E+17;98
2014-11-05T00:01:00.0000000;Upsilon;635507424600000000;731
2010-08-18T00:02:00.0000000;Mu;634176865200000000;43
2013-08-26T00:02:00.0000000;Mu;635130721200000000;376
2016-12-19T00:01:00.0000000;Delta;636,177,024,600,000,000.00000000;201
2011-07-04T00:01:00.0000000;Eta;634453344600000000;399
2018-09-01T00:01:00.0000000;Iota;6.36714E+017;597
2018-06-08T00:01:00.0000000;Iota;6.366401286E+17;454
2018-09-17T00:02:00.0000000;Psi;636727393200000000;896
2018-12-13T00:01:00.0000000;Sigma;636,802,560,600,000,000.00000000;163
2010-09-02T00:03:00.0000000;Tau;634,189,825,800,000,000.00000000;832
2015-07-02T00:02:00.0000000;Tau;6.35714E+017;697
2017-06-30T00:01:00.0000000;Lambda;6.363437766E+17;903
2016-05-05T00:01:00.0000000;Beta;6.35980E+017;435
2019-01-23T00:01:00.0000000;Iota;636837984600000000;649
2012-03-18T00:02:00.0000000;Nu;634,676,257,200,000,000.00000000;801
2013-04-15T00:02:00.0000000;Phi;635015809200000000;825
2013-08-31T00:02:00.0000000;Kappa;6.35135E+017;215
2013-07-09T00:02:00.0000000;Zeta;6.350892492E+17;747
2019-06-01T00:01:00.0000000;Kappa;6.36949E+017;264
2016-01-14T00:02:00.0000000;Omicron;635883265200000000;326
2010-07-13T00:02:00.0000000;Omicron;634145761200000000;257
2015-07-30T00:01:00.0000000;Kappa;635738112600000000;322
2016-12-14T00:02:00.0000000;Delta;6.361727052E+17;581
2019-12-21T00:02:00.0000000;Phi;6.371248332E+17;865
2014-06-08T00:01:00.0000000;Eta;635377824600000000;837
2016-10-30T00:01:00.0000000;Iota;636133824600000000;714
2019-10-16T00:01:00.0000000;Sigma;637067808600000000;805
2015-05-19T00:01:00.0000000;Kappa;635,675,904,600,000,000.00000000;864
2013-03-28T00:02:00.0000000;Alpha;635000257200000000;234
2011-11-05T00:01:00.0000000;Gamma;6.345604806E+17;82
2013-09-25T00:01:00.0000000;Nu;6.351566406E+17;904
2016-03-15T00:01:00.0000000;Upsilon;6.359359686E+17;472
2015-05-14T00:02:00.0000000;Psi;6.356715852E+17;916
2014-01-02T00:02:00.0000000;Psi;635242177200000000;16
2012-11-08T00:01:00.0000000;Alpha;634,879,296,600,000,000.00000000;883
2017-01-12T00:02:00.0000000;Nu;6.36198E+017;854
2016-10-03T00:02:00.0000000;Beta;6.361104972E+17;830
2010-12-13T00:02:00.0000000;Mu;6.342779532E+17;825
2014-11-19T00:01:00.0000000;Gamma;635,519,520,600,000,000.00000000;620
2018-03-05T00:01:00.0000000;Sigma;6.36558E+017;453
2018-08-10T00:02:00.0000000;Tau;636,694,561,200,000,000.00000000;896
2013-01-27T00:02:00.0000000;Omega;6.349484172E+17;956
2017-04-26T00:02:00.0000000;Gamma;636,287,617,200,000,000.00000000;526
2011-09-08T00:02:00.0000000;Psi;6.345103692E+17;581
2017-07-22T00:02:00.0000000;Sigma;636362785200000000;579
2016-01-28T00:01:00.0000000;Zeta;635,895,360,600,000,000.00000000;239
2018-04-13T00:01:00.0000000;Xi;6.365917446E+17;105
2019-01-04T00:01:00.0000000;Lambda;636821568600000000;633
2010-11-08T00:01:00.0000000;Upsilon;6.342477126E+17;322
2013-07-25T00:02:00.0000000;Zeta;6.35103E+017;990
2018-04-07T00:01:00.0000000;Tau;636586560600000000;19
2018-10-02T00:02:00.0000000;Xi;636,740,353,200,000,000.00000000;416
2018-01-12T00:02:00.0000000;Iota;6.365131212E+17;263
2015-02-14T00:02:00.0000000;Kappa;635594689200000000;842
2014-09-19T00:02:00.0000000;Xi;6.354668172E+17;353
2015-04-07T00:02:00.0000000;Tau;6.356396172E+17;0
2019-05-28T00:02:00.0000000;Pi;636945985200000000;875
2012-04-27T00:01:00.0000000;Eta;634710816600000000;614
2014-01-29T00:01:00.0000000;Phi;6.352655046E+17;367
2010-07-12T00:02:00.0000000;Kappa;634144897200000000;924
2018-12-12T00:02:00.0000000;Gamma;636,801,697,200,000,000.00000000;624
2012-02-22T00:02:00.0000000;Omega;6.346546572E+17;356
2017-04-29T00:01:00.0000000;Xi;636290208600000000;123
2016-02-28T00:01:00.0000000;Upsilon;6.359221446E+17;614
2016-05-08T00:01:00.0000000;Chi;6.359826246E+17;52
2014-06-18T00:02:00.0000000;Eta;6.353864652E+17;386
